Date,Ra,Rb,Rc,Rd,Re,Rf,Ea,Eb,Ec,Na,Nb,Nc,Nd,Ga,Gb,Gc,Ba,Bb,Bc,Bd,Be,Bf
2025-01-31,4280.444765,4280.444765,4424.686525,4424.686525,4587.071345,4587.071345,74.5736,73.8364,74.5736,16.5,19.5,22.5,19.5,27.9905,27.9905,28.5345,26.457513110645905,26.457513110645905,26.457513110645905,26.457513110645905,26.457513110645905,26.457513110645905
2025-02-28,4620.946372,4620.946372,4848.259332,4848.259332,5095.403572,5095.403572,65.348,64.702,65.348,0.0,0.0,0.0,0.0,23.051,23.051,23.499,27.397124112551563,27.522767633826902,27.242772889314978,26.504783376288916,26.513327417793516,26.50564312713065
2025-03-31,4985.582911,4985.582911,5425.240411,5425.240411,5884.409311,5884.409311,71.4984,70.7916,71.4984,27.5,32.5,37.5,32.5,25.3561,25.3561,25.8489,28.401170856570268,28.656002584420097,28.08657013034427,26.55933481818925,26.57773896471742,26.561186749790995
2025-04-30,5619.171984,5619.171984,6253.847184,6253.847184,6909.786384,6909.786384,79.9552,79.1648,79.9552,60.5,71.5,82.5,71.5,27.0026,27.0026,27.5274,29.340132472331746,29.711556014261674,28.87968394180091,26.614434711311624,26.642798094737085,26.61728879889551
2025-05-31,5891.550657,5891.550657,6709.148997,6709.148997,7548.122457,7548.122457,85.3368,84.4932,85.3368,88.0,104.0,120.0,104.0,31.9421,31.9421,32.5629,30.279819515306198,30.764269968280907,29.67697578201433,26.673856610269805,26.712960427751952,26.677791462409417
2025-06-30,5883.961032,5883.961032,6840.376632,6840.376632,7817.398632,7817.398632,77.6488,76.8812,77.6488,60.5,71.5,82.5,71.5,31.9421,31.9421,32.5629,31.16222612955303,31.7498091860658,30.428664355469685,26.733866389526813,26.783816899695772,26.7388926985797
2025-07-31,5876.460797,5876.460797,6767.217277,6767.217277,7681.504307,7681.504307,79.9552,79.1648,79.9552,104.5,123.5,142.5,123.5,33.2593,33.2593,33.9057,32.04853247396735,32.73704521248443,31.186381025149153,26.79857256336474,26.86021863367822,26.804775747281052
2025-08-31,5259.384881,5259.384881,6090.234481,6090.234481,6943.094081,6943.094081,80.724,79.926,80.724,66.0,78.0,90.0,78.0,36.8816,36.8816,37.5984,32.91097886907167,33.69536874908644,31.926119532973857,26.866132702711237,26.939990183872126,26.873564669370374
2025-09-30,4306.503258,4306.503258,4959.145458,4959.145458,5631.582258,5631.582258,75.3424,74.5976,75.3424,38.5,45.5,52.5,45.5,36.223,36.223,36.927,33.724611155510175,34.59751366510647,32.62602996573903,26.934343034101424,27.02052944750994,26.94301560918596
2025-10-31,4958.243335,4958.243335,5411.227735,5411.227735,5893.940515,5893.940515,74.5736,73.8364,74.5736,44.0,52.0,60.0,52.0,37.8695,37.8695,38.6055,34.54523836907054,35.50565726331355,33.33383533758534,27.007871052236116,27.107347563132944,27.017880953748218
2025-11-30,4355.17221,4355.17221,4635.35361,4635.35361,4945.08081,4945.08081,79.1864,78.4036,79.1864,5.5,6.5,7.5,6.5,44.4555,44.4555,45.3195,35.321245185380754,36.362917572304454,34.00478350474855,27.082092096610626,27.194983968623458,27.09345192930055
2025-12-31,4319.5524,4319.5524,4538.3628,4538.3628,4788.80808,4788.80808,79.1864,78.4036,79.1864,44.0,52.0,60.0,52.0,38.8574,38.8574,39.6126,36.10560147444334,37.22802063315843,34.684464075328755,27.162082998629998,27.289433126325278,27.17489770457707
2026-01-31,4749.865632,4749.865632,5017.64264,5017.64264,5321.423048,5321.423048,84.6519,83.1581,84.6519,24.0,30.0,36.0,19.68,25.8655,25.8655,26.9365,36.87327696607487,38.07347194774245,35.35107912328452,27.245559182092542,27.387997525740232,27.259892151540367
2026-02-28,5185.766656,5185.766656,5583.153856,5583.153856,6019.119456,6019.119456,74.1795,72.8705,74.1795,0.0,0.0,0.0,0.0,21.301,21.301,22.183,37.55317515011776,38.821282879126514,35.94255792065331,27.324070379522706,27.480699524095552,27.33983130938408
2026-03-31,5613.692784,5613.692784,6348.144288,6348.144288,7117.909752,7117.909752,81.1611,79.7289,81.1611,40.0,50.0,60.0,32.8,23.4311,23.4311,24.4013,38.291840648380486,39.63276107305448,36.58625721315956,27.414575031114282,27.587562778479796,27.43198205814326
2026-04-30,6333.81504,6333.81504,7346.40192,7346.40192,8394.4704,8394.4704,90.7608,89.1592,90.7608,88.0,110.0,132.0,72.16,24.9526,24.9526,25.9858,38.993357481894826,40.40254728286498,37.19858787318459,27.505881173036894,27.695372391571855,27.5249488747269
2026-05-31,6623.80472,6623.80472,7874.62,7874.62,9157.14332,9157.14332,96.8697,95.1603,96.8697,128.0,160.0,192.0,104.96,29.5171,29.5171,30.7393,39.70523925247631,41.18287960836155,37.820915995609994,27.604227415055306,27.81149459406344,27.625083836635213
2026-06-30,6585.2136,6585.2136,7992.38736,7992.38736,9425.83392,9425.83392,88.1427,86.5873,88.1427,88.0,110.0,132.0,72.16,29.5171,29.5171,30.7393,40.38221008768917,41.92421316503292,38.413570644220954,27.703418482247873,27.92861432282477,27.726078989384558
2026-07-31,6649.483632,6649.483632,7906.184696,7906.184696,9194.89574,9194.89574,90.7608,89.1592,90.7608,152.0,190.0,228.0,124.64,30.7343,30.7343,32.0069,41.07002541942003,42.6767313110995,39.01652414844903,27.810228288770922,28.05472986853962,27.834831450974473
2026-08-31,5969.802432,5969.802432,7099.960256,7099.960256,8258.90096,8258.90096,91.6335,90.0165,91.6335,96.0,120.0,144.0,78.72,34.0816,34.0816,35.4928,41.746509846181745,43.4162082786192,39.610300473670456,27.921589981317794,28.186220047994702,27.948218588219017
2026-09-30,4941.47376,4941.47376,5796.51696,5796.51696,6678.54576,6678.54576,85.5246,84.0154,85.5246,56.0,70.0,84.0,45.92,33.473,33.473,34.859,42.390894680429064,44.12003193519651,40.17656812752956,28.03385885129014,28.31878137606243,28.062529402617663
2026-10-31,5956.77152,5956.77152,6511.76824,6511.76824,7118.43452,7118.43452,84.6519,83.1581,84.6519,64.0,80.0,96.0,52.48,34.9945,34.9945,36.4435,43.04662644380824,44.83571081019483,40.753446154821994,28.15469545284767,28.461459042503733,28.185563778367662
2026-11-30,5379.18672,5379.18672,5696.79888,5696.79888,6069.52944,6069.52944,89.8881,88.3019,89.8881,8.0,10.0,12.0,6.56,41.0805,41.0805,42.7815,43.67183206212731,45.51759045166758,41.304044552386664,28.276477016295296,28.60525247151711,28.309560302959625
2026-12-31,5443.266192,5443.266192,5671.189104,5671.189104,5960.015856,5960.015856,89.8881,88.3019,89.8881,64.0,80.0,96.0,52.48,35.9074,35.9074,37.3942,44.30861103722608,46.2116304237191,41.86538956433457,28.407508085037996,28.75996724236093,28.442974562702258
2027-01-31,5933.968416,5933.968416,6219.55976,6219.55976,6571.256744,6571.256744,94.7205,92.4895,94.7205,30.0,37.5,45.0,19.86,23.732,23.732,25.347,44.9363673257389,46.8953999056524,42.41930681142074,28.544008153054175,28.92113952726962,28.581957291790413
2027-02-28,6368.008192,6368.008192,6811.642432,6811.642432,7321.346592,7321.346592,83.0025,81.0475,83.0025,0.0,0.0,0.0,0.0,19.544,19.544,20.874,45.49592858786695,47.50453947294608,42.91347416674908,28.67216624482556,29.072462034141072,28.71244632090215
2027-03-31,6642.60312,6642.60312,7501.05264,7501.05264,8411.199,8411.199,90.8145,88.6755,90.8145,50.0,62.5,75.0,33.1,21.4984,21.4984,22.9614,46.10752231965876,48.169959688890685,43.454033323135754,28.81963411943483,29.246584542992768,28.86259633887574
2027-04-30,7346.78016,7346.78016,8541.08928,8541.08928,9781.6368,9781.6368,101.556,99.164,101.556,110.0,137.5,165.0,72.82,22.8944,22.8944,24.4524,46.69176032157827,48.80527730788619,43.970828226675,28.968118142630303,29.421906868019096,29.0137809871299
2027-05-31,7540.555568,7540.555568,9023.111968,9023.111968,10541.05177,10541.05177,108.3915,105.8385,108.3915,160.0,200.0,240.0,105.92,27.0824,27.0824,28.9254,47.28789039821139,49.453198470799975,44.498544716964744,29.127726301685772,29.610364002575178,29.176292096850634
2027-06-30,7383.0888,7383.0888,9054.16848,9054.16848,10749.11616,10749.11616,98.6265,96.3035,98.6265,110.0,137.5,165.0,72.82,27.0824,27.0824,28.9254,47.8577208586361,50.07223697482119,45.00334659577304,29.288365569797218,29.80003861786191,29.339853069422503
2027-07-31,7554.372144,7554.372144,9036.561752,9036.561752,10554.68222,10554.68222,101.556,99.164,101.556,190.0,237.5,285.0,125.78,28.1992,28.1992,30.1182,48.43950394222338,50.703970865754805,45.519094364972034,29.4609628024425,30.003832584844105,29.51558949779747
2027-08-31,6774.35808,6774.35808,8104.22336,8104.22336,9466.42784,9466.42784,102.5325,100.1175,102.5325,120.0,150.0,180.0,79.44,31.2704,31.2704,33.3984,49.01438195626073,51.327930091208366,46.02906363152721,29.640496799358527,30.215817127579395,29.698388856201717
2027-09-30,5648.32944,5648.32944,6648.92784,6648.92784,7682.32944,7682.32944,95.697,93.443,95.697,70.0,87.5,105.0,46.34,30.712,30.712,32.802,49.564367301763234,51.92462310039709,46.517259395699,29.821062101419507,30.429019382577145,29.882238277112535
2027-10-31,7064.480384,7064.480384,7692.475408,7692.475408,8395.226312,8395.226312,94.7205,92.4895,94.7205,80.0,100.0,120.0,52.96,32.108,32.108,34.293,50.12634638999374,52.53408636315047,47.01640318734195,30.014925117648705,30.657922896978665,30.079627270805936
2027-11-30,6461.34096,6461.34096,6806.49744,6806.49744,7233.26832,7233.26832,100.5795,98.2105,100.5795,10.0,12.5,15.0,6.62,37.692,37.692,40.257,50.66426225535627,53.117231730214165,47.4944511660706,30.20980046841393,30.888021724119845,30.278047011359853
