,Intraday bought,Intraday sold,Day-ahead,Imbalance,Intraday,Total
2021-01-31,-323.7184346070792,643.7888137264107,313.9599173786499,14052.355916721435,320.07037911933156,14686.386213219417
2021-02-28,-539.1103454899778,196.78722327394212,0.0,11967.31684075724,-342.32312221603564,11624.993718541205
2021-03-31,-832.6418401332223,197.04852539550376,6.149042464612823,15309.577246461282,-635.5933147377185,14680.132974188176
2021-04-30,-575.5411462138595,118.61821569527305,0.0,10925.326974300136,-456.92293051858644,10468.404043781551
2021-05-31,-685.9448718724223,19.10678388781963,0.0,14854.763637063514,-666.8380879846027,14187.925549078911
2021-06-30,-1017.3883376040999,0.0,0.0,17594.166874439463,-1017.3883376040999,16576.77853683536
2021-07-31,-2372.568392324482,-25.273140960349217,6.044470716624227,14358.314994816297,-2397.841533284831,11966.51793224809
2021-08-31,-4054.441963271214,0.0,0.0,24165.50632286955,-4054.441963271214,20111.064359598335
2021-09-30,-3035.563802120141,579.4998861103561,0.0,19289.04268931775,-2456.0639160097853,16832.978773307965
2021-10-31,-8823.707226851027,1141.4441777876898,210.0792042818912,33695.241069580734,-7682.263049063337,26223.057224799293
2021-11-30,-2628.4349344363836,314.8977852592462,0.0,25491.509283312687,-2313.5371491771375,23177.972134135547
2021-12-31,-7679.361089929004,2497.685840652117,209.7588561661846,28396.744520115702,-5181.675249276887,23424.828127005
2022-01-31,-5206.3476769042845,2404.747890149202,0.0,27987.782283308614,-2801.5997867550823,25186.182496553534
2022-02-28,-7509.791676328085,0.0,0.0,36658.173266568614,-7509.791676328085,29148.381590240533
2022-03-31,-3847.1979452361225,4289.555284672742,962.5585749792874,34081.033930240264,442.35733943661984,35485.94984465618
2022-04-30,-9155.722710217895,-16.582238527566854,54.9076822383625,39805.15341333774,-9172.304948745461,30687.756146830645
2022-05-31,-11847.561798103321,0.0,0.0,37520.416408285506,-11847.561798103321,25672.854610182185
2022-06-30,-10677.724800549406,1709.7467001581622,0.0,45015.806697827364,-8967.978100391243,36047.82859743612
2022-07-31,-6451.639609010917,1062.8714139644778,0.0,35184.83275126283,-5388.76819504644,29796.06455621639
2022-08-31,-9507.427014884981,3026.837156332086,89.93910690121787,37590.452868184344,-6480.589858552895,31199.802116532668
2022-09-30,-22732.850070975237,0.0,0.0,53876.90865301859,-22732.850070975237,31144.058582043348
2022-10-31,-6042.084794683777,0.0,0.0,27727.052559349224,-6042.084794683777,21684.96776466545
2022-11-30,-1627.3565102932994,0.0,53.2047543915428,27518.47209371274,-1627.3565102932994,25944.320337810983
2022-12-31,-1638.3832433670248,0.0,0.0,24471.726516898296,-1638.3832433670248,22833.34327353127
2023-01-31,-542.6225498671819,0.0,0.0,20987.671722047817,-542.6225498671819,20445.049172180632
2023-02-28,-1986.4641088165213,0.0,0.0,19468.738805003974,-1986.4641088165213,17482.274696187455
2023-03-31,-3959.594423589094,0.0,0.0,25718.438929850985,-3959.594423589094,21758.84450626189
2023-04-30,112.34695576187877,170.13525778263246,0.0,25108.073950846534,282.48221354451124,25390.556164391044
2023-05-31,-707.8416392025543,-64.6647876333619,150.82860369130128,20115.12577852192,-772.5064268359163,19493.447955377305
2023-06-30,-1451.6948449679135,0.0,55.48563531069025,30168.566490061043,-1451.6948449679135,28772.357280403816
2023-07-31,13.097590328820116,0.0,0.0,26479.0512584913,13.097590328820116,26492.14884882012
2023-08-31,840.8666743648962,1174.3603122401848,89.62183579676675,29041.657130023093,2015.226986605081,31146.505952424945
2023-09-30,-2336.5494435990995,725.684694433662,391.73122195481716,30555.81755717724,-1610.8647491654374,29336.684029966622
2023-10-31,-1540.5782607286199,135.39960875270145,0.0,28757.173925825875,-1405.1786519759182,27351.995273849956
2023-11-30,-1585.0936484368879,2593.795192901355,211.7422941314738,24975.188984486405,1008.7015444644675,26195.63282308235
2023-12-31,-2728.508830857054,3050.725828667501,0.0,13663.851623318737,322.2169978104474,13986.068621129185
2024-01-31,-168.23512031542785,4541.195178326046,0.0,14595.257338538413,4372.960058010618,18968.21739654903
2024-02-29,-1900.6100887926368,3281.9603730373583,0.0,14672.128443963182,1381.3502842447213,16053.478728207903
2024-03-31,-1094.881741102314,18783.693626796834,357.07374778999156,-1325.264789222845,17688.81188569452,16720.620844261663
2024-04-30,3970.745589259908,1769.5190242640908,956.1415166958242,18315.469913364268,5740.264613523998,25011.876043584092
2024-05-31,4028.9515262798636,102.75685597269624,1099.7550443686007,18209.535772696247,4131.708382252559,23440.999199317408
2024-06-30,2797.218804119028,839.2193889603999,48.91646853941093,17858.88934277277,3636.438193079428,21544.24400439161
2024-07-31,2747.9999726314218,0.0,0.0,13939.449534135947,2747.9999726314218,16687.44950676737
2024-08-31,2938.9840534197588,1183.8554456861868,900.4457541350022,25741.932134778723,4122.839499105946,30765.217388019675
2024-09-30,897.5028643711,641.0102269002331,647.7901466055184,23651.064304488384,1538.513091271333,25837.367542365235
2024-10-31,1053.8404379529325,6449.298816735152,485.41050504295856,6720.8007691445655,7503.139254688084,14709.35052887561
2024-11-30,-3372.026790518608,10030.856456933645,1313.0407353363023,5447.339343021059,6658.8296664150375,13419.209744772399
2024-12-31,-3226.43,11941.002,1639.278,7993.404999999999,8714.572,18347.254999999997
