hour,solar,wind_offshore,wind_onshore,load,hour_of_day
2017-01-01 00:00:00,0.0,873.501,1410.959,43176.0,0
2017-01-01 01:00:00,0.0,883.749,1496.816,41278.0,1
2017-01-01 02:00:00,0.0,872.5,1574.779,39721.0,2
2017-01-01 03:00:00,0.0,889.75,1520.823,38717.0,3
2017-01-01 04:00:00,0.0,893.251,1604.193,38606.0,4
2017-01-01 05:00:00,0.0,896.751,1543.655,39134.0,5
2017-01-01 06:00:00,0.0,895.25,1574.854,40468.0,6
2017-01-01 07:00:00,0.0,894.0,1624.52,41857.0,7
2017-01-01 08:00:00,13.851,887.251,1678.644,43410.0,8
2017-01-01 09:00:00,69.737,890.0,1857.474,46219.0,9
2017-01-01 10:00:00,123.653,881.751,1889.774,48543.0,10
2017-01-01 11:00:00,152.417,830.751,1798.489,50098.0,11
2017-01-01 12:00:00,137.594,761.25,1796.714,50610.0,12
2017-01-01 13:00:00,84.938,560.751,1801.577,50777.0,13
2017-01-01 14:00:00,41.688,485.751,1822.326,50911.0,14
2017-01-01 15:00:00,5.8,445.25,1806.963,52650.0,15
2017-01-01 16:00:00,0.0,476.001,1629.613,56439.0,16
2017-01-01 17:00:00,0.0,284.0,1271.117,56489.0,17
2017-01-01 18:00:00,0.0,281.75,914.158,55413.0,18
2017-01-01 19:00:00,0.0,442.25,624.412,53793.0,19
2017-01-01 20:00:00,0.0,473.501,426.862,51261.0,20
2017-01-01 21:00:00,0.0,515.251,248.531,48512.0,21
2017-01-01 22:00:00,0.0,654.0,167.168,45149.0,22
2017-01-01 23:00:00,0.0,729.5,150.504,42213.0,23
2017-01-02 00:00:00,0.0,785.75,196.747,40357.0,0
2017-01-02 01:00:00,0.0,770.75,240.299,39374.0,1
2017-01-02 02:00:00,0.0,879.5,264.04,38992.0,2
2017-01-02 03:00:00,0.0,860.751,283.607,39489.0,3
2017-01-02 04:00:00,0.0,846.499,331.691,41601.0,4
2017-01-02 05:00:00,0.0,853.75,343.519,46776.0,5
2017-01-02 06:00:00,0.0,860.251,415.744,53983.0,6
2017-01-02 07:00:00,0.0,872.75,665.778,60135.0,7
2017-01-02 08:00:00,40.816,761.001,674.299,62983.0,8
2017-01-02 09:00:00,191.55,765.501,420.986,63924.0,9
2017-01-02 10:00:00,361.693,766.25,368.675,63735.0,10
2017-01-02 11:00:00,484.091,769.749,538.458,63312.0,11
2017-01-02 12:00:00,413.445,706.25,685.653,63610.0,12
2017-01-02 13:00:00,332.073,655.5,618.811,63546.0,13
2017-01-02 14:00:00,170.668,566.001,529.281,63809.0,14
2017-01-02 15:00:00,32.966,772.25,419.507,65566.0,15
2017-01-02 16:00:00,0.0,835.5,428.361,70140.0,16
2017-01-02 17:00:00,0.0,699.25,424.657,67170.0,17
2017-01-02 18:00:00,0.0,677.249,393.275,64650.0,18
2017-01-02 19:00:00,0.0,723.5,318.424,61587.0,19
2017-01-02 20:00:00,0.0,709.5,292.942,57794.0,20
2017-01-02 21:00:00,0.0,692.751,346.886,53617.0,21
2017-01-02 22:00:00,0.0,689.25,329.714,49858.0,22
2017-01-02 23:00:00,0.0,664.001,379.555,46295.0,23
2017-01-03 00:00:00,0.0,698.251,445.535,43755.0,0
2017-01-03 01:00:00,0.0,706.0,495.508,42402.0,1
2017-01-03 02:00:00,0.0,724.751,586.168,41808.0,2
2017-01-03 03:00:00,0.0,760.5,589.666,42180.0,3
2017-01-03 04:00:00,0.0,826.001,572.008,44004.0,4
2017-01-03 05:00:00,0.0,850.75,628.22,49090.0,5
2017-01-03 06:00:00,0.0,858.501,827.812,56638.0,6
2017-01-03 07:00:00,0.0,860.25,1017.042,62872.0,7
2017-01-03 08:00:00,30.183,846.0,1240.631,65580.0,8
2017-01-03 09:00:00,168.534,880.25,1516.5,66400.0,9
2017-01-03 10:00:00,255.856,872.5,1775.226,66920.0,10
2017-01-03 11:00:00,216.38,874.998,1911.832,67226.0,11
2017-01-03 12:00:00,173.968,879.0,2202.423,67179.0,12
2017-01-03 13:00:00,113.492,882.75,2314.26,67275.0,13
2017-01-03 14:00:00,57.711,888.0,2280.355,67074.0,14
2017-01-03 15:00:00,9.544,893.499,2450.737,68581.0,15
2017-01-03 16:00:00,0.0,895.251,2467.713,71663.0,16
2017-01-03 17:00:00,0.0,894.25,2439.382,67831.0,17
2017-01-03 18:00:00,0.0,895.249,2324.181,65220.0,18
2017-01-03 19:00:00,0.0,895.002,2327.74,61875.0,19
2017-01-03 20:00:00,0.0,894.751,2486.133,58020.0,20
2017-01-03 21:00:00,0.0,894.5,2461.607,53722.0,21
2017-01-03 22:00:00,0.0,895.001,2413.379,49845.0,22
2017-01-03 23:00:00,0.0,895.251,2517.996,46329.0,23
2017-01-04 00:00:00,0.0,888.751,2558.32,44007.0,0
2017-01-04 01:00:00,0.0,879.498,2609.517,42526.0,1
2017-01-04 02:00:00,0.0,887.249,2599.919,41910.0,2
2017-01-04 03:00:00,0.0,885.249,2629.321,42073.0,3
2017-01-04 04:00:00,0.0,876.75,2507.124,43976.0,4
2017-01-04 05:00:00,0.0,879.251,2250.65,49131.0,5
2017-01-04 06:00:00,0.0,891.999,2163.259,56447.0,6
2017-01-04 07:00:00,0.0,886.0,2348.411,62979.0,7
2017-01-04 08:00:00,23.649,881.749,2208.139,65853.0,8
2017-01-04 09:00:00,132.343,891.252,2253.121,66659.0,9
2017-01-04 10:00:00,270.526,871.5,2259.268,66534.0,10
2017-01-04 11:00:00,371.009,895.002,2598.583,66077.0,11
2017-01-04 12:00:00,388.61,894.25,2720.385,65868.0,12
2017-01-04 13:00:00,320.185,886.751,2768.465,65784.0,13
2017-01-04 14:00:00,186.636,889.75,2592.013,65951.0,14
2017-01-04 15:00:00,31.758,886.251,2342.576,67394.0,15
2017-01-04 16:00:00,0.0,888.5,1990.849,71595.0,16
2017-01-04 17:00:00,0.0,890.501,1825.424,68421.0,17
2017-01-04 18:00:00,0.0,891.751,1741.881,65798.0,18
2017-01-04 19:00:00,0.0,881.499,1517.231,62373.0,19
2017-01-04 20:00:00,0.0,853.0,1008.39,58367.0,20
2017-01-04 21:00:00,0.0,833.499,577.609,54015.0,21
2017-01-04 22:00:00,0.0,869.501,486.84,50409.0,22
2017-01-04 23:00:00,0.0,789.75,556.504,47026.0,23
2017-01-05 00:00:00,0.0,811.25,515.152,44600.0,0
2017-01-05 01:00:00,0.0,547.5,577.7,43263.0,1
2017-01-05 02:00:00,0.0,685.749,434.022,42594.0,2
2017-01-05 03:00:00,0.0,734.75,332.692,43007.0,3
2017-01-05 04:00:00,0.0,653.5,254.688,45011.0,4
2017-01-05 05:00:00,0.0,680.5,186.405,50285.0,5
2017-01-05 06:00:00,0.0,552.25,107.372,57873.0,6
2017-01-05 07:00:00,0.0,489.25,78.617,64266.0,7
2017-01-05 08:00:00,59.049,463.25,66.508,66255.0,8
2017-01-05 09:00:00,279.821,464.0,77.726,66299.0,9
2017-01-05 10:00:00,457.064,354.252,150.554,65207.0,10
2017-01-05 11:00:00,577.026,336.75,284.608,63676.0,11
2017-01-05 12:00:00,552.774,241.249,474.331,63402.0,12
2017-01-05 13:00:00,456.851,211.0,523.451,63204.0,13
2017-01-05 14:00:00,266.858,151.25,489.516,64054.0,14
2017-01-05 15:00:00,51.016,182.75,300.049,66032.0,15
2017-01-05 16:00:00,0.0,165.999,115.441,70825.0,16
2017-01-05 17:00:00,0.0,141.25,80.257,68874.0,17
2017-01-05 18:00:00,0.0,109.751,63.246,66447.0,18
2017-01-05 19:00:00,0.0,47.001,61.995,63260.0,19
2017-01-05 20:00:00,0.0,24.0,56.267,59314.0,20
2017-01-05 21:00:00,0.0,34.749,51.26,54751.0,21
2017-01-05 22:00:00,0.0,59.001,72.194,50953.0,22
2017-01-05 23:00:00,0.0,76.75,88.316,47408.0,23
2017-01-06 00:00:00,0.0,143.001,93.094,45148.0,0
2017-01-06 01:00:00,0.0,220.75,127.192,43902.0,1
2017-01-06 02:00:00,0.0,283.0,112.239,43424.0,2
2017-01-06 03:00:00,0.0,290.249,69.135,43691.0,3
2017-01-06 04:00:00,0.0,273.5,84.77,45656.0,4
2017-01-06 05:00:00,0.0,306.5,46.638,50638.0,5
2017-01-06 06:00:00,0.0,317.5,83.144,58066.0,6
2017-01-06 07:00:00,0.0,264.75,128.245,64356.0,7
2017-01-06 08:00:00,61.364,297.75,150.009,66940.0,8
2017-01-06 09:00:00,320.326,464.25,146.687,67168.0,9
2017-01-06 10:00:00,548.311,518.499,272.163,66719.0,10
2017-01-06 11:00:00,639.956,517.25,376.611,65460.0,11
2017-01-06 12:00:00,637.569,525.751,496.793,64937.0,12
2017-01-06 13:00:00,462.619,570.0,535.297,64767.0,13
2017-01-06 14:00:00,262.642,628.0,426.533,65266.0,14
2017-01-06 15:00:00,41.91,673.5,333.001,66701.0,15
2017-01-06 16:00:00,0.0,702.499,366.463,71286.0,16
2017-01-06 17:00:00,0.0,799.249,541.275,68753.0,17
2017-01-06 18:00:00,0.0,859.25,688.377,65873.0,18
2017-01-06 19:00:00,0.0,886.25,831.804,62217.0,19
2017-01-06 20:00:00,0.0,887.25,1011.894,57714.0,20
2017-01-06 21:00:00,0.0,880.501,1000.013,53974.0,21
2017-01-06 22:00:00,0.0,884.501,1081.797,50702.0,22
2017-01-06 23:00:00,0.0,879.0,1161.861,47516.0,23
2017-01-07 00:00:00,0.0,883.75,1158.086,44923.0,0
2017-01-07 01:00:00,0.0,889.25,1349.522,43524.0,1
2017-01-07 02:00:00,0.0,889.002,1525.789,42761.0,2
2017-01-07 03:00:00,0.0,889.251,1559.25,42469.0,3
2017-01-07 04:00:00,0.0,887.249,1579.114,42947.0,4
2017-01-07 05:00:00,0.0,881.75,1610.189,44832.0,5
2017-01-07 06:00:00,0.0,832.5,1594.412,48354.0,6
2017-01-07 07:00:00,0.0,734.25,1596.123,53138.0,7
2017-01-07 08:00:00,8.385,578.75,1562.858,57506.0,8
2017-01-07 09:00:00,49.657,209.499,1476.532,60337.0,9
2017-01-07 10:00:00,91.413,155.25,1244.815,61543.0,10
2017-01-07 11:00:00,111.601,211.25,943.6,61662.0,11
2017-01-07 12:00:00,118.306,175.0,717.418,60983.0,12
2017-01-07 13:00:00,101.635,281.251,661.038,60267.0,13
2017-01-07 14:00:00,60.888,374.751,515.733,59734.0,14
2017-01-07 15:00:00,14.424,415.251,341.095,60504.0,15
2017-01-07 16:00:00,0.0,516.5,221.81,64227.0,16
2017-01-07 17:00:00,0.0,413.001,191.675,62252.0,17
2017-01-07 18:00:00,0.0,464.751,128.285,59883.0,18
2017-01-07 19:00:00,0.0,455.25,104.806,56997.0,19
2017-01-07 20:00:00,0.0,376.0,106.41,53563.0,20
2017-01-07 21:00:00,0.0,413.0,108.914,50629.0,21
2017-01-07 22:00:00,0.0,341.0,99.484,47471.0,22
2017-01-07 23:00:00,0.0,339.5,127.837,44513.0,23
2017-01-08 00:00:00,0.0,298.5,122.176,42375.0,0
2017-01-08 01:00:00,0.0,290.001,84.752,40720.0,1
2017-01-08 02:00:00,0.0,264.999,59.952,39773.0,2
2017-01-08 03:00:00,0.0,185.751,64.071,39551.0,3
2017-01-08 04:00:00,0.0,174.001,35.727,39969.0,4
2017-01-08 05:00:00,0.0,150.001,18.639,41284.0,5
2017-01-08 06:00:00,0.0,101.25,9.919,43301.0,6
2017-01-08 07:00:00,0.0,62.75,6.048,46296.0,7
2017-01-08 08:00:00,28.714,67.251,5.765,49192.0,8
2017-01-08 09:00:00,114.101,85.5,6.63,51558.0,9
2017-01-08 10:00:00,184.877,49.001,5.665,53201.0,10
2017-01-08 11:00:00,222.724,5.251,0.0,54374.0,11
2017-01-08 12:00:00,202.403,2.499,0.0,54475.0,12
2017-01-08 13:00:00,155.743,2.25,0.0,54102.0,13
2017-01-08 14:00:00,84.931,0.0,0.0,53859.0,14
2017-01-08 15:00:00,13.437,0.0,0.0,55487.0,15
2017-01-08 16:00:00,0.0,0.0,0.0,60553.0,16
2017-01-08 17:00:00,0.0,0.0,0.0,59974.0,17
2017-01-08 18:00:00,0.0,0.0,0.0,58331.0,18
2017-01-08 19:00:00,0.0,2.0,15.925,55922.0,19
2017-01-08 20:00:00,0.0,31.501,1.785,53077.0,20
2017-01-08 21:00:00,0.0,89.0,0.0,49735.0,21
2017-01-08 22:00:00,0.0,125.25,8.712,46009.0,22
2017-01-08 23:00:00,0.0,166.75,25.175,43246.0,23
2017-01-09 00:00:00,0.0,218.5,27.608,41713.0,0
2017-01-09 01:00:00,0.0,205.25,50.963,40878.0,1
2017-01-09 02:00:00,0.0,270.499,40.494,40514.0,2
2017-01-09 03:00:00,0.0,334.749,68.151,41065.0,3
2017-01-09 04:00:00,0.0,437.25,84.208,43531.0,4
2017-01-09 05:00:00,0.0,521.5,180.658,49974.0,5
2017-01-09 06:00:00,0.0,598.0,193.443,59519.0,6
2017-01-09 07:00:00,0.0,643.0,243.676,66213.0,7
2017-01-09 08:00:00,14.254,693.75,364.786,68187.0,8
2017-01-09 09:00:00,70.009,705.25,498.658,68512.0,9
2017-01-09 10:00:00,132.895,752.25,657.925,68637.0,10
2017-01-09 11:00:00,179.675,821.0,907.884,68234.0,11
2017-01-09 12:00:00,163.868,871.251,1133.083,68825.0,12
2017-01-09 13:00:00,112.753,892.251,1199.786,68392.0,13
2017-01-09 14:00:00,58.476,892.0,1302.27,68390.0,14
2017-01-09 15:00:00,9.681,889.249,1472.961,69530.0,15
2017-01-09 16:00:00,0.0,887.25,1666.175,72262.0,16
2017-01-09 17:00:00,0.0,895.75,1776.386,69263.0,17
2017-01-09 18:00:00,0.0,897.001,2051.806,66564.0,18
2017-01-09 19:00:00,0.0,893.001,2145.397,62777.0,19
2017-01-09 20:00:00,0.0,883.249,2126.931,58592.0,20
2017-01-09 21:00:00,0.0,885.252,2244.869,54137.0,21
2017-01-09 22:00:00,0.0,805.25,2284.54,50422.0,22
2017-01-09 23:00:00,0.0,534.5,2192.918,46854.0,23
2017-01-10 00:00:00,0.0,630.25,1940.636,44736.0,0
2017-01-10 01:00:00,0.0,515.001,1676.93,43595.0,1
2017-01-10 02:00:00,0.0,447.251,1331.037,43001.0,2
2017-01-10 03:00:00,0.0,220.5,691.458,43090.0,3
2017-01-10 04:00:00,0.0,198.499,484.595,45194.0,4
2017-01-10 05:00:00,0.0,249.499,409.689,51263.0,5
2017-01-10 06:00:00,0.0,212.25,288.827,60741.0,6
2017-01-10 07:00:00,0.0,177.0,142.001,66706.0,7
2017-01-10 08:00:00,30.054,96.251,131.286,68078.0,8
2017-01-10 09:00:00,173.843,108.501,103.487,67812.0,9
2017-01-10 10:00:00,279.406,211.5,215.649,67478.0,10
2017-01-10 11:00:00,312.61,264.25,274.828,66641.0,11
2017-01-10 12:00:00,348.695,280.75,266.653,66555.0,12
2017-01-10 13:00:00,273.928,262.751,315.438,66307.0,13
2017-01-10 14:00:00,147.419,230.0,295.723,66361.0,14
2017-01-10 15:00:00,29.601,240.499,248.752,67559.0,15
2017-01-10 16:00:00,0.0,298.001,175.164,71432.0,16
2017-01-10 17:00:00,0.0,311.499,186.981,68963.0,17
2017-01-10 18:00:00,0.0,399.25,230.764,66566.0,18
2017-01-10 19:00:00,0.0,466.25,388.295,62922.0,19
2017-01-10 20:00:00,0.0,465.25,448.159,58824.0,20
2017-01-10 21:00:00,0.0,478.5,435.99,54144.0,21
2017-01-10 22:00:00,0.0,526.751,440.893,50197.0,22
2017-01-10 23:00:00,0.0,603.25,627.58,46572.0,23
2017-01-11 00:00:00,0.0,719.25,877.474,44165.0,0
2017-01-11 01:00:00,0.0,816.249,1067.008,42898.0,1
2017-01-11 02:00:00,0.0,873.75,1389.859,42392.0,2
2017-01-11 03:00:00,0.0,863.75,1836.389,42762.0,3
2017-01-11 04:00:00,0.0,878.499,2154.032,45016.0,4
2017-01-11 05:00:00,0.0,852.251,2512.425,51019.0,5
2017-01-11 06:00:00,0.0,869.25,2699.288,60486.0,6
2017-01-11 07:00:00,0.0,884.5,2768.08,67139.0,7
2017-01-11 08:00:00,5.748,885.999,2820.873,69255.0,8
2017-01-11 09:00:00,46.661,887.0,2877.705,69658.0,9
2017-01-11 10:00:00,140.416,886.5,2865.358,69184.0,10
2017-01-11 11:00:00,307.812,888.0,2869.978,67542.0,11
2017-01-11 12:00:00,366.228,888.0,2877.051,66965.0,12
2017-01-11 13:00:00,329.666,887.499,2911.736,67092.0,13
2017-01-11 14:00:00,171.946,883.5,2906.089,67367.0,14
2017-01-11 15:00:00,49.31,883.251,2881.333,68219.0,15
2017-01-11 16:00:00,0.322,881.249,2816.569,72448.0,16
2017-01-11 17:00:00,0.0,878.25,2777.895,69823.0,17
2017-01-11 18:00:00,0.0,876.5,2786.154,66950.0,18
2017-01-11 19:00:00,0.0,878.249,2812.961,63308.0,19
2017-01-11 20:00:00,0.0,883.75,2787.537,59375.0,20
2017-01-11 21:00:00,0.0,880.75,2763.443,54306.0,21
2017-01-11 22:00:00,0.0,800.25,2701.811,50317.0,22
2017-01-11 23:00:00,0.0,875.25,2651.333,46701.0,23
2017-01-12 00:00:00,0.0,874.5,2712.063,44241.0,0
2017-01-12 01:00:00,0.0,838.998,2575.833,43039.0,1
2017-01-12 02:00:00,0.0,838.998,2558.882,42550.0,2
2017-01-12 03:00:00,0.0,838.998,2506.494,42837.0,3
2017-01-12 04:00:00,0.0,838.998,2476.858,44784.0,4
2017-01-12 05:00:00,0.0,840.249,2368.49,51142.0,5
2017-01-12 06:00:00,0.0,880.25,2342.127,60853.0,6
2017-01-12 07:00:00,0.0,882.999,2262.737,66960.0,7
2017-01-12 08:00:00,40.975,881.499,2092.62,67964.0,8
2017-01-12 09:00:00,195.975,883.25,2032.426,67717.0,9
2017-01-12 10:00:00,338.386,882.25,2205.035,67582.0,10
2017-01-12 11:00:00,406.675,878.249,2357.063,66452.0,11
2017-01-12 12:00:00,348.336,849.25,2164.265,67116.0,12
2017-01-12 13:00:00,207.27,773.251,1838.457,67461.0,13
2017-01-12 14:00:00,103.88,648.252,1431.252,67728.0,14
2017-01-12 15:00:00,14.398,649.5,923.372,68972.0,15
2017-01-12 16:00:00,0.0,551.5,498.78,72004.0,16
2017-01-12 17:00:00,0.0,379.0,340.655,69433.0,17
2017-01-12 18:00:00,0.0,137.75,447.552,67467.0,18
2017-01-12 19:00:00,0.0,81.0,469.332,64196.0,19
2017-01-12 20:00:00,0.0,33.75,437.135,59816.0,20
2017-01-12 21:00:00,0.0,173.0,345.446,55323.0,21
2017-01-12 22:00:00,0.0,369.0,558.398,51682.0,22
2017-01-12 23:00:00,0.0,486.5,1019.18,48041.0,23
2017-01-13 00:00:00,0.0,648.75,1540.106,45685.0,0
2017-01-13 01:00:00,0.0,826.25,2172.044,44623.0,1
2017-01-13 02:00:00,0.0,852.75,2586.533,44401.0,2
2017-01-13 03:00:00,0.0,796.251,2482.37,44393.0,3
2017-01-13 04:00:00,0.0,726.25,2066.568,46301.0,4
2017-01-13 05:00:00,0.0,764.5,1865.824,51985.0,5
2017-01-13 06:00:00,0.0,772.25,1615.809,61327.0,6
2017-01-13 07:00:00,0.0,765.001,1607.222,67843.0,7
2017-01-13 08:00:00,25.513,817.75,1387.313,70423.0,8
2017-01-13 09:00:00,131.634,853.749,1117.06,71092.0,9
2017-01-13 10:00:00,307.683,857.25,1200.037,70171.0,10
2017-01-13 11:00:00,528.477,846.249,1429.037,68039.0,11
2017-01-13 12:00:00,574.479,859.749,1705.793,67702.0,12
2017-01-13 13:00:00,380.275,848.75,1753.977,67892.0,13
2017-01-13 14:00:00,165.535,789.501,1654.476,68039.0,14
2017-01-13 15:00:00,23.683,818.75,1621.171,69291.0,15
2017-01-13 16:00:00,0.0,866.25,1980.542,72881.0,16
2017-01-13 17:00:00,0.0,840.249,2166.289,69709.0,17
2017-01-13 18:00:00,0.0,751.0,2240.696,66403.0,18
2017-01-13 19:00:00,0.0,693.75,2607.923,62497.0,19
2017-01-13 20:00:00,0.0,737.0,2742.122,58013.0,20
2017-01-13 21:00:00,0.0,768.0,2772.781,54003.0,21
2017-01-13 22:00:00,0.0,783.751,2759.645,50937.0,22
2017-01-13 23:00:00,0.0,840.0,2742.502,47536.0,23
2017-01-14 00:00:00,0.0,863.0,2683.813,44985.0,0
2017-01-14 01:00:00,0.0,851.5,2554.399,43089.0,1
2017-01-14 02:00:00,0.0,860.5,2387.135,42271.0,2
2017-01-14 03:00:00,0.0,853.75,2214.566,42338.0,3
2017-01-14 04:00:00,0.0,859.248,2064.989,43005.0,4
2017-01-14 05:00:00,0.0,845.75,1988.122,45031.0,5
2017-01-14 06:00:00,0.0,815.001,1618.186,48906.0,6
2017-01-14 07:00:00,0.229,817.501,1090.29,53570.0,7
