Date,Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rf_Gc_Ba).1,Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Rf_Gc_Ba).2,Total Revenue Forecast (Rc_Gc_Bd).1,Total Revenue Forecast (Rf_Ga_Bc).1,Total Revenue Forecast (Ra_Gc_Bc).1,Total Revenue Forecast (Rf_Gc_Be).1,Total Revenue Forecast (Rd_Gc_Bf).1,Total Revenue Forecast (Rd_Gb_Ba).1,Total Revenue Forecast (Rb_Ga_Bc).1,Total Revenue Forecast (Rf_Gc_Ba).3,Total Revenue Forecast (Re_Gb_Be).1,Total Revenue Forecast (Rf_Gc_Ba).4,Total Revenue Forecast (Rc_Gc_Bd).2,Total Revenue Forecast (Rf_Ga_Bc).2,Total Revenue Forecast (Ra_Gc_Bc).2,Total Revenue Forecast (Rf_Gc_Be).2,Total Revenue Forecast (Rd_Gc_Bf).2,Total Revenue Forecast (Rd_Gb_Ba).2,Total Revenue Forecast (Rb_Ga_Bc).2,Total Revenue Forecast (Rf_Gc_Ba).5,Total Revenue Forecast (Re_Gb_Be).2,Total Revenue Forecast (Rf_Gc_Ba).6,Total Revenue Forecast (Rc_Gc_Bd).3,Total Revenue Forecast (Rf_Ga_Bc).3,Total Revenue Forecast (Ra_Gc_Bc).3,Total Revenue Forecast (Rf_Gc_Be).3,Total Revenue Forecast (Rd_Gc_Bf).3,Total Revenue Forecast (Rd_Gb_Ba).3,Total Revenue Forecast (Rb_Ga_Bc).3,Total Revenue Forecast (Rf_Gc_Ba).7,Total Revenue Forecast (Re_Gb_Be).3,Total Revenue Forecast (Rf_Gc_Ba).8,Total Revenue Forecast (Rc_Gc_Bd).4,Total Revenue Forecast (Rf_Ga_Bc).4,Total Revenue Forecast (Ra_Gc_Bc).4,Total Revenue Forecast (Rf_Gc_Be).4,Total Revenue Forecast (Rd_Gc_Bf).4,Total Revenue Forecast (Rd_Gb_Ba).4,Total Revenue Forecast (Rb_Ga_Bc).4,Total Revenue Forecast (Rf_Gc_Ba).9,Total Revenue Forecast (Re_Gb_Be).4,Total Revenue Forecast (Rf_Gc_Ba).10,Total Revenue Forecast (Rc_Gc_Bd).5,Total Revenue Forecast (Rf_Ga_Bc).5,Total Revenue Forecast (Ra_Gc_Bc).5,Total Revenue Forecast (Rf_Gc_Be).5,Total Revenue Forecast (Rd_Gc_Bf).5,Total Revenue Forecast (Rd_Gb_Ba).5,Total Revenue Forecast (Rb_Ga_Bc).5,Total Revenue Forecast (Rf_Gc_Ba).11,Total Revenue Forecast (Re_Gb_Be).5,Total Revenue Forecast (Rf_Gc_Ba).12,Total Revenue Forecast (Rc_Gc_Bd).6,Total Revenue Forecast (Rf_Ga_Bc).6,Total Revenue Forecast (Ra_Gc_Bc).6,Total Revenue Forecast (Rf_Gc_Be).6,Total Revenue Forecast (Rd_Gc_Bf).6,Total Revenue Forecast (Rd_Gb_Ba).6,Total Revenue Forecast (Rb_Ga_Bc).6,Total Revenue Forecast (Rf_Gc_Ba).13,Total Revenue Forecast (Re_Gb_Be).6,Total Revenue Forecast (Rf_Gc_Ba).14,Total Revenue Forecast (Rc_Gc_Bd).7,Total Revenue Forecast (Rf_Ga_Bc).7,Total Revenue Forecast (Ra_Gc_Bc).7,Total Revenue Forecast (Rf_Gc_Be).7,Total Revenue Forecast (Rd_Gc_Bf).7,Total Revenue Forecast (Rd_Gb_Ba).7,Total Revenue Forecast (Rb_Ga_Bc).7,Total Revenue Forecast (Rf_Gc_Ba).15,Total Revenue Forecast (Re_Gb_Be).7,Total Revenue Forecast (Rf_Gc_Ba).16,Total Revenue Forecast (Rc_Gc_Bd).8,Total Revenue Forecast (Rf_Ga_Bc).8,Total Revenue Forecast (Ra_Gc_Bc).8,Total Revenue Forecast (Rf_Gc_Be).8,Total Revenue Forecast (Rd_Gc_Bf).8,Total Revenue Forecast (Rd_Gb_Ba).8,Total Revenue Forecast (Rb_Ga_Bc).8,Total Revenue Forecast (Rf_Gc_Ba).17,Total Revenue Forecast (Re_Gb_Be).8,Total Revenue Forecast (Rf_Gc_Ba).18,Total Revenue Forecast (Rc_Gc_Bd).9,Total Revenue Forecast (Rf_Ga_Bc).9,Total Revenue Forecast (Ra_Gc_Bc).9,Total Revenue Forecast (Rf_Gc_Be).9,Total Revenue Forecast (Rd_Gc_Bf).9,Total Revenue Forecast (Rd_Gb_Ba).9,Total Revenue Forecast (Rb_Ga_Bc).9,Total Revenue Forecast (Rf_Gc_Ba).19,Total Revenue Forecast (Re_Gb_Be).9,Total Revenue Forecast (Rf_Gc_Ba).20,Total Revenue Forecast (Rc_Gc_Bd).10,Total Revenue Forecast (Rf_Ga_Bc).10,Total Revenue Forecast (Ra_Gc_Bc).10,Total Revenue Forecast (Rf_Gc_Be).10,Total Revenue Forecast (Rd_Gc_Bf).10,Total Revenue Forecast (Rd_Gb_Ba).10,Total Revenue Forecast (Rb_Ga_Bc).10,Total Revenue Forecast (Rf_Gc_Ba).21,Total Revenue Forecast (Re_Gb_Be).10,Total Revenue Forecast (Rf_Gc_Ba).22,Total Revenue Forecast (Rc_Gc_Bd).11,Total Revenue Forecast (Rf_Ga_Bc).11,Total Revenue Forecast (Ra_Gc_Bc).11,Total Revenue Forecast (Rf_Gc_Be).11,Total Revenue Forecast (Rd_Gc_Bf).11,Total Revenue Forecast (Rd_Gb_Ba).11,Total Revenue Forecast (Rb_Ga_Bc).11,Total Revenue Forecast (Rf_Gc_Ba).23,Total Revenue Forecast (Re_Gb_Be).11,Total Revenue Forecast (Rf_Gc_Ba).24,Total Revenue Forecast (Rc_Gc_Bd).12,Total Revenue Forecast (Rf_Ga_Bc).12,Total Revenue Forecast (Ra_Gc_Bc).12,Total Revenue Forecast (Rf_Gc_Be).12,Total Revenue Forecast (Rd_Gc_Bf).12,Total Revenue Forecast (Rd_Gb_Ba).12,Total Revenue Forecast (Rb_Ga_Bc).12,Total Revenue Forecast (Rf_Gc_Ba).25,Total Revenue Forecast (Re_Gb_Be).12,Total Revenue Forecast (Rf_Gc_Ba).26,Total Revenue Forecast (Rc_Gc_Bd).13,Total Revenue Forecast (Rf_Ga_Bc).13,Total Revenue Forecast (Ra_Gc_Bc).13,Total Revenue Forecast (Rf_Gc_Be).13,Total Revenue Forecast (Rd_Gc_Bf).13,Total Revenue Forecast (Rd_Gb_Ba).13,Total Revenue Forecast (Rb_Ga_Bc).13,Total Revenue Forecast (Rf_Gc_Ba).27,Total Revenue Forecast (Re_Gb_Be).13,Total Revenue Forecast (Rf_Gc_Ba).28,Total Revenue Forecast (Rc_Gc_Bd).14,Total Revenue Forecast (Rf_Ga_Bc).14,Total Revenue Forecast (Ra_Gc_Bc).14,Total Revenue Forecast (Rf_Gc_Be).14,Total Revenue Forecast (Rd_Gc_Bf).14,Total Revenue Forecast (Rd_Gb_Ba).14,Total Revenue Forecast (Rb_Ga_Bc).14,Total Revenue Forecast (Rf_Gc_Ba).29,Total Revenue Forecast (Re_Gb_Be).14,Total Revenue Forecast (Rf_Gc_Ba).30,Total Revenue Forecast (Rc_Gc_Bd).15,Total Revenue Forecast (Rf_Ga_Bc).15,Total Revenue Forecast (Ra_Gc_Bc).15,Total Revenue Forecast (Rf_Gc_Be).15,Total Revenue Forecast (Rd_Gc_Bf).15,Total Revenue Forecast (Rd_Gb_Ba).15,Total Revenue Forecast (Rb_Ga_Bc).15,Total Revenue Forecast (Rf_Gc_Ba).31,Total Revenue Forecast (Re_Gb_Be).15,Total Revenue Forecast (Rf_Gc_Ba).32,Total Revenue Forecast (Rc_Gc_Bd).16,Total Revenue Forecast (Rf_Ga_Bc).16,Total Revenue Forecast (Ra_Gc_Bc).16,Total Revenue Forecast (Rf_Gc_Be).16,Total Revenue Forecast (Rd_Gc_Bf).16,Total Revenue Forecast (Rd_Gb_Ba).16,Total Revenue Forecast (Rb_Ga_Bc).16,Total Revenue Forecast (Rf_Gc_Ba).33,Total Revenue Forecast (Re_Gb_Be).16,Total Revenue Forecast (Rf_Gc_Ba).34,Total Revenue Forecast (Rc_Gc_Bd).17,Total Revenue Forecast (Rf_Ga_Bc).17,Total Revenue Forecast (Ra_Gc_Bc).17,Total Revenue Forecast (Rf_Gc_Be).17,Total Revenue Forecast (Rd_Gc_Bf).17,Total Revenue Forecast (Rd_Gb_Ba).17,Total Revenue Forecast (Rb_Ga_Bc).17,Total Revenue Forecast (Rf_Gc_Ba).35,Total Revenue Forecast (Re_Gb_Be).17,Total Revenue Forecast (Rf_Gc_Ba).36,Total Revenue Forecast (Rc_Gc_Bd).18,Total Revenue Forecast (Rf_Ga_Bc).18,Total Revenue Forecast (Ra_Gc_Bc).18,Total Revenue Forecast (Rf_Gc_Be).18,Total Revenue Forecast (Rd_Gc_Bf).18,Total Revenue Forecast (Rd_Gb_Ba).18,Total Revenue Forecast (Rb_Ga_Bc).18,Total Revenue Forecast (Rf_Gc_Ba).37,Total Revenue Forecast (Re_Gb_Be).18,Total Revenue Forecast (Rf_Gc_Ba).38,Total Revenue Forecast (Rc_Gc_Bd).19,Total Revenue Forecast (Rf_Ga_Bc).19,Total Revenue Forecast (Ra_Gc_Bc).19,Total Revenue Forecast (Rf_Gc_Be).19,Total Revenue Forecast (Rd_Gc_Bf).19,Total Revenue Forecast (Rd_Gb_Ba).19,Total Revenue Forecast (Rb_Ga_Bc).19,Total Revenue Forecast (Rf_Gc_Ba).39,Total Revenue Forecast (Re_Gb_Be).19,Total Revenue Forecast (Rf_Gc_Ba).40,Total Revenue Forecast (Rc_Gc_Bd).20,Total Revenue Forecast (Rf_Ga_Bc).20,Total Revenue Forecast (Ra_Gc_Bc).20,Total Revenue Forecast (Rf_Gc_Be).20,Total Revenue Forecast (Rd_Gc_Bf).20,Total Revenue Forecast (Rd_Gb_Ba).20,Total Revenue Forecast (Rb_Ga_Bc).20,Total Revenue Forecast (Rf_Gc_Ba).41,Total Revenue Forecast (Re_Gb_Be).20,Total Revenue Forecast (Rf_Gc_Ba).42,Total Revenue Forecast (Rc_Gc_Bd).21,Total Revenue Forecast (Rf_Ga_Bc).21,Total Revenue Forecast (Ra_Gc_Bc).21,Total Revenue Forecast (Rf_Gc_Be).21,Total Revenue Forecast (Rd_Gc_Bf).21,Total Revenue Forecast (Rd_Gb_Ba).21,Total Revenue Forecast (Rb_Ga_Bc).21,Total Revenue Forecast (Rf_Gc_Ba).43,Total Revenue Forecast (Re_Gb_Be).21,Total Revenue Forecast (Rf_Gc_Ba).44,Total Revenue Forecast (Rc_Gc_Bd).22,Total Revenue Forecast (Rf_Ga_Bc).22,Total Revenue Forecast (Ra_Gc_Bc).22,Total Revenue Forecast (Rf_Gc_Be).22,Total Revenue Forecast (Rd_Gc_Bf).22,Total Revenue Forecast (Rd_Gb_Ba).22,Total Revenue Forecast (Rb_Ga_Bc).22,Total Revenue Forecast (Rf_Gc_Ba).45,Total Revenue Forecast (Re_Gb_Be).22,Total Revenue Forecast (Rf_Gc_Ba).46,Total Revenue Forecast (Rc_Gc_Bd).23,Total Revenue Forecast (Rf_Ga_Bc).23,Total Revenue Forecast (Ra_Gc_Bc).23,Total Revenue Forecast (Rf_Gc_Be).23,Total Revenue Forecast (Rd_Gc_Bf).23,Total Revenue Forecast (Rd_Gb_Ba).23,Total Revenue Forecast (Rb_Ga_Bc).23,Total Revenue Forecast (Rf_Gc_Ba).47,Total Revenue Forecast (Re_Gb_Be).23,Total Revenue Forecast (Rf_Gc_Ba).48,Total Revenue Forecast (Rc_Gc_Bd).24,Total Revenue Forecast (Rf_Ga_Bc).24,Total Revenue Forecast (Ra_Gc_Bc).24,Total Revenue Forecast (Rf_Gc_Be).24,Total Revenue Forecast (Rd_Gc_Bf).24,Total Revenue Forecast (Rd_Gb_Ba).24,Total Revenue Forecast (Rb_Ga_Bc).24,Total Revenue Forecast (Rf_Gc_Ba).49,Total Revenue Forecast (Re_Gb_Be).24,Total Revenue Forecast (Rf_Gc_Ba).50,Total Revenue Forecast (Rc_Gc_Bd).25,Total Revenue Forecast (Rf_Ga_Bc).25,Total Revenue Forecast (Ra_Gc_Bc).25,Total Revenue Forecast (Rf_Gc_Be).25,Total Revenue Forecast (Rd_Gc_Bf).25,Total Revenue Forecast (Rd_Gb_Ba).25,Total Revenue Forecast (Rb_Ga_Bc).25,Total Revenue Forecast (Rf_Gc_Ba).51,Total Revenue Forecast (Re_Gb_Be).25,Total Revenue Forecast (Rf_Gc_Ba).52,Total Revenue Forecast (Rc_Gc_Bd).26,Total Revenue Forecast (Rf_Ga_Bc).26,Total Revenue Forecast (Ra_Gc_Bc).26,Total Revenue Forecast (Rf_Gc_Be).26,Total Revenue Forecast (Rd_Gc_Bf).26,Total Revenue Forecast (Rd_Gb_Ba).26,Total Revenue Forecast (Rb_Ga_Bc).26,Total Revenue Forecast (Rf_Gc_Ba).53,Total Revenue Forecast (Re_Gb_Be).26
2025,3.2713839428176326,3.0059444896096146,3.3543642670927247,1.8025273486523197,3.7828368470886384,3.0042758767148587,2.546930773344911,1.7840597986719937,,3.807541300570758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4.193095549679204,4.11471609648785,4.427753052680804,2.148915603096825,5.0767704555269315,4.040807950465472,3.049855292332937,2.176840115559067,,5.110673500628326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,5.000004646290397,5.007535974911783,5.18240719837073,2.917939230307192,6.051959254546824,5.074497363552502,3.795289337205954,2.898067866684498,,6.029083046937338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,5.669518594422208,5.5412849618386675,5.733399481785619,3.3999335824553207,6.493731282584686,5.507014420271105,4.367696386500557,3.39346571977775,,6.413352860178147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,6.0400629367166525,5.965097197732331,6.141708426696208,3.8520751675217255,6.768381641367295,5.769927358493875,4.788138445422386,3.8724934278266745,,6.7453190371333465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,6.378984883088166,6.009867140592269,6.711816436341482,4.270222151929705,7.038726681978524,6.0871638218343245,5.368187945017414,4.251371079059008,,7.1083598934268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,6.617620456386018,6.082441594944458,6.908300591605097,4.45736532719315,7.199737998475616,6.187134309877467,5.560232761325739,4.434486192309584,,7.139918391442097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,6.626787205322668,6.043838100994216,6.770076848380402,4.504955632611331,7.197547679999565,6.077167603566994,5.477578675693603,4.426718345617894,,7.0695170689125035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,6.7950513222832365,6.047481420564341,6.933009282609507,4.455391098309678,7.106068938840006,6.00390470708335,5.4696231956260455,4.457089063070238,,7.165828862291552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,6.894391667355195,5.98918161945974,6.9798041129599255,4.554055275707225,7.297903040901446,6.024217640882168,5.612629518054394,4.457907372245883,,7.177281051311074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,6.970933799289122,6.002015637663412,7.099838830130775,4.465228162369196,7.332382372276444,5.990883613658657,5.6074263478399144,4.602032802654296,,7.259644649488604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,6.944726087317503,5.9528083496340995,7.029881438746355,4.523769508196141,7.114315207534531,6.289336366154043,6.064488969488729,4.562558194037748,,7.37282678512132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,6.8105354096958655,5.608226095801104,6.883123739018521,4.577830289506829,6.981589725885846,6.959445656281698,6.7397431941973025,4.758322162254975,,7.700956375777185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,6.943077112925844,5.5319729265122755,6.961307507540101,4.825191677228025,7.266779200252963,7.672328333951248,7.144828691374079,4.8923391919257115,,8.128199640237073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,7.0446913342313175,5.569473120566172,7.195528537354463,4.991619447137359,7.384796330334157,8.23477806692522,7.981120884889395,5.077118612561274,,8.61200829526364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,7.264463070349528,5.642508237290254,7.392536986161502,5.366748095339811,7.648943985918272,8.926627882211568,8.53723782949879,5.451750742062514,,9.159497622223967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,7.449176463918104,5.860087687885571,7.6865361060011494,5.509642349852084,7.871032446299432,9.299149765865687,8.914670649732551,5.615354439251935,,9.50301996654786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,7.68739645092757,6.056405224662567,7.876248447251949,5.811170546054622,8.125346757387522,9.690996257170584,9.242887613514302,5.8643212782799745,,9.865314346608175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,8.054107320642046,6.270067073659497,8.142247379609667,6.009481207787992,8.4863746623148,9.991337866736247,9.41269356415338,6.052258531934839,,10.125167427611832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
