Date,Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rf_Gc_Ba).1,Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Rf_Gc_Ba).2,Total Revenue Forecast (Rc_Gc_Bd).1,Total Revenue Forecast (Rf_Ga_Bc).1,Total Revenue Forecast (Ra_Gc_Bc).1,Total Revenue Forecast (Rf_Gc_Be).1,Total Revenue Forecast (Rd_Gc_Bf).1,Total Revenue Forecast (Rd_Gb_Ba).1,Total Revenue Forecast (Rb_Ga_Bc).1,Total Revenue Forecast (Rf_Gc_Ba).3,Total Revenue Forecast (Re_Gb_Be).1,Total Revenue Forecast (Rf_Gc_Ba).4,Total Revenue Forecast (Rc_Gc_Bd).2,Total Revenue Forecast (Rf_Ga_Bc).2,Total Revenue Forecast (Ra_Gc_Bc).2,Total Revenue Forecast (Rf_Gc_Be).2,Total Revenue Forecast (Rd_Gc_Bf).2,Total Revenue Forecast (Rd_Gb_Ba).2,Total Revenue Forecast (Rb_Ga_Bc).2,Total Revenue Forecast (Rf_Gc_Ba).5,Total Revenue Forecast (Re_Gb_Be).2,Total Revenue Forecast (Rf_Gc_Ba).6,Total Revenue Forecast (Rc_Gc_Bd).3,Total Revenue Forecast (Rf_Ga_Bc).3,Total Revenue Forecast (Ra_Gc_Bc).3,Total Revenue Forecast (Rf_Gc_Be).3,Total Revenue Forecast (Rd_Gc_Bf).3,Total Revenue Forecast (Rd_Gb_Ba).3,Total Revenue Forecast (Rb_Ga_Bc).3,Total Revenue Forecast (Rf_Gc_Ba).7,Total Revenue Forecast (Re_Gb_Be).3,Total Revenue Forecast (Rf_Gc_Ba).8,Total Revenue Forecast (Rc_Gc_Bd).4,Total Revenue Forecast (Rf_Ga_Bc).4,Total Revenue Forecast (Ra_Gc_Bc).4,Total Revenue Forecast (Rf_Gc_Be).4,Total Revenue Forecast (Rd_Gc_Bf).4,Total Revenue Forecast (Rd_Gb_Ba).4,Total Revenue Forecast (Rb_Ga_Bc).4,Total Revenue Forecast (Rf_Gc_Ba).9,Total Revenue Forecast (Re_Gb_Be).4,Total Revenue Forecast (Rf_Gc_Ba).10,Total Revenue Forecast (Rc_Gc_Bd).5,Total Revenue Forecast (Rf_Ga_Bc).5,Total Revenue Forecast (Ra_Gc_Bc).5,Total Revenue Forecast (Rf_Gc_Be).5,Total Revenue Forecast (Rd_Gc_Bf).5,Total Revenue Forecast (Rd_Gb_Ba).5,Total Revenue Forecast (Rb_Ga_Bc).5,Total Revenue Forecast (Rf_Gc_Ba).11,Total Revenue Forecast (Re_Gb_Be).5,Total Revenue Forecast (Rf_Gc_Ba).12,Total Revenue Forecast (Rc_Gc_Bd).6,Total Revenue Forecast (Rf_Ga_Bc).6,Total Revenue Forecast (Ra_Gc_Bc).6,Total Revenue Forecast (Rf_Gc_Be).6,Total Revenue Forecast (Rd_Gc_Bf).6,Total Revenue Forecast (Rd_Gb_Ba).6,Total Revenue Forecast (Rb_Ga_Bc).6,Total Revenue Forecast (Rf_Gc_Ba).13,Total Revenue Forecast (Re_Gb_Be).6,Total Revenue Forecast (Rf_Gc_Ba).14,Total Revenue Forecast (Rc_Gc_Bd).7,Total Revenue Forecast (Rf_Ga_Bc).7,Total Revenue Forecast (Ra_Gc_Bc).7,Total Revenue Forecast (Rf_Gc_Be).7,Total Revenue Forecast (Rd_Gc_Bf).7,Total Revenue Forecast (Rd_Gb_Ba).7,Total Revenue Forecast (Rb_Ga_Bc).7,Total Revenue Forecast (Rf_Gc_Ba).15,Total Revenue Forecast (Re_Gb_Be).7,Total Revenue Forecast (Rf_Gc_Ba).16,Total Revenue Forecast (Rc_Gc_Bd).8,Total Revenue Forecast (Rf_Ga_Bc).8,Total Revenue Forecast (Ra_Gc_Bc).8,Total Revenue Forecast (Rf_Gc_Be).8,Total Revenue Forecast (Rd_Gc_Bf).8,Total Revenue Forecast (Rd_Gb_Ba).8,Total Revenue Forecast (Rb_Ga_Bc).8,Total Revenue Forecast (Rf_Gc_Ba).17,Total Revenue Forecast (Re_Gb_Be).8,Total Revenue Forecast (Rf_Gc_Ba).18,Total Revenue Forecast (Rc_Gc_Bd).9,Total Revenue Forecast (Rf_Ga_Bc).9,Total Revenue Forecast (Ra_Gc_Bc).9,Total Revenue Forecast (Rf_Gc_Be).9,Total Revenue Forecast (Rd_Gc_Bf).9,Total Revenue Forecast (Rd_Gb_Ba).9,Total Revenue Forecast (Rb_Ga_Bc).9,Total Revenue Forecast (Rf_Gc_Ba).19,Total Revenue Forecast (Re_Gb_Be).9,Total Revenue Forecast (Rf_Gc_Ba).20,Total Revenue Forecast (Rc_Gc_Bd).10,Total Revenue Forecast (Rf_Ga_Bc).10,Total Revenue Forecast (Ra_Gc_Bc).10,Total Revenue Forecast (Rf_Gc_Be).10,Total Revenue Forecast (Rd_Gc_Bf).10,Total Revenue Forecast (Rd_Gb_Ba).10,Total Revenue Forecast (Rb_Ga_Bc).10,Total Revenue Forecast (Rf_Gc_Ba).21,Total Revenue Forecast (Re_Gb_Be).10,Total Revenue Forecast (Rf_Gc_Ba).22,Total Revenue Forecast (Rc_Gc_Bd).11,Total Revenue Forecast (Rf_Ga_Bc).11,Total Revenue Forecast (Ra_Gc_Bc).11,Total Revenue Forecast (Rf_Gc_Be).11,Total Revenue Forecast (Rd_Gc_Bf).11,Total Revenue Forecast (Rd_Gb_Ba).11,Total Revenue Forecast (Rb_Ga_Bc).11,Total Revenue Forecast (Rf_Gc_Ba).23,Total Revenue Forecast (Re_Gb_Be).11,Total Revenue Forecast (Rf_Gc_Ba).24,Total Revenue Forecast (Rc_Gc_Bd).12,Total Revenue Forecast (Rf_Ga_Bc).12,Total Revenue Forecast (Ra_Gc_Bc).12,Total Revenue Forecast (Rf_Gc_Be).12,Total Revenue Forecast (Rd_Gc_Bf).12,Total Revenue Forecast (Rd_Gb_Ba).12,Total Revenue Forecast (Rb_Ga_Bc).12,Total Revenue Forecast (Rf_Gc_Ba).25,Total Revenue Forecast (Re_Gb_Be).12,Total Revenue Forecast (Rf_Gc_Ba).26,Total Revenue Forecast (Rc_Gc_Bd).13,Total Revenue Forecast (Rf_Ga_Bc).13,Total Revenue Forecast (Ra_Gc_Bc).13,Total Revenue Forecast (Rf_Gc_Be).13,Total Revenue Forecast (Rd_Gc_Bf).13,Total Revenue Forecast (Rd_Gb_Ba).13,Total Revenue Forecast (Rb_Ga_Bc).13,Total Revenue Forecast (Rf_Gc_Ba).27,Total Revenue Forecast (Re_Gb_Be).13,Total Revenue Forecast (Rf_Gc_Ba).28,Total Revenue Forecast (Rc_Gc_Bd).14,Total Revenue Forecast (Rf_Ga_Bc).14,Total Revenue Forecast (Ra_Gc_Bc).14,Total Revenue Forecast (Rf_Gc_Be).14,Total Revenue Forecast (Rd_Gc_Bf).14,Total Revenue Forecast (Rd_Gb_Ba).14,Total Revenue Forecast (Rb_Ga_Bc).14,Total Revenue Forecast (Rf_Gc_Ba).29,Total Revenue Forecast (Re_Gb_Be).14,Total Revenue Forecast (Rf_Gc_Ba).30,Total Revenue Forecast (Rc_Gc_Bd).15,Total Revenue Forecast (Rf_Ga_Bc).15,Total Revenue Forecast (Ra_Gc_Bc).15,Total Revenue Forecast (Rf_Gc_Be).15,Total Revenue Forecast (Rd_Gc_Bf).15,Total Revenue Forecast (Rd_Gb_Ba).15,Total Revenue Forecast (Rb_Ga_Bc).15,Total Revenue Forecast (Rf_Gc_Ba).31,Total Revenue Forecast (Re_Gb_Be).15,Total Revenue Forecast (Rf_Gc_Ba).32,Total Revenue Forecast (Rc_Gc_Bd).16,Total Revenue Forecast (Rf_Ga_Bc).16,Total Revenue Forecast (Ra_Gc_Bc).16,Total Revenue Forecast (Rf_Gc_Be).16,Total Revenue Forecast (Rd_Gc_Bf).16,Total Revenue Forecast (Rd_Gb_Ba).16,Total Revenue Forecast (Rb_Ga_Bc).16,Total Revenue Forecast (Rf_Gc_Ba).33,Total Revenue Forecast (Re_Gb_Be).16,Total Revenue Forecast (Rf_Gc_Ba).34,Total Revenue Forecast (Rc_Gc_Bd).17,Total Revenue Forecast (Rf_Ga_Bc).17,Total Revenue Forecast (Ra_Gc_Bc).17,Total Revenue Forecast (Rf_Gc_Be).17,Total Revenue Forecast (Rd_Gc_Bf).17,Total Revenue Forecast (Rd_Gb_Ba).17,Total Revenue Forecast (Rb_Ga_Bc).17,Total Revenue Forecast (Rf_Gc_Ba).35,Total Revenue Forecast (Re_Gb_Be).17,Total Revenue Forecast (Rf_Gc_Ba).36,Total Revenue Forecast (Rc_Gc_Bd).18,Total Revenue Forecast (Rf_Ga_Bc).18,Total Revenue Forecast (Ra_Gc_Bc).18,Total Revenue Forecast (Rf_Gc_Be).18,Total Revenue Forecast (Rd_Gc_Bf).18,Total Revenue Forecast (Rd_Gb_Ba).18,Total Revenue Forecast (Rb_Ga_Bc).18,Total Revenue Forecast (Rf_Gc_Ba).37,Total Revenue Forecast (Re_Gb_Be).18,Total Revenue Forecast (Rf_Gc_Ba).38,Total Revenue Forecast (Rc_Gc_Bd).19,Total Revenue Forecast (Rf_Ga_Bc).19,Total Revenue Forecast (Ra_Gc_Bc).19,Total Revenue Forecast (Rf_Gc_Be).19,Total Revenue Forecast (Rd_Gc_Bf).19,Total Revenue Forecast (Rd_Gb_Ba).19,Total Revenue Forecast (Rb_Ga_Bc).19,Total Revenue Forecast (Rf_Gc_Ba).39,Total Revenue Forecast (Re_Gb_Be).19,Total Revenue Forecast (Rf_Gc_Ba).40,Total Revenue Forecast (Rc_Gc_Bd).20,Total Revenue Forecast (Rf_Ga_Bc).20,Total Revenue Forecast (Ra_Gc_Bc).20,Total Revenue Forecast (Rf_Gc_Be).20,Total Revenue Forecast (Rd_Gc_Bf).20,Total Revenue Forecast (Rd_Gb_Ba).20,Total Revenue Forecast (Rb_Ga_Bc).20,Total Revenue Forecast (Rf_Gc_Ba).41,Total Revenue Forecast (Re_Gb_Be).20,Total Revenue Forecast (Rf_Gc_Ba).42,Total Revenue Forecast (Rc_Gc_Bd).21,Total Revenue Forecast (Rf_Ga_Bc).21,Total Revenue Forecast (Ra_Gc_Bc).21,Total Revenue Forecast (Rf_Gc_Be).21,Total Revenue Forecast (Rd_Gc_Bf).21,Total Revenue Forecast (Rd_Gb_Ba).21,Total Revenue Forecast (Rb_Ga_Bc).21,Total Revenue Forecast (Rf_Gc_Ba).43,Total Revenue Forecast (Re_Gb_Be).21,Total Revenue Forecast (Rf_Gc_Ba).44,Total Revenue Forecast (Rc_Gc_Bd).22,Total Revenue Forecast (Rf_Ga_Bc).22,Total Revenue Forecast (Ra_Gc_Bc).22,Total Revenue Forecast (Rf_Gc_Be).22,Total Revenue Forecast (Rd_Gc_Bf).22,Total Revenue Forecast (Rd_Gb_Ba).22,Total Revenue Forecast (Rb_Ga_Bc).22,Total Revenue Forecast (Rf_Gc_Ba).45,Total Revenue Forecast (Re_Gb_Be).22,Total Revenue Forecast (Rf_Gc_Ba).46,Total Revenue Forecast (Rc_Gc_Bd).23,Total Revenue Forecast (Rf_Ga_Bc).23,Total Revenue Forecast (Ra_Gc_Bc).23,Total Revenue Forecast (Rf_Gc_Be).23,Total Revenue Forecast (Rd_Gc_Bf).23,Total Revenue Forecast (Rd_Gb_Ba).23,Total Revenue Forecast (Rb_Ga_Bc).23,Total Revenue Forecast (Rf_Gc_Ba).47,Total Revenue Forecast (Re_Gb_Be).23,Total Revenue Forecast (Rf_Gc_Ba).48,Total Revenue Forecast (Rc_Gc_Bd).24,Total Revenue Forecast (Rf_Ga_Bc).24,Total Revenue Forecast (Ra_Gc_Bc).24,Total Revenue Forecast (Rf_Gc_Be).24,Total Revenue Forecast (Rd_Gc_Bf).24,Total Revenue Forecast (Rd_Gb_Ba).24,Total Revenue Forecast (Rb_Ga_Bc).24,Total Revenue Forecast (Rf_Gc_Ba).49,Total Revenue Forecast (Re_Gb_Be).24,Total Revenue Forecast (Rf_Gc_Ba).50,Total Revenue Forecast (Rc_Gc_Bd).25,Total Revenue Forecast (Rf_Ga_Bc).25,Total Revenue Forecast (Ra_Gc_Bc).25,Total Revenue Forecast (Rf_Gc_Be).25,Total Revenue Forecast (Rd_Gc_Bf).25,Total Revenue Forecast (Rd_Gb_Ba).25,Total Revenue Forecast (Rb_Ga_Bc).25,Total Revenue Forecast (Rf_Gc_Ba).51,Total Revenue Forecast (Re_Gb_Be).25,Total Revenue Forecast (Rf_Gc_Ba).52,Total Revenue Forecast (Rc_Gc_Bd).26,Total Revenue Forecast (Rf_Ga_Bc).26,Total Revenue Forecast (Ra_Gc_Bc).26,Total Revenue Forecast (Rf_Gc_Be).26,Total Revenue Forecast (Rd_Gc_Bf).26,Total Revenue Forecast (Rd_Gb_Ba).26,Total Revenue Forecast (Rb_Ga_Bc).26,Total Revenue Forecast (Rf_Gc_Ba).53,Total Revenue Forecast (Re_Gb_Be).26
2025,74.59474492830394,81.50929949734339,76.33137779534383,71.17128327507281,84.05937340408089,81.17254025799144,71.45758602591899,70.03734321206203,,83.67828122718593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,64.36914286472677,80.57072970564032,66.53389830201576,59.1073202151621,83.81956837177404,80.73251692949815,58.984490123440565,59.40279486158652,,83.40891880776577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,54.50761994739154,76.59075126340733,59.157991399783185,49.359517285382935,79.55657849209967,76.48471261737451,48.87404640463339,48.25761942151678,,79.15351940628513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,45.930869564902615,69.43550084027466,50.810118787318125,41.124522512505656,72.15226648677687,69.78027532294428,40.88875904438719,40.44714368511183,,71.49417764530315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,40.48965376880033,62.73963921682338,44.89207594036558,34.84429390969964,65.26517009490483,62.54303736696243,33.49288512886523,33.346212597575004,,64.08259515012118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,37.23002038581833,56.64553834348293,40.40634636059354,30.31870104866231,58.555540599697075,56.69179705925601,28.601245657559588,29.743661570571742,,57.232791434845275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,33.126758871182076,49.59985995365913,36.94879865123515,26.976826562901966,50.91461888161199,49.05861931987109,24.174564396403287,25.724612931170302,,50.17082520493931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,29.49572371370982,40.82404952682372,34.47753720586922,21.703311722978203,41.93066900578878,40.52872805578618,22.061033758128378,21.594685117988874,,41.67732823305494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,26.275738658305844,33.35901077023311,31.82310783199584,18.40092289295418,34.04462783236503,32.74565237996111,18.9919434019059,18.194272060151295,,33.43925395497241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,24.487919426475926,28.241819620553283,30.11768242246237,15.520678033113425,27.316872403110143,27.139766431459904,16.724470967140224,16.50145606222362,,27.335293767322824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,24.007705618333066,23.741783731971577,28.384645113205707,14.987224739382961,22.369074866999927,22.84750384092729,16.159086980932713,13.11231328970799,,22.56703262380833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,23.843597859051027,19.057912364492832,27.507479473681812,13.75423064969152,20.024832723596596,22.431097986945243,18.374409401697076,13.316536063452608,,21.255147722193506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,24.249272265003523,17.638116028941678,26.489415035553336,13.160524896352433,18.82797572456481,24.304176817194982,22.32396349446172,12.542366061002115,,21.68457248880273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,24.395821871230968,16.237208410475038,25.549251764518957,12.48689545581091,17.30119041223106,26.467065250193087,27.20707494168848,12.898073687507063,,23.633464966235497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,25.022153440184436,15.65489917099488,25.289258045792014,12.26022915707449,17.64931741531421,30.48095775076139,29.982745948965416,13.437785942980462,,26.262807170106168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,26.51139733799553,16.294922700307072,26.095870377239038,12.691623303907107,18.971838426748075,34.647513841109046,33.76323211746151,13.983949251427703,,29.125362672644673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,27.76038882992648,16.251747542979523,27.042597089445408,14.728077789070207,21.478471239949698,37.20089168119144,36.460145184673564,15.64175636178616,,31.925310282281888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,29.39521352374706,17.891888563565974,29.05239918469822,15.57599766462196,22.89610961243641,38.79243445048756,38.327040785732144,16.568714038058918,,33.98281866903763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,30.432181053947605,19.08993420560414,30.313304041971787,16.838241232662956,24.2912726395342,40.90503409375811,40.219752688811575,17.94102247549183,,36.16105421929567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
