Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025-01-31,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18474.451411280617,18474.451411280617,18474.451411280617,18474.451411280617,18474.451411280617,18474.451411280617,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18438.568906400127,18474.451411280617,18474.451411280617,18474.451411280617,18474.451411280617,18474.451411280617,18474.451411280617,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18492.249347430276,18492.249347430276,18492.249347430276,18492.249347430276,18492.249347430276,18492.249347430276,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18456.36684254978,18492.249347430276,18492.249347430276,18492.249347430276,18492.249347430276,18492.249347430276,18492.249347430276,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18512.28594888351,18512.28594888351,18512.28594888351,18512.28594888351,18512.28594888351,18512.28594888351,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18476.403444003015,18512.28594888351,18512.28594888351,18512.28594888351,18512.28594888351,18512.28594888351,18512.28594888351
2025-02-28,17497.652356056467,17520.48722128332,17469.600059014545,17335.475426898767,17337.028248996314,17335.631680833707,17497.652356056467,17520.48722128332,17469.600059014545,17335.475426898767,17337.028248996314,17335.631680833707,17527.185182326186,17550.020047553047,17499.132885284267,17365.008253168486,17366.561075266036,17365.164507103425,17497.652356056467,17520.48722128332,17469.600059014545,17335.475426898767,17337.028248996314,17335.631680833707,17497.652356056467,17520.48722128332,17469.600059014545,17335.475426898767,17337.028248996314,17335.631680833707,17527.185182326186,17550.020047553047,17499.132885284267,17365.008253168486,17366.561075266036,17365.164507103425,17525.683832463423,17548.518697690288,17497.631535421504,17363.506903305726,17365.059725403273,17363.66315724067,17525.683832463423,17548.518697690288,17497.631535421504,17363.506903305726,17365.059725403273,17363.66315724067,17555.21665873315,17578.051523960003,17527.16436169123,17393.039729575445,17394.592551673002,17393.195983510388,17525.683832463423,17548.518697690288,17497.631535421504,17363.506903305726,17365.059725403273,17363.66315724067,17525.683832463423,17548.518697690288,17497.631535421504,17363.506903305726,17365.059725403273,17363.66315724067,17555.21665873315,17578.051523960003,17527.16436169123,17393.039729575445,17394.592551673002,17393.195983510388,17556.160836206094,17578.99570143295,17528.10853916417,17393.98390704839,17395.536729145948,17394.140160983334,17556.160836206094,17578.99570143295,17528.10853916417,17393.98390704839,17395.536729145948,17394.140160983334,17585.69366247581,17608.528527702678,17557.641365433898,17423.516733318105,17425.06955541566,17423.672987253052,17556.160836206094,17578.99570143295,17528.10853916417,17393.98390704839,17395.536729145948,17394.140160983334,17556.160836206094,17578.99570143295,17528.10853916417,17393.98390704839,17395.536729145948,17394.140160983334,17585.69366247581,17608.528527702678,17557.641365433898,17423.516733318105,17425.06955541566,17423.672987253052
2025-03-31,17009.234499626797,17055.515854934143,16952.098176323303,16674.728789409965,16678.07126505766,16675.06512862953,17009.234499626797,17055.515854934143,16952.098176323303,16674.728789409965,16678.07126505766,16675.06512862953,17041.697743322453,17087.979098629796,16984.561420018956,16707.19203310562,16710.534508753324,16707.528372325185,17009.234499626797,17055.515854934143,16952.098176323303,16674.728789409965,16678.07126505766,16675.06512862953,17009.234499626797,17055.515854934143,16952.098176323303,16674.728789409965,16678.07126505766,16675.06512862953,17041.697743322453,17087.979098629796,16984.561420018956,16707.19203310562,16710.534508753324,16707.528372325185,17063.41343632933,17109.69479163668,17006.277113025837,16728.907726112502,16732.2502017602,16729.244065332063,17063.41343632933,17109.69479163668,17006.277113025837,16728.907726112502,16732.2502017602,16729.244065332063,17095.876680024987,17142.15803533234,17038.740356721493,16761.370969808155,16764.713445455858,16761.70730902772,17063.41343632933,17109.69479163668,17006.277113025837,16728.907726112502,16732.2502017602,16729.244065332063,17063.41343632933,17109.69479163668,17006.277113025837,16728.907726112502,16732.2502017602,16729.244065332063,17095.876680024987,17142.15803533234,17038.740356721493,16761.370969808155,16764.713445455858,16761.70730902772,17119.99676032329,17166.278115630637,17062.860437019797,16785.49105010646,16788.83352575416,16785.827389326027,17119.99676032329,17166.278115630637,17062.860437019797,16785.49105010646,16788.83352575416,16785.827389326027,17152.460004018947,17198.741359326294,17095.32368071545,16817.954293802115,16821.29676944981,16818.290633021683,17119.99676032329,17166.278115630637,17062.860437019797,16785.49105010646,16788.83352575416,16785.827389326027,17119.99676032329,17166.278115630637,17062.860437019797,16785.49105010646,16788.83352575416,16785.827389326027,17152.460004018947,17198.741359326294,17095.32368071545,16817.954293802115,16821.29676944981,16818.290633021683
2025-04-30,20586.371519966648,20653.778248968003,20502.80834797358,20091.706132409327,20096.853579149476,20092.224098253155,20586.371519966648,20653.778248968003,20502.80834797358,20091.706132409327,20096.853579149476,20092.224098253155,20620.91740277972,20688.32413178107,20537.354230786652,20126.2520152224,20131.399461962545,20126.769981066223,20586.371519966648,20653.778248968003,20502.80834797358,20091.706132409327,20096.853579149476,20092.224098253155,20586.371519966648,20653.778248968003,20502.80834797358,20091.706132409327,20096.853579149476,20092.224098253155,20620.91740277972,20688.32413178107,20537.354230786652,20126.2520152224,20131.399461962545,20126.769981066223,20664.525081901273,20731.931810902628,20580.961909908205,20169.85969434395,20175.007141084097,20170.377660187776,20664.525081901273,20731.931810902628,20580.961909908205,20169.85969434395,20175.007141084097,20170.377660187776,20699.070964714338,20766.477693715693,20615.507792721273,20204.40557715702,20209.55302389717,20204.92354300085,20664.525081901273,20731.931810902628,20580.961909908205,20169.85969434395,20175.007141084097,20170.377660187776,20664.525081901273,20731.931810902628,20580.961909908205,20169.85969434395,20175.007141084097,20170.377660187776,20699.070964714338,20766.477693715693,20615.507792721273,20204.40557715702,20209.55302389717,20204.92354300085,20745.29708133113,20812.703810332485,20661.733909338065,20250.631693773805,20255.779140513965,20251.149659617637,20745.29708133113,20812.703810332485,20661.733909338065,20250.631693773805,20255.779140513965,20251.149659617637,20779.8429641442,20847.249693145557,20696.279792151137,20285.177576586877,20290.32502332703,20285.695542430713,20745.29708133113,20812.703810332485,20661.733909338065,20250.631693773805,20255.779140513965,20251.149659617637,20745.29708133113,20812.703810332485,20661.733909338065,20250.631693773805,20255.779140513965,20251.149659617637,20779.8429641442,20847.249693145557,20696.279792151137,20285.177576586877,20290.32502332703,20285.695542430713
2025-05-31,20012.86255417073,20100.709906606,19903.54647122209,19358.9787725742,19366.069625343192,19359.692295165758,20012.86255417073,20100.709906606,19903.54647122209,19358.9787725742,19366.069625343192,19359.692295165758,20053.694461062576,20141.541813497846,19944.37837811395,19399.81067946604,19406.901532235042,19400.524202057604,20012.86255417073,20100.709906606,19903.54647122209,19358.9787725742,19366.069625343192,19359.692295165758,20012.86255417073,20100.709906606,19903.54647122209,19358.9787725742,19366.069625343192,19359.692295165758,20053.694461062576,20141.541813497846,19944.37837811395,19399.81067946604,19406.901532235042,19400.524202057604,20113.45902243088,20201.306374866155,20004.142939482248,19459.57524083435,19466.666093603344,19460.288763425906,20113.45902243088,20201.306374866155,20004.142939482248,19459.57524083435,19466.666093603344,19460.288763425906,20154.290929322728,20242.138281758005,20044.974846374098,19500.4071477262,19507.498000495198,19501.12067031776,20113.45902243088,20201.306374866155,20004.142939482248,19459.57524083435,19466.666093603344,19460.288763425906,20113.45902243088,20201.306374866155,20004.142939482248,19459.57524083435,19466.666093603344,19460.288763425906,20154.290929322728,20242.138281758005,20044.974846374098,19500.4071477262,19507.498000495198,19501.12067031776,20216.685463717447,20304.53281615272,20107.369380768818,19562.801682120913,19569.892534889917,19563.51520471248,20216.685463717447,20304.53281615272,20107.369380768818,19562.801682120913,19569.892534889917,19563.51520471248,20257.517370609297,20345.36472304457,20148.201287660664,19603.63358901277,19610.724441781767,19604.347111604326,20216.685463717447,20304.53281615272,20107.369380768818,19562.801682120913,19569.892534889917,19563.51520471248,20216.685463717447,20304.53281615272,20107.369380768818,19562.801682120913,19569.892534889917,19563.51520471248,20257.517370609297,20345.36472304457,20148.201287660664,19603.63358901277,19610.724441781767,19604.347111604326
2025-06-30,23025.550831500037,23132.009151903803,22892.64408152531,22223.22044630346,22232.270481625208,22224.13111316778,23025.550831500037,23132.009151903803,22892.64408152531,22223.22044630346,22232.270481625208,22224.13111316778,23066.348063439327,23172.8063838431,22933.441313464613,22264.01767824276,22273.067713564502,22264.928345107077,23025.550831500037,23132.009151903803,22892.64408152531,22223.22044630346,22232.270481625208,22224.13111316778,23025.550831500037,23132.009151903803,22892.64408152531,22223.22044630346,22232.270481625208,22224.13111316778,23066.348063439327,23172.8063838431,22933.441313464613,22264.01767824276,22273.067713564502,22264.928345107077,23143.127302019933,23249.585622423707,23010.22055204522,22340.796916823365,22349.84695214511,22341.707583687687,23143.127302019933,23249.585622423707,23010.22055204522,22340.796916823365,22349.84695214511,22341.707583687687,23183.924533959234,23290.382854363004,23051.017783984513,22381.594148762666,22390.64418408441,22382.50481562698,23143.127302019933,23249.585622423707,23010.22055204522,22340.796916823365,22349.84695214511,22341.707583687687,23143.127302019933,23249.585622423707,23010.22055204522,22340.796916823365,22349.84695214511,22341.707583687687,23183.924533959234,23290.382854363004,23051.017783984513,22381.594148762666,22390.64418408441,22382.50481562698,23263.237009954744,23369.695330358514,23130.33025998003,22460.906624758183,22469.956660079923,22461.817291622494,23263.237009954744,23369.695330358514,23130.33025998003,22460.906624758183,22469.956660079923,22461.817291622494,23304.03424189404,23410.492562297815,23171.127491919324,22501.703856697473,22510.75389201922,22502.614523561795,23263.237009954744,23369.695330358514,23130.33025998003,22460.906624758183,22469.956660079923,22461.817291622494,23263.237009954744,23369.695330358514,23130.33025998003,22460.906624758183,22469.956660079923,22461.817291622494,23304.03424189404,23410.492562297815,23171.127491919324,22501.703856697473,22510.75389201922,22502.614523561795
2025-07-31,19366.442358967346,19491.06950257639,19210.385010404658,18416.15128791239,18427.309794107117,18417.274121303148,19366.442358967346,19491.06950257639,19210.385010404658,18416.15128791239,18427.309794107117,18417.274121303148,19408.881897469717,19533.509041078752,19252.82454890703,18458.59082641476,18469.749332609485,18459.713659805515,19366.442358967346,19491.06950257639,19210.385010404658,18416.15128791239,18427.309794107117,18417.274121303148,19366.442358967346,19491.06950257639,19210.385010404658,18416.15128791239,18427.309794107117,18417.274121303148,19408.881897469717,19533.509041078752,19252.82454890703,18458.59082641476,18469.749332609485,18459.713659805515,19475.843807892477,19600.470951501513,19319.78645932978,18525.55273683751,18536.711243032238,18526.67557022827,19475.843807892477,19600.470951501513,19319.78645932978,18525.55273683751,18536.711243032238,18526.67557022827,19518.283346394845,19642.91049000388,19362.225997832153,18567.992275339882,18579.150781534605,18569.11510873064,19475.843807892477,19600.470951501513,19319.78645932978,18525.55273683751,18536.711243032238,18526.67557022827,19475.843807892477,19600.470951501513,19319.78645932978,18525.55273683751,18536.711243032238,18526.67557022827,19518.283346394845,19642.91049000388,19362.225997832153,18567.992275339882,18579.150781534605,18569.11510873064,19588.135245632504,19712.762389241547,19432.07789706982,18637.84417457754,18649.00268077227,18638.967007968302,19588.135245632504,19712.762389241547,19432.07789706982,18637.84417457754,18649.00268077227,18638.967007968302,19630.574784134864,19755.20192774391,19474.517435572176,18680.283713079905,18691.442219274635,18681.40654647067,19588.135245632504,19712.762389241547,19432.07789706982,18637.84417457754,18649.00268077227,18638.967007968302,19588.135245632504,19712.762389241547,19432.07789706982,18637.84417457754,18649.00268077227,18638.967007968302,19630.574784134864,19755.20192774391,19474.517435572176,18680.283713079905,18691.442219274635,18681.40654647067
2025-08-31,23032.85042540378,23174.688336661075,22854.762468542667,21939.786407173346,21953.141743754677,21941.13029833554,23032.85042540378,23174.688336661075,22854.762468542667,21939.786407173346,21953.141743754677,21941.13029833554,23079.864401825696,23221.70231308299,22901.776444964587,21986.800383595262,22000.155720176594,21988.144274757455,23032.85042540378,23174.688336661075,22854.762468542667,21939.786407173346,21953.141743754677,21941.13029833554,23032.85042540378,23174.688336661075,22854.762468542667,21939.786407173346,21953.141743754677,21941.13029833554,23079.864401825696,23221.70231308299,22901.776444964587,21986.800383595262,22000.155720176594,21988.144274757455,23134.79078993404,23276.62870119133,22956.702833072934,22041.72677170361,22055.08210828493,22043.0706628658,23134.79078993404,23276.62870119133,22956.702833072934,22041.72677170361,22055.08210828493,22043.0706628658,23181.804766355956,23323.642677613254,23003.716809494843,22088.74074812552,22102.096084706845,22090.084639287717,23134.79078993404,23276.62870119133,22956.702833072934,22041.72677170361,22055.08210828493,22043.0706628658,23134.79078993404,23276.62870119133,22956.702833072934,22041.72677170361,22055.08210828493,22043.0706628658,23181.804766355956,23323.642677613254,23003.716809494843,22088.74074812552,22102.096084706845,22090.084639287717,23239.431652151616,23381.269563408914,23061.343695290507,22146.36763392118,22159.722970502517,22147.71152508338,23239.431652151616,23381.269563408914,23061.343695290507,22146.36763392118,22159.722970502517,22147.71152508338,23286.445628573536,23428.28353983083,23108.357671712427,22193.381610343098,22206.73694692443,22194.725501505294,23239.431652151616,23381.269563408914,23061.343695290507,22146.36763392118,22159.722970502517,22147.71152508338,23239.431652151616,23381.269563408914,23061.343695290507,22146.36763392118,22159.722970502517,22147.71152508338,23286.445628573536,23428.28353983083,23108.357671712427,22193.381610343098,22206.73694692443,22194.725501505294
2025-09-30,24185.60748668137,24343.284764355765,23987.164602850597,22959.043259528295,22974.61159492586,22960.60983542277,24185.60748668137,24343.284764355765,23987.164602850597,22959.043259528295,22974.61159492586,22960.60983542277,24231.733367606255,24389.41064528065,24033.29048377548,23005.169140453178,23020.737475850743,23006.735716347648,24185.60748668137,24343.284764355765,23987.164602850597,22959.043259528295,22974.61159492586,22960.60983542277,24185.60748668137,24343.284764355765,23987.164602850597,22959.043259528295,22974.61159492586,22960.60983542277,24231.733367606255,24389.41064528065,24033.29048377548,23005.169140453178,23020.737475850743,23006.735716347648,24265.59863749698,24423.27591517138,24067.155753666208,23039.0344103439,23054.602745741468,23040.600986238373,24265.59863749698,24423.27591517138,24067.155753666208,23039.0344103439,23054.602745741468,23040.600986238373,24311.724518421863,24469.401796096263,24113.28163459109,23085.160291268785,23100.728626666354,23086.72686716326,24265.59863749698,24423.27591517138,24067.155753666208,23039.0344103439,23054.602745741468,23040.600986238373,24265.59863749698,24423.27591517138,24067.155753666208,23039.0344103439,23054.602745741468,23040.600986238373,24311.724518421863,24469.401796096263,24113.28163459109,23085.160291268785,23100.728626666354,23086.72686716326,24348.015915268425,24505.693192942825,24149.57303143765,23121.45168811534,23137.02002351291,23123.018264009817,24348.015915268425,24505.693192942825,24149.57303143765,23121.45168811534,23137.02002351291,23123.018264009817,24394.14179619331,24551.819073867704,24195.69891236253,23167.57756904023,23183.145904437803,23169.144144934704,24348.015915268425,24505.693192942825,24149.57303143765,23121.45168811534,23137.02002351291,23123.018264009817,24348.015915268425,24505.693192942825,24149.57303143765,23121.45168811534,23137.02002351291,23123.018264009817,24394.14179619331,24551.819073867704,24195.69891236253,23167.57756904023,23183.145904437803,23169.144144934704
2025-10-31,20083.042414565305,20256.326306255374,19864.474628197087,18723.110462385128,18741.058544251577,18724.916502124506,20083.042414565305,20256.326306255374,19864.474628197087,18723.110462385128,18741.058544251577,18724.916502124506,20131.20878876218,20304.49268045225,19912.64100239396,18771.276836582,18789.224918448446,18773.08287632138,20083.042414565305,20256.326306255374,19864.474628197087,18723.110462385128,18741.058544251577,18724.916502124506,20083.042414565305,20256.326306255374,19864.474628197087,18723.110462385128,18741.058544251577,18724.916502124506,20131.20878876218,20304.49268045225,19912.64100239396,18771.276836582,18789.224918448446,18773.08287632138,20138.497855847294,20311.78174753737,19919.93006947908,18778.565903667124,18796.513985533566,18780.371943406495,20138.497855847294,20311.78174753737,19919.93006947908,18778.565903667124,18796.513985533566,18780.371943406495,20186.664230044174,20359.94812173424,19968.096443675953,18826.732277863997,18844.68035973044,18828.53831760338,20138.497855847294,20311.78174753737,19919.93006947908,18778.565903667124,18796.513985533566,18780.371943406495,20138.497855847294,20311.78174753737,19919.93006947908,18778.565903667124,18796.513985533566,18780.371943406495,20186.664230044174,20359.94812173424,19968.096443675953,18826.732277863997,18844.68035973044,18828.53831760338,20197.59271701108,20370.876608701154,19979.02493064286,18837.660764830907,18855.608846697345,18839.466804570282,20197.59271701108,20370.876608701154,19979.02493064286,18837.660764830907,18855.608846697345,18839.466804570282,20245.759091207954,20419.042982898027,20027.19130483973,18885.827139027773,18903.77522089421,18887.63317876715,20197.59271701108,20370.876608701154,19979.02493064286,18837.660764830907,18855.608846697345,18839.466804570282,20197.59271701108,20370.876608701154,19979.02493064286,18837.660764830907,18855.608846697345,18839.466804570282,20245.759091207954,20419.042982898027,20027.19130483973,18885.827139027773,18903.77522089421,18887.63317876715
