Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026,106.07990121752262,106.88051228003566,105.03172129195684,98.84912204940815,99.01567506462193,98.865889898397,106.07990121752262,106.88051228003566,105.03172129195684,98.84912204940815,99.01567506462193,98.865889898397,106.26191917017094,107.05988251741354,105.21719524893899,99.05487828281618,99.22095572470683,99.07159823504746,106.07990121752262,106.88051228003566,105.03172129195684,98.84912204940815,99.01567506462193,98.865889898397,106.07990121752262,106.88051228003566,105.03172129195684,98.84912204940815,99.01567506462193,98.865889898397,106.26191917017094,107.05988251741354,105.21719524893899,99.05487828281618,99.22095572470683,99.07159823504746,106.19739259493682,106.99471949425028,105.1535311645141,98.99686740388903,99.16276143757251,99.01356888065422,106.19739259493682,106.99471949425028,105.1535311645141,98.99686740388903,99.16276143757251,99.01356888065422,106.37856252539231,107.17326182008524,105.33813068834377,99.20159064036872,99.36701274206013,99.21824458724765,106.19739259493682,106.99471949425028,105.1535311645141,98.99686740388903,99.16276143757251,99.01356888065422,106.19739259493682,106.99471949425028,105.1535311645141,98.99686740388903,99.16276143757251,99.01356888065422,106.37856252539231,107.17326182008524,105.33813068834377,99.20159064036872,99.36701274206013,99.21824458724765,106.3220081129076,107.11592336833621,105.2826319259146,99.15288781400251,99.31809873797484,99.16952048865775,106.3220081129076,107.11592336833621,105.2826319259146,99.15288781400251,99.31809873797484,99.16952048865775,106.5022956663027,107.29360410580446,105.46632177545338,99.35653757872977,99.52128032946031,99.37312310219836,106.3220081129076,107.11592336833621,105.2826319259146,99.15288781400251,99.31809873797484,99.16952048865775,106.3220081129076,107.11592336833621,105.2826319259146,99.15288781400251,99.31809873797484,99.16952048865775,106.5022956663027,107.29360410580446,105.46632177545338,99.35653757872977,99.52128032946031,99.37312310219836
2027,108.97243514210228,110.28631902815214,107.23735768566351,97.02788231161352,97.4521545688065,97.07059623744452,108.97243514210228,110.28631902815214,107.23735768566351,97.02788231161352,97.4521545688065,97.07059623744452,109.33396505318534,110.64316287250516,107.60502395254143,97.4313007364382,97.85442800349115,97.47389934352384,108.97243514210228,110.28631902815214,107.23735768566351,97.02788231161352,97.4521545688065,97.07059623744452,108.97243514210228,110.28631902815214,107.23735768566351,97.02788231161352,97.4521545688065,97.07059623744452,109.33396505318534,110.64316287250516,107.60502395254143,97.4313007364382,97.85442800349115,97.47389934352384,109.14068073650493,110.44930814234432,107.4125709749731,97.24497015728791,97.66765133167226,97.287523826376,109.14068073650493,110.44930814234432,107.4125709749731,97.24497015728791,97.66765133167226,97.287523826376,109.50066158329112,110.80463762692227,107.77864244974799,97.64652066024499,98.06806528142621,97.68895986066906,109.14068073650493,110.44930814234432,107.4125709749731,97.24497015728791,97.66765133167226,97.287523826376,109.14068073650493,110.44930814234432,107.4125709749731,97.24497015728791,97.66765133167226,97.287523826376,109.50066158329112,110.80463762692227,107.77864244974799,97.64652066024499,98.06806528142621,97.68895986066906,109.32316019262365,110.62630726248608,107.6023121679893,97.4783090957045,97.89933973853016,97.52069652102504,109.32316019262365,110.62630726248608,107.6023121679893,97.4783090957045,97.89933973853016,97.52069652102504,109.68152263256263,110.98005429325781,107.96671787344717,97.87791112959422,98.29781393491639,97.9201849644144,109.32316019262365,110.62630726248608,107.6023121679893,97.4783090957045,97.89933973853016,97.52069652102504,109.32316019262365,110.62630726248608,107.6023121679893,97.4783090957045,97.89933973853016,97.52069652102504,109.68152263256263,110.98005429325781,107.96671787344717,97.87791112959422,98.29781393491639,97.9201849644144
2028,109.74988884739973,111.42545905154624,107.52709182543443,95.1879709864506,95.99689801208036,95.26941031789318,109.74988884739973,111.42545905154624,107.52709182543443,95.1879709864506,95.99689801208036,95.26941031789318,110.27659314063685,111.94583102883364,108.06209581574235,95.7695212234719,96.57636849220304,95.85075108610442,109.74988884739973,111.42545905154624,107.52709182543443,95.1879709864506,95.99689801208036,95.26941031789318,109.74988884739973,111.42545905154624,107.52709182543443,95.1879709864506,95.99689801208036,95.26941031789318,110.27659314063685,111.94583102883364,108.06209581574235,95.7695212234719,96.57636849220304,95.85075108610442,109.96690292068917,111.63575634010392,107.7530423379833,95.4650524440151,96.2710211164973,95.54619380129016,109.96690292068917,111.63575634010392,107.7530423379833,95.4650524440151,96.2710211164973,95.54619380129016,110.49140880274413,112.15397657301858,108.28578637861972,96.04398774685379,96.84789170846531,96.12492115137198,109.96690292068917,111.63575634010392,107.7530423379833,95.4650524440151,96.2710211164973,95.54619380129016,109.96690292068917,111.63575634010392,107.7530423379833,95.4650524440151,96.2710211164973,95.54619380129016,110.49140880274413,112.15397657301858,108.28578637861972,96.04398774685379,96.84789170846531,96.12492115137198,110.20488770199069,111.86672372550468,108.00035896891758,95.76571836473423,96.56861885048652,95.84655068646558,110.20488770199069,111.86672372550468,108.00035896891758,95.76571836473423,96.56861885048652,95.84655068646558,110.72709326297903,112.38269203321951,108.5307388860241,96.34192172002422,97.14277303726433,96.4225476550535,110.20488770199069,111.86672372550468,108.00035896891758,95.76571836473423,96.56861885048652,95.84655068646558,110.20488770199069,111.86672372550468,108.00035896891758,95.76571836473423,96.56861885048652,95.84655068646558,110.72709326297903,112.38269203321951,108.5307388860241,96.34192172002422,97.14277303726433,96.4225476550535
2029,110.20839825889801,112.1639390558861,107.60699115895729,94.84188202323742,96.20861927575938,94.97947931517659,110.20839825889801,112.1639390558861,107.60699115895729,94.84188202323742,96.20861927575938,94.97947931517659,110.88540952543116,112.83322186514314,108.29413385985862,95.58209787304585,96.94545468129868,95.71935468799134,110.20839825889801,112.1639390558861,107.60699115895729,94.84188202323742,96.20861927575938,94.97947931517659,110.20839825889801,112.1639390558861,107.60699115895729,94.84188202323742,96.20861927575938,94.97947931517659,110.88540952543116,112.83322186514314,108.29413385985862,95.58209787304585,96.94545468129868,95.71935468799134,110.47147466114076,112.4191232446815,107.88058884053669,95.16984060319933,96.53165660906382,95.30694220881688,110.47147466114076,112.4191232446815,107.88058884053669,95.16984060319933,96.53165660906382,95.30694220881688,111.14569311956939,113.08567016369362,108.56486367292561,95.90678169286015,97.2652414193625,96.04354525644094,110.47147466114076,112.4191232446815,107.88058884053669,95.16984060319933,96.53165660906382,95.30694220881688,110.47147466114076,112.4191232446815,107.88058884053669,95.16984060319933,96.53165660906382,95.30694220881688,111.14569311956939,113.08567016369362,108.56486367292561,95.90678169286015,97.2652414193625,96.04354525644094,110.76159848139919,112.70099048028317,108.18171346423955,95.52780913099218,96.88452315381166,95.66439684807051,110.76159848139919,112.70099048028317,108.18171346423955,95.52780913099218,96.88452315381166,95.66439684807051,111.43289272130892,113.36467224188897,108.86298621220195,96.26132615618324,97.61470885579887,96.39757834589683,110.76159848139919,112.70099048028317,108.18171346423955,95.52780913099218,96.88452315381166,95.66439684807051,110.76159848139919,112.70099048028317,108.18171346423955,95.52780913099218,96.88452315381166,95.66439684807051,111.43289272130892,113.36467224188897,108.86298621220195,96.26132615618324,97.61470885579887,96.39757834589683
2030,110.83183907712278,113.02086891920402,107.91441554149736,96.34558427488513,98.47938212708665,96.56040596461867,110.83183907712278,113.02086891920402,107.91441554149736,96.34558427488513,98.47938212708665,96.56040596461867,111.65920623420772,113.83920758670756,108.75361481818987,97.2408499616014,99.36951352195837,97.45515452121228,110.83183907712278,113.02086891920402,107.91441554149736,96.34558427488513,98.47938212708665,96.56040596461867,110.83183907712278,113.02086891920402,107.91441554149736,96.34558427488513,98.47938212708665,96.56040596461867,111.65920623420772,113.83920758670756,108.75361481818987,97.2408499616014,99.36951352195837,97.45515452121228,111.14174579868492,113.32185753640513,108.23622413453995,96.71937407804938,98.84556472347546,96.93342953787774,111.14174579868492,113.32185753640513,108.23622413453995,96.71937407804938,98.84556472347546,96.93342953787774,111.96572399272367,114.13687379310717,109.07194671886845,97.61072864424062,99.73182140456855,97.82427064252622,111.14174579868492,113.32185753640513,108.23622413453995,96.71937407804938,98.84556472347546,96.93342953787774,111.14174579868492,113.32185753640513,108.23622413453995,96.71937407804938,98.84556472347546,96.93342953787774,111.96572399272367,114.13687379310717,109.07194671886845,97.61072864424062,99.73182140456855,97.82427064252622,111.48468988895328,113.65546130943345,108.59162572902497,97.12930429165571,99.2476108802415,97.34256563939769,111.48468988895328,113.65546130943345,108.59162572902497,97.12930429165571,99.2476108802415,97.34256563939769,112.30511839392554,114.46699696443939,109.42370757842849,98.0165671383924,100.12981343233984,98.22931881242832,111.48468988895328,113.65546130943345,108.59162572902497,97.12930429165571,99.2476108802415,97.34256563939769,111.48468988895328,113.65546130943345,108.59162572902497,97.12930429165571,99.2476108802415,97.34256563939769,112.30511839392554,114.46699696443939,109.42370757842849,98.0165671383924,100.12981343233984,98.22931881242832
2031,110.61242176297985,112.96930931819706,107.46695882042701,98.65549635519035,101.71181638818567,98.96319365330933,110.56948275004248,112.92660380128956,107.4237229384569,98.61066560966371,101.66701038158234,98.91836539839223,111.23078317706852,113.57942839380372,108.09618905136689,99.32706362169216,102.37636591266133,99.63405407183028,110.61242176297985,112.96930931819706,107.46695882042701,98.65549635519035,101.71181638818567,98.96319365330933,110.56948275004248,112.92660380128956,107.4237229384569,98.61066560966371,101.66701038158234,98.91836539839223,111.23078317706852,113.57942839380372,108.09618905136689,99.32706362169216,102.37636591266133,99.63405407183028,110.96945578992225,113.31661476290789,107.83698284358367,99.06970402138326,102.11519460389877,99.37631052839882,110.92665953686081,113.27405046003642,107.79389169899483,99.02502886896679,102.07054401902893,99.33163784933416,111.58502376060027,113.92400280708375,108.46333693828096,99.73804721009154,102.77656958403203,100.04395186061066,110.96945578992225,113.31661476290789,107.83698284358367,99.06970402138326,102.11519460389877,99.37631052839882,110.92665953686081,113.27405046003642,107.79389169899483,99.02502886896679,102.07054401902893,99.33163784933416,111.58502376060027,113.92400280708375,108.46333693828096,99.73804721009154,102.77656958403203,100.04395186061066,111.37027344738893,113.70720575921598,108.25144452191162,99.53094695713447,102.56521365785918,99.83642294889691,111.32762498405646,113.66478765114847,108.20850320722104,99.48643283183036,102.52072392336666,99.79191127914734,111.9828901141091,114.31170750639936,108.87476121843758,100.19588962408683,103.2232392653865,100.50066891362029,111.37027344738893,113.70720575921598,108.25144452191162,99.53094695713447,102.56521365785918,99.83642294889691,111.32762498405646,113.66478765114847,108.20850320722104,99.48643283183036,102.52072392336666,99.79191127914734,111.9828901141091,114.31170750639936,108.87476121843758,100.19588962408683,103.2232392653865,100.50066891362029
2032,106.00671058668179,108.40779193725095,102.79899445604575,97.73900021207356,101.64591759675893,98.1323320327807,105.9272122031913,108.32872585426429,102.7189464416579,97.65599942662838,101.56296261358719,98.04933585851354,106.41542080681054,108.80930587637863,103.21725773733377,98.18367091676325,102.08184531759407,98.57612210717886,106.00671058668179,108.40779193725095,102.79899445604575,97.73900021207356,101.64591759675893,98.1323320327807,105.9272122031913,108.32872585426429,102.7189464416579,97.65599942662838,101.56296261358719,98.04933585851354,106.41542080681054,108.80930587637863,103.21725773733377,98.18367091676325,102.08184531759407,98.57612210717886,106.39889907659514,108.78991517694656,103.2046235773715,98.17710166056926,102.07022592860673,98.56904417388827,106.31966500237925,108.71111054122717,103.12484353346207,98.09438894417588,101.98755869719565,98.48633603672148,106.80543839146057,109.18931449958524,103.62064099392114,98.61928224347533,102.50372505397453,99.01035032663256,106.39889907659514,108.78991517694656,103.2046235773715,98.17710166056926,102.07022592860673,98.56904417388827,106.31966500237925,108.71111054122717,103.12484353346207,98.09438894417588,101.98755869719565,98.48633603672148,106.80543839146057,109.18931449958524,103.62064099392114,98.61928224347533,102.50372505397453,99.01035032663256,106.84732025785364,109.22770194298828,103.66723054576086,98.67477372368873,102.55360061250234,99.06527614407655,106.76835980531061,109.14916797605679,103.58772790074582,98.59235913699727,102.47123118358152,98.9828661036614,107.25153005053897,109.62483067419572,104.08084001565214,99.11428847990517,102.98449745538922,99.50392287356827,106.84732025785364,109.22770194298828,103.66723054576086,98.67477372368873,102.55360061250234,99.06527614407655,106.76835980531061,109.14916797605679,103.58772790074582,98.59235913699727,102.47123118358152,98.9828661036614,107.25153005053897,109.62483067419572,104.08084001565214,99.11428847990517,102.98449745538922,99.50392287356827
2033,94.81672165289122,97.07426938768135,91.79838572831058,90.27489946004323,94.60156473599316,90.71048971266812,94.7135185242511,96.97162746245883,91.69446908040487,90.16714958688316,94.4938743223807,90.60274582564234,95.02886310565837,97.28057885665382,92.01832654455909,90.5062513244391,94.8233780610497,90.94088080807555,94.81672165289122,97.07426938768135,91.79838572831058,90.27489946004323,94.60156473599316,90.71048971266812,94.7135185242511,96.97162746245883,91.69446908040487,90.16714958688316,94.4938743223807,90.60274582564234,95.02886310565837,97.28057885665382,92.01832654455909,90.5062513244391,94.8233780610497,90.94088080807555,95.21064568102052,97.45859338080895,92.2051283734311,90.70188128225038,95.01330354749284,91.13593618578687,95.10778567311911,97.3562908609274,92.10155959916183,90.59450537427178,94.90598668716117,91.02856622246391,95.42126479918782,97.66342783267068,92.42348351502685,90.93150589667982,95.23345662673363,91.36460678345098,95.21064568102052,97.45859338080895,92.2051283734311,90.70188128225038,95.01330354749284,91.13593618578687,95.10778567311911,97.3562908609274,92.10155959916183,90.59450537427178,94.90598668716117,91.02856622246391,95.42126479918782,97.66342783267068,92.42348351502685,90.93150589667982,95.23345662673363,91.36460678345098,95.66701165522048,97.90477342225459,92.67507836779853,91.19446242857633,95.49008321697468,91.62692573849498,95.5645068572172,97.80282227889808,92.5718697069369,91.08747354630353,95.38315295756952,91.51994275810239,95.87595997731135,98.10798688900803,92.89169610187189,91.42219669891695,95.70841516098355,91.85371296642447,95.66701165522048,97.90477342225459,92.67507836779853,91.19446242857633,95.49008321697468,91.62692573849498,95.5645068572172,97.80282227889808,92.5718697069369,91.08747354630353,95.38315295756952,91.51994275810239,95.87595997731135,98.10798688900803,92.89169610187189,91.42219669891695,95.70841516098355,91.85371296642447
2034,79.54681323066167,81.52180623516165,76.90459236218902,77.60734811655288,81.81348680077562,78.03080426469083,79.43466320880471,81.41026606861021,76.79166696460183,77.49025718346574,81.69646048190755,77.91371983668837,79.6048140416761,81.57539736533873,76.96853958731899,77.67211961916995,81.8690736515813,78.0946506392773,79.54681323066167,81.52180623516165,76.90459236218902,77.60734811655288,81.81348680077562,78.03080426469083,79.43466320880471,81.41026606861021,76.79166696460183,77.49025718346574,81.69646048190755,77.91371983668837,79.6048140416761,81.57539736533873,76.96853958731899,77.67211961916995,81.8690736515813,78.0946506392773,79.91213299585287,81.87861531854259,77.28127455309729,77.99543790745143,82.18677304731786,78.4174029709272,79.80035584058295,81.76744398108491,77.16872718703345,77.87875335936276,82.07015266583909,78.3007248828487,79.96918231438738,81.93129224162851,77.3442201073644,78.05914340262758,82.2413583545036,78.48018983434773,79.91213299585287,81.87861531854259,77.28127455309729,77.99543790745143,82.18677304731786,78.4174029709272,79.80035584058295,81.76744398108491,77.16872718703345,77.87875335936276,82.07015266583909,78.3007248828487,79.96918231438738,81.93129224162851,77.3442201073644,78.05914340262758,82.2413583545036,78.48018983434773,80.34008869435708,82.29750527925536,77.7213164826614,78.44902311306406,82.62501074814284,78.86944230828796,80.2286975428679,82.18671577988229,77.60916044898319,78.33275914274213,82.50881048282652,78.7531847514925,80.39605527352603,82.34913895652596,77.78312622197377,78.51151928132366,82.67845332145146,78.93102655559335,80.34008869435708,82.29750527925536,77.7213164826614,78.44902311306406,82.62501074814284,78.86944230828796,80.2286975428679,82.18671577988229,77.60916044898319,78.33275914274213,82.50881048282652,78.7531847514925,80.39605527352603,82.34913895652596,77.78312622197377,78.51151928132366,82.67845332145146,78.93102655559335
