Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025-01-31,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18474.74338132994,18474.74338132994,18474.74338132994,18474.74338132994,18474.74338132994,18474.74338132994,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18438.86030936269,18474.74338132994,18474.74338132994,18474.74338132994,18474.74338132994,18474.74338132994,18474.74338132994,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18492.541598758005,18492.541598758005,18492.541598758005,18492.541598758005,18492.541598758005,18492.541598758005,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18456.658526790758,18492.541598758005,18492.541598758005,18492.541598758005,18492.541598758005,18492.541598758005,18492.541598758005,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18512.578516869493,18512.578516869493,18512.578516869493,18512.578516869493,18512.578516869493,18512.578516869493,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18476.695444902245,18512.578516869493,18512.578516869493,18512.578516869493,18512.578516869493,18512.578516869493,18512.578516869493
2025-02-28,17497.950920138257,17520.786174998557,17469.89814443736,17335.771223740416,17337.32407233391,17335.927480341532,17497.950920138257,17520.786174998557,17469.89814443736,17335.771223740416,17337.32407233391,17335.927480341532,17527.484250329355,17550.319505189662,17499.431474628465,17365.304553931514,17366.857402525016,17365.460810532633,17497.950920138257,17520.786174998557,17469.89814443736,17335.771223740416,17337.32407233391,17335.927480341532,17497.950920138257,17520.786174998557,17469.89814443736,17335.771223740416,17337.32407233391,17335.927480341532,17527.484250329355,17550.319505189662,17499.431474628465,17365.304553931514,17366.857402525016,17365.460810532633,17525.98287484892,17548.81812970923,17497.93009914803,17363.803178451082,17365.35602704458,17363.959435052202,17525.98287484892,17548.81812970923,17497.93009914803,17363.803178451082,17365.35602704458,17363.959435052202,17555.516205040025,17578.35145990033,17527.463429339135,17393.336508642187,17394.88935723569,17393.492765243303,17525.98287484892,17548.81812970923,17497.93009914803,17363.803178451082,17365.35602704458,17363.959435052202,17525.98287484892,17548.81812970923,17497.93009914803,17363.803178451082,17365.35602704458,17363.959435052202,17555.516205040025,17578.35145990033,17527.463429339135,17393.336508642187,17394.88935723569,17393.492765243303,17556.46039862356,17579.295653483863,17528.407622922667,17394.28070222572,17395.833550819225,17394.43695882684,17556.46039862356,17579.295653483863,17528.407622922667,17394.28070222572,17395.833550819225,17394.43695882684,17585.99372881466,17608.828983674972,17557.940953113775,17423.814032416816,17425.36688101032,17423.97028901794,17556.46039862356,17579.295653483863,17528.407622922667,17394.28070222572,17395.833550819225,17394.43695882684,17556.46039862356,17579.295653483863,17528.407622922667,17394.28070222572,17395.833550819225,17394.43695882684,17585.99372881466,17608.828983674972,17557.940953113775,17423.814032416816,17425.36688101032,17423.97028901794
2025-03-31,17009.55043647783,17055.832651435016,16952.41305189965,16675.0385130078,16678.381050740078,16675.37485847467,17009.55043647783,17055.832651435016,16952.41305189965,16675.0385130078,16678.381050740078,16675.37485847467,17042.014283159766,17088.296498116946,16984.87689858158,16707.50235968973,16710.844897422015,16707.838705156602,17009.55043647783,17055.832651435016,16952.41305189965,16675.0385130078,16678.381050740078,16675.37485847467,17009.55043647783,17055.832651435016,16952.41305189965,16675.0385130078,16678.381050740078,16675.37485847467,17042.014283159766,17088.296498116946,16984.87689858158,16707.50235968973,16710.844897422015,16707.838705156602,17063.730379523284,17110.01259448047,17006.5929949451,16729.21845605325,16732.560993785533,16729.554801520124,17063.730379523284,17110.01259448047,17006.5929949451,16729.21845605325,16732.560993785533,16729.554801520124,17096.194226205218,17142.476441162406,17039.056841627033,16761.68230273518,16765.024840467468,16762.018648202054,17063.730379523284,17110.01259448047,17006.5929949451,16729.21845605325,16732.560993785533,16729.554801520124,17063.730379523284,17110.01259448047,17006.5929949451,16729.21845605325,16732.560993785533,16729.554801520124,17096.194226205218,17142.476441162406,17039.056841627033,16761.68230273518,16765.024840467468,16762.018648202054,17120.314754520285,17166.59696947747,17063.1773699421,16785.802831050252,16789.145368782534,16786.13917651713,17120.314754520285,17166.59696947747,17063.1773699421,16785.802831050252,16789.145368782534,16786.13917651713,17152.77860120222,17199.060816159403,17095.641216624033,16818.266677732183,16821.60921546446,16818.60302319906,17120.314754520285,17166.59696947747,17063.1773699421,16785.802831050252,16789.145368782534,16786.13917651713,17120.314754520285,17166.59696947747,17063.1773699421,16785.802831050252,16789.145368782534,16786.13917651713,17152.77860120222,17199.060816159403,17095.641216624033,16818.266677732183,16821.60921546446,16818.60302319906
2025-04-30,20586.786630649935,20654.194718863782,20503.221773660294,20092.111268489425,20097.258819024464,20092.629244777694,20586.786630649935,20654.194718863782,20503.221773660294,20092.111268489425,20097.258819024464,20092.629244777694,20621.333210058085,20688.741298271925,20537.76835306844,20126.65784789757,20131.805398432607,20127.17582418584,20586.786630649935,20654.194718863782,20503.221773660294,20092.111268489425,20097.258819024464,20092.629244777694,20586.786630649935,20654.194718863782,20503.221773660294,20092.111268489425,20097.258819024464,20092.629244777694,20621.333210058085,20688.741298271925,20537.76835306844,20126.65784789757,20131.805398432607,20127.17582418584,20664.94176849989,20732.34985671374,20581.37691151025,20170.26640633938,20175.413956874414,20170.784382627648,20664.94176849989,20732.34985671374,20581.37691151025,20170.26640633938,20175.413956874414,20170.784382627648,20699.488347908034,20766.896436121882,20615.923490918398,20204.812985747525,20209.96053628256,20205.330962035794,20664.94176849989,20732.34985671374,20581.37691151025,20170.26640633938,20175.413956874414,20170.784382627648,20664.94176849989,20732.34985671374,20581.37691151025,20170.26640633938,20175.413956874414,20170.784382627648,20699.488347908034,20766.896436121882,20615.923490918398,20204.812985747525,20209.96053628256,20205.330962035794,20745.715396644155,20813.123484858002,20662.150539654518,20251.04003448364,20256.187585018688,20251.558010771914,20745.715396644155,20813.123484858002,20662.150539654518,20251.04003448364,20256.187585018688,20251.558010771914,20780.2619760523,20847.67006426615,20696.69711906267,20285.586613891788,20290.73416442683,20286.104590180064,20745.715396644155,20813.123484858002,20662.150539654518,20251.04003448364,20256.187585018688,20251.558010771914,20745.715396644155,20813.123484858002,20662.150539654518,20251.04003448364,20256.187585018688,20251.558010771914,20780.2619760523,20847.67006426615,20696.69711906267,20285.586613891788,20290.73416442683,20286.104590180064
2025-05-31,20013.30184348608,20101.151124201384,19903.98336101128,19359.403708912407,19366.494717328093,19360.117247166036,20013.30184348608,20101.151124201384,19903.98336101128,19359.403708912407,19366.494717328093,19360.117247166036,20054.13464665253,20141.983927367834,19944.81616417774,19400.236512078853,19407.32752049455,19400.950050332485,20013.30184348608,20101.151124201384,19903.98336101128,19359.403708912407,19366.494717328093,19360.117247166036,20013.30184348608,20101.151124201384,19903.98336101128,19359.403708912407,19366.494717328093,19360.117247166036,20054.13464665253,20141.983927367834,19944.81616417774,19400.236512078853,19407.32752049455,19400.950050332485,20113.90051987381,20201.749800589114,20004.582037399014,19460.002385300137,19467.093393715822,19460.715923553762,20113.90051987381,20201.749800589114,20004.582037399014,19460.002385300137,19467.093393715822,19460.715923553762,20154.73332304026,20242.582603755567,20045.414840565467,19500.83518846659,19507.92619688228,19501.548726720215,20113.90051987381,20201.749800589114,20004.582037399014,19460.002385300137,19467.093393715822,19460.715923553762,20113.90051987381,20201.749800589114,20004.582037399014,19460.002385300137,19467.093393715822,19460.715923553762,20154.73332304026,20242.582603755567,20045.414840565467,19500.83518846659,19507.92619688228,19501.548726720215,20217.129227016772,20304.978507732085,20107.810744541985,19563.2310924431,19570.322100858797,19563.944630696737,20217.129227016772,20304.978507732085,20107.810744541985,19563.2310924431,19570.322100858797,19563.944630696737,20257.962030183226,20345.811310898534,20148.64354770843,19604.063895609557,19611.154904025247,19604.777433863186,20217.129227016772,20304.978507732085,20107.810744541985,19563.2310924431,19570.322100858797,19563.944630696737,20217.129227016772,20304.978507732085,20107.810744541985,19563.2310924431,19570.322100858797,19563.944630696737,20257.962030183226,20345.811310898534,20148.64354770843,19604.063895609557,19611.154904025247,19604.777433863186
2025-06-30,23026.099512099565,23132.560369320607,22893.18959506249,22223.75000800677,22232.800258983676,22224.66069657156,23026.099512099565,23132.560369320607,22893.18959506249,22223.75000800677,22232.800258983676,22224.66069657156,23066.897716204512,23173.358573425558,22933.987799167444,22264.548212111724,22273.598463088627,22265.45890067651,23026.099512099565,23132.560369320607,22893.18959506249,22223.75000800677,22232.800258983676,22224.66069657156,23026.099512099565,23132.560369320607,22893.18959506249,22223.75000800677,22232.800258983676,22224.66069657156,23066.897716204512,23173.358573425558,22933.987799167444,22264.548212111724,22273.598463088627,22265.45890067651,23143.67878437343,23250.139641594473,23010.76886733636,22341.32928028064,22350.379531257542,22342.239968845428,23143.67878437343,23250.139641594473,23010.76886733636,22341.32928028064,22350.379531257542,22342.239968845428,23184.476988478385,23290.937845699424,23051.567071441306,22382.127484385594,22391.177735362497,22383.038172950375,23143.67878437343,23250.139641594473,23010.76886733636,22341.32928028064,22350.379531257542,22342.239968845428,23143.67878437343,23250.139641594473,23010.76886733636,22341.32928028064,22350.379531257542,22342.239968845428,23184.476988478385,23290.937845699424,23051.567071441306,22382.127484385594,22391.177735362497,22383.038172950375,23263.79135442724,23370.252211648283,23130.881437390173,22461.44185033446,22470.492101311356,22462.35253889924,23263.79135442724,23370.252211648283,23130.881437390173,22461.44185033446,22470.492101311356,22462.35253889924,23304.589558532192,23411.050415753238,23171.67964149512,22502.240054439404,22511.290305416307,22503.150743004193,23263.79135442724,23370.252211648283,23130.881437390173,22461.44185033446,22470.492101311356,22462.35253889924,23263.79135442724,23370.252211648283,23130.881437390173,22461.44185033446,22470.492101311356,22462.35253889924,23304.589558532192,23411.050415753238,23171.67964149512,22502.240054439404,22511.290305416307,22503.150743004193
2025-07-31,19366.944720357267,19491.575096767872,19210.8833237002,18416.628998954333,18427.78779459833,18417.75186147115,19366.944720357267,19491.575096767872,19210.8833237002,18416.628998954333,18427.78779459833,18417.75186147115,19409.385359732227,19534.01573614283,19253.32396307516,18459.069638329293,18470.228433973294,18460.192500846108,19366.944720357267,19491.575096767872,19210.8833237002,18416.628998954333,18427.78779459833,18417.75186147115,19366.944720357267,19491.575096767872,19210.8833237002,18416.628998954333,18427.78779459833,18417.75186147115,19409.385359732227,19534.01573614283,19253.32396307516,18459.069638329293,18470.228433973294,18460.192500846108,19476.34900713268,19600.979383543283,19320.287610475607,18526.033285729736,18537.192081373738,18527.15614824656,19476.34900713268,19600.979383543283,19320.287610475607,18526.033285729736,18537.192081373738,18527.15614824656,19518.789646507637,19643.420022918235,19362.728249850566,18568.473925104696,18579.632720748694,18569.59678762151,19476.34900713268,19600.979383543283,19320.287610475607,18526.033285729736,18537.192081373738,18527.15614824656,19476.34900713268,19600.979383543283,19320.287610475607,18526.033285729736,18537.192081373738,18527.15614824656,19518.789646507637,19643.420022918235,19362.728249850566,18568.473925104696,18579.632720748694,18569.59678762151,19588.64335768869,19713.273734099294,19432.58196103162,18638.327636285743,18649.486431929752,18639.450498802566,19588.64335768869,19713.273734099294,19432.58196103162,18638.327636285743,18649.486431929752,18639.450498802566,19631.083997063637,19755.714373474246,19475.022600406566,18680.7682756607,18691.9270713047,18681.89113817752,19588.64335768869,19713.273734099294,19432.58196103162,18638.327636285743,18649.486431929752,18639.450498802566,19588.64335768869,19713.273734099294,19432.58196103162,18638.327636285743,18649.486431929752,18639.450498802566,19631.083997063637,19755.714373474246,19475.022600406566,18680.7682756607,18691.9270713047,18681.89113817752
2025-08-31,23033.500810586796,23175.342726961746,22855.407825005124,21940.40592719515,21953.761640894936,21941.749856305185,23033.500810586796,23175.342726961746,22855.407825005124,21940.40592719515,21953.761640894936,21941.749856305185,23080.516114555805,23222.358030930754,22902.42312897414,21987.42123116416,22000.77694486395,21988.765160274193,23033.500810586796,23175.342726961746,22855.407825005124,21940.40592719515,21953.761640894936,21941.749856305185,23033.500810586796,23175.342726961746,22855.407825005124,21940.40592719515,21953.761640894936,21941.749856305185,23080.516114555805,23222.358030930754,22902.42312897414,21987.42123116416,22000.77694486395,21988.765160274193,23135.444053636274,23277.285970011217,22957.35106805461,22042.34917024463,22055.70488394441,22043.693099354663,23135.444053636274,23277.285970011217,22957.35106805461,22042.34917024463,22055.70488394441,22043.693099354663,23182.459357605283,23324.30127398024,23004.366372023615,22089.36447421364,22102.720187913423,22090.708403323675,23135.444053636274,23277.285970011217,22957.35106805461,22042.34917024463,22055.70488394441,22043.693099354663,23135.444053636274,23277.285970011217,22957.35106805461,22042.34917024463,22055.70488394441,22043.693099354663,23182.459357605283,23324.30127398024,23004.366372023615,22089.36447421364,22102.720187913423,22090.708403323675,23240.087870627794,23381.929787002748,23061.99488504613,22146.99298723615,22160.34870093594,22148.33691634619,23240.087870627794,23381.929787002748,23061.99488504613,22146.99298723615,22160.34870093594,22148.33691634619,23287.10317459681,23428.94509097176,23109.010189015145,22194.008291205162,22207.36400490495,22195.3522203152,23240.087870627794,23381.929787002748,23061.99488504613,22146.99298723615,22160.34870093594,22148.33691634619,23240.087870627794,23381.929787002748,23061.99488504613,22146.99298723615,22160.34870093594,22148.33691634619,23287.10317459681,23428.94509097176,23109.010189015145,22194.008291205162,22207.36400490495,22195.3522203152
2025-09-30,24186.34887763441,24344.0309887829,23987.899910691653,22959.74705111064,22975.3158637434,22961.31367502728,24186.34887763441,24344.0309887829,23987.899910691653,22959.74705111064,22975.3158637434,22961.31367502728,24232.476172512233,24390.158283660727,24034.027205569477,23005.874345988468,23021.443158621223,23007.4409699051,24186.34887763441,24344.0309887829,23987.899910691653,22959.74705111064,22975.3158637434,22961.31367502728,24186.34887763441,24344.0309887829,23987.899910691653,22959.74705111064,22975.3158637434,22961.31367502728,24232.476172512233,24390.158283660727,24034.027205569477,23005.874345988468,23021.443158621223,23007.4409699051,24266.342480516425,24424.024591664915,24067.893513573665,23039.74065399265,23055.30946662541,23041.307277909287,24266.342480516425,24424.024591664915,24067.893513573665,23039.74065399265,23055.30946662541,23041.307277909287,24312.46977539425,24470.15188654274,24114.02080845149,23085.867948870477,23101.43676150324,23087.43457278711,24266.342480516425,24424.024591664915,24067.893513573665,23039.74065399265,23055.30946662541,23041.307277909287,24266.342480516425,24424.024591664915,24067.893513573665,23039.74065399265,23055.30946662541,23041.307277909287,24312.46977539425,24470.15188654274,24114.02080845149,23085.867948870477,23101.43676150324,23087.43457278711,24348.762284725304,24506.444395873794,24150.31331778254,23122.160458201524,23137.729270834287,23123.727082118166,24348.762284725304,24506.444395873794,24150.31331778254,23122.160458201524,23137.729270834287,23123.727082118166,24394.88957960313,24552.57169075161,24196.440612660364,23168.287753079352,23183.856565712118,23169.85437699599,24348.762284725304,24506.444395873794,24150.31331778254,23122.160458201524,23137.729270834287,23123.727082118166,24348.762284725304,24506.444395873794,24150.31331778254,23122.160458201524,23137.729270834287,23123.727082118166,24394.88957960313,24552.57169075161,24196.440612660364,23168.287753079352,23183.856565712118,23169.85437699599
2025-10-31,20083.712570237956,20257.002244278163,19865.137490430883,18723.735238174926,18741.683918955056,18725.54133818046,20083.712570237956,20257.002244278163,19865.137490430883,18723.735238174926,18741.683918955056,18725.54133818046,20131.880551709677,20305.170225749884,19913.305471902604,18771.903219646643,18789.85190042677,18773.70931965218,20083.712570237956,20257.002244278163,19865.137490430883,18723.735238174926,18741.683918955056,18725.54133818046,20083.712570237956,20257.002244278163,19865.137490430883,18723.735238174926,18741.683918955056,18725.54133818046,20131.880551709677,20305.170225749884,19913.305471902604,18771.903219646643,18789.85190042677,18773.70931965218,20139.169862025356,20312.459536065562,19920.594782218282,18779.192529962325,18797.14121074245,18780.998629967853,20139.169862025356,20312.459536065562,19920.594782218282,18779.192529962325,18797.14121074245,18780.998629967853,20187.33784349708,20360.62751753728,19968.762763690003,18827.360511434046,18845.30919221417,18829.166611439585,20139.169862025356,20312.459536065562,19920.594782218282,18779.192529962325,18797.14121074245,18780.998629967853,20139.169862025356,20312.459536065562,19920.594782218282,18779.192529962325,18797.14121074245,18780.998629967853,20187.33784349708,20360.62751753728,19968.762763690003,18827.360511434046,18845.30919221417,18829.166611439585,20198.266695139188,20371.556369179394,19979.69161533211,18838.289363076157,18856.238043856276,18840.09546308169,20198.266695139188,20371.556369179394,19979.69161533211,18838.289363076157,18856.238043856276,18840.09546308169,20246.434676610905,20419.724350651115,20027.859596803828,18886.45734454787,18904.40602532799,18888.263444553406,20198.266695139188,20371.556369179394,19979.69161533211,18838.289363076157,18856.238043856276,18840.09546308169,20198.266695139188,20371.556369179394,19979.69161533211,18838.289363076157,18856.238043856276,18840.09546308169,20246.434676610905,20419.724350651115,20027.859596803828,18886.45734454787,18904.40602532799,18888.263444553406
