Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026,106.08463881820947,106.88528657744448,105.03641066414822,98.85352383660457,99.02008519234113,98.87029252532346,106.08463881820947,106.88528657744448,105.03641066414822,98.85352383660457,99.02008519234113,98.87029252532346,106.26666586254396,107.06466577551022,105.22189388418519,99.05929034598007,99.22537610358955,99.07601113544314,106.08463881820947,106.88528657744448,105.03641066414822,98.85352383660457,99.02008519234113,98.87029252532346,106.08463881820947,106.88528657744448,105.03641066414822,98.85352383660457,99.02008519234113,98.87029252532346,106.26666586254396,107.06466577551022,105.22189388418519,99.05929034598007,99.22537610358955,99.07601113544314,106.20213428530765,106.99949773651723,105.15822481787886,99.00127464192926,99.16717698394649,99.01797695518208,106.20213428530765,106.99949773651723,105.15822481787886,99.00127464192926,99.16717698394649,99.01797695518208,106.38331326880032,107.17804898535255,105.34283356484704,99.206008106761,99.37143849216815,99.22266288764804,106.20213428530765,106.99949773651723,105.15822481787886,99.00127464192926,99.16717698394649,99.01797695518208,106.20213428530765,106.99949773651723,105.15822481787886,99.00127464192926,99.16717698394649,99.01797695518208,106.38331326880032,107.17804898535255,105.34283356484704,99.206008106761,99.37143849216815,99.22266288764804,106.32675427648968,107.12070593252659,105.2873302524475,99.15730094514207,99.32252014397723,99.17393445291346,106.32675427648968,107.12070593252659,105.2873302524475,99.15730094514207,99.32252014397723,99.17393445291346,106.50705084243101,107.29839555350216,105.47102928331908,99.36096088843458,99.52571188960225,99.37754724255916,106.32675427648968,107.12070593252659,105.2873302524475,99.15730094514207,99.32252014397723,99.17393445291346,106.32675427648968,107.12070593252659,105.2873302524475,99.15730094514207,99.32252014397723,99.17393445291346,106.50705084243101,107.29839555350216,105.47102928331908,99.36096088843458,99.52571188960225,99.37754724255916
2027,108.99049345837979,110.30459876243539,107.25512327082687,97.04392750835062,97.46827467405848,97.08664897575845,108.99049345837979,110.30459876243539,107.25512327082687,97.04392750835062,97.46827467405848,97.08664897575845,109.35208793364397,110.66150635102123,107.62285517574458,97.44741781731044,97.87061978813477,97.49002394535152,108.99049345837979,110.30459876243539,107.25512327082687,97.04392750835062,97.46827467405848,97.08664897575845,108.99049345837979,110.30459876243539,107.25512327082687,97.04392750835062,97.46827467405848,97.08664897575845,109.35208793364397,110.66150635102123,107.62285517574458,97.44741781731044,97.87061978813477,97.49002394535152,109.15876307962944,110.46761103945917,107.4303617348384,97.26104744430337,97.68380324949132,97.3036086269958,109.15876307962944,110.46761103945917,107.4303617348384,97.26104744430337,97.68380324949132,97.3036086269958,109.51880822662736,110.82300401025643,107.79649857582967,97.6626695126379,98.08428856137311,97.70511620619547,109.15876307962944,110.46761103945917,107.4303617348384,97.26104744430337,97.68380324949132,97.3036086269958,109.15876307962944,110.46761103945917,107.4303617348384,97.26104744430337,97.68380324949132,97.3036086269958,109.51880822662736,110.82300401025643,107.79649857582967,97.6626695126379,98.08428856137311,97.70511620619547,109.34126916400379,110.64463588437192,107.62013075580717,97.49442142931535,97.91552641454582,97.53681633919142,109.34126916400379,110.64463588437192,107.62013075580717,97.49442142931535,97.91552641454582,97.53681633919142,109.69969562750576,110.99844613089573,107.98460154268335,97.89409469512509,98.31407164114707,97.93637599418552,109.34126916400379,110.64463588437192,107.62013075580717,97.49442142931535,97.91552641454582,97.53681633919142,109.34126916400379,110.64463588437192,107.62013075580717,97.49442142931535,97.91552641454582,97.53681633919142,109.69969562750576,110.99844613089573,107.98460154268335,97.89409469512509,98.31407164114707,97.93637599418552
2028,109.80425991076048,111.48067050962321,107.58034749292118,95.23507958575462,96.04442684640541,95.31656122487392,109.80425991076048,111.48067050962321,107.58034749292118,95.23507958575462,96.04442684640541,95.31656122487392,110.33124240425427,112.00131742021917,108.1156339638181,95.81693619738562,96.62420261463879,95.89820825826412,109.80425991076048,111.48067050962321,107.58034749292118,95.23507958575462,96.04442684640541,95.31656122487392,109.80425991076048,111.48067050962321,107.58034749292118,95.23507958575462,96.04442684640541,95.31656122487392,110.33124240425427,112.00131742021917,108.1156339638181,95.81693619738562,96.62420261463879,95.89820825826412,110.02136951496624,111.69106003027052,107.80639793161777,95.51228600275374,96.31867338379124,95.59346951395342,110.02136951496624,111.69106003027052,107.80639793161777,95.51228600275374,96.31867338379124,95.59346951395342,110.54615247607069,112.20955409899985,108.33942330036248,96.09152634795208,96.89584793943352,96.17250179775148,110.02136951496624,111.69106003027052,107.80639793161777,95.51228600275374,96.31867338379124,95.59346951395342,110.02136951496624,111.69106003027052,107.80639793161777,95.51228600275374,96.31867338379124,95.59346951395342,110.54615247607069,112.20955409899985,108.33942330036248,96.09152634795208,96.89584793943352,96.17250179775148,110.25946097193476,111.92213063717342,108.05382583768652,95.81308937165132,96.61640698202089,95.8939636877671,110.25946097193476,111.92213063717342,108.05382583768652,95.81308937165132,96.61640698202089,95.8939636877671,110.78194243639612,112.43837162974839,108.58448587486251,96.38959637477487,97.19086374602182,96.4702641963588,110.25946097193476,111.92213063717342,108.05382583768652,95.81308937165132,96.61640698202089,95.8939636877671,110.25946097193476,111.92213063717342,108.05382583768652,95.81308937165132,96.61640698202089,95.8939636877671,110.78194243639612,112.43837162974839,108.58448587486251,96.38959637477487,97.19086374602182,96.4702641963588
2029,110.36081750534179,112.31908875981804,107.75577725680768,94.97308065597795,96.3417836253472,95.11087584826909,110.36081750534179,112.31908875981804,107.75577725680768,94.97308065597795,96.3417836253472,95.11087584826909,111.03882244585918,112.98935417086635,108.44392813828894,95.71438021541594,97.07969786243157,95.85183443939358,110.36081750534179,112.31908875981804,107.75577725680768,94.97308065597795,96.3417836253472,95.11087584826909,110.36081750534179,112.31908875981804,107.75577725680768,94.97308065597795,96.3417836253472,95.11087584826909,111.03882244585918,112.98935417086635,108.44392813828894,95.71438021541594,97.07969786243157,95.85183443939358,110.62422233560225,112.57459056510567,108.0297177956946,95.30145576981208,96.66523044514813,95.43875456593973,110.62422233560225,112.57459056510567,108.0297177956946,95.30145576981208,96.66523044514813,95.43875456593973,111.29943048921498,113.24211618757272,108.71499672376883,96.03947591245947,97.39988946508333,96.1764361787306,110.62422233560225,112.57459056510567,108.0297177956946,95.30145576981208,96.66523044514813,95.43875456593973,110.62422233560225,112.57459056510567,108.0297177956946,95.30145576981208,96.66523044514813,95.43875456593973,111.29943048921498,113.24211618757272,108.71499672376883,96.03947591245947,97.39988946508333,96.1764361787306,110.91471440254439,112.85681471371535,108.33122578211704,95.65988486791043,97.0185502518536,95.79666903937417,110.91471440254439,112.85681471371535,108.33122578211704,95.65988486791043,97.0185502518536,95.79666903937417,111.58699416472373,113.52147108944001,109.01349834268173,96.39447606943693,97.74980532270772,96.5309242293317,110.91471440254439,112.85681471371535,108.33122578211704,95.65988486791043,97.0185502518536,95.79666903937417,110.91471440254439,112.85681471371535,108.33122578211704,95.65988486791043,97.0185502518536,95.79666903937417,111.58699416472373,113.52147108944001,109.01349834268173,96.39447606943693,97.74980532270772,96.5309242293317
2030,111.24940831316843,113.4467495854064,108.32090616907803,96.70911101381975,98.85121678904649,96.92476911043457,111.24940831316843,113.4467495854064,108.32090616907803,96.70911101381975,98.85121678904649,96.92476911043457,112.08007451506164,114.26835213993019,109.16345053610263,97.60793858477714,99.74489002780201,97.82307753278747,111.24940831316843,113.4467495854064,108.32090616907803,96.70911101381975,98.85121678904649,96.92476911043457,111.24940831316843,113.4467495854064,108.32090616907803,96.70911101381975,98.85121678904649,96.92476911043457,112.08007451506164,114.26835213993019,109.16345053610263,97.60793858477714,99.74489002780201,97.82307753278747,111.5603804048159,113.7487703118117,108.64382456493647,97.0842005711824,99.21866960746019,97.29908946327926,111.5603804048159,113.7487703118117,108.64382456493647,97.0842005711824,99.21866960746019,97.29908946327926,112.38764448500298,114.5670375528737,109.48287874357369,97.97910186715501,100.10845311969842,98.19347529350804,111.5603804048159,113.7487703118117,108.64382456493647,97.0842005711824,99.21866960746019,97.29908946327926,111.5603804048159,113.7487703118117,108.64382456493647,97.0842005711824,99.21866960746019,97.29908946327926,112.38764448500298,114.5670375528737,109.48287874357369,97.97910186715501,100.10845311969842,98.19347529350804,111.90452145462953,114.08353614204023,109.00046971046082,97.49557410682985,99.62212847351066,97.70966580339959,111.90452145462953,114.08353614204023,109.00046971046082,97.49557410682985,99.62212847351066,97.70966580339959,112.72822204386898,114.89830924551205,109.8358690018721,98.38636780765732,100.50784212741873,98.59994784106755,111.90452145462953,114.08353614204023,109.00046971046082,97.49557410682985,99.62212847351066,97.70966580339959,111.90452145462953,114.08353614204023,109.00046971046082,97.49557410682985,99.62212847351066,97.70966580339959,112.72822204386898,114.89830924551205,109.8358690018721,98.38636780765732,100.50784212741873,98.59994784106755
2031,111.72064307219199,114.10129210512281,108.54346556769845,99.64624138361492,102.73400149332225,99.95710393567174,111.67725454692408,114.05813952120081,108.49977706437126,99.6009413136168,102.68872642135969,99.9118063823695,112.34558132800534,114.71790304747552,109.17938461161671,100.32493043280488,103.40560048214567,100.63507885276334,111.72064307219199,114.10129210512281,108.54346556769845,99.64624138361492,102.73400149332225,99.95710393567174,111.67725454692408,114.05813952120081,108.49977706437126,99.6009413136168,102.68872642135969,99.9118063823695,112.34558132800534,114.71790304747552,109.17938461161671,100.32493043280488,103.40560048214567,100.63507885276334,112.08101244346507,114.45183624096549,108.91695409179347,100.06433860760502,103.1411580710802,100.3740991684053,112.03776817250971,114.4088263493279,108.8734118409932,100.01919575955196,103.09604004789108,100.3289588196096,112.70312850518935,115.06568803692434,109.54996740674474,100.73977047897004,103.8095499250662,101.0488219505024,112.08101244346507,114.45183624096549,108.91695409179347,100.06433860760502,103.1411580710802,100.3740991684053,112.03776817250971,114.4088263493279,108.8734118409932,100.01919575955196,103.09604004789108,100.3289588196096,112.70312850518935,115.06568803692434,109.54996740674474,100.73977047897004,103.8095499250662,101.0488219505024,112.48563384311451,114.84612914791204,109.33535546257946,100.52997318317496,103.59545349947264,100.83859161870625,112.44253890898736,114.80326698147512,109.29196461014207,100.48499304796503,103.55049801054062,100.79361396477005,113.10476815877377,115.45706486773253,109.96530005952604,101.20196954642229,104.2604615207345,101.50988409998236,112.48563384311451,114.84612914791204,109.33535546257946,100.52997318317496,103.59545349947264,100.83859161870625,112.44253890898736,114.80326698147512,109.29196461014207,100.48499304796503,103.55049801054062,100.79361396477005,113.10476815877377,115.45706486773253,109.96530005952604,101.20196954642229,104.2604615207345,101.50988409998236
2032,108.71824308404202,111.1810207189758,105.42809863978033,100.2453748717202,104.25414837580966,100.64896113419613,108.63662512381502,111.09984658695609,105.34591639217183,100.16016111327704,104.16898164105903,100.56375210989827,109.13808939226814,111.5934823806209,105.8577478828127,100.70211780877352,104.70192011747852,101.10480045453643,108.71824308404202,111.1810207189758,105.42809863978033,100.2453748717202,104.25414837580966,100.64896113419613,108.63662512381502,111.09984658695609,105.34591639217183,100.16016111327704,104.16898164105903,100.56375210989827,109.13808939226814,111.5934823806209,105.8577478828127,100.70211780877352,104.70192011747852,101.10480045453643,109.11994498367076,111.57240179134271,105.84358266942098,100.69411950676863,104.68874072820273,101.09628028494393,109.03859837958396,111.49149607713902,105.76167553678475,100.60920149782095,104.60386941719526,101.01136697733813,109.53756367216998,111.98269357858577,106.27092739402025,101.14830743022138,105.13402058666466,101.54957095345955,109.11994498367076,111.57240179134271,105.84358266942098,100.69411950676863,104.68874072820273,101.09628028494393,109.03859837958396,111.49149607713902,105.76167553678475,100.60920149782095,104.60386941719526,101.01136697733813,109.53756367216998,111.98269357858577,106.27092739402025,101.14830743022138,105.13402058666466,101.54957095345955,109.57938120024329,112.02093306194396,106.31756573782927,101.20402393943235,105.18397544536595,101.60470712135378,109.49831551299407,111.94030523295262,106.2359433999743,101.11941200888393,105.09940987682029,101.52009985831822,109.99460937654074,112.428894794342,106.74243949470304,101.65547641515475,105.62658505716733,102.05526891254028,109.57938120024329,112.02093306194396,106.31756573782927,101.20402393943235,105.18397544536595,101.60470712135378,109.49831551299407,111.94030523295262,106.2359433999743,101.11941200888393,105.09940987682029,101.52009985831822,109.99460937654074,112.428894794342,106.74243949470304,101.65547641515475,105.62658505716733,102.05526891254028
2033,100.45112812477741,102.84319543124552,97.25293107281121,95.64970509173544,100.23643267586844,96.11147731228795,100.34156769411415,102.73423077643112,97.14261316709756,95.5353178165879,100.1221085232982,95.99709639205297,100.6767673150268,103.06265046953405,97.4868403081312,95.89571309716167,100.47232838436709,96.35646675703128,100.45112812477741,102.84319543124552,97.25293107281121,95.64970509173544,100.23643267586844,96.11147731228795,100.34156769411415,102.73423077643112,97.14261316709756,95.5353178165879,100.1221085232982,95.99709639205297,100.6767673150268,103.06265046953405,97.4868403081312,95.89571309716167,100.47232838436709,96.35646675703128,100.86768547336187,103.2495852548709,97.68306510969322,96.10121497961836,100.67178397114347,96.56135962924692,100.75848929948108,103.14098091255926,97.57311650645615,95.98722470584167,100.5578563826682,96.44737566634882,101.09171051834713,103.4674762968564,97.91529307001628,96.3453917809047,100.90591950728809,96.80452502795124,100.86768547336187,103.2495852548709,97.68306510969322,96.10121497961836,100.67178397114347,96.56135962924692,100.75848929948108,103.14098091255926,97.57311650645615,95.98722470584167,100.5578563826682,96.44737566634882,101.09171051834713,103.4674762968564,97.91529307001628,96.3453917809047,100.90591950728809,96.80452502795124,101.35048196959993,103.72159297057281,98.18024987400678,96.62231181854116,101.17613015366737,97.08076926901266,101.24166288636954,103.61336164938848,98.07068356700451,96.50873241121033,101.06261298069003,96.96719612714983,101.57273529072258,103.93776508266382,98.41063551063148,96.86448431324429,101.4083347524801,97.32193775474161,101.35048196959993,103.72159297057281,98.18024987400678,96.62231181854116,101.17613015366737,97.08076926901266,101.24166288636954,103.61336164938848,98.07068356700451,96.50873241121033,101.06261298069003,96.96719612714983,101.57273529072258,103.93776508266382,98.41063551063148,96.86448431324429,101.4083347524801,97.32193775474161
2034,88.90740216331284,91.11508700295047,85.95386686361844,86.74847728739768,91.45212214774698,87.22202024193624,88.78169993506727,90.99006832761974,85.82729555973036,86.61723706424466,91.32095434716997,87.09078730998009,88.97293662601096,91.17568843544684,86.02605320146057,86.82159126322048,91.51496471456409,87.29409962565308,88.90740216331284,91.11508700295047,85.95386686361844,86.74847728739768,91.45212214774698,87.22202024193624,88.78169993506727,90.99006832761974,85.82729555973036,86.61723706424466,91.32095434716997,87.09078730998009,88.97293662601096,91.17568843544684,86.02605320146057,86.82159126322048,91.51496471456409,87.29409962565308,89.31501108684384,91.513186596972,86.3741717805651,87.1814746230225,91.86856551210697,87.65335018139041,89.18972678219471,91.38858131983795,86.2480241893616,87.05068989239199,91.73785270235174,87.5225726914352,89.37948119318627,91.57276535971512,86.44523766094767,87.25339630304931,91.93028787208767,87.72424453400176,89.31501108684384,91.513186596972,86.3741717805651,87.1814746230225,91.86856551210697,87.65335018139041,89.18972678219471,91.38858131983795,86.2480241893616,87.05068989239199,91.73785270235174,87.5225726914352,89.37948119318627,91.57276535971512,86.44523766094767,87.25339630304931,91.93028787208767,87.72424453400176,89.79266974173653,91.98071525625548,86.86533578602507,87.68771871897899,92.3576473287315,88.1578656169781,89.6678180853959,91.85653795833443,86.73962681566553,87.55740538872035,92.227405401961,88.0275594752937,89.85592861806369,92.03912694570955,86.93513109442934,87.75828772390662,92.41809148377041,88.22741479909493,89.79266974173653,91.98071525625548,86.86533578602507,87.68771871897899,92.3576473287315,88.1578656169781,89.6678180853959,91.85653795833443,86.73962681566553,87.55740538872035,92.227405401961,88.0275594752937,89.85592861806369,92.03912694570955,86.93513109442934,87.75828772390662,92.41809148377041,88.22741479909493
