Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025-01-31,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13981.802562991856,13981.802562991856,13981.802562991856,13981.802562991856,13981.802562991856,13981.802562991856,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13954.646027323453,13981.802562991856,13981.802562991856,13981.802562991856,13981.802562991856,13981.802562991856,13981.802562991856,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13995.27236643735,13995.27236643735,13995.27236643735,13995.27236643735,13995.27236643735,13995.27236643735,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13968.115830768944,13995.27236643735,13995.27236643735,13995.27236643735,13995.27236643735,13995.27236643735,13995.27236643735,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,14010.436432710052,14010.436432710052,14010.436432710052,14010.436432710052,14010.436432710052,14010.436432710052,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,13983.279897041646,14010.436432710052,14010.436432710052,14010.436432710052,14010.436432710052,14010.436432710052,14010.436432710052
2025-02-28,13232.069782387669,13249.337957797987,13210.856082145961,13109.428390271698,13110.602664965028,13109.54655257878,13232.069782387669,13249.337957797987,13210.856082145961,13109.428390271698,13110.602664965028,13109.54655257878,13254.403088028912,13271.671263439235,13233.189387787208,13131.761695912943,13132.935970606273,13131.879858220025,13232.069782387669,13249.337957797987,13210.856082145961,13109.428390271698,13110.602664965028,13109.54655257878,13232.069782387669,13249.337957797987,13210.856082145961,13109.428390271698,13110.602664965028,13109.54655257878,13254.403088028912,13271.671263439235,13233.189387787208,13131.761695912943,13132.935970606273,13131.879858220025,13253.26773765461,13270.535913064936,13232.054037412907,13130.626345538643,13131.800620231972,13130.744507845728,13253.26773765461,13270.535913064936,13232.054037412907,13130.626345538643,13131.800620231972,13130.744507845728,13275.60104329586,13292.869218706179,13254.387343054155,13152.959651179888,13154.133925873224,13153.07781348697,13253.26773765461,13270.535913064936,13232.054037412907,13130.626345538643,13131.800620231972,13130.744507845728,13253.26773765461,13270.535913064936,13232.054037412907,13130.626345538643,13131.800620231972,13130.744507845728,13275.60104329586,13292.869218706179,13254.387343054155,13152.959651179888,13154.133925873224,13153.07781348697,13276.315048920998,13293.58322433132,13255.101348679293,13153.67365680503,13154.847931498363,13153.791819112112,13276.315048920998,13293.58322433132,13255.101348679293,13153.67365680503,13154.847931498363,13153.791819112112,13298.648354562243,13315.91652997257,13277.434654320543,13176.00696244627,13177.181237139604,13176.125124753358,13276.315048920998,13293.58322433132,13255.101348679293,13153.67365680503,13154.847931498363,13153.791819112112,13276.315048920998,13293.58322433132,13255.101348679293,13153.67365680503,13154.847931498363,13153.791819112112,13298.648354562243,13315.91652997257,13277.434654320543,13176.00696244627,13177.181237139604,13176.125124753358
2025-03-31,12850.591824621226,12885.557701901478,12807.42494552688,12597.870495798588,12600.395758780483,12598.124602356136,12850.591824621226,12885.557701901478,12807.42494552688,12597.870495798588,12600.395758780483,12598.124602356136,12875.118025024029,12910.083902304277,12831.95114592968,12622.39669620139,12624.92195918329,12622.650802758937,12850.591824621226,12885.557701901478,12807.42494552688,12597.870495798588,12600.395758780483,12598.124602356136,12850.591824621226,12885.557701901478,12807.42494552688,12597.870495798588,12600.395758780483,12598.124602356136,12875.118025024029,12910.083902304277,12831.95114592968,12622.39669620139,12624.92195918329,12622.650802758937,12891.524378115715,12926.49025539597,12848.357499021366,12638.803049293077,12641.328312274974,12639.057155850625,12891.524378115715,12926.49025539597,12848.357499021366,12638.803049293077,12641.328312274974,12639.057155850625,12916.050578518516,12951.016455798772,12872.883699424166,12663.329249695877,12665.854512677777,12663.583356253426,12891.524378115715,12926.49025539597,12848.357499021366,12638.803049293077,12641.328312274974,12639.057155850625,12891.524378115715,12926.49025539597,12848.357499021366,12638.803049293077,12641.328312274974,12639.057155850625,12916.050578518516,12951.016455798772,12872.883699424166,12663.329249695877,12665.854512677777,12663.583356253426,12934.273462487656,12969.239339767908,12891.106583393306,12681.552133665018,12684.077396646915,12681.806240222568,12934.273462487656,12969.239339767908,12891.106583393306,12681.552133665018,12684.077396646915,12681.806240222568,12958.799662890457,12993.765540170709,12915.632783796107,12706.078334067819,12708.603597049714,12706.332440625369,12934.273462487656,12969.239339767908,12891.106583393306,12681.552133665018,12684.077396646915,12681.806240222568,12934.273462487656,12969.239339767908,12891.106583393306,12681.552133665018,12684.077396646915,12681.806240222568,12958.799662890457,12993.765540170709,12915.632783796107,12706.078334067819,12708.603597049714,12706.332440625369
2025-04-30,15537.835088901216,15588.711205563615,15474.76468406205,15164.479871416754,15168.364974651184,15164.870812960546,15537.835088901216,15588.711205563615,15474.76468406205,15164.479871416754,15168.364974651184,15164.870812960546,15563.909049027186,15614.785165689582,15500.83864418802,15190.553831542726,15194.43893477715,15190.944773086514,15537.835088901216,15588.711205563615,15474.76468406205,15164.479871416754,15168.364974651184,15164.870812960546,15537.835088901216,15588.711205563615,15474.76468406205,15164.479871416754,15168.364974651184,15164.870812960546,15563.909049027186,15614.785165689582,15500.83864418802,15190.553831542726,15194.43893477715,15190.944773086514,15596.822519287995,15647.698635950395,15533.75211444883,15223.467301803534,15227.352405037958,15223.858243347324,15596.822519287995,15647.698635950395,15533.75211444883,15223.467301803534,15227.352405037958,15223.858243347324,15622.896479413963,15673.772596076362,15559.8260745748,15249.541261929504,15253.42636516393,15249.932203473294,15596.822519287995,15647.698635950395,15533.75211444883,15223.467301803534,15227.352405037958,15223.858243347324,15596.822519287995,15647.698635950395,15533.75211444883,15223.467301803534,15227.352405037958,15223.858243347324,15622.896479413963,15673.772596076362,15559.8260745748,15249.541261929504,15253.42636516393,15249.932203473294,15657.786249866971,15708.662366529372,15594.715845027808,15284.431032382508,15288.316135616942,15284.821973926302,15657.786249866971,15708.662366529372,15594.715845027808,15284.431032382508,15288.316135616942,15284.821973926302,15683.860209992941,15734.73632665534,15620.789805153778,15310.504992508479,15314.390095742909,15310.895934052274,15657.786249866971,15708.662366529372,15594.715845027808,15284.431032382508,15288.316135616942,15284.821973926302,15657.786249866971,15708.662366529372,15594.715845027808,15284.431032382508,15288.316135616942,15284.821973926302,15683.860209992941,15734.73632665534,15620.789805153778,15310.504992508479,15314.390095742909,15310.895934052274
2025-05-31,15088.409739765682,15154.640987020251,15005.992452073297,14595.423471948649,14600.769518357218,14595.96142203904,15088.409739765682,15154.640987020251,15005.992452073297,14595.423471948649,14600.769518357218,14595.96142203904,15119.19436840002,15185.425615654585,15036.777080707641,14626.20810058298,14631.554146991557,14626.746050673375,15088.409739765682,15154.640987020251,15005.992452073297,14595.423471948649,14600.769518357218,14595.96142203904,15088.409739765682,15154.640987020251,15005.992452073297,14595.423471948649,14600.769518357218,14595.96142203904,15119.19436840002,15185.425615654585,15036.777080707641,14626.20810058298,14631.554146991557,14626.746050673375,15164.25299943801,15230.484246692577,15081.835711745625,14671.266731620972,14676.612778029545,14671.804681711363,15164.25299943801,15230.484246692577,15081.835711745625,14671.266731620972,14676.612778029545,14671.804681711363,15195.037628072345,15261.268875326914,15112.620340379963,14702.051360255311,14707.397406663884,14702.589310345702,15164.25299943801,15230.484246692577,15081.835711745625,14671.266731620972,14676.612778029545,14671.804681711363,15164.25299943801,15230.484246692577,15081.835711745625,14671.266731620972,14676.612778029545,14671.804681711363,15195.037628072345,15261.268875326914,15112.620340379963,14702.051360255311,14707.397406663884,14702.589310345702,15242.079089428566,15308.310336683136,15159.661801736189,14749.09282161153,14754.438868020106,14749.630771701926,15242.079089428566,15308.310336683136,15159.661801736189,14749.09282161153,14754.438868020106,14749.630771701926,15272.863718062905,15339.094965317474,15190.44643037052,14779.877450245871,14785.223496654444,14780.415400336262,15242.079089428566,15308.310336683136,15159.661801736189,14749.09282161153,14754.438868020106,14749.630771701926,15242.079089428566,15308.310336683136,15159.661801736189,14749.09282161153,14754.438868020106,14749.630771701926,15272.863718062905,15339.094965317474,15190.44643037052,14779.877450245871,14785.223496654444,14780.415400336262
2025-06-30,17339.937734105028,17420.108699854667,17239.84915051939,16735.72378833239,16742.539132300444,16736.409587635928,17339.937734105028,17420.108699854667,17239.84915051939,16735.72378833239,16742.539132300444,16736.409587635928,17370.661058238642,17450.832023988285,17270.57247465301,16766.44711246601,16773.26245643406,16767.132911769546,17339.937734105028,17420.108699854667,17239.84915051939,16735.72378833239,16742.539132300444,16736.409587635928,17339.937734105028,17420.108699854667,17239.84915051939,16735.72378833239,16742.539132300444,16736.409587635928,17370.661058238642,17450.832023988285,17270.57247465301,16766.44711246601,16773.26245643406,16767.132911769546,17428.481486770514,17508.652452520153,17328.392903184882,16824.267540997876,16831.08288496593,16824.953340301417,17428.481486770514,17508.652452520153,17328.392903184882,16824.267540997876,16831.08288496593,16824.953340301417,17459.20481090413,17539.37577665377,17359.116227318493,16854.990865131498,16861.806209099548,16855.676664435032,17428.481486770514,17508.652452520153,17328.392903184882,16824.267540997876,16831.08288496593,16824.953340301417,17428.481486770514,17508.652452520153,17328.392903184882,16824.267540997876,16831.08288496593,16824.953340301417,17459.20481090413,17539.37577665377,17359.116227318493,16854.990865131498,16861.806209099548,16855.676664435032,17518.93295401628,17599.10391976592,17418.84437043065,16914.71900824365,16921.534352211696,16915.40480754718,17518.93295401628,17599.10391976592,17418.84437043065,16914.71900824365,16921.534352211696,16915.40480754718,17549.656278149894,17629.827243899537,17449.567694564263,16945.442332377264,16952.257676345314,16946.1281316808,17518.93295401628,17599.10391976592,17418.84437043065,16914.71900824365,16921.534352211696,16915.40480754718,17518.93295401628,17599.10391976592,17418.84437043065,16914.71900824365,16921.534352211696,16915.40480754718,17549.656278149894,17629.827243899537,17449.567694564263,16945.442332377264,16952.257676345314,16946.1281316808
2025-07-31,14565.812597024264,14659.54667500639,14448.43935668309,13851.083407375101,13859.47589924751,13851.927908416868,14565.812597024264,14659.54667500639,14448.43935668309,13851.083407375101,13859.47589924751,13851.927908416868,14597.732056110846,14691.466134092967,14480.358815769672,13883.002866461684,13891.395358334094,13883.84736750345,14565.812597024264,14659.54667500639,14448.43935668309,13851.083407375101,13859.47589924751,13851.927908416868,14565.812597024264,14659.54667500639,14448.43935668309,13851.083407375101,13859.47589924751,13851.927908416868,14597.732056110846,14691.466134092967,14480.358815769672,13883.002866461684,13891.395358334094,13883.84736750345,14648.095185294716,14741.829263276837,14530.721944953539,13933.365995645549,13941.758487517956,13934.210496687318,14648.095185294716,14741.829263276837,14530.721944953539,13933.365995645549,13941.758487517956,13934.210496687318,14680.014644381297,14773.748722363416,14562.641404040121,13965.285454732131,13973.677946604537,13966.129955773895,14648.095185294716,14741.829263276837,14530.721944953539,13933.365995645549,13941.758487517956,13934.210496687318,14648.095185294716,14741.829263276837,14530.721944953539,13933.365995645549,13941.758487517956,13934.210496687318,14680.014644381297,14773.748722363416,14562.641404040121,13965.285454732131,13973.677946604537,13966.129955773895,14732.551380606932,14826.285458589055,14615.178140265756,14017.822190957762,14026.214682830176,14018.666691999531,14732.551380606932,14826.285458589055,14615.178140265756,14017.822190957762,14026.214682830176,14018.666691999531,14764.470839693506,14858.204917675634,14647.097599352328,14049.74165004434,14058.134141916751,14050.586151086112,14732.551380606932,14826.285458589055,14615.178140265756,14017.822190957762,14026.214682830176,14018.666691999531,14732.551380606932,14826.285458589055,14615.178140265756,14017.822190957762,14026.214682830176,14018.666691999531,14764.470839693506,14858.204917675634,14647.097599352328,14049.74165004434,14058.134141916751,14050.586151086112
2025-08-31,17299.651562933315,17406.184032768622,17165.892191238097,16478.66647849452,16488.697484865657,16479.675856335954,17299.651562933315,17406.184032768622,17165.892191238097,16478.66647849452,16488.697484865657,16479.675856335954,17334.9631025676,17441.495572402902,17201.20373087238,16513.9780181288,16524.009024499937,16514.987395970235,17299.651562933315,17406.184032768622,17165.892191238097,16478.66647849452,16488.697484865657,16479.675856335954,17299.651562933315,17406.184032768622,17165.892191238097,16478.66647849452,16488.697484865657,16479.675856335954,17334.9631025676,17441.495572402902,17201.20373087238,16513.9780181288,16524.009024499937,16514.987395970235,17376.21754386926,17482.75001370456,17242.458172174043,16555.232459430463,16565.263465801596,16556.241837271897,17376.21754386926,17482.75001370456,17242.458172174043,16555.232459430463,16565.263465801596,16556.241837271897,17411.529083503538,17518.061553338848,17277.769711808323,16590.543999064743,16600.575005435876,16591.55337690618,17376.21754386926,17482.75001370456,17242.458172174043,16555.232459430463,16565.263465801596,16556.241837271897,17376.21754386926,17482.75001370456,17242.458172174043,16555.232459430463,16565.263465801596,16556.241837271897,17411.529083503538,17518.061553338848,17277.769711808323,16590.543999064743,16600.575005435876,16591.55337690618,17454.811830819188,17561.344300654495,17321.052459123974,16633.82674638039,16643.857752751534,16634.83612422183,17454.811830819188,17561.344300654495,17321.052459123974,16633.82674638039,16643.857752751534,16634.83612422183,17490.12337045347,17596.65584028878,17356.363998758257,16669.138286014673,16679.169292385814,16670.147663856107,17454.811830819188,17561.344300654495,17321.052459123974,16633.82674638039,16643.857752751534,16634.83612422183,17454.811830819188,17561.344300654495,17321.052459123974,16633.82674638039,16643.857752751534,16634.83612422183,17490.12337045347,17596.65584028878,17356.363998758257,16669.138286014673,16679.169292385814,16670.147663856107
2025-09-30,18139.59479893304,18257.8552944607,17990.759442806295,17219.651891248148,17231.328393314976,17220.826848377637,18139.59479893304,18257.8552944607,17990.759442806295,17219.651891248148,17231.328393314976,17220.826848377637,18174.189951863646,18292.450447391304,18025.354595736895,17254.24704417875,17265.923546245576,17255.422001308234,18139.59479893304,18257.8552944607,17990.759442806295,17219.651891248148,17231.328393314976,17220.826848377637,18139.59479893304,18257.8552944607,17990.759442806295,17219.651891248148,17231.328393314976,17220.826848377637,18174.189951863646,18292.450447391304,18025.354595736895,17254.24704417875,17265.923546245576,17255.422001308234,18199.589449226387,18317.84994475405,18050.754093099637,17279.646541541486,17291.323043608318,17280.821498670975,18199.589449226387,18317.84994475405,18050.754093099637,17279.646541541486,17291.323043608318,17280.821498670975,18234.184602156987,18352.44509768465,18085.34924603024,17314.24169447209,17325.91819653892,17315.41665160158,18199.589449226387,18317.84994475405,18050.754093099637,17279.646541541486,17291.323043608318,17280.821498670975,18199.589449226387,18317.84994475405,18050.754093099637,17279.646541541486,17291.323043608318,17280.821498670975,18234.184602156987,18352.44509768465,18085.34924603024,17314.24169447209,17325.91819653892,17315.41665160158,18261.40373377675,18379.66422930441,18112.568377649997,17341.460826091847,17353.13732815868,17342.63578322134,18261.40373377675,18379.66422930441,18112.568377649997,17341.460826091847,17353.13732815868,17342.63578322134,18295.99888670735,18414.259382235006,18147.1635305806,17376.05597902245,17387.732481089282,17377.23093615194,18261.40373377675,18379.66422930441,18112.568377649997,17341.460826091847,17353.13732815868,17342.63578322134,18261.40373377675,18379.66422930441,18112.568377649997,17341.460826091847,17353.13732815868,17342.63578322134,18295.99888670735,18414.259382235006,18147.1635305806,17376.05597902245,17387.732481089282,17377.23093615194
2025-10-31,15038.797958994479,15168.558250432457,14875.127698698043,14020.439214107008,14033.879288144057,14021.791632041788,15038.797958994479,15168.558250432457,14875.127698698043,14020.439214107008,14033.879288144057,14021.791632041788,15074.866416900975,15204.626708338954,14911.196156604537,14056.5076720135,14069.94774605055,14057.86008994828,15038.797958994479,15168.558250432457,14875.127698698043,14020.439214107008,14033.879288144057,14021.791632041788,15038.797958994479,15168.558250432457,14875.127698698043,14020.439214107008,14033.879288144057,14021.791632041788,15074.866416900975,15204.626708338954,14911.196156604537,14056.5076720135,14069.94774605055,14057.86008994828,15080.324693836303,15210.084985274283,14916.654433539867,14061.965948948833,14075.40602298588,14063.318366883608,15080.324693836303,15210.084985274283,14916.654433539867,14061.965948948833,14075.40602298588,14063.318366883608,15116.393151742801,15246.153443180776,14952.722891446363,14098.03440685533,14111.474480892375,14099.386824790112,15080.324693836303,15210.084985274283,14916.654433539867,14061.965948948833,14075.40602298588,14063.318366883608,15080.324693836303,15210.084985274283,14916.654433539867,14061.965948948833,14075.40602298588,14063.318366883608,15116.393151742801,15246.153443180776,14952.722891446363,14098.03440685533,14111.474480892375,14099.386824790112,15124.576737879812,15254.33702931779,14960.90647758337,14106.217992992339,14119.658067029382,14107.570410927117,15124.576737879812,15254.33702931779,14960.90647758337,14106.217992992339,14119.658067029382,14107.570410927117,15160.645195786306,15290.405487224287,14996.974935489865,14142.286450898831,14155.726524935875,14143.638868833612,15124.576737879812,15254.33702931779,14960.90647758337,14106.217992992339,14119.658067029382,14107.570410927117,15124.576737879812,15254.33702931779,14960.90647758337,14106.217992992339,14119.658067029382,14107.570410927117,15160.645195786306,15290.405487224287,14996.974935489865,14142.286450898831,14155.726524935875,14143.638868833612
