Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026,103.58572839956975,104.36735738265406,102.56249967346464,96.5287885533671,96.69103213397419,96.54512252262086,103.58572839956975,104.36735738265406,102.56249967346464,96.5287885533671,96.69103213397419,96.54512252262086,103.76304520111592,104.54209457292865,102.74318337178556,96.72922744773251,96.89100833764606,96.74551481779831,103.58572839956975,104.36735738265406,102.56249967346464,96.5287885533671,96.69103213397419,96.54512252262086,103.58572839956975,104.36735738265406,102.56249967346464,96.5287885533671,96.69103213397419,96.54512252262086,103.76304520111592,104.54209457292865,102.74318337178556,96.72922744773251,96.89100833764606,96.74551481779831,103.70092223317624,104.47934312512086,102.68191144823386,96.67352197102282,96.8351233440485,96.6897912577031,103.70092223317624,104.47934312512086,102.68191144823386,96.67352197102282,96.8351233440485,96.6897912577031,103.87741139397619,104.65327228066805,102.86174175991488,96.87295295624854,97.03409518274874,96.88917600082151,103.70092223317624,104.47934312512086,102.68191144823386,96.67352197102282,96.8351233440485,96.6897912577031,103.70092223317624,104.47934312512086,102.68191144823386,96.67352197102282,96.8351233440485,96.6897912577031,103.87741139397619,104.65327228066805,102.86174175991488,96.87295295624854,97.03409518274874,96.88917600082151,103.82304636568598,104.59813501146793,102.80841591039184,96.82630632490944,96.98724202408904,96.84250856579541,103.82304636568598,104.59813501146793,102.80841591039184,96.82630632490944,96.98724202408904,96.84250856579541,103.99867447353637,104.77122337937371,102.98735856152167,97.02469003945808,97.18517025033117,97.04084640680634,103.82304636568598,104.59813501146793,102.80841591039184,96.82630632490944,96.98724202408904,96.84250856579541,103.82304636568598,104.59813501146793,102.80841591039184,96.82630632490944,96.98724202408904,96.84250856579541,103.99867447353637,104.77122337937371,102.98735856152167,97.02469003945808,97.18517025033117,97.04084640680634
2027,101.66789111462397,102.89347375836553,100.04956437671456,90.52730888832333,90.921940155192,90.56703862650762,101.66789111462397,102.89347375836553,100.04956437671456,90.52730888832333,90.921940155192,90.56703862650762,102.0039821102418,103.22520563418145,100.39136342202544,90.90236473922404,91.29593233556952,90.9419873491071,101.66789111462397,102.89347375836553,100.04956437671456,90.52730888832333,90.921940155192,90.56703862650762,101.66789111462397,102.89347375836553,100.04956437671456,90.52730888832333,90.921940155192,90.56703862650762,102.0039821102418,103.22520563418145,100.39136342202544,90.90236473922404,91.29593233556952,90.9419873491071,101.82559767092596,103.04627398168881,100.21377368836089,90.73059134656077,91.12374210770051,90.7701719659689,101.82559767092596,103.04627398168881,100.21377368836089,90.73059134656077,91.12374210770051,90.7701719659689,102.16024584415526,103.37659534155641,100.55408734594064,91.10390759915975,91.4960025304548,91.14338188026777,101.82559767092596,103.04627398168881,100.21377368836089,90.73059134656077,91.12374210770051,90.7701719659689,101.82559767092596,103.04627398168881,100.21377368836089,90.73059134656077,91.12374210770051,90.7701719659689,102.16024584415526,103.37659534155641,100.55408734594064,91.10390759915975,91.4960025304548,91.14338188026777,101.99653916618026,103.21210085767727,100.39149151854299,90.94898558709467,91.34060061933582,90.98841152626964,101.99653916618026,103.21210085767727,100.39149151854299,90.94898558709467,91.34060061933582,90.98841152626964,102.32968011364889,103.54094845755814,100.73025386717285,91.32048743446771,91.71105473614729,91.35980785139523,101.99653916618026,103.21210085767727,100.39149151854299,90.94898558709467,91.34060061933582,90.98841152626964,101.99653916618026,103.21210085767727,100.39149151854299,90.94898558709467,91.34060061933582,90.98841152626964,102.32968011364889,103.54094845755814,100.73025386717285,91.32048743446771,91.71105473614729,91.35980785139523
2028,96.18453501227653,97.65319571874583,94.23637085423837,83.41793302777481,84.12494064877188,83.48911144173933,96.18453501227653,97.65319571874583,94.23637085423837,83.41793302777481,84.12494064877188,83.48911144173933,96.64446167026874,98.10758914371256,94.70354979106736,83.92579055462548,84.63098261816214,83.99678610986327,96.18453501227653,97.65319571874583,94.23637085423837,83.41793302777481,84.12494064877188,83.48911144173933,96.18453501227653,97.65319571874583,94.23637085423837,83.41793302777481,84.12494064877188,83.48911144173933,96.64446167026874,98.10758914371256,94.70354979106736,83.92579055462548,84.63098261816214,83.99678610986327,96.37530990881453,97.8380815011862,94.43498021999343,83.66137594045514,84.36579734363174,83.73229386359799,96.37530990881453,97.8380815011862,94.43498021999343,83.66137594045514,84.36579734363174,83.73229386359799,96.8333141201548,98.29059327904908,94.90018291073939,84.16694686286384,84.86956584636097,84.23768325105122,96.37530990881453,97.8380815011862,94.43498021999343,83.66137594045514,84.36579734363174,83.73229386359799,96.37530990881453,97.8380815011862,94.43498021999343,83.66137594045514,84.36579734363174,83.73229386359799,96.8333141201548,98.29059327904908,94.90018291073939,84.16694686286384,84.86956584636097,84.23768325105122,96.58443800675832,98.04105751936156,94.65228866427367,83.9254586940798,84.62719798133026,83.99610646849617,96.58443800675832,98.04105751936156,94.65228866427367,83.9254586940798,84.62719798133026,83.99610646849617,97.04043077940632,98.49160016712202,95.11542414105999,84.42864083836048,85.12859127651267,84.49910844519387,96.58443800675832,98.04105751936156,94.65228866427367,83.9254586940798,84.62719798133026,83.99610646849617,96.58443800675832,98.04105751936156,94.65228866427367,83.9254586940798,84.62719798133026,83.99610646849617,97.04043077940632,98.49160016712202,95.11542414105999,84.42864083836048,85.12859127651267,84.49910844519387
2029,91.48287103914863,93.10692699850031,89.32256687759848,78.71603683022603,79.84882141690235,78.8300805941806,91.48287103914863,93.10692699850031,89.32256687759848,78.71603683022603,79.84882141690235,78.8300805941806,92.04361124314774,93.66126618531003,89.89169823589866,79.32912872867645,80.45911451776784,79.44289059959854,91.48287103914863,93.10692699850031,89.32256687759848,78.71603683022603,79.84882141690235,78.8300805941806,91.48287103914863,93.10692699850031,89.32256687759848,78.71603683022603,79.84882141690235,78.8300805941806,92.04361124314774,93.66126618531003,89.89169823589866,79.32912872867645,80.45911451776784,79.44289059959854,91.7014074886295,93.3189102570463,89.54983894179051,78.9884577673312,80.11716314679553,79.10209065950457,91.7014074886295,93.3189102570463,89.54983894179051,78.9884577673312,80.11716314679553,79.10209065950457,92.25983304184054,93.87098194469954,90.11659347008496,79.5988357717373,80.72476236274557,79.71218878707379,91.7014074886295,93.3189102570463,89.54983894179051,78.9884577673312,80.11716314679553,79.10209065950457,91.7014074886295,93.3189102570463,89.54983894179051,78.9884577673312,80.11716314679553,79.10209065950457,92.25983304184054,93.87098194469954,90.11659347008496,79.5988357717373,80.72476236274557,79.71218878707379,91.94239900942594,93.55304644003934,89.79996369161992,79.28579065066043,80.41026716450932,79.3989975987824,91.94239900942594,93.55304644003934,89.79996369161992,79.28579065066043,80.41026716450932,79.3989975987824,92.49840104864954,94.10274353892677,90.36423020518441,79.89333109120633,81.01504948016277,80.00626024461816,91.94239900942594,93.55304644003934,89.79996369161992,79.28579065066043,80.41026716450932,79.3989975987824,91.94239900942594,93.55304644003934,89.79996369161992,79.28579065066043,80.41026716450932,79.3989975987824,92.49840104864954,94.10274353892677,90.36423020518441,79.89333109120633,81.01504948016277,80.00626024461816
2030,89.51127283225568,91.2803717867003,87.15364048681835,77.80065140787377,79.52332668095933,77.97408276854449,89.51127283225568,91.2803717867003,87.15364048681835,77.80065140787377,79.52332668095933,77.97408276854449,90.17916611313869,91.94098339708047,87.8310763575686,78.52329762738938,80.24183177398501,78.69631189150455,89.51127283225568,91.2803717867003,87.15364048681835,77.80065140787377,79.52332668095933,77.97408276854449,89.51127283225568,91.2803717867003,87.15364048681835,77.80065140787377,79.52332668095933,77.97408276854449,90.17916611313869,91.94098339708047,87.8310763575686,78.52329762738938,80.24183177398501,78.69631189150455,89.76135617818713,91.52325163729915,87.4133370181701,78.10233445163422,79.81886803057319,78.27514719678135,89.76135617818713,91.52325163729915,87.4133370181701,78.10233445163422,79.81886803057319,78.27514719678135,90.42651370562122,92.18118116791096,88.08796638555873,78.82182390937167,80.53424572744251,78.99422251702201,89.76135617818713,91.52325163729915,87.4133370181701,78.10233445163422,79.81886803057319,78.27514719678135,89.76135617818713,91.52325163729915,87.4133370181701,78.10233445163422,79.81886803057319,78.27514719678135,90.42651370562122,92.18118116791096,88.08796638555873,78.82182390937167,80.53424572744251,78.99422251702201,90.03814807954734,91.79249924536703,87.70019057085707,78.4332306416304,80.14339922674144,78.60540228230948,90.03814807954734,91.79249924536703,87.70019057085707,78.4332306416304,80.14339922674144,78.60540228230948,90.70044011882743,92.44761900455501,88.3718810275307,79.14941759097712,80.85550473459982,79.32117814930707,90.03814807954734,91.79249924536703,87.70019057085707,78.4332306416304,80.14339922674144,78.60540228230948,90.03814807954734,91.79249924536703,87.70019057085707,78.4332306416304,80.14339922674144,78.60540228230948,90.70044011882743,92.44761900455501,88.3718810275307,79.14941759097712,80.85550473459982,79.32117814930707
2031,89.56183850681772,91.47167697602242,87.01312807546167,79.87484657966873,82.35073268878075,80.12410789053665,89.5270401367032,91.43706738707681,86.97808970094032,79.83851909752346,82.31442519341152,80.08778242057198,90.06324808969825,91.96641455609964,87.52333525831702,80.41930840248584,82.88951402887787,80.66799755975975,89.56183850681772,91.47167697602242,87.01312807546167,79.87484657966873,82.35073268878075,80.12410789053665,89.5270401367032,91.43706738707681,86.97808970094032,79.83851909752346,82.31442519341152,80.08778242057198,90.06324808969825,91.96641455609964,87.52333525831702,80.41930840248584,82.88951402887787,80.66799755975975,89.85029471323578,91.75225670805862,87.31210103165532,80.2095586057584,82.67667187976815,80.4579362796365,89.81561206415729,91.71776159004656,87.27717997724011,80.17335721971038,82.64049034202293,80.42173689182476,90.34944134780878,92.24478183991597,87.81997835962724,80.7514092387524,83.21288212518544,80.9992187994062,89.85029471323578,91.75225670805862,87.31210103165532,80.2095586057584,82.67667187976815,80.4579362796365,89.81561206415729,91.71776159004656,87.27717997724011,80.17335721971038,82.64049034202293,80.42173689182476,90.34944134780878,92.24478183991597,87.81997835962724,80.7514092387524,83.21288212518544,80.9992187994062,90.17427567667468,92.06795791706014,87.64712825506535,80.58242746172454,83.04044866822343,80.82988934801536,90.13971282167049,92.03358130337111,87.61232864440831,80.5463565711743,83.00439748317808,80.79382044132164,90.67103138755964,92.5581447245392,88.1525450014271,81.12152390155083,83.57394612212032,81.36842184661789,90.17427567667468,92.06795791706014,87.64712825506535,80.58242746172454,83.04044866822343,80.82988934801536,90.13971282167049,92.03358130337111,87.61232864440831,80.5463565711743,83.00439748317808,80.79382044132164,90.67103138755964,92.5581447245392,88.1525450014271,81.12152390155083,83.57394612212032,81.36842184661789
2032,89.18798454033272,91.20995070863721,86.48687209806016,82.23696060469479,85.52812060839263,82.56830010120014,89.12090620562137,91.14323627391289,86.41933112398145,82.1669347098456,85.45813324062527,82.4982780850879,89.5334917170089,91.5493975539278,86.84042357703926,82.612734087465,85.89653413888418,82.94333226063662,89.18798454033272,91.20995070863721,86.48687209806016,82.23696060469479,85.52812060839263,82.56830010120014,89.12090620562137,91.14323627391289,86.41933112398145,82.1669347098456,85.45813324062527,82.4982780850879,89.5334917170089,91.5493975539278,86.84042357703926,82.612734087465,85.89653413888418,82.94333226063662,89.51665559691091,91.530156985388,86.82684663010204,82.60415166893728,85.88369268951423,82.93432085032828,89.44980032938231,91.46366320811316,86.7595318056195,82.53436884053603,85.81394812126982,82.86454187378453,89.86033369075108,91.86782210295979,87.17850596793981,82.97782783544429,86.2500606964971,83.3072609127387,89.51665559691091,91.530156985388,86.82684663010204,82.60415166893728,85.88369268951423,82.93432085032828,89.44980032938231,91.46366320811316,86.7595318056195,82.53436884053603,85.81394812126982,82.86454187378453,89.86033369075108,91.86782210295979,87.17850596793981,82.97782783544429,86.2500606964971,83.3072609127387,89.89279488276642,91.8973522808663,87.21491672788109,83.02162011694976,86.28911773875039,83.35057623938017,89.82617053372589,91.831086935918,87.1478360018644,82.95208883540684,86.21962444210298,83.2810487819759,90.23450999616044,92.23310399701555,87.56454711058306,83.39305069016729,86.65329364224257,83.7212760987186,89.89279488276642,91.8973522808663,87.21491672788109,83.02162011694976,86.28911773875039,83.35057623938017,89.82617053372589,91.831086935918,87.1478360018644,82.95208883540684,86.21962444210298,83.2810487819759,90.23450999616044,92.23310399701555,87.56454711058306,83.39305069016729,86.65329364224257,83.7212760987186
2033,87.1690237728228,89.2465059895101,84.39155450541169,83.0084483452781,86.99275710176968,83.40957100592496,87.0736195614591,89.15161934602325,84.29549229107015,82.90885187643507,86.89321542924606,83.30998005373407,87.36625066906244,89.43836026986949,84.59596533979816,83.22337133349815,87.19890181618311,83.62360980550736,87.1690237728228,89.2465059895101,84.39155450541169,83.0084483452781,86.99275710176968,83.40957100592496,87.0736195614591,89.15161934602325,84.29549229107015,82.90885187643507,86.89321542924606,83.30998005373407,87.36625066906244,89.43836026986949,84.59596533979816,83.22337133349815,87.19890181618311,83.62360980550736,87.52927482209049,89.59793788524654,84.76358177609666,83.39891636685367,87.36918871287543,83.79862521701307,87.43418787484408,89.50336507856022,84.66784120992907,83.29966560669396,87.26999236939295,83.69937993527539,87.72509913693254,89.78843309995067,84.9665317827409,83.61224870872786,87.57380444259954,84.01107958406563,87.52927482209049,89.59793788524654,84.76358177609666,83.39891636685367,87.36918871287543,83.79862521701307,87.43418787484408,89.50336507856022,84.66784120992907,83.29966560669396,87.26999236939295,83.69937993527539,87.72509913693254,89.78843309995067,84.9665317827409,83.61224870872786,87.57380444259954,84.01107958406563,87.94714403401144,90.0064487437544,85.19393154952095,83.8499066602871,87.8056287686867,84.24814995127204,87.85238551764124,89.91220083192506,85.09852393705016,83.75101367033359,87.7067898039116,84.14926240031657,88.14142864483871,90.19545006565494,85.39528059457902,84.06149776450196,88.00856694942964,84.45886949870925,87.94714403401144,90.0064487437544,85.19393154952095,83.8499066602871,87.8056287686867,84.24814995127204,87.85238551764124,89.91220083192506,85.09852393705016,83.75101367033359,87.7067898039116,84.14926240031657,88.14142864483871,90.19545006565494,85.39528059457902,84.06149776450196,88.00856694942964,84.45886949870925
2034,84.01591969199038,86.10366599674092,81.2229677870918,81.9791274035923,86.42724714049179,82.4269445113488,83.89663235026448,85.98502578888164,81.10285772040488,81.8545983304649,86.30278658118766,82.3024223358914,84.07895519571447,86.16203409558273,81.29229613143208,82.04935639169557,86.487769151569,82.49619576291784,84.01591969199038,86.10366599674092,81.2229677870918,81.9791274035923,86.42724714049179,82.4269445113488,83.89663235026448,85.98502578888164,81.10285772040488,81.8545983304649,86.30278658118766,82.3024223358914,84.07895519571447,86.16203409558273,81.29229613143208,82.04935639169557,86.487769151569,82.49619576291784,84.40004667360031,86.47881077790073,81.61908695208835,82.38714502297138,86.8196096786774,82.83338527968314,84.28115601869395,86.36056297156267,81.49937905376585,82.26304820193491,86.69558089678385,82.7092953085162,84.46207534012137,86.5362114289717,81.68735545342787,82.45624648815144,86.87907229614825,82.90151587396059,84.40004667360031,86.47881077790073,81.61908695208835,82.38714502297138,86.8196096786774,82.83338527968314,84.28115601869395,86.36056297156267,81.49937905376585,82.26304820193491,86.69558089678385,82.7092953085162,84.46207534012137,86.5362114289717,81.68735545342787,82.45624648815144,86.87907229614825,82.90151587396059,84.85043791188075,86.91963371736433,82.0822346202391,82.86444351583435,87.28067840270415,83.30904904345093,84.73195790599715,86.80179213883609,81.96294302598581,82.74079402784781,87.15709646435536,83.18540635604069,84.91132074897119,86.97593026077152,82.14930122651744,82.93226571951301,87.33893213583298,83.37590746833584,84.85043791188075,86.91963371736433,82.0822346202391,82.86444351583435,87.28067840270415,83.30904904345093,84.73195790599715,86.80179213883609,81.96294302598581,82.74079402784781,87.15709646435536,83.18540635604069,84.91132074897119,86.97593026077152,82.14930122651744,82.93226571951301,87.33893213583298,83.37590746833584
2035,80.98560120522063,83.3149359149649,78.617832212591,80.80741473135019,85.55280295913272,81.28515952174304,80.84407940902827,83.17418187456165,78.47533434037439,80.65967417604753,85.40514368822453,81.13742714979529,80.93161946014582,83.2564196581724,78.5684459931457,80.75145359443384,85.48655797992346,81.22816253989578,80.98560120522063,83.3149359149649,78.617832212591,80.80741473135019,85.55280295913272,81.28515952174304,80.84407940902827,83.17418187456165,78.47533434037439,80.65967417604753,85.40514368822453,81.13742714979529,80.93161946014582,83.2564196581724,78.5684459931457,80.75145359443384,85.48655797992346,81.22816253989578,81.39431533807779,83.71373585155754,79.03728388515233,81.23464476674232,85.96333609857675,81.71070776954869,81.25326416878023,83.57344735399657,78.89526314310291,81.08741703276195,85.81618908583285,81.56348816221302,81.33966402957577,83.65458908711334,78.98718570448666,81.17795153708222,85.89643119317367,81.65298596747334,81.39431533807779,83.71373585155754,79.03728388515233,81.23464476674232,85.96333609857675,81.71070776954869,81.25326416878023,83.57344735399657,78.89526314310291,81.08741703276195,85.81618908583285,81.56348816221302,81.33966402957577,83.65458908711334,78.98718570448666,81.17795153708222,85.89643119317367,81.65298596747334,81.87686205889041,84.18571425472577,79.53133302012017,81.7388213793937,86.4502010309792,82.21314067840177,81.73629808116291,84.04590770343398,79.38980617875447,81.59212435869611,86.30358415077207,82.06645172586768,81.82140055875585,84.12579881938271,79.48037934286218,81.68124332009076,86.38248585245113,82.15454155999663,81.87686205889041,84.18571425472577,79.53133302012017,81.7388213793937,86.4502010309792,82.21314067840177,81.73629808116291,84.04590770343398,79.38980617875447,81.59212435869611,86.30358415077207,82.06645172586768,81.82140055875585,84.12579881938271,79.48037934286218,81.68124332009076,86.38248585245113,82.15454155999663
