Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025-01-31,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13981.658090675348,13981.658090675348,13981.658090675348,13981.658090675348,13981.658090675348,13981.658090675348,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13954.501835612225,13981.658090675348,13981.658090675348,13981.658090675348,13981.658090675348,13981.658090675348,13981.658090675348,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13995.12775493895,13995.12775493895,13995.12775493895,13995.12775493895,13995.12775493895,13995.12775493895,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13967.971499875825,13995.12775493895,13995.12775493895,13995.12775493895,13995.12775493895,13995.12775493895,13995.12775493895,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,14010.291664523145,14010.291664523145,14010.291664523145,14010.291664523145,14010.291664523145,14010.291664523145,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,13983.13540946002,14010.291664523145,14010.291664523145,14010.291664523145,14010.291664523145,14010.291664523145,14010.291664523145
2025-02-28,13231.922164625894,13249.190147391415,13210.708701045496,13109.282140704629,13110.45640229768,13109.400301693486,13231.922164625894,13249.190147391415,13210.708701045496,13109.282140704629,13110.45640229768,13109.400301693486,13254.255221115443,13271.52320388097,13233.041757535048,13131.615197194178,13132.789458787232,13131.733358183035,13231.922164625894,13249.190147391415,13210.708701045496,13109.282140704629,13110.45640229768,13109.400301693486,13231.922164625894,13249.190147391415,13210.708701045496,13109.282140704629,13110.45640229768,13109.400301693486,13254.255221115443,13271.52320388097,13233.041757535048,13131.615197194178,13132.789458787232,13131.733358183035,13253.11988340718,13270.387866172707,13231.906419826784,13130.479859485917,13131.654121078967,13130.598020474776,13253.11988340718,13270.387866172707,13231.906419826784,13130.479859485917,13131.654121078967,13130.598020474776,13275.452939896733,13292.720922662258,13254.239476316337,13152.812915975468,13153.987177568524,13152.931076964325,13253.11988340718,13270.387866172707,13231.906419826784,13130.479859485917,13131.654121078967,13130.598020474776,13253.11988340718,13270.387866172707,13231.906419826784,13130.479859485917,13131.654121078967,13130.598020474776,13275.452939896733,13292.720922662258,13254.239476316337,13152.812915975468,13153.987177568524,13152.931076964325,13276.166937556385,13293.434920321908,13254.953473975987,13153.52691363512,13154.701175228176,13153.645074623977,13276.166937556385,13293.434920321908,13254.953473975987,13153.52691363512,13154.701175228176,13153.645074623977,13298.499994045935,13315.767976811465,13277.286530465544,13175.859970124668,13177.034231717724,13175.978131113528,13276.166937556385,13293.434920321908,13254.953473975987,13153.52691363512,13154.701175228176,13153.645074623977,13276.166937556385,13293.434920321908,13254.953473975987,13153.52691363512,13154.701175228176,13153.645074623977,13298.499994045935,13315.767976811465,13277.286530465544,13175.859970124668,13177.034231717724,13175.978131113528
2025-03-31,12850.435765301549,12885.401217951474,12807.269410431603,12597.717505560802,12600.242737875564,12597.971609032445,12850.435765301549,12885.401217951474,12807.269410431603,12597.717505560802,12600.242737875564,12597.971609032445,12874.961667854868,12909.927120504788,12831.795312984917,12622.243408114118,12624.768640428883,12622.497511585761,12850.435765301549,12885.401217951474,12807.269410431603,12597.717505560802,12600.242737875564,12597.971609032445,12850.435765301549,12885.401217951474,12807.269410431603,12597.717505560802,12600.242737875564,12597.971609032445,12874.961667854868,12909.927120504788,12831.795312984917,12622.243408114118,12624.768640428883,12622.497511585761,12891.36782170559,12926.333274355517,12848.20146683564,12638.649561964843,12641.174794279606,12638.903665436486,12891.36782170559,12926.333274355517,12848.20146683564,12638.649561964843,12641.174794279606,12638.903665436486,12915.893724258905,12950.859176908834,12872.727369388957,12663.175464518157,12665.700696832924,12663.429567989802,12891.36782170559,12926.333274355517,12848.20146683564,12638.649561964843,12641.174794279606,12638.903665436486,12891.36782170559,12926.333274355517,12848.20146683564,12638.649561964843,12641.174794279606,12638.903665436486,12915.893724258905,12950.859176908834,12872.727369388957,12663.175464518157,12665.700696832924,12663.429567989802,12934.116386926886,12969.08183957681,12890.950032056937,12681.39812718614,12683.923359500901,12681.652230657784,12934.116386926886,12969.08183957681,12890.950032056937,12681.39812718614,12683.923359500901,12681.652230657784,12958.642289480202,12993.607742130127,12915.475934610253,12705.924029739455,12708.449262054215,12706.1781332111,12934.116386926886,12969.08183957681,12890.950032056937,12681.39812718614,12683.923359500901,12681.652230657784,12934.116386926886,12969.08183957681,12890.950032056937,12681.39812718614,12683.923359500901,12681.652230657784,12958.642289480202,12993.607742130127,12915.475934610253,12705.924029739455,12708.449262054215,12706.1781332111
2025-04-30,15537.630244745582,15588.505690679072,15474.56067139959,15164.279949416225,15168.165001431118,15164.67088580601,15537.630244745582,15588.505690679072,15474.56067139959,15164.279949416225,15168.165001431118,15164.67088580601,15563.703861123642,15614.579307057129,15500.634287777648,15190.353565794285,15194.238617809173,15190.744502184069,15537.630244745582,15588.505690679072,15474.56067139959,15164.279949416225,15168.165001431118,15164.67088580601,15537.630244745582,15588.505690679072,15474.56067139959,15164.279949416225,15168.165001431118,15164.67088580601,15563.703861123642,15614.579307057129,15500.634287777648,15190.353565794285,15194.238617809173,15190.744502184069,15596.616897467371,15647.492343400863,15533.54732412138,15223.266602138014,15227.151654152902,15223.657538527797,15596.616897467371,15647.492343400863,15533.54732412138,15223.266602138014,15227.151654152902,15223.657538527797,15622.690513845428,15673.56595977892,15559.620940499439,15249.340218516072,15253.225270530964,15249.731154905858,15596.616897467371,15647.492343400863,15533.54732412138,15223.266602138014,15227.151654152902,15223.657538527797,15596.616897467371,15647.492343400863,15533.54732412138,15223.266602138014,15227.151654152902,15223.657538527797,15622.690513845428,15673.56595977892,15559.620940499439,15249.340218516072,15253.225270530964,15249.731154905858,15657.579824326662,15708.455270260156,15594.510250980673,15284.229528997304,15288.114581012202,15284.620465387092,15657.579824326662,15708.455270260156,15594.510250980673,15284.229528997304,15288.114581012202,15284.620465387092,15683.653440704722,15734.528886638214,15620.583867358733,15310.303145375363,15314.188197390258,15310.694081765152,15657.579824326662,15708.455270260156,15594.510250980673,15284.229528997304,15288.114581012202,15284.620465387092,15657.579824326662,15708.455270260156,15594.510250980673,15284.229528997304,15288.114581012202,15284.620465387092,15683.653440704722,15734.528886638214,15620.583867358733,15310.303145375363,15314.188197390258,15310.694081765152
2025-05-31,15088.193203069748,15154.423499826835,15005.77709816385,14595.214010194302,14600.559979880722,14595.751952564468,15088.193203069748,15154.423499826835,15005.77709816385,14595.214010194302,14600.559979880722,14595.751952564468,15118.977389907906,15185.207686664991,15036.561285002015,14625.998197032455,14631.344166718884,14626.536139402624,15088.193203069748,15154.423499826835,15005.77709816385,14595.214010194302,14600.559979880722,14595.751952564468,15088.193203069748,15154.423499826835,15005.77709816385,14595.214010194302,14600.559979880722,14595.751952564468,15118.977389907906,15185.207686664991,15036.561285002015,14625.998197032455,14631.344166718884,14626.536139402624,15164.035374300738,15230.265671057825,15081.619269394843,14671.056181425289,14676.402151111712,14671.594123795454,15164.035374300738,15230.265671057825,15081.619269394843,14671.056181425289,14676.402151111712,14671.594123795454,15194.819561138895,15261.049857895983,15112.403456233002,14701.84036826345,14707.186337949874,14702.378310633614,15164.035374300738,15230.265671057825,15081.619269394843,14671.056181425289,14676.402151111712,14671.594123795454,15164.035374300738,15230.265671057825,15081.619269394843,14671.056181425289,14676.402151111712,14671.594123795454,15194.819561138895,15261.049857895983,15112.403456233002,14701.84036826345,14707.186337949874,14702.378310633614,15241.860347393977,15308.090644151067,15159.444242488085,14748.881154518529,14754.227124204956,14749.4190968887,15241.860347393977,15308.090644151067,15159.444242488085,14748.881154518529,14754.227124204956,14749.4190968887,15272.644534232135,15338.874830989225,15190.22842932624,14779.665341356691,14785.011311043114,14780.203283726856,15241.860347393977,15308.090644151067,15159.444242488085,14748.881154518529,14754.227124204956,14749.4190968887,15241.860347393977,15308.090644151067,15159.444242488085,14748.881154518529,14754.227124204956,14749.4190968887,15272.644534232135,15338.874830989225,15190.22842932624,14779.665341356691,14785.011311043114,14780.203283726856
2025-06-30,17339.667586426705,17419.837303152235,17239.58056217184,16735.463054009357,16742.278291797713,16736.14884262848,17339.667586426705,17419.837303152235,17239.58056217184,16735.463054009357,16742.278291797713,16736.14884262848,17370.39043190608,17450.560148631615,17270.30340765122,16766.18589948874,16773.00113727709,16766.87168810786,17339.667586426705,17419.837303152235,17239.58056217184,16735.463054009357,16742.278291797713,16736.14884262848,17339.667586426705,17419.837303152235,17239.58056217184,16735.463054009357,16742.278291797713,16736.14884262848,17370.39043190608,17450.560148631615,17270.30340765122,16766.18589948874,16773.00113727709,16766.87168810786,17428.20995962419,17508.379676349723,17328.12293536933,16824.00542720685,16830.8206649952,16824.691215825973,17428.20995962419,17508.379676349723,17328.12293536933,16824.00542720685,16830.8206649952,16824.691215825973,17458.93280510357,17539.1025218291,17358.845780848704,16854.72827268623,16861.54351047458,16855.41406130535,17428.20995962419,17508.379676349723,17328.12293536933,16824.00542720685,16830.8206649952,16824.691215825973,17428.20995962419,17508.379676349723,17328.12293536933,16824.00542720685,16830.8206649952,16824.691215825973,17458.93280510357,17539.1025218291,17358.845780848704,16854.72827268623,16861.54351047458,16855.41406130535,17518.660017680704,17598.829734406238,17418.572993425845,16914.45548526337,16921.27072305172,16915.141273882484,17518.660017680704,17598.829734406238,17418.572993425845,16914.45548526337,16921.27072305172,16915.141273882484,17549.38286316008,17629.552579885618,17449.295838905222,16945.178330742743,16951.993568531096,16945.864119361868,17518.660017680704,17598.829734406238,17418.572993425845,16914.45548526337,16921.27072305172,16915.141273882484,17518.660017680704,17598.829734406238,17418.572993425845,16914.45548526337,16921.27072305172,16915.141273882484,17549.38286316008,17629.552579885618,17449.295838905222,16945.178330742743,16951.993568531096,16945.864119361868
2025-07-31,14565.565571136478,14659.298059454884,14448.19432136251,13850.848502789264,13859.24085233094,13851.69298950889,14565.565571136478,14659.298059454884,14448.19432136251,13850.848502789264,13859.24085233094,13851.69298950889,14597.484488891592,14691.216977209993,14480.113239117625,13882.767420544378,13891.159770086057,13883.611907264001,14565.565571136478,14659.298059454884,14448.19432136251,13850.848502789264,13859.24085233094,13851.69298950889,14565.565571136478,14659.298059454884,14448.19432136251,13850.848502789264,13859.24085233094,13851.69298950889,14597.484488891592,14691.216977209993,14480.113239117625,13882.767420544378,13891.159770086057,13883.611907264001,14647.846763952384,14741.579252270785,14530.475514178412,13933.129695605163,13941.522045146841,13933.974182324791,14647.846763952384,14741.579252270785,14530.475514178412,13933.129695605163,13941.522045146841,13933.974182324791,14679.765681707497,14773.498170025896,14562.394431933526,13965.048613360277,13973.440962901954,13965.893100079902,14647.846763952384,14741.579252270785,14530.475514178412,13933.129695605163,13941.522045146841,13933.974182324791,14647.846763952384,14741.579252270785,14530.475514178412,13933.129695605163,13941.522045146841,13933.974182324791,14679.765681707497,14773.498170025896,14562.394431933526,13965.048613360277,13973.440962901954,13965.893100079902,14732.301526947213,14826.034015265617,14614.930277173245,14017.584458599991,14025.976808141673,14018.42894531962,14732.301526947213,14826.034015265617,14614.930277173245,14017.584458599991,14025.976808141673,14018.42894531962,14764.220444702318,14857.952933020726,14646.849194928349,14049.5033763551,14057.895725896782,14050.347863074732,14732.301526947213,14826.034015265617,14614.930277173245,14017.584458599991,14025.976808141673,14018.42894531962,14732.301526947213,14826.034015265617,14614.930277173245,14017.584458599991,14025.976808141673,14018.42894531962,14764.220444702318,14857.952933020726,14646.849194928349,14049.5033763551,14057.895725896782,14050.347863074732
2025-08-31,17299.332189622284,17405.8626927343,17165.57528729318,16478.362261600007,16488.39308278616,16479.37162080706,17299.332189622284,17405.8626927343,17165.57528729318,16478.362261600007,16488.39308278616,16479.37162080706,17334.64307736116,17441.173580473176,17200.88617503206,16513.673149338883,16523.703970525035,16514.68250854593,17299.332189622284,17405.8626927343,17165.57528729318,16478.362261600007,16488.39308278616,16479.37162080706,17299.332189622284,17405.8626927343,17165.57528729318,16478.362261600007,16488.39308278616,16479.37162080706,17334.64307736116,17441.173580473176,17200.88617503206,16513.673149338883,16523.703970525035,16514.68250854593,17375.896757053986,17482.427260165998,17242.13985472489,16554.92682903171,16564.957650217857,16555.93618823876,17375.896757053986,17482.427260165998,17242.13985472489,16554.92682903171,16564.957650217857,16555.93618823876,17411.207644792863,17517.738147904885,17277.450742463763,16590.237716770585,16600.268537956734,16591.247075977637,17375.896757053986,17482.427260165998,17242.13985472489,16554.92682903171,16564.957650217857,16555.93618823876,17375.896757053986,17482.427260165998,17242.13985472489,16554.92682903171,16564.957650217857,16555.93618823876,17411.207644792863,17517.738147904885,17277.450742463763,16590.237716770585,16600.268537956734,16591.247075977637,17454.489593054594,17561.020096166616,17320.732690725497,16633.519665032316,16643.550486218475,16634.52902423937,17454.489593054594,17561.020096166616,17320.732690725497,16633.519665032316,16643.550486218475,16634.52902423937,17489.800480793474,17596.330983905493,17356.043578464378,16668.830552771196,16678.861373957352,16669.839911978248,17454.489593054594,17561.020096166616,17320.732690725497,16633.519665032316,16643.550486218475,16634.52902423937,17454.489593054594,17561.020096166616,17320.732690725497,16633.519665032316,16643.550486218475,16634.52902423937,17489.800480793474,17596.330983905493,17356.043578464378,16668.830552771196,16678.861373957352,16669.839911978248
2025-09-30,18139.231258276002,18257.48938371223,17990.398884999962,17219.306787422403,17230.983055477212,17220.481721004253,18139.231258276002,18257.48938371223,17990.398884999962,17219.306787422403,17230.983055477212,17220.481721004253,18173.825717875538,18292.083843311764,18024.993344599494,17253.90124702194,17265.577515076748,17255.076180603784,18139.231258276002,18257.48938371223,17990.398884999962,17219.306787422403,17230.983055477212,17220.481721004253,18139.231258276002,18257.48938371223,17990.398884999962,17219.306787422403,17230.983055477212,17220.481721004253,18173.825717875538,18292.083843311764,18024.993344599494,17253.90124702194,17265.577515076748,17255.076180603784,18199.2247061999,18317.482831636127,18050.392332923857,17279.300235346294,17290.976503401107,17280.475168928144,18199.2247061999,18317.482831636127,18050.392332923857,17279.300235346294,17290.976503401107,17280.475168928144,18233.819165799432,18352.077291235662,18084.986792523392,17313.894694945833,17325.570963000642,17315.06962852768,18199.2247061999,18317.482831636127,18050.392332923857,17279.300235346294,17290.976503401107,17280.475168928144,18199.2247061999,18317.482831636127,18050.392332923857,17279.300235346294,17290.976503401107,17280.475168928144,18233.819165799432,18352.077291235662,18084.986792523392,17313.894694945833,17325.570963000642,17315.06962852768,18261.03775191302,18379.295877349246,18112.205378636976,17341.113281059414,17352.789549114223,17342.288214641263,18261.03775191302,18379.295877349246,18112.205378636976,17341.113281059414,17352.789549114223,17342.288214641263,18295.632211512555,18413.890336948778,18146.799838236508,17375.70774065895,17387.38400871376,17376.8826742408,18261.03775191302,18379.295877349246,18112.205378636976,17341.113281059414,17352.789549114223,17342.288214641263,18261.03775191302,18379.295877349246,18112.205378636976,17341.113281059414,17352.789549114223,17342.288214641263,18295.632211512555,18413.890336948778,18146.799838236508,17375.70774065895,17387.38400871376,17376.8826742408
2025-10-31,15038.469870606683,15168.227331177131,14874.803180962102,14020.133342367091,14033.573123193726,14021.485730797345,15038.469870606683,15168.227331177131,14874.803180962102,14020.133342367091,14033.573123193726,14021.485730797345,15074.537541638974,15204.295002209423,14910.87085199439,14056.201013399379,14069.64079422601,14057.553401829633,15038.469870606683,15168.227331177131,14874.803180962102,14020.133342367091,14033.573123193726,14021.485730797345,15038.469870606683,15168.227331177131,14874.803180962102,14020.133342367091,14033.573123193726,14021.485730797345,15074.537541638974,15204.295002209423,14910.87085199439,14056.201013399379,14069.64079422601,14057.553401829633,15079.995699495816,15209.753160066266,14916.329009851233,14061.659171256226,14075.098952082857,14063.011559686474,15079.995699495816,15209.753160066266,14916.329009851233,14061.659171256226,14075.098952082857,14063.011559686474,15116.063370528107,15245.820831098554,14952.396680883525,14097.726842288515,14111.166623115145,14099.079230718773,15079.995699495816,15209.753160066266,14916.329009851233,14061.659171256226,14075.098952082857,14063.011559686474,15079.995699495816,15209.753160066266,14916.329009851233,14061.659171256226,14075.098952082857,14063.011559686474,15116.063370528107,15245.820831098554,14952.396680883525,14097.726842288515,14111.166623115145,14099.079230718773,15124.24677813093,15254.00423870138,14960.580088486346,14105.91024989134,14119.350030717966,14107.26263832159,15124.24677813093,15254.00423870138,14960.580088486346,14105.91024989134,14119.350030717966,14107.26263832159,15160.31444916322,15290.07190973367,14996.647759518633,14141.977920923624,14155.417701750252,14143.330309353878,15124.24677813093,15254.00423870138,14960.580088486346,14105.91024989134,14119.350030717966,14107.26263832159,15124.24677813093,15254.00423870138,14960.580088486346,14105.91024989134,14119.350030717966,14107.26263832159,15160.31444916322,15290.07190973367,14996.647759518633,14141.977920923624,14155.417701750252,14143.330309353878
