Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026,103.58271480389666,104.36432045873123,102.55951673442583,96.52598837814314,96.68822666613487,96.54232181453317,103.58271480389666,104.36432045873123,102.55951673442583,96.52598837814314,96.68822666613487,96.54232181453317,103.76002583627768,104.5390519629607,102.7401945548514,96.72642075204398,96.88819636506375,96.74270759082954,103.58271480389666,104.36432045873123,102.55951673442583,96.52598837814314,96.68822666613487,96.54232181453317,103.58271480389666,104.36432045873123,102.55951673442583,96.52598837814314,96.68822666613487,96.54232181453317,103.76002583627768,104.5390519629607,102.7401945548514,96.72642075204398,96.88819636506375,96.74270759082954,103.6979060052472,104.47630366119756,102.67892575497748,96.67071829696535,96.83231439782607,96.68698705284189,103.6979060052472,104.47630366119756,102.67892575497748,96.67071829696535,96.83231439782607,96.68698705284189,103.87438942149008,104.65022715469668,102.85875021417661,96.8701427920308,97.03127976196963,96.88636530737162,103.6979060052472,104.47630366119756,102.67892575497748,96.67071829696535,96.83231439782607,96.68698705284189,103.6979060052472,104.47630366119756,102.67892575497748,96.67071829696535,96.83231439782607,96.68698705284189,103.87438942149008,104.65022715469668,102.85875021417661,96.8701427920308,97.03127976196963,96.88636530737162,103.82002726304069,104.59509276917782,102.80542721509327,96.82349887235401,96.98442932063072,96.83970058457793,103.82002726304069,104.59509276917782,102.80542721509327,96.82349887235401,96.98442932063072,96.83970058457793,103.99564965210763,104.76817550017508,102.98436404035019,97.0218761284206,97.18235110387235,97.03803196866609,103.82002726304069,104.59509276917782,102.80542721509327,96.82349887235401,96.98442932063072,96.83970058457793,103.82002726304069,104.59509276917782,102.80542721509327,96.82349887235401,96.98442932063072,96.83970058457793,103.99564965210763,104.76817550017508,102.98436404035019,97.0218761284206,97.18235110387235,97.03803196866609
2027,101.65693696704308,102.8823853791072,100.03878767964882,90.51757507086758,90.91216104022838,90.55730024863377,101.65693696704308,102.8823853791072,100.03878767964882,90.51757507086758,90.91216104022838,90.55730024863377,101.99298893996595,103.21407872801322,100.38054705296835,90.89258747312033,91.28610989561841,90.93220553504015,101.65693696704308,102.8823853791072,100.03878767964882,90.51757507086758,90.91216104022838,90.55730024863377,101.65693696704308,102.8823853791072,100.03878767964882,90.51757507086758,90.91216104022838,90.55730024863377,101.99298893996595,103.21407872801322,100.38054705296835,90.89258747312033,91.28610989561841,90.93220553504015,101.81462876406424,103.03517136795872,100.2029815349162,90.72083787405943,91.11394350576174,90.7604139499783,101.81462876406424,103.03517136795872,100.2029815349162,90.72083787405943,91.11394350576174,90.7604139499783,102.14923807465577,103.36545435736701,100.54325568531735,91.09411087123708,91.48616079585219,91.13358062121968,101.81462876406424,103.03517136795872,100.2029815349162,90.72083787405943,91.11394350576174,90.7604139499783,101.81462876406424,103.03517136795872,100.2029815349162,90.72083787405943,91.11394350576174,90.7604139499783,102.14923807465577,103.36545435736701,100.54325568531735,91.09411087123708,91.48616079585219,91.13358062121968,101.98555393343977,103.20098246671017,100.38068231081726,90.93921067862172,91.33078075594632,90.97863209188593,101.98555393343977,103.20098246671017,100.38068231081726,90.93921067862172,91.33078075594632,90.97863209188593,102.31865618597051,103.52979186008906,100.71940532490193,91.31066947266079,91.70119194124781,91.34998537594731,101.98555393343977,103.20098246671017,100.38068231081726,90.93921067862172,91.33078075594632,90.97863209188593,101.98555393343977,103.20098246671017,100.38068231081726,90.93921067862172,91.33078075594632,90.97863209188593,102.31865618597051,103.52979186008906,100.71940532490193,91.31066947266079,91.70119194124781,91.34998537594731
2028,96.1535922199038,97.6217747645246,94.20606264768452,83.39112334678526,84.09789249277367,83.46227775202053,96.1535922199038,97.6217747645246,94.20606264768452,83.39112334678526,84.09789249277367,83.46227775202053,96.6133611353382,98.07601230018244,94.67308141386268,83.89880714678054,84.60376135115249,83.96977875531593,96.1535922199038,97.6217747645246,94.20606264768452,83.39112334678526,84.09789249277367,83.46227775202053,96.1535922199038,97.6217747645246,94.20606264768452,83.39112334678526,84.09789249277367,83.46227775202053,96.6133611353382,98.07601230018244,94.67308141386268,83.89880714678054,84.60376135115249,83.96977875531593,96.34431220147343,97.80660751170603,94.40461459438741,83.63449457656547,84.33867837139933,83.7053885782731,96.34431220147343,97.80660751170603,94.40461459438741,83.63449457656547,84.33867837139933,83.7053885782731,96.80215930760922,98.25896402414564,94.86965776959632,84.13989252932674,84.84227451589413,84.21060505765924,96.34431220147343,97.80660751170603,94.40461459438741,83.63449457656547,84.33867837139933,83.7053885782731,96.34431220147343,97.80660751170603,94.40461459438741,83.63449457656547,84.33867837139933,83.7053885782731,96.80215930760922,98.25896402414564,94.86965776959632,84.13989252932674,84.84227451589413,84.21060505765924,96.55337907771933,98.00952427595087,94.6218591971075,83.89849857853866,84.6000011566772,83.9691225220934,96.55337907771933,98.00952427595087,94.6218591971075,83.89849857853866,84.6000011566772,83.9691225220934,97.00921541328547,98.45991231242884,95.08483584491263,84.4015085456234,85.10122288149789,84.47195238271416,96.55337907771933,98.00952427595087,94.6218591971075,83.89849857853866,84.6000011566772,83.9691225220934,96.55337907771933,98.00952427595087,94.6218591971075,83.89849857853866,84.6000011566772,83.9691225220934,97.00921541328547,98.45991231242884,95.08483584491263,84.4015085456234,85.10122288149789,84.47195238271416
2029,91.40079783215977,93.02338318892657,89.24245033698777,78.64539775571095,79.77712568436358,78.75933513980372,91.40079783215977,93.02338318892657,89.24245033698777,78.64539775571095,79.77712568436358,78.75933513980372,91.961004251636,93.5771945383778,89.81104011897939,79.25790750651352,80.38683925695861,79.37156326139637,91.40079783215977,93.02338318892657,89.24245033698777,78.64539775571095,79.77712568436358,78.75933513980372,91.40079783215977,93.02338318892657,89.24245033698777,78.64539775571095,79.77712568436358,78.75933513980372,91.961004251636,93.5771945383778,89.81104011897939,79.25790750651352,80.38683925695861,79.37156326139637,91.6191564959968,93.23519448863593,89.46953683976355,78.91759341281515,80.04524592338595,79.03112030678302,91.6191564959968,93.23519448863593,89.46953683976355,78.91759341281515,80.04524592338595,79.03112030678302,92.177050405049,93.78674043604668,90.0357519891351,79.52739177425218,80.65226809708875,79.64063905332587,91.6191564959968,93.23519448863593,89.46953683976355,78.91759341281515,80.04524592338595,79.03112030678302,91.6191564959968,93.23519448863593,89.46953683976355,78.91759341281515,80.04524592338595,79.03112030678302,92.177050405049,93.78674043604668,90.0357519891351,79.52739177425218,80.65226809708875,79.64063905332587,91.85994885411414,93.46913761618538,89.71945428231707,79.21467737366832,80.33810494786675,79.32777871935201,91.85994885411414,93.46913761618538,89.71945428231707,79.21467737366832,80.33810494786675,79.32777871935201,92.41542149369654,94.01831117443017,90.28318372068216,79.82164079395928,80.94231282471647,79.93446460493378,91.85994885411414,93.46913761618538,89.71945428231707,79.21467737366832,80.33810494786675,79.32777871935201,91.85994885411414,93.46913761618538,89.71945428231707,79.21467737366832,80.33810494786675,79.32777871935201,92.41542149369654,94.01831117443017,90.28318372068216,79.82164079395928,80.94231282471647,79.93446460493378
2030,89.29367637413866,91.05844217880747,86.94181952624666,77.61124308958739,79.32959240928281,77.78423893203937,89.29367637413866,91.05844217880747,86.94181952624666,77.61124308958739,79.32959240928281,77.78423893203937,89.95985238179685,91.71735480358674,87.61751417330713,78.3320353330806,80.0462539512112,78.50461512898154,89.29367637413866,91.05844217880747,86.94181952624666,77.61124308958739,79.32959240928281,77.78423893203937,89.29367637413866,91.05844217880747,86.94181952624666,77.61124308958739,79.32959240928281,77.78423893203937,89.95985238179685,91.71735480358674,87.61751417330713,78.3320353330806,80.0462539512112,78.50461512898154,89.54320342276844,91.30078307369811,87.20093659555407,77.91224760764295,79.62447061236303,78.08462638362586,89.54320342276844,91.30078307369811,87.20093659555407,77.91224760764295,79.62447061236303,78.08462638362586,90.20665053076384,91.95702033929476,87.87383176856666,78.62989098139526,80.33801257644073,78.80185666245622,89.54320342276844,91.30078307369811,87.20093659555407,77.91224760764295,79.62447061236303,78.08462638362586,89.54320342276844,91.30078307369811,87.20093659555407,77.91224760764295,79.62447061236303,78.08462638362586,90.20665053076384,91.95702033929476,87.87383176856666,78.62989098139526,80.33801257644073,78.80185666245622,89.81937052963876,91.56942408281277,87.48714106597753,78.24239054352732,79.94826449565201,78.41412982070297,89.81937052963876,91.56942408281277,87.48714106597753,78.24239054352732,79.94826449565201,78.41412982070297,90.47995933782035,92.22285862693747,88.15710469892484,78.95673967599276,80.6585424616833,79.12806890572189,89.81937052963876,91.56942408281277,87.48714106597753,78.24239054352732,79.94826449565201,78.41412982070297,89.81937052963876,91.56942408281277,87.48714106597753,78.24239054352732,79.94826449565201,78.41412982070297,90.47995933782035,92.22285862693747,88.15710469892484,78.95673967599276,80.6585424616833,79.12806890572189
2031,88.9929369122032,90.89057078157161,86.46051517204508,79.36631787595655,81.82606931637766,79.61395481902792,88.95836920146702,90.85619060019097,86.42570904839314,79.33023119315833,81.79000248780656,79.57787013506588,89.49097147460013,91.38197691216433,86.96728992290247,79.9071253184462,82.36123335780997,80.15419384288803,88.9929369122032,90.89057078157161,86.46051517204508,79.36631787595655,81.82606931637766,79.61395481902792,88.95836920146702,90.85619060019097,86.42570904839314,79.33023119315833,81.79000248780656,79.57787013506588,89.49097147460013,91.38197691216433,86.96728992290247,79.9071253184462,82.36123335780997,80.15419384288803,89.27968011981355,91.16948714589589,86.7577088114438,79.69903230137292,82.15006797541233,79.94579135566468,89.24522736309359,91.13522067671818,86.72301923027509,79.6630708788545,82.11412626956613,79.90983191813056,89.77546649116239,91.65869525954679,87.26216889644016,80.237245540835,82.68267764767094,80.48344019053683,89.27968011981355,91.16948714589589,86.7577088114438,79.69903230137292,82.15006797541233,79.94579135566468,89.24522736309359,91.13522067671818,86.72301923027509,79.6630708788545,82.11412626956613,79.90983191813056,89.77546649116239,91.65869525954679,87.26216889644016,80.237245540835,82.68267764767094,80.48344019053683,89.60170773937244,91.48328729655061,87.09071289063385,80.0696459490364,82.51164871060925,80.31549517406921,89.56737398270552,91.4491385462267,87.05614394826317,80.0338141570322,82.47583649342633,80.27966535276492,90.09511881161107,91.9701723704689,87.59272846862906,80.60512294920389,83.04156327537427,80.85041191445515,89.60170773937244,91.48328729655061,87.09071289063385,80.0696459490364,82.51164871060925,80.31549517406921,89.56737398270552,91.4491385462267,87.05614394826317,80.0338141570322,82.47583649342633,80.27966535276492,90.09511881161107,91.9701723704689,87.59272846862906,80.60512294920389,83.04156327537427,80.85041191445515
2032,87.80441926134569,89.79488710453677,85.14538750230439,80.95822996163055,84.19742507491108,81.28433786126742,87.73842226936235,89.7292481453277,85.07893533018456,80.88933293418445,84.12856595333848,81.21544465001776,88.14424386085568,90.12874741382194,85.49312900756824,81.32784365858159,84.55979515818898,81.65322195296285,87.80441926134569,89.79488710453677,85.14538750230439,80.95822996163055,84.19742507491108,81.28433786126742,87.73842226936235,89.7292481453277,85.07893533018456,80.88933293418445,84.12856595333848,81.21544465001776,88.14424386085568,90.12874741382194,85.49312900756824,81.32784365858159,84.55979515818898,81.65322195296285,88.12823606436677,90.11036955804018,85.48033350938955,81.31999027935646,84.5477496620377,81.64494632189302,88.06245854365086,90.04494769921713,85.41410384125301,81.2513323999912,84.47912942592475,81.5762922322781,88.46626051917688,90.44247633518523,85.82621280022784,81.68753976514938,84.9081065091164,82.01177133925681,88.12823606436677,90.11036955804018,85.48033350938955,81.31999027935646,84.5477496620377,81.64494632189302,88.06245854365086,90.04494769921713,85.41410384125301,81.2513323999912,84.47912942592475,81.5762922322781,88.46626051917688,90.44247633518523,85.82621280022784,81.68753976514938,84.9081065091164,82.01177133925681,88.4987549063179,90.47208245981881,85.86259892198859,81.73121719057583,84.9471231393815,82.05497930818417,88.43320458160018,90.40688535091655,85.79659957855732,81.66280680298321,84.87875012421817,81.98657268307002,88.83484749897923,90.80230617561482,86.20648141130869,82.0965565992073,85.30532255442421,82.41959955348554,88.4987549063179,90.47208245981881,85.86259892198859,81.73121719057583,84.9471231393815,82.05497930818417,88.43320458160018,90.40688535091655,85.79659957855732,81.66280680298321,84.87875012421817,81.98657268307002,88.83484749897923,90.80230617561482,86.20648141130869,82.0965565992073,85.30532255442421,82.41959955348554
2033,84.30065971558979,86.30962316540236,81.6147997592692,80.27254970431424,84.12447829995176,80.66034491267465,84.20849167923303,86.21795513937587,81.52199604152598,80.17633162619147,84.0283131592405,80.56413216405734,84.49101234339147,86.49478238024714,81.81209682937543,80.48000889623451,84.32345106374723,80.86694931200813,84.30065971558979,86.30962316540236,81.6147997592692,80.27254970431424,84.12447829995176,80.66034491267465,84.20849167923303,86.21795513937587,81.52199604152598,80.17633162619147,84.0283131592405,80.56413216405734,84.49101234339147,86.49478238024714,81.81209682937543,80.48000889623451,84.32345106374723,80.86694931200813,84.64939008767472,86.6498233051407,81.97492041827465,80.65053272250987,84.48889100346702,81.03696106766769,84.5575285537077,86.55845847045168,81.88242743825755,80.55464862641179,84.39305947801716,80.94108226414188,84.8383868700966,86.83366874993695,82.1708053244141,80.8564541782403,84.68638564388861,81.24203373815998,84.64939008767472,86.6498233051407,81.97492041827465,80.65053272250987,84.48889100346702,81.03696106766769,84.5575285537077,86.55845847045168,81.88242743825755,80.55464862641179,84.39305947801716,80.94108226414188,84.8383868700966,86.83366874993695,82.1708053244141,80.8564541782403,84.68638564388861,81.24203373815998,85.0538053873677,87.04518714791139,82.39140687039512,81.08700801508432,84.91129923924827,81.47201946902504,84.96226114375578,86.95413618751043,82.29923555012599,80.99146955338587,84.81581296998034,81.37648626181229,85.2413138408181,87.227588557561,82.58574421868732,81.29124623483148,85.10717221607159,81.67541510831465,85.0538053873677,87.04518714791139,82.39140687039512,81.08700801508432,84.91129923924827,81.47201946902504,84.96226114375578,86.95413618751043,82.29923555012599,80.99146955338587,84.81581296998034,81.37648626181229,85.2413138408181,87.227588557561,82.58574421868732,81.29124623483148,85.10717221607159,81.67541510831465
2034,79.25478484024745,81.22411286303208,76.62025488411118,77.33012914705415,81.52521993058093,77.75247241331587,79.14239048061827,81.11232824125887,76.5070853424863,77.21279596189761,81.40795129997825,77.63514572722757,79.31398275131029,81.27890953022691,76.68538688427053,77.39610839312137,81.58204452308097,77.81752955569777,79.25478484024745,81.22411286303208,76.62025488411118,77.33012914705415,81.52521993058093,77.75247241331587,79.14239048061827,81.11232824125887,76.5070853424863,77.21279596189761,81.40795129997825,77.63514572722757,79.31398275131029,81.27890953022691,76.68538688427053,77.39610839312137,81.58204452308097,77.81752955569777,79.61740534479563,81.5782591245782,76.99418928489806,77.71530925004042,81.89563527767271,78.13616534288941,79.50538474966422,81.46684422963837,76.88139867255411,77.59838333943675,81.77877347437321,78.01924588631573,79.67565381317218,81.6321435012014,77.05832184715163,77.78022518790165,81.95146081565576,78.20016565213615,79.61740534479563,81.5782591245782,76.99418928489806,77.71530925004042,81.89563527767271,78.13616534288941,79.50538474966422,81.46684422963837,76.88139867255411,77.59838333943675,81.77877347437321,78.01924588631573,79.67565381317218,81.6321435012014,77.05832184715163,77.78022518790165,81.95146081565576,78.20016565213615,80.04251881575306,81.99434557818228,77.43133744747071,78.16582759018038,82.33084686805745,78.58514192422857,79.93088514050936,81.88331343740543,77.3189390832729,78.04932316362417,82.21440608758768,78.46864390525766,80.09968679406174,82.04718881622242,77.4943366390228,78.22953715307249,82.38553240468447,78.6479425471662,80.04251881575306,81.99434557818228,77.43133744747071,78.16582759018038,82.33084686805745,78.58514192422857,79.93088514050936,81.88331343740543,77.3189390832729,78.04932316362417,82.21440608758768,78.46864390525766,80.09968679406174,82.04718881622242,77.4943366390228,78.22953715307249,82.38553240468447,78.6479425471662
