Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025-01-31,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16217.085781721426,16217.085781721426,16217.085781721426,16217.085781721426,16217.085781721426,16217.085781721426,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16185.587706527991,16217.085781721426,16217.085781721426,16217.085781721426,16217.085781721426,16217.085781721426,16217.085781721426,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16232.709014631084,16232.709014631084,16232.709014631084,16232.709014631084,16232.709014631084,16232.709014631084,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16201.210939437648,16232.709014631084,16232.709014631084,16232.709014631084,16232.709014631084,16232.709014631084,16232.709014631084,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16250.297373673933,16250.297373673933,16250.297373673933,16250.297373673933,16250.297373673933,16250.297373673933,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16218.799298480495,16250.297373673933,16250.297373673933,16250.297373673933,16250.297373673933,16250.297373673933,16250.297373673933
2025-02-28,15353.610762953438,15373.647601346576,15328.995800841714,15211.30587574058,15212.668425732129,15211.44298339642,15353.610762953438,15373.647601346576,15328.995800841714,15211.30587574058,15212.668425732129,15211.44298339642,15379.524840456424,15399.561678849568,15354.909878344704,15237.219953243566,15238.582503235119,15237.357060899407,15353.610762953438,15373.647601346576,15328.995800841714,15211.30587574058,15212.668425732129,15211.44298339642,15353.610762953438,15373.647601346576,15328.995800841714,15211.30587574058,15212.668425732129,15211.44298339642,15379.524840456424,15399.561678849568,15354.909878344704,15237.219953243566,15238.582503235119,15237.357060899407,15378.207455647149,15398.244294040294,15353.592493535429,15235.902568434292,15237.265118425841,15236.039676090137,15378.207455647149,15398.244294040294,15353.592493535429,15235.902568434292,15237.265118425841,15236.039676090137,15404.12153315014,15424.15837154328,15379.50657103842,15261.816645937282,15263.179195928837,15261.953753593125,15378.207455647149,15398.244294040294,15353.592493535429,15235.902568434292,15237.265118425841,15236.039676090137,15378.207455647149,15398.244294040294,15353.592493535429,15235.902568434292,15237.265118425841,15236.039676090137,15404.12153315014,15424.15837154328,15379.50657103842,15261.816645937282,15263.179195928837,15261.953753593125,15404.950017629988,15424.986856023128,15380.335055518266,15262.64513041713,15264.007680408684,15262.782238072972,15404.950017629988,15424.986856023128,15380.335055518266,15262.64513041713,15264.007680408684,15262.782238072972,15430.864095132974,15450.900933526123,15406.249133021262,15288.559207920114,15289.921757911668,15288.69631557596,15404.950017629988,15424.986856023128,15380.335055518266,15262.64513041713,15264.007680408684,15262.782238072972,15404.950017629988,15424.986856023128,15380.335055518266,15262.64513041713,15264.007680408684,15262.782238072972,15430.864095132974,15450.900933526123,15406.249133021262,15288.559207920114,15289.921757911668,15288.69631557596
2025-03-31,14918.058972526042,14958.65033410781,14867.947191156134,14624.678578965657,14627.610118819943,14624.973567450432,14918.058972526042,14958.65033410781,14867.947191156134,14624.678578965657,14627.610118819943,14624.973567450432,14946.531070074108,14987.122431655871,14896.419288704195,14653.150676513722,14656.082216368013,14653.445664998495,14918.058972526042,14958.65033410781,14867.947191156134,14624.678578965657,14627.610118819943,14624.973567450432,14918.058972526042,14958.65033410781,14867.947191156134,14624.678578965657,14627.610118819943,14624.973567450432,14946.531070074108,14987.122431655871,14896.419288704195,14653.150676513722,14656.082216368013,14653.445664998495,14965.576958877216,15006.168320458986,14915.465177507305,14672.196565316832,14675.12810517112,14672.491553801605,14965.576958877216,15006.168320458986,14915.465177507305,14672.196565316832,14675.12810517112,14672.491553801605,14994.04905642528,15034.640418007053,14943.937275055368,14700.668662864893,14703.600202719186,14700.96365134967,14965.576958877216,15006.168320458986,14915.465177507305,14672.196565316832,14675.12810517112,14672.491553801605,14965.576958877216,15006.168320458986,14915.465177507305,14672.196565316832,14675.12810517112,14672.491553801605,14994.04905642528,15034.640418007053,14943.937275055368,14700.668662864893,14703.600202719186,14700.96365134967,15015.203728631137,15055.795090212905,14965.091947261226,14721.823335070752,14724.754874925042,14722.118323555529,15015.203728631137,15055.795090212905,14965.091947261226,14721.823335070752,14724.754874925042,14722.118323555529,15043.675826179202,15084.26718776097,14993.564044809289,14750.295432618816,14753.226972473103,14750.590421103594,15015.203728631137,15055.795090212905,14965.091947261226,14721.823335070752,14724.754874925042,14722.118323555529,15015.203728631137,15055.795090212905,14965.091947261226,14721.823335070752,14724.754874925042,14722.118323555529,15043.675826179202,15084.26718776097,14993.564044809289,14750.295432618816,14753.226972473103,14750.590421103594
2025-04-30,18046.59758215855,18105.688234021956,17973.34373379654,17612.95986322342,17617.47226113701,17613.41392678366,18046.59758215855,18105.688234021956,17973.34373379654,17612.95986322342,17617.47226113701,17613.41392678366,18076.88148355629,18135.97213541969,18003.62763519428,17643.24376462116,17647.756162534744,17643.6978281814,18046.59758215855,18105.688234021956,17973.34373379654,17612.95986322342,17617.47226113701,17613.41392678366,18046.59758215855,18105.688234021956,17973.34373379654,17612.95986322342,17617.47226113701,17613.41392678366,18076.88148355629,18135.97213541969,18003.62763519428,17643.24376462116,17647.756162534744,17643.6978281814,18115.109212801108,18174.199864664515,18041.855364439103,17681.471493865978,17685.983891779564,17681.92555742622,18115.109212801108,18174.199864664515,18041.855364439103,17681.471493865978,17685.983891779564,17681.92555742622,18145.393114198847,18204.48376606225,18072.139265836842,17711.755395263717,17716.267793177307,17712.209458823963,18115.109212801108,18174.199864664515,18041.855364439103,17681.471493865978,17685.983891779564,17681.92555742622,18115.109212801108,18174.199864664515,18041.855364439103,17681.471493865978,17685.983891779564,17681.92555742622,18145.393114198847,18204.48376606225,18072.139265836842,17711.755395263717,17716.267793177307,17712.209458823963,18185.916240071707,18245.006891935118,18112.662391709702,17752.278521136577,17756.790919050174,17752.732584696823,18185.916240071707,18245.006891935118,18112.662391709702,17752.278521136577,17756.790919050174,17752.732584696823,18216.20014146945,18275.290793332857,18142.946293107445,17782.562422534316,17787.07482044791,17783.016486094566,18185.916240071707,18245.006891935118,18112.662391709702,17752.278521136577,17756.790919050174,17752.732584696823,18185.916240071707,18245.006891935118,18112.662391709702,17752.278521136577,17756.790919050174,17752.732584696823,18216.20014146945,18275.290793332857,18142.946293107445,17782.562422534316,17787.07482044791,17783.016486094566
2025-05-31,17534.309183173435,17611.276815082856,17438.531680483527,16961.407612229163,16967.620276933543,16962.032766461634,17534.309183173435,17611.276815082856,17438.531680483527,16961.407612229163,16967.620276933543,16962.032766461634,17570.084139306888,17647.051771216305,17474.306636616988,16997.18256836261,17003.395233066996,16997.80772259508,17534.309183173435,17611.276815082856,17438.531680483527,16961.407612229163,16967.620276933543,16962.032766461634,17534.309183173435,17611.276815082856,17438.531680483527,16961.407612229163,16967.620276933543,16962.032766461634,17570.084139306888,17647.051771216305,17474.306636616988,16997.18256836261,17003.395233066996,16997.80772259508,17622.446978175743,17699.414610085165,17526.669475485836,17049.545407231468,17055.75807193585,17050.170561463936,17622.446978175743,17699.414610085165,17526.669475485836,17049.545407231468,17055.75807193585,17050.170561463936,17658.221934309193,17735.189566218614,17562.44443161929,17085.32036336492,17091.5330280693,17085.94551759739,17622.446978175743,17699.414610085165,17526.669475485836,17049.545407231468,17055.75807193585,17050.170561463936,17622.446978175743,17699.414610085165,17526.669475485836,17049.545407231468,17055.75807193585,17050.170561463936,17658.221934309193,17735.189566218614,17562.44443161929,17085.32036336492,17091.5330280693,17085.94551759739,17712.88902925654,17789.856661165966,17617.11152656664,17139.987458312266,17146.200123016653,17140.61261254474,17712.88902925654,17789.856661165966,17617.11152656664,17139.987458312266,17146.200123016653,17140.61261254474,17748.663985389994,17825.631617299416,17652.886482700087,17175.762414445722,17181.975079150106,17176.38756867819,17712.88902925654,17789.856661165966,17617.11152656664,17139.987458312266,17146.200123016653,17140.61261254474,17712.88902925654,17789.856661165966,17617.11152656664,17139.987458312266,17146.200123016653,17140.61261254474,17748.663985389994,17825.631617299416,17652.886482700087,17175.762414445722,17181.975079150106,17176.38756867819
2025-06-30,20162.45814860172,20255.67899901347,20046.077576269614,19459.89285792704,19467.817574245597,19460.690288688787,20162.45814860172,20255.67899901347,20046.077576269614,19459.89285792704,19467.817574245597,19460.690288688787,20198.18248317136,20291.403333583115,20081.801910839262,19495.617192496687,19503.541908815238,19496.41462325843,20162.45814860172,20255.67899901347,20046.077576269614,19459.89285792704,19467.817574245597,19460.690288688787,20162.45814860172,20255.67899901347,20046.077576269614,19459.89285792704,19467.817574245597,19460.690288688787,20198.18248317136,20291.403333583115,20081.801910839262,19495.617192496687,19503.541908815238,19496.41462325843,20265.41467213794,20358.635522549695,20149.034099805842,19562.849381463264,19570.774097781818,19563.64681222501,20265.41467213794,20358.635522549695,20149.034099805842,19562.849381463264,19570.774097781818,19563.64681222501,20301.139006707588,20394.35985711934,20184.758434375482,19598.573716032915,19606.498432351465,19599.371146794656,20265.41467213794,20358.635522549695,20149.034099805842,19562.849381463264,19570.774097781818,19563.64681222501,20265.41467213794,20358.635522549695,20149.034099805842,19562.849381463264,19570.774097781818,19563.64681222501,20301.139006707588,20394.35985711934,20184.758434375482,19598.573716032915,19606.498432351465,19599.371146794656,20370.589439820953,20463.810290232705,20254.20886748885,19668.024149146284,19675.948865464834,19668.82157990802,20370.589439820953,20463.810290232705,20254.20886748885,19668.024149146284,19675.948865464834,19668.82157990802,20406.313774390597,20499.534624802352,20289.933202058495,19703.748483715925,19711.67320003448,19704.54591447767,20370.589439820953,20463.810290232705,20254.20886748885,19668.024149146284,19675.948865464834,19668.82157990802,20370.589439820953,20463.810290232705,20254.20886748885,19668.024149146284,19675.948865464834,19668.82157990802,20406.313774390597,20499.534624802352,20289.933202058495,19703.748483715925,19711.67320003448,19704.54591447767
2025-07-31,16947.66228761361,17056.724071012253,16811.095788102863,16116.058224840732,16125.823084649115,16117.040821476661,16947.66228761361,17056.724071012253,16811.095788102863,16116.058224840732,16125.823084649115,16117.040821476661,16984.80132186929,17093.86310526793,16848.234822358543,16153.197259096412,16162.962118904796,16154.179855732338,16947.66228761361,17056.724071012253,16811.095788102863,16116.058224840732,16125.823084649115,16117.040821476661,16947.66228761361,17056.724071012253,16811.095788102863,16116.058224840732,16125.823084649115,16117.040821476661,16984.80132186929,17093.86310526793,16848.234822358543,16153.197259096412,16162.962118904796,16154.179855732338,17043.399995954253,17152.461779352892,16906.8334964435,16211.795933181367,16221.560792989752,16212.7785298173,17043.399995954253,17152.461779352892,16906.8334964435,16211.795933181367,16221.560792989752,16212.7785298173,17080.539030209933,17189.60081360857,16943.972530699182,16248.934967437048,16258.69982724543,16249.917564072975,17043.399995954253,17152.461779352892,16906.8334964435,16211.795933181367,16221.560792989752,16212.7785298173,17043.399995954253,17152.461779352892,16906.8334964435,16211.795933181367,16221.560792989752,16212.7785298173,17080.539030209933,17189.60081360857,16943.972530699182,16248.934967437048,16258.69982724543,16249.917564072975,17141.666746725205,17250.728530123844,17005.100247214457,16310.062683952317,16319.827543760706,16311.04528058825,17141.666746725205,17250.728530123844,17005.100247214457,16310.062683952317,16319.827543760706,16311.04528058825,17178.805780980874,17287.86756437952,17042.239281470123,16347.201718207993,16356.96657801638,16348.184314843927,17141.666746725205,17250.728530123844,17005.100247214457,16310.062683952317,16319.827543760706,16311.04528058825,17141.666746725205,17250.728530123844,17005.100247214457,16310.062683952317,16319.827543760706,16311.04528058825,17178.805780980874,17287.86756437952,17042.239281470123,16347.201718207993,16356.96657801638,16348.184314843927
2025-08-31,20142.49588759232,20266.534792523238,19986.75589569152,19186.598676199053,19198.278073546684,19187.773924668432,20142.49588759232,20266.534792523238,19986.75589569152,19186.598676199053,19198.278073546684,19187.773924668432,20183.610157395997,20307.649062326916,20027.870165495202,19227.712946002735,19239.392343350362,19228.88819447211,20142.49588759232,20266.534792523238,19986.75589569152,19186.598676199053,19198.278073546684,19187.773924668432,20142.49588759232,20266.534792523238,19986.75589569152,19186.598676199053,19198.278073546684,19187.773924668432,20183.610157395997,20307.649062326916,20027.870165495202,19227.712946002735,19239.392343350362,19228.88819447211,20231.643923350228,20355.68282828114,20075.903931449433,19275.746711956963,19287.426109304586,19276.92196042634,20231.643923350228,20355.68282828114,20075.903931449433,19275.746711956963,19287.426109304586,19276.92196042634,20272.758193153903,20396.797098084826,20117.018201253108,19316.860981760638,19328.540379108264,19318.03623023002,20231.643923350228,20355.68282828114,20075.903931449433,19275.746711956963,19287.426109304586,19276.92196042634,20231.643923350228,20355.68282828114,20075.903931449433,19275.746711956963,19287.426109304586,19276.92196042634,20272.758193153903,20396.797098084826,20117.018201253108,19316.860981760638,19328.540379108264,19318.03623023002,20323.153575779823,20447.192480710746,20167.41358387903,19367.256364386558,19378.935761734196,19368.431612855944,20323.153575779823,20447.192480710746,20167.41358387903,19367.256364386558,19378.935761734196,19368.431612855944,20364.267845583505,20488.306750514424,20208.52785368271,19408.37063419024,19420.05003153787,19409.54588265962,20323.153575779823,20447.192480710746,20167.41358387903,19367.256364386558,19378.935761734196,19368.431612855944,20323.153575779823,20447.192480710746,20167.41358387903,19367.256364386558,19378.935761734196,19368.431612855944,20364.267845583505,20488.306750514424,20208.52785368271,19408.37063419024,19420.05003153787,19409.54588265962
2025-09-30,21135.70083141416,21273.49434231411,20962.28242846191,20063.811503436842,20077.41660637202,20065.18052753324,21135.70083141416,21273.49434231411,20962.28242846191,20063.811503436842,20077.41660637202,20065.18052753324,21176.010045079795,21313.803555979743,21002.591642127543,20104.120717102476,20117.725820037653,20105.489741198868,21135.70083141416,21273.49434231411,20962.28242846191,20063.811503436842,20077.41660637202,20065.18052753324,21135.70083141416,21273.49434231411,20962.28242846191,20063.811503436842,20077.41660637202,20065.18052753324,21176.010045079795,21313.803555979743,21002.591642127543,20104.120717102476,20117.725820037653,20105.489741198868,21205.60476224287,21343.39827314282,21032.18635929062,20133.715434265545,20147.320537200725,20135.084458361944,21205.60476224287,21343.39827314282,21032.18635929062,20133.715434265545,20147.320537200725,20135.084458361944,21245.913975908505,21383.707486808453,21072.49557295625,20174.024647931183,20187.62975086636,20175.393672027578,21205.60476224287,21343.39827314282,21032.18635929062,20133.715434265545,20147.320537200725,20135.084458361944,21205.60476224287,21343.39827314282,21032.18635929062,20133.715434265545,20147.320537200725,20135.084458361944,21245.913975908505,21383.707486808453,21072.49557295625,20174.024647931183,20187.62975086636,20175.393672027578,21277.628875231392,21415.422386131344,21104.210472279137,20205.739547254067,20219.344650189247,20207.10857135047,21277.628875231392,21415.422386131344,21104.210472279137,20205.739547254067,20219.344650189247,20207.10857135047,21317.938088897026,21455.73159979697,21144.51968594477,20246.048760919704,20259.653863854885,20247.417785016103,21277.628875231392,21415.422386131344,21104.210472279137,20205.739547254067,20219.344650189247,20207.10857135047,21277.628875231392,21415.422386131344,21104.210472279137,20205.739547254067,20219.344650189247,20207.10857135047,21317.938088897026,21455.73159979697,21144.51968594477,20246.048760919704,20259.653863854885,20247.417785016103
2025-10-31,17536.783577157632,17688.097409158127,17345.927237398173,16349.272649642546,16364.945156866288,16350.849707908292,17536.783577157632,17688.097409158127,17345.927237398173,16349.272649642546,16364.945156866288,16350.849707908292,17578.843104919935,17730.156936920434,17387.98676516048,16391.33217740485,16407.004684628588,16392.909235670595,17536.783577157632,17688.097409158127,17345.927237398173,16349.272649642546,16364.945156866288,16350.849707908292,17536.783577157632,17688.097409158127,17345.927237398173,16349.272649642546,16364.945156866288,16350.849707908292,17578.843104919935,17730.156936920434,17387.98676516048,16391.33217740485,16407.004684628588,16392.909235670595,17585.20801663562,17736.521848636123,17394.351676876166,16397.697089120542,16413.36959634428,16399.27414738628,17585.20801663562,17736.521848636123,17394.351676876166,16397.697089120542,16413.36959634428,16399.27414738628,17627.26754439793,17778.581376398426,17436.411204638473,16439.756616882845,16455.429124106584,16441.333675148595,17585.20801663562,17736.521848636123,17394.351676876166,16397.697089120542,16413.36959634428,16399.27414738628,17585.20801663562,17736.521848636123,17394.351676876166,16397.697089120542,16413.36959634428,16399.27414738628,17627.26754439793,17778.581376398426,17436.411204638473,16439.756616882845,16455.429124106584,16441.333675148595,17636.81044665389,17788.124278654388,17445.954106894427,16449.299519138804,16464.97202636254,16450.87657740455,17636.81044665389,17788.124278654388,17445.954106894427,16449.299519138804,16464.97202636254,16450.87657740455,17678.869974416193,17830.18380641669,17488.01363465673,16491.359046901107,16507.03155412484,16492.936105166853,17636.81044665389,17788.124278654388,17445.954106894427,16449.299519138804,16464.97202636254,16450.87657740455,17636.81044665389,17788.124278654388,17445.954106894427,16449.299519138804,16464.97202636254,16450.87657740455,17678.869974416193,17830.18380641669,17488.01363465673,16491.359046901107,16507.03155412484,16492.936105166853
