Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026,104.84641930825542,105.63765151575002,103.81056794049879,97.70154355600977,97.86596632062032,97.71809692830084,104.84641930825542,105.63765151575002,103.81056794049879,97.70154355600977,97.86596632062032,97.71809692830084,105.02611324643745,105.81473141772581,103.99367381605549,97.90467102270632,98.06862458642397,97.9211771400872,104.84641930825542,105.63765151575002,103.81056794049879,97.70154355600977,97.86596632062032,97.71809692830084,104.84641930825542,105.63765151575002,103.81056794049879,97.70154355600977,97.86596632062032,97.71809692830084,105.02611324643745,105.81473141772581,103.99367381605549,97.90467102270632,98.06862458642397,97.9211771400872,104.9627737594896,105.75075940381144,103.93119118478364,97.84779884021653,98.01157091657268,97.86428667567188,104.9627737594896,105.75075940381144,103.93119118478364,97.84779884021653,98.01157091657268,97.86428667567188,105.14162975326018,105.92702122244336,104.11343303390966,98.04990571573758,98.21321218446516,98.06634665831058,104.9627737594896,105.75075940381144,103.93119118478364,97.84779884021653,98.01157091657268,97.86428667567188,104.9627737594896,105.75075940381144,103.93119118478364,97.84779884021653,98.01157091657268,97.86428667567188,105.14162975326018,105.92702122244336,104.11343303390966,98.04990571573758,98.21321218446516,98.06634665831058,105.08615655367069,105.87076979846348,104.05900736458797,98.00221841008373,98.16531599740073,98.01863831179108,105.08615655367069,105.87076979846348,104.05900736458797,98.00221841008373,98.16531599740073,98.01863831179108,105.26414071426848,106.04618031375487,104.24035042440445,98.20326477014115,98.36590045884604,98.2196381526543,105.08615655367069,105.87076979846348,104.05900736458797,98.00221841008373,98.16531599740073,98.01863831179108,105.08615655367069,105.87076979846348,104.05900736458797,98.00221841008373,98.16531599740073,98.01863831179108,105.26414071426848,106.04618031375487,104.24035042440445,98.20326477014115,98.36590045884604,98.2196381526543
2027,105.36316871779547,106.63344824649003,103.68574609966484,93.81566961818628,94.22529901378093,93.85690933278849,105.36316871779547,106.63344824649003,103.68574609966484,93.81566961818628,94.22529901378093,93.85690933278849,105.71213254590333,106.97788759449448,104.04063459740185,94.20507685978569,94.61360146171862,94.24620530420363,105.36316871779547,106.63344824649003,103.68574609966484,93.81566961818628,94.22529901378093,93.85690933278849,105.36316871779547,106.63344824649003,103.68574609966484,93.81566961818628,94.22529901378093,93.85690933278849,105.71213254590333,106.97788759449448,104.04063459740185,94.20507685978569,94.61360146171862,94.24620530420363,105.52620390467686,106.79139991084297,103.85551931540367,94.02593344478551,94.43402638839554,94.06701840538707,105.52620390467686,106.79139991084297,103.85551931540367,94.02593344478551,94.43402638839554,94.06701840538707,105.87367115656801,107.134376201862,104.20886707225993,94.41353616817672,94.82053246031583,94.45451067897605,105.52620390467686,106.79139991084297,103.85551931540367,94.02593344478551,94.43402638839554,94.06701840538707,105.52620390467686,106.79139991084297,103.85551931540367,94.02593344478551,94.43402638839554,94.06701840538707,105.87367115656801,107.134376201862,104.20886707225993,94.41353616817672,94.82053246031583,94.45451067897605,105.70297963051114,106.96287595202818,104.03931700030631,94.25188566075276,94.65838479228029,94.29281009068214,105.70297963051114,106.96287595202818,104.03931700030631,94.25188566075276,94.65838479228029,94.29281009068214,106.04888340406242,107.30432348835794,104.39105553725992,94.63760615533816,95.04301704637855,94.67842098292529,105.70297963051114,106.96287595202818,104.03931700030631,94.25188566075276,94.65838479228029,94.29281009068214,105.70297963051114,106.96287595202818,104.03931700030631,94.25188566075276,94.65838479228029,94.29281009068214,106.04888340406242,107.30432348835794,104.39105553725992,94.63760615533816,95.04301704637855,94.67842098292529
2028,103.06282955674962,104.63645669772627,100.9753464079028,89.38554002095034,90.14423672882819,89.46192232173004,103.06282955674962,104.63645669772627,100.9753464079028,89.38554002095034,90.14423672882819,89.46192232173004,103.55662805819776,105.1243169071778,101.47692811750868,89.93077428947798,90.6875215215178,90.00696024333266,103.06282955674962,104.63645669772627,100.9753464079028,89.38554002095034,90.14423672882819,89.46192232173004,103.06282955674962,104.63645669772627,100.9753464079028,89.38554002095034,90.14423672882819,89.46192232173004,103.55662805819776,105.1243169071778,101.47692811750868,89.93077428947798,90.6875215215178,90.00696024333266,103.26689909151877,104.83421737192926,101.18780925535688,89.64602968564101,90.40195145551677,89.72213248677862,103.26689909151877,104.83421737192926,101.18780925535688,89.64602968564101,90.40195145551677,89.72213248677862,103.7586351939086,105.32005895574427,101.68727084396785,90.18881085922894,90.94279725827694,90.2647187346741,103.26689909151877,104.83421737192926,101.18780925535688,89.64602968564101,90.40195145551677,89.72213248677862,103.26689909151877,104.83421737192926,101.18780925535688,89.64602968564101,90.40195145551677,89.72213248677862,103.7586351939086,105.32005895574427,101.68727084396785,90.18881085922894,90.94279725827694,90.2647187346741,103.49064981612584,105.051377184579,101.42032428168486,89.92865300253416,90.68169687260519,90.00446593472584,103.49064981612584,105.051377184579,101.42032428168486,89.92865300253416,90.68169687260519,90.00446593472584,103.98022797667863,105.53510622049554,101.91756808470029,90.46887138316396,91.2199944524025,90.54449085773952,103.49064981612584,105.051377184579,101.42032428168486,89.92865300253416,90.68169687260519,90.00446593472584,103.49064981612584,105.051377184579,101.42032428168486,89.92865300253416,90.68169687260519,90.00446593472584,103.98022797667863,105.53510622049554,101.91756808470029,90.46887138316396,91.2199944524025,90.54449085773952
2029,101.03611451677439,102.82937170524771,98.65066250789917,86.94250187121388,88.19468938259189,87.06856669017718,101.03611451677439,102.82937170524771,98.65066250789917,86.94250187121388,88.19468938259189,87.06856669017718,101.65621477925755,103.44239384494287,99.28004158968903,87.6204888017793,88.86958080991337,87.74624184330077,101.03611451677439,102.82937170524771,98.65066250789917,86.94250187121388,88.19468938259189,87.06856669017718,101.03611451677439,102.82937170524771,98.65066250789917,86.94250187121388,88.19468938259189,87.06856669017718,101.65621477925755,103.44239384494287,99.28004158968903,87.6204888017793,88.86958080991337,87.74624184330077,101.27734458971443,103.06336541193947,98.90153923660071,87.24322646304044,88.49090503452874,87.36883712540464,101.27734458971443,103.06336541193947,98.90153923660071,87.24322646304044,88.49090503452874,87.36883712540464,101.89488617240762,103.67388100425413,99.52829089016345,87.91821329747339,89.1628184946992,88.04351441220003,101.27734458971443,103.06336541193947,98.90153923660071,87.24322646304044,88.49090503452874,87.36883712540464,101.27734458971443,103.06336541193947,98.90153923660071,87.24322646304044,88.49090503452874,87.36883712540464,101.89488617240762,103.67388100425413,99.52829089016345,87.91821329747339,89.1628184946992,88.04351441220003,101.54337486630524,103.32182543048911,99.17765556971278,87.57146606007765,88.81447018022138,87.69660589697128,101.54337486630524,103.32182543048911,99.17765556971278,87.57146606007765,88.81447018022138,87.69660589697128,102.15823739757815,103.92971606586528,99.80165685513502,88.24331604628867,89.48326964533942,88.36814863830769,101.54337486630524,103.32182543048911,99.17765556971278,87.57146606007765,88.81447018022138,87.69660589697128,101.54337486630524,103.32182543048911,99.17765556971278,87.57146606007765,88.81447018022138,87.69660589697128,102.15823739757815,103.92971606586528,99.80165685513502,88.24331604628867,89.48326964533942,88.36814863830769
2030,100.57292206403761,102.56003000998606,97.92467997601474,87.42194968211942,89.35811571326323,87.61687449807644,100.57292206403761,102.56003000998606,97.92467997601474,87.42194968211942,89.35811571326323,87.61687449807644,101.32369428682118,103.30261402655047,98.6861829235748,88.23429481171223,90.16580423630609,88.42875061103551,100.57292206403761,102.56003000998606,97.92467997601474,87.42194968211942,89.35811571326323,87.61687449807644,100.57292206403761,102.56003000998606,97.92467997601474,87.42194968211942,89.35811571326323,87.61687449807644,101.32369428682118,103.30261402655047,98.6861829235748,88.23429481171223,90.16580423630609,88.42875061103551,100.85395872704666,102.83297373096123,98.2165170712787,87.76095447046491,89.69021783548217,87.95518402180339,100.85395872704666,102.83297373096123,98.2165170712787,87.76095447046491,89.69021783548217,87.95518402180339,101.60165599190971,103.57254314432409,98.97486550289536,88.56975118012336,90.4943909585647,88.7635150421283,100.85395872704666,102.83297373096123,98.2165170712787,87.76095447046491,89.69021783548217,87.95518402180339,100.85395872704666,102.83297373096123,98.2165170712787,87.76095447046491,89.69021783548217,87.95518402180339,101.60165599190971,103.57254314432409,98.97486550289536,88.56975118012336,90.4943909585647,88.7635150421283,101.1649937291943,103.13553273592771,98.53885659229739,88.13277270937039,90.05488231562799,88.32628170802995,101.1649937291943,103.13553273592771,98.53885659229739,88.13277270937039,90.05488231562799,88.32628170802995,101.90947019888735,103.8719440071858,99.29390166402948,88.93785714735834,90.85537726005575,89.13090389209124,101.1649937291943,103.13553273592771,98.53885659229739,88.13277270937039,90.05488231562799,88.32628170802995,101.1649937291943,103.13553273592771,98.53885659229739,88.13277270937039,90.05488231562799,88.32628170802995,101.90947019888735,103.8719440071858,99.29390166402948,88.93785714735834,90.85537726005575,89.13090389209124
2031,101.00955661375725,103.16275529707619,98.13600320122008,90.08910653955667,92.88130275241417,90.37021276916323,100.97031536986007,103.12372719177955,98.09649097858258,90.048138690222,92.8403574769805,90.32924719247121,101.57489154575217,103.72056286672091,98.71126381818233,90.7030202557981,93.48880762604324,90.98348096850708,101.00955661375725,103.16275529707619,98.13600320122008,90.08910653955667,92.88130275241417,90.37021276916323,100.97031536986007,103.12372719177955,98.09649097858258,90.048138690222,92.8403574769805,90.32924719247121,101.57489154575217,103.72056286672091,98.71126381818233,90.7030202557981,93.48880762604324,90.98348096850708,101.33509453188132,103.47941008749324,98.47340216050787,90.46682194762552,93.24912468834091,90.74693166349735,101.29598376859592,103.44051105157924,98.43402222372332,90.42599629293889,93.20832145116731,90.70610826570503,101.89787738420767,104.03472255894211,99.04603520230302,91.0777905568055,93.85372969026209,91.35725931413566,101.33509453188132,103.47941008749324,98.47340216050787,90.46682194762552,93.24912468834091,90.74693166349735,101.29598376859592,103.44051105157924,98.43402222372332,90.42599629293889,93.20832145116731,90.70610826570503,101.89787738420767,104.03472255894211,99.04603520230302,91.0777905568055,93.85372969026209,91.35725931413566,101.70067442178043,103.83565190105361,98.8514404590639,90.88754892210716,93.65959800139655,91.16662584874139,101.66169873400663,103.79688648463679,98.81219746020477,90.84687042566284,93.61894176119031,91.12594959295095,102.26076088139548,104.38832733067989,99.4212985070727,91.49541114619353,94.26114332838681,91.77385182122997,101.70067442178043,103.83565190105361,98.8514404590639,90.88754892210716,93.65959800139655,91.16662584874139,101.66169873400663,103.79688648463679,98.81219746020477,90.84687042566284,93.61894176119031,91.12594959295095,102.26076088139548,104.38832733067989,99.4212985070727,91.49541114619353,94.26114332838681,91.77385182122997
2032,99.71490026733106,101.97466013166574,96.69604858294763,91.94461115310925,95.62311650296267,92.31494715053066,99.6399595606507,101.90012646502176,96.62059037640537,91.86637307308403,95.54492153329598,92.23671341066978,100.10068868571852,102.35367349401685,97.09083033701617,92.36424211588962,96.03451826803573,92.73374923494127,99.71490026733106,101.97466013166574,96.69604858294763,91.94461115310925,95.62311650296267,92.31494715053066,99.6399595606507,101.90012646502176,96.62059037640537,91.86637307308403,95.54492153329598,92.23671341066978,100.10068868571852,102.35367349401685,97.09083033701617,92.36424211588962,96.03451826803573,92.73374923494127,100.08277358407953,102.33306872945502,97.07656076207502,92.35558439902618,96.02110342783398,92.72461235513498,100.00808206188678,102.25878155221318,97.00135518756785,92.27761787429209,95.9431797147975,92.6466501404899,100.46651775321924,102.71009079928508,97.46922774734179,92.7728710211901,96.43021876132242,93.14107593452562,100.08277358407953,102.33306872945502,97.07656076207502,92.35558439902618,96.02110342783398,92.72461235513498,100.00808206188678,102.25878155221318,97.00135518756785,92.27761787429209,95.9431797147975,92.6466501404899,100.46651775321924,102.71009079928508,97.46922774734179,92.7728710211901,96.43021876132242,93.14107593452562,100.50366826691337,102.74396287270326,97.51079577342989,92.82272061214603,96.47477872962808,93.19039272983368,100.42923470428784,102.66993087441469,97.43585171522253,92.74503512189443,96.39713574308043,93.11271151865607,100.88521860129285,103.11884655181463,97.90119514243443,93.2374972227194,96.88144385902615,93.60435232450493,100.50366826691337,102.74396287270326,97.51079577342989,92.82272061214603,96.47477872962808,93.19039272983368,100.42923470428784,102.66993087441469,97.43585171522253,92.74503512189443,96.39713574308043,93.11271151865607,100.88521860129285,103.11884655181463,97.90119514243443,93.2374972227194,96.88144385902615,93.60435232450493
2033,95.28331668395845,97.55330777406157,92.24840307385846,90.73390310498995,95.08736418125494,91.17219072362238,95.17917544037687,97.44973217307205,92.1435426873497,90.62517967135585,94.97870065586756,91.06347332129128,95.49827044382306,97.76239123497898,92.47120665844442,90.96819180989382,95.31205798086914,91.40551298351842,95.28331668395845,97.55330777406157,92.24840307385846,90.73390310498995,95.08736418125494,91.17219072362238,95.17917544037687,97.44973217307205,92.1435426873497,90.62517967135585,94.97870065586756,91.06347332129128,95.49827044382306,97.76239123497898,92.47120665844442,90.96819180989382,95.31205798086914,91.40551298351842,95.67764764236924,97.93799694865646,92.65560875997836,91.16131479698781,95.49943911922534,91.5980576264206,95.57385267764693,97.83476388130464,92.55109944320814,91.05296872976734,95.39115254521793,91.48971754870902,95.89106905658949,98.14559563505067,92.87681632223244,91.39386542875397,95.7224622429449,91.82964860500068,95.67764764236924,97.93799694865646,92.65560875997836,91.16131479698781,95.49943911922534,91.5980576264206,95.57385267764693,97.83476388130464,92.55109944320814,91.05296872976734,95.39115254521793,91.48971754870902,95.89106905658949,98.14559563505067,92.87681632223244,91.39386542875397,95.7224622429449,91.82964860500068,96.13489911967324,98.38501720739971,93.12650494824773,91.65482249408812,95.97704836143434,92.08996396408949,96.0314626280868,98.28213874910759,93.02235904722158,91.54686696602582,95.86915189858209,91.98201438243608,96.34663846063864,98.59098390126921,93.34596346827033,91.88547059758329,96.19823857089094,92.31965942956595,96.13489911967324,98.38501720739971,93.12650494824773,91.65482249408812,95.97704836143434,92.08996396408949,96.0314626280868,98.28213874910759,93.02235904722158,91.54686696602582,95.86915189858209,91.98201438243608,96.34663846063864,98.59098390126921,93.34596346827033,91.88547059758329,96.19823857089094,92.31965942956595
2034,88.84017970047604,91.0470471224423,85.88780130230901,86.68627119049542,91.38854181389333,87.15967544462569,88.7142439900214,90.92179543110673,85.76099594816336,86.55479433860769,91.2571374077279,87.02820588625971,88.90637623629593,91.10831050026707,85.96064938653508,86.76006001887437,91.45206553716969,87.23243031739426,88.84017970047604,91.0470471224423,85.88780130230901,86.68627119049542,91.38854181389333,87.15967544462569,88.7142439900214,90.92179543110673,85.76099594816336,86.55479433860769,91.2571374077279,87.02820588625971,88.90637623629593,91.10831050026707,85.96064938653508,86.76006001887437,91.45206553716969,87.23243031739426,89.24679702184429,91.44416490290659,86.30710158463341,87.11819344622283,91.80391482617813,87.58993078277751,89.12128005878174,91.31932742994915,86.18072077138457,86.9871729352215,91.67296625900802,87.45891751475725,89.31192929474831,91.50440567352031,86.37882934849522,87.190790291033,91.86631861107932,87.66150093224158,89.24679702184429,91.44416490290659,86.30710158463341,87.11819344622283,91.80391482617813,87.58993078277751,89.12128005878174,91.31932742994915,86.18072077138457,86.9871729352215,91.67296625900802,87.45891751475725,89.31192929474831,91.50440567352031,86.37882934849522,87.190790291033,91.86631861107932,87.66150093224158,89.72345501427827,91.91070332317949,86.79725104859685,87.62334881255033,92.29191311831956,88.09335801548347,89.5983715448777,91.78629467114196,86.67130970599715,87.49280057194494,92.16143630397082,87.96281696573928,89.78737612337197,91.96977705334763,86.8677083537112,87.69459328367162,92.35303895315673,88.16358329115795,89.72345501427827,91.91070332317949,86.79725104859685,87.62334881255033,92.29191311831956,88.09335801548347,89.5983715448777,91.78629467114196,86.67130970599715,87.49280057194494,92.16143630397082,87.96281696573928,89.78737612337197,91.96977705334763,86.8677083537112,87.69459328367162,92.35303895315673,88.16358329115795
