Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025-01-31,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16216.650095709672,16216.650095709672,16216.650095709672,16216.650095709672,16216.650095709672,16216.650095709672,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16185.152866739225,16216.650095709672,16216.650095709672,16216.650095709672,16216.650095709672,16216.650095709672,16216.650095709672,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16232.27290888769,16232.27290888769,16232.27290888769,16232.27290888769,16232.27290888769,16232.27290888769,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16200.775679917238,16232.27290888769,16232.27290888769,16232.27290888769,16232.27290888769,16232.27290888769,16232.27290888769,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16249.860795404085,16249.860795404085,16249.860795404085,16249.860795404085,16249.860795404085,16249.860795404085,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16218.363566433636,16249.860795404085,16249.860795404085,16249.860795404085,16249.860795404085,16249.860795404085,16249.860795404085
2025-02-28,15353.165413249435,15373.201670450293,15328.551165123905,15210.864653758737,15212.227164227907,15211.001757437609,15353.165413249435,15373.201670450293,15328.551165123905,15210.864653758737,15212.227164227907,15211.001757437609,15379.078739083845,15399.114996284708,15354.464490958318,15236.777979593147,15238.14049006232,15236.915083272019,15353.165413249435,15373.201670450293,15328.551165123905,15210.864653758737,15212.227164227907,15211.001757437609,15353.165413249435,15373.201670450293,15328.551165123905,15210.864653758737,15212.227164227907,15211.001757437609,15379.078739083845,15399.114996284708,15354.464490958318,15236.777979593147,15238.14049006232,15236.915083272019,15377.761392486878,15397.797649687745,15353.147144361352,15235.460632996184,15236.823143465353,15235.597736675058,15377.761392486878,15397.797649687745,15353.147144361352,15235.460632996184,15236.823143465353,15235.597736675058,15403.674718321294,15423.710975522155,15379.060470195767,15261.373958830598,15262.736469299773,15261.51106250947,15377.761392486878,15397.797649687745,15353.147144361352,15235.460632996184,15236.823143465353,15235.597736675058,15377.761392486878,15397.797649687745,15353.147144361352,15235.460632996184,15236.823143465353,15235.597736675058,15403.674718321294,15423.710975522155,15379.060470195767,15261.373958830598,15262.736469299773,15261.51106250947,15404.503178769966,15424.539435970826,15379.888930644436,15262.202419279269,15263.564929748443,15262.33952295814,15404.503178769966,15424.539435970826,15379.888930644436,15262.202419279269,15263.564929748443,15262.33952295814,15430.416504604376,15450.452761805245,15405.802256478855,15288.115745113677,15289.478255582851,15288.252848792554,15404.503178769966,15424.539435970826,15379.888930644436,15262.202419279269,15263.564929748443,15262.33952295814,15404.503178769966,15424.539435970826,15379.888930644436,15262.202419279269,15263.564929748443,15262.33952295814,15430.416504604376,15450.452761805245,15405.802256478855,15288.115745113677,15289.478255582851,15288.252848792554
2025-03-31,14917.587930908256,14958.178010807154,14867.477731830964,14624.216800910608,14627.148248200756,14624.511780081044,14917.587930908256,14958.178010807154,14867.477731830964,14624.216800910608,14627.148248200756,14624.511780081044,14946.059129442388,14986.649209341282,14895.948930365092,14652.687999444739,14655.619446734892,14652.982978615173,14917.587930908256,14958.178010807154,14867.477731830964,14624.216800910608,14627.148248200756,14624.511780081044,14917.587930908256,14958.178010807154,14867.477731830964,14624.216800910608,14627.148248200756,14624.511780081044,14946.059129442388,14986.649209341282,14895.948930365092,14652.687999444739,14655.619446734892,14652.982978615173,14965.10441686657,15005.694496765473,14914.994217789275,14671.733286868923,14674.664734159072,14672.028266039359,14965.10441686657,15005.694496765473,14914.994217789275,14671.733286868923,14674.664734159072,14672.028266039359,14993.5756154007,15034.165695299604,14943.465416323406,14700.20448540305,14703.135932693205,14700.499464573488,14965.10441686657,15005.694496765473,14914.994217789275,14671.733286868923,14674.664734159072,14672.028266039359,14965.10441686657,15005.694496765473,14914.994217789275,14671.733286868923,14674.664734159072,14672.028266039359,14993.5756154007,15034.165695299604,14943.465416323406,14700.20448540305,14703.135932693205,14700.499464573488,15014.729619642243,15055.319699541142,14964.619420564948,14721.358489644595,14724.289936934747,14721.653468815033,15014.729619642243,15055.319699541142,14964.619420564948,14721.358489644595,14724.289936934747,14721.653468815033,15043.200818176374,15083.790898075273,14993.090619099079,14749.829688178726,14752.761135468874,14750.124667349164,15014.729619642243,15055.319699541142,14964.619420564948,14721.358489644595,14724.289936934747,14721.653468815033,15014.729619642243,15055.319699541142,14964.619420564948,14721.358489644595,14724.289936934747,14721.653468815033,15043.200818176374,15083.790898075273,14993.090619099079,14749.829688178726,14752.761135468874,14750.124667349164
2025-04-30,18045.978982912628,18105.067609273305,17972.727645537812,17612.356128162544,17616.868371400666,17612.81017615845,18045.978982912628,18105.067609273305,17972.727645537812,17612.356128162544,17616.868371400666,17612.81017615845,18076.261846242196,18135.350472602866,18003.010508867377,17642.638991492113,17647.15123473023,17643.093039488016,18045.978982912628,18105.067609273305,17972.727645537812,17612.356128162544,17616.868371400666,17612.81017615845,18045.978982912628,18105.067609273305,17972.727645537812,17612.356128162544,17616.868371400666,17612.81017615845,18076.261846242196,18135.350472602866,18003.010508867377,17642.638991492113,17647.15123473023,17643.093039488016,18114.488265121206,18173.57689148188,18041.236927746388,17680.865410371123,17685.377653609237,17681.319458367023,18114.488265121206,18173.57689148188,18041.236927746388,17680.865410371123,17685.377653609237,17681.319458367023,18144.771128450768,18203.859754811445,18071.519791075953,17711.148273700688,17715.660516938806,17711.60232169659,18114.488265121206,18173.57689148188,18041.236927746388,17680.865410371123,17685.377653609237,17681.319458367023,18114.488265121206,18173.57689148188,18041.236927746388,17680.865410371123,17685.377653609237,17681.319458367023,18144.771128450768,18203.859754811445,18071.519791075953,17711.148273700688,17715.660516938806,17711.60232169659,18185.29286527647,18244.38149163715,18112.041527901656,17751.670010526388,17756.182253764517,17752.124058522295,18185.29286527647,18244.38149163715,18112.041527901656,17751.670010526388,17756.182253764517,17752.124058522295,18215.57572860604,18274.664354966717,18142.32439123123,17781.952873855957,17786.465117094078,17782.406921851863,18185.29286527647,18244.38149163715,18112.041527901656,17751.670010526388,17756.182253764517,17752.124058522295,18185.29286527647,18244.38149163715,18112.041527901656,17751.670010526388,17756.182253764517,17752.124058522295,18215.57572860604,18274.664354966717,18142.32439123123,17781.952873855957,17786.465117094078,17782.406921851863
2025-05-31,17533.654911143025,17610.619671096196,17437.880982277467,16960.77471734399,16966.987150230125,16961.399848249566,17533.654911143025,17610.619671096196,17437.880982277467,16960.77471734399,16966.987150230125,16961.399848249566,17569.428532376256,17646.393292329423,17473.654603510706,16996.548338577213,17002.76077146336,16997.173469482794,17533.654911143025,17610.619671096196,17437.880982277467,16960.77471734399,16966.987150230125,16961.399848249566,17533.654911143025,17610.619671096196,17437.880982277467,16960.77471734399,16966.987150230125,16961.399848249566,17569.428532376256,17646.393292329423,17473.654603510706,16996.548338577213,17002.76077146336,16997.173469482794,17621.789417387645,17698.75417734082,17526.01548852209,17048.909223588606,17055.121656474745,17049.534354494182,17621.789417387645,17698.75417734082,17526.01548852209,17048.909223588606,17055.121656474745,17049.534354494182,17657.563038620872,17734.52779857405,17561.789109755322,17084.68284482184,17090.89527770798,17085.307975727417,17621.789417387645,17698.75417734082,17526.01548852209,17048.909223588606,17055.121656474745,17049.534354494182,17621.789417387645,17698.75417734082,17526.01548852209,17048.909223588606,17055.121656474745,17049.534354494182,17657.563038620872,17734.52779857405,17561.789109755322,17084.68284482184,17090.89527770798,17085.307975727417,17712.228093730166,17789.19285368334,17616.45416486462,17139.347899931126,17145.560332817273,17139.97303083671,17712.228093730166,17789.19285368334,17616.45416486462,17139.347899931126,17145.560332817273,17139.97303083671,17748.001714963397,17824.96647491657,17652.227786097843,17175.12152116436,17181.3339540505,17175.746652069938,17712.228093730166,17789.19285368334,17616.45416486462,17139.347899931126,17145.560332817273,17139.97303083671,17712.228093730166,17789.19285368334,17616.45416486462,17139.347899931126,17145.560332817273,17139.97303083671,17748.001714963397,17824.96647491657,17652.227786097843,17175.12152116436,17181.3339540505,17175.746652069938
2025-06-30,20161.641416634586,20254.85849089722,20045.2655585954,19459.104585165012,19467.028980472653,19459.901983624783,20161.641416634586,20254.85849089722,20045.2655585954,19459.104585165012,19467.028980472653,19459.901983624783,20197.364304098628,20290.581378361265,20080.98844605945,19494.827472629062,19502.751867936695,19495.624871088832,20161.641416634586,20254.85849089722,20045.2655585954,19459.104585165012,19467.028980472653,19459.901983624783,20161.641416634586,20254.85849089722,20045.2655585954,19459.104585165012,19467.028980472653,19459.901983624783,20197.364304098628,20290.581378361265,20080.98844605945,19494.827472629062,19502.751867936695,19495.624871088832,20264.593769653333,20357.81084391597,20148.217911614156,19562.056938183763,19569.981333491403,19562.854336643537,20264.593769653333,20357.81084391597,20148.217911614156,19562.056938183763,19569.981333491403,19562.854336643537,20300.316657117382,20393.533731380016,20183.9407990782,19597.779825647813,19605.704220955453,19598.57722410758,20264.593769653333,20357.81084391597,20148.217911614156,19562.056938183763,19569.981333491403,19562.854336643537,20264.593769653333,20357.81084391597,20148.217911614156,19562.056938183763,19569.981333491403,19562.854336643537,20300.316657117382,20393.533731380016,20183.9407990782,19597.779825647813,19605.704220955453,19598.57722410758,20369.764276963215,20462.98135122585,20253.388418924038,19667.227445493652,19675.151840801285,19668.02484395342,20369.764276963215,20462.98135122585,20253.388418924038,19667.227445493652,19675.151840801285,19668.02484395342,20405.48716442726,20498.7042386899,20289.111306388084,19702.950332957695,19710.874728265335,19703.74773141747,20369.764276963215,20462.98135122585,20253.388418924038,19667.227445493652,19675.151840801285,19668.02484395342,20369.764276963215,20462.98135122585,20253.388418924038,19667.227445493652,19675.151840801285,19668.02484395342,20405.48716442726,20498.7042386899,20289.111306388084,19702.950332957695,19710.874728265335,19703.74773141747
2025-07-31,16946.914977739485,17055.971952041382,16810.354500150337,16115.347584680514,16125.112013905846,16116.330137988689,16946.914977739485,17055.971952041382,16810.354500150337,16115.347584680514,16125.112013905846,16116.330137988689,16984.052374343522,17093.109348645412,16847.491896754374,16152.48498128455,16162.249410509881,16153.46753459272,16946.914977739485,17055.971952041382,16810.354500150337,16115.347584680514,16125.112013905846,16116.330137988689,16946.914977739485,17055.971952041382,16810.354500150337,16115.347584680514,16125.112013905846,16116.330137988689,16984.052374343522,17093.109348645412,16847.491896754374,16152.48498128455,16162.249410509881,16153.46753459272,17042.6484645106,17151.705438812485,16906.087986921444,16211.081071451617,16220.845500676949,16212.063624759794,17042.6484645106,17151.705438812485,16906.087986921444,16211.081071451617,16220.845500676949,16212.063624759794,17079.78586111463,17188.842835416515,16943.22538352548,16248.218468055655,16257.982897280983,16249.201021363824,17042.6484645106,17151.705438812485,16906.087986921444,16211.081071451617,16220.845500676949,16212.063624759794,17042.6484645106,17151.705438812485,16906.087986921444,16211.081071451617,16220.845500676949,16212.063624759794,17079.78586111463,17188.842835416515,16943.22538352548,16248.218468055655,16257.982897280983,16249.201021363824,17140.910882193486,17249.967856495376,17004.350404604338,16309.343489134506,16319.107918359841,16310.32604244268,17140.910882193486,17249.967856495376,17004.350404604338,16309.343489134506,16319.107918359841,16310.32604244268,17178.04827879751,17287.105253099406,17041.487801208357,16346.480885738536,16356.24531496387,16347.463439046714,17140.910882193486,17249.967856495376,17004.350404604338,16309.343489134506,16319.107918359841,16310.32604244268,17140.910882193486,17249.967856495376,17004.350404604338,16309.343489134506,16319.107918359841,16310.32604244268,17178.04827879751,17287.105253099406,17041.487801208357,16346.480885738536,16356.24531496387,16347.463439046714
2025-08-31,20141.52903873851,20265.561989746253,19985.796522427303,19185.677710840933,19197.356547572243,19186.852902897856,20141.52903873851,20265.561989746253,19985.796522427303,19185.677710840933,19197.356547572243,19186.852902897856,20182.641335038763,20306.674286046506,20026.90881872756,19226.790007141186,19238.468843872495,19227.965199198105,20141.52903873851,20265.561989746253,19985.796522427303,19185.677710840933,19197.356547572243,19186.852902897856,20141.52903873851,20265.561989746253,19985.796522427303,19185.677710840933,19197.356547572243,19186.852902897856,20182.641335038763,20306.674286046506,20026.90881872756,19226.790007141186,19238.468843872495,19227.965199198105,20230.67279535064,20354.70574635838,20074.94027903944,19274.821467453065,19286.500304184367,19275.996659509987,20230.67279535064,20354.70574635838,20074.94027903944,19274.821467453065,19286.500304184367,19275.996659509987,20271.78509165089,20395.81804265864,20116.052575339687,19315.933763753314,19327.61260048462,19317.10895581024,20230.67279535064,20354.70574635838,20074.94027903944,19274.821467453065,19286.500304184367,19275.996659509987,20230.67279535064,20354.70574635838,20074.94027903944,19274.821467453065,19286.500304184367,19275.996659509987,20271.78509165089,20395.81804265864,20116.052575339687,19315.933763753314,19327.61260048462,19317.10895581024,20322.1780552758,20446.21100628355,20166.445538964603,19366.326727378222,19378.00556410954,19367.50191943515,20322.1780552758,20446.21100628355,20166.445538964603,19366.326727378222,19378.00556410954,19367.50191943515,20363.290351576055,20487.3233025838,20207.557835264855,19407.439023678475,19419.117860409788,19408.614215735404,20322.1780552758,20446.21100628355,20166.445538964603,19366.326727378222,19378.00556410954,19367.50191943515,20322.1780552758,20446.21100628355,20166.445538964603,19366.326727378222,19378.00556410954,19367.50191943515,20363.290351576055,20487.3233025838,20207.557835264855,19407.439023678475,19419.117860409788,19408.614215735404
2025-09-30,21134.599477213815,21272.38580787104,20961.190110871612,20062.76600401146,20076.37039800221,20064.134956769773,21134.599477213815,21272.38580787104,20961.190110871612,20062.76600401146,20076.37039800221,20064.134956769773,21174.90659041814,21312.69292107537,21001.497224075938,20103.073117215787,20116.67751120654,20104.442069974095,21134.599477213815,21272.38580787104,20961.190110871612,20062.76600401146,20076.37039800221,20064.134956769773,21134.599477213815,21272.38580787104,20961.190110871612,20062.76600401146,20076.37039800221,20064.134956769773,21174.90659041814,21312.69292107537,21001.497224075938,20103.073117215787,20116.67751120654,20104.442069974095,21204.499765438548,21342.28609609578,21031.090399096345,20132.66629223619,20146.270686226944,20134.035244994502,21204.499765438548,21342.28609609578,21031.090399096345,20132.66629223619,20146.270686226944,20134.035244994502,21244.806878642878,21382.593209300107,21071.39751230067,20172.97340544052,20186.577799431274,20174.34235819883,21204.499765438548,21342.28609609578,21031.090399096345,20132.66629223619,20146.270686226944,20134.035244994502,21204.499765438548,21342.28609609578,21031.090399096345,20132.66629223619,20146.270686226944,20134.035244994502,21244.806878642878,21382.593209300107,21071.39751230067,20172.97340544052,20186.577799431274,20174.34235819883,21276.520125343133,21414.306456000362,21103.110759000927,20204.686652140772,20218.291046131526,20206.055604899087,21276.520125343133,21414.306456000362,21103.110759000927,20204.686652140772,20218.291046131526,20206.055604899087,21316.82723854746,21454.613569204685,21143.417872205253,20244.9937653451,20258.59815933586,20246.362718103413,21276.520125343133,21414.306456000362,21103.110759000927,20204.686652140772,20218.291046131526,20206.055604899087,21276.520125343133,21414.306456000362,21103.110759000927,20204.686652140772,20218.291046131526,20206.055604899087,21316.82723854746,21454.613569204685,21143.417872205253,20244.9937653451,20258.59815933586,20246.362718103413
2025-10-31,17535.788827821445,17687.09407675805,17344.943314118915,16348.345260190326,16364.01687841318,16349.922228999665,17535.788827821445,17687.09407675805,17344.943314118915,16348.345260190326,16364.01687841318,16349.922228999665,17577.84596981631,17729.15121875291,17387.000456113776,16390.402402185187,16406.07402040804,16391.979370994526,17535.788827821445,17687.09407675805,17344.943314118915,16348.345260190326,16364.01687841318,16349.922228999665,17535.788827821445,17687.09407675805,17344.943314118915,16348.345260190326,16364.01687841318,16349.922228999665,17577.84596981631,17729.15121875291,17387.000456113776,16390.402402185187,16406.07402040804,16391.979370994526,17584.210520491346,17735.51576942795,17393.365006788816,16396.766952860227,16412.43857108308,16398.343921669562,17584.210520491346,17735.51576942795,17393.365006788816,16396.766952860227,16412.43857108308,16398.343921669562,17626.26766248621,17777.572911422812,17435.422148783677,16438.824094855092,16454.49571307794,16440.401063664434,17584.210520491346,17735.51576942795,17393.365006788816,16396.766952860227,16412.43857108308,16398.343921669562,17584.210520491346,17735.51576942795,17393.365006788816,16396.766952860227,16412.43857108308,16398.343921669562,17626.26766248621,17777.572911422812,17435.422148783677,16438.824094855092,16454.49571307794,16440.401063664434,17635.810023434486,17787.11527237109,17444.96450973195,16448.366455803367,16464.038074026215,16449.943424612702,17635.810023434486,17787.11527237109,17444.96450973195,16448.366455803367,16464.038074026215,16449.943424612702,17677.867165429347,17829.172414365952,17487.021651726813,16490.423597798224,16506.095216021073,16492.000566607563,17635.810023434486,17787.11527237109,17444.96450973195,16448.366455803367,16464.038074026215,16449.943424612702,17635.810023434486,17787.11527237109,17444.96450973195,16448.366455803367,16464.038074026215,16449.943424612702,17677.867165429347,17829.172414365952,17487.021651726813,16490.423597798224,16506.095216021073,16492.000566607563
2025-11-30,17504.98750883841,17668.762143198837,17298.009736266584,16209.604909192196,16227.354083782264,16211.390933731715,17504.98750883841,17668.762143198837,17298.009736266584,16209.604909192196,16227.354083782264,16211.390933731715,17554.25924578174,17718.03388014217,17347.28147320991,16258.87664613552,16276.625820725594,16260.662670675045,17504.98750883841,17668.762143198837,17298.009736266584,16209.604909192196,16227.354083782264,16211.390933731715,17504.98750883841,17668.762143198837,17298.009736266584,16209.604909192196,16227.354083782264,16211.390933731715,17554.25924578174,17718.03388014217,17347.28147320991,16258.87664613552,16276.625820725594,16260.662670675045,17534.876978521188,17698.651612881615,17327.899205949358,16239.494378874968,16257.243553465041,16241.28040341449,17534.876978521188,17698.651612881615,17327.899205949358,16239.494378874968,16257.243553465041,16241.28040341449,17584.14871546452,17747.923349824945,17377.170942892684,16288.766115818298,16306.515290408373,16290.552140357819,17534.876978521188,17698.651612881615,17327.899205949358,16239.494378874968,16257.243553465041,16241.28040341449,17534.876978521188,17698.651612881615,17327.899205949358,16239.494378874968,16257.243553465041,16241.28040341449,17584.14871546452,17747.923349824945,17377.170942892684,16288.766115818298,16306.515290408373,16290.552140357819,17567.91836440309,17731.692998763512,17360.940591831255,16272.535764756865,16290.284939346937,16274.321789296388,17567.91836440309,17731.692998763512,17360.940591831255,16272.535764756865,16290.284939346937,16274.321789296388,17617.19010134642,17780.964735706846,17410.212328774585,16321.8075017002,16339.556676290269,16323.59352623972,17567.91836440309,17731.692998763512,17360.940591831255,16272.535764756865,16290.284939346937,16274.321789296388,17567.91836440309,17731.692998763512,17360.940591831255,16272.535764756865,16290.284939346937,16274.321789296388,17617.19010134642,17780.964735706846,17410.212328774585,16321.8075017002,16339.556676290269,16323.59352623972
