Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026,104.8384736175201,105.62964429691988,103.80270310962798,97.69416083665126,97.8585696293362,97.71071280223943,104.8384736175201,105.62964429691988,103.80270310962798,97.69416083665126,97.8585696293362,97.71071280223943,105.01815232559272,105.80670918822234,103.98579346802181,97.8972710896288,98.06121072294816,97.91377580448948,104.8384736175201,105.62964429691988,103.80270310962798,97.69416083665126,97.8585696293362,97.71071280223943,104.8384736175201,105.62964429691988,103.80270310962798,97.69416083665126,97.8585696293362,97.71071280223943,105.01815232559272,105.80670918822234,103.98579346802181,97.8972710896288,98.06121072294816,97.91377580448948,104.95482117009756,105.7427455293922,103.92331913389603,97.84040693835033,98.00416509673472,97.85689337253753,104.95482117009756,105.7427455293922,103.92331913389603,97.84040693835033,98.00416509673472,97.85689337253753,105.13366199860961,105.9189924005896,104.10554553283444,98.04249668003172,98.20578927200344,98.05893622548784,104.95482117009756,105.7427455293922,103.92331913389603,97.84040693835033,98.00416509673472,97.85689337253753,104.95482117009756,105.7427455293922,103.92331913389603,97.84040693835033,98.00416509673472,97.85689337253753,105.13366199860961,105.9189924005896,104.10554553283444,98.04249668003172,98.20578927200344,98.05893622548784,105.07819642431772,105.86274863796707,104.05112743820601,97.99481658610635,98.15790031155066,98.01123509219633,105.07819642431772,105.86274863796707,104.05112743820601,97.99481658610635,98.15790031155066,98.01123509219633,105.25616548758903,106.03814427208331,104.23245511797074,98.19584589583576,98.35846776356166,98.21221788685041,105.07819642431772,105.86274863796707,104.05112743820601,97.99481658610635,98.15790031155066,98.01123509219633,105.07819642431772,105.86274863796707,104.05112743820601,97.99481658610635,98.15790031155066,98.01123509219633,105.25616548758903,106.03814427208331,104.23245511797074,98.19584589583576,98.35846776356166,98.21221788685041
2027,105.33356902373043,106.60348571809561,103.6566260813349,93.78936865563064,94.19887544974368,93.83059602707219,105.33356902373043,106.60348571809561,103.6566260813349,93.78936865563064,94.19887544974368,93.83059602707219,105.68242720570511,106.94782076188574,104.01140717549583,94.17865827149326,94.58706060684476,94.21977440648104,105.33356902373043,106.60348571809561,103.6566260813349,93.78936865563064,94.19887544974368,93.83059602707219,105.33356902373043,106.60348571809561,103.6566260813349,93.78936865563064,94.19887544974368,93.83059602707219,105.68242720570511,106.94782076188574,104.01140717549583,94.17865827149326,94.58706060684476,94.21977440648104,105.49656459032053,106.76139917930124,103.82635779424254,93.99957963909246,94.40755043592264,94.04065230233313,105.49656459032053,106.76139917930124,103.82635779424254,93.99957963909246,94.40755043592264,94.04065230233313,105.84392662867243,107.10427158894558,104.17959859297898,94.38706525905968,94.79393973687483,94.42802750598234,105.49656459032053,106.76139917930124,103.82635779424254,93.99957963909246,94.40755043592264,94.04065230233313,105.49656459032053,106.76139917930124,103.82635779424254,93.99957963909246,94.40755043592264,94.04065230233313,105.84392662867243,107.10427158894558,104.17959859297898,94.38706525905968,94.79393973687483,94.42802750598234,105.67329644651191,106.9328328325407,104.01010964217272,94.2254741820783,94.63185163900356,94.26638636220656,105.67329644651191,106.9328328325407,104.01010964217272,94.2254741820783,94.63185163900356,94.26638636220656,106.01909545983794,107.2741769306869,104.36174168766526,94.61107811957467,95.01636766594139,94.65188073059029,105.67329644651191,106.9328328325407,104.01010964217272,94.2254741820783,94.63185163900356,94.26638636220656,105.67329644651191,106.9328328325407,104.01010964217272,94.2254741820783,94.63185163900356,94.26638636220656,106.01909545983794,107.2741769306869,104.36174168766526,94.61107811957467,95.01636766594139,94.65188073059029
2028,102.97633737186555,104.54862773480036,100.89062837248942,89.31060109899343,90.06863018514576,89.38691618618503,102.97633737186555,104.54862773480036,100.89062837248942,89.31060109899343,90.06863018514576,89.38691618618503,103.46969406586659,105.03605132591187,101.3917614759531,89.85534880691766,90.61143014234015,89.93146772093463,102.97633737186555,104.54862773480036,100.89062837248942,89.31060109899343,90.06863018514576,89.38691618618503,102.97633737186555,104.54862773480036,100.89062837248942,89.31060109899343,90.06863018514576,89.38691618618503,103.46969406586659,105.03605132591187,101.3917614759531,89.85534880691766,90.61143014234015,89.93146772093463,103.18025423446757,104.7462409876356,101.10293155230052,89.57089125097102,90.32614782474673,89.6469270828394,103.18025423446757,104.7462409876356,101.10293155230052,89.57089125097102,90.32614782474673,89.6469270828394,103.67155031207311,105.2316476980875,101.60194636713138,90.1131879820039,90.86651089765128,90.1890290606799,103.18025423446757,104.7462409876356,101.10293155230052,89.57089125097102,90.32614782474673,89.6469270828394,103.18025423446757,104.7462409876356,101.10293155230052,89.57089125097102,90.32614782474673,89.6469270828394,103.67155031207311,105.2316476980875,101.60194636713138,90.1131879820039,90.86651089765128,90.1890290606799,103.40383460398637,104.96323594265284,101.33526890376316,89.85329523797965,90.60567642881426,89.92904145440967,103.40383460398637,104.96323594265284,101.33526890376316,89.85329523797965,90.60567642881426,89.92904145440967,103.89297460868332,105.44653193500744,101.83206785351237,90.39303139291246,91.14349348279053,90.46858432293435,103.40383460398637,104.96323594265284,101.33526890376316,89.85329523797965,90.60567642881426,89.92904145440967,103.40383460398637,104.96323594265284,101.33526890376316,89.85329523797965,90.60567642881426,89.92904145440967,103.89297460868332,105.44653193500744,101.83206785351237,90.39303139291246,91.14349348279053,90.46858432293435
2029,100.79966956231242,102.5886904641534,98.41985419179193,86.73898675588615,87.98812723820409,86.86474481262053,100.79966956231242,102.5886904641534,98.41985419179193,86.73898675588615,87.98812723820409,86.86474481262053,101.41822999244371,103.20018992754416,99.0476709638262,87.41529434442586,88.66134688096265,87.54074138490367,100.79966956231242,102.5886904641534,98.41985419179193,86.73898675588615,87.98812723820409,86.86474481262053,100.79966956231242,102.5886904641534,98.41985419179193,86.73898675588615,87.98812723820409,86.86474481262053,101.41822999244371,103.20018992754416,99.0476709638262,87.41529434442586,88.66134688096265,87.54074138490367,101.04038895255643,102.82219026677461,98.67019784578628,87.03906391979604,88.2837063873799,87.16436892035807,101.04038895255643,102.82219026677461,98.67019784578628,87.03906391979604,88.2837063873799,87.16436892035807,101.6563968724826,103.43118922765599,99.29539352361408,87.71237863236627,88.9539552293319,87.837374841053,101.04038895255643,102.82219026677461,98.67019784578628,87.03906391979604,88.2837063873799,87.16436892035807,101.04038895255643,102.82219026677461,98.67019784578628,87.03906391979604,88.2837063873799,87.16436892035807,101.6563968724826,103.43118922765599,99.29539352361408,87.71237863236627,88.9539552293319,87.837374841053,101.30584685822998,103.08009550205446,98.9457183519278,87.36658786543367,88.6065672111163,87.49142318166835,101.30584685822998,103.08009550205446,98.9457183519278,87.36658786543367,88.6065672111163,87.49142318166835,101.91918219696092,103.6864758466871,99.5681703025831,88.03677329067008,89.27370956330945,88.16130211219048,101.30584685822998,103.08009550205446,98.9457183519278,87.36658786543367,88.6065672111163,87.49142318166835,101.30584685822998,103.08009550205446,98.9457183519278,87.36658786543367,88.6065672111163,87.49142318166835,101.91918219696092,103.6864758466871,99.5681703025831,88.03677329067008,89.27370956330945,88.16130211219048
2030,99.93450519534578,101.90890277713997,97.30320475750473,86.8661953545379,88.78966381296021,87.05984183301261,99.93450519534578,101.90890277713997,97.30320475750473,86.8661953545379,88.78966381296021,87.05984183301261,100.68023590754791,102.64649898931191,98.05959585725103,87.67309749184322,89.59193995808226,87.86627803718513,99.93450519534578,101.90890277713997,97.30320475750473,86.8661953545379,88.78966381296021,87.05984183301261,99.93450519534578,101.90890277713997,97.30320475750473,86.8661953545379,88.78966381296021,87.05984183301261,100.68023590754791,102.64649898931191,98.05959585725103,87.67309749184322,89.59193995808226,87.86627803718513,100.21391159745068,102.18026710217218,97.59334364439951,87.20321141614947,89.11982234682142,87.39616717653847,100.21391159745068,102.18026710217218,97.59334364439951,87.20321141614947,89.11982234682142,87.39616717653847,100.95658746590072,102.91486843420017,98.34660085777632,88.00658829652293,89.91860603847546,88.19908142926236,100.21391159745068,102.18026710217218,97.59334364439951,87.20321141614947,89.11982234682142,87.39616717653847,100.21391159745068,102.18026710217218,97.59334364439951,87.20321141614947,89.11982234682142,87.39616717653847,100.95658746590072,102.91486843420017,98.34660085777632,88.00658829652293,89.91860603847546,88.19908142926236,100.52311524595108,102.48104812609438,97.91378056643715,87.57282153700437,89.48232549795186,87.76506145748871,100.52311524595108,102.48104812609438,97.91378056643715,87.57282153700437,89.48232549795186,87.76506145748871,101.26259141597195,103.21251200640118,98.66375605200693,88.3725104103547,90.27745505201322,88.56429111606657,100.52311524595108,102.48104812609438,97.91378056643715,87.57282153700437,89.48232549795186,87.76506145748871,100.52311524595108,102.48104812609438,97.91378056643715,87.57282153700437,89.48232549795186,87.76506145748871,101.26259141597195,103.21251200640118,98.66375605200693,88.3725104103547,90.27745505201322,88.56429111606657
2031,99.32629170177417,101.44338931751558,96.50092131799593,88.58437124376881,91.32882006849185,88.86067047182978,99.2877330930452,101.40504013824734,96.46209644627174,88.54411607792801,91.28858708366373,88.82041753907731,99.88163853146882,101.99133778015248,97.06602385877171,89.1874697064192,91.92561947106007,89.46313447518882,99.32629170177417,101.44338931751558,96.50092131799593,88.58437124376881,91.32882006849185,88.86067047182978,99.2877330930452,101.40504013824734,96.46209644627174,88.54411607792801,91.28858708366373,88.82041753907731,99.88163853146882,101.99133778015248,97.06602385877171,89.1874697064192,91.92561947106007,89.46313447518882,99.64676263570308,101.75512394976427,96.83305709613296,88.95617775148195,91.69090198101924,89.2314974758558,99.60833223785686,101.71690159470754,96.79436220911798,88.91606230670588,91.65080856358968,89.19138424869381,100.19960105283647,102.30062001625294,97.39557700710236,89.55638137570315,92.28485100698158,89.83107112119309,99.64676263570308,101.75512394976427,96.83305709613296,88.95617775148195,91.69090198101924,89.2314974758558,99.60833223785686,101.71690159470754,96.79436220911798,88.91606230670588,91.65080856358968,89.19138424869381,100.19960105283647,102.30062001625294,97.39557700710236,89.55638137570315,92.28485100698158,89.83107112119309,100.00656422444882,102.10574214804502,97.20511058510768,89.37023338788632,92.0948790102522,89.64453795520005,99.96826655244249,102.06765108815108,97.1665502539366,89.3302625414091,92.05493003265347,89.60456931037916,100.55675248374365,102.6486464011922,97.76490306954211,89.96738375902297,92.68582069441455,90.24106297389434,100.00656422444882,102.10574214804502,97.20511058510768,89.37023338788632,92.0948790102522,89.64453795520005,99.96826655244249,102.06765108815108,97.1665502539366,89.3302625414091,92.05493003265347,89.60456931037916,100.55675248374365,102.6486464011922,97.76490306954211,89.96738375902297,92.68582069441455,90.24106297389434
2032,95.60720184457347,97.77347189821975,92.71325254210205,88.14792858579791,91.67214238629194,88.50273117633138,95.53547185628027,97.70213150833952,92.64102722884353,88.0730425183363,91.59729758182796,88.42784926304977,95.97611941618834,98.13589966297005,93.09078506435483,88.54927121112017,92.0656013755459,88.90327972965028,95.60720184457347,97.77347189821975,92.71325254210205,88.14792858579791,91.67214238629194,88.50273117633138,95.53547185628027,97.70213150833952,92.64102722884353,88.0730425183363,91.59729758182796,88.42784926304977,95.97611941618834,98.13589966297005,93.09078506435483,88.54927121112017,92.0656013755459,88.90327972965028,95.96066348071669,98.11785601995291,93.07883567457736,88.5427786378186,92.05455020124613,88.89632798969251,95.88917200116175,98.04675155920768,93.00685216987931,88.46815249131025,91.9799650318726,88.82170596857762,96.32762271942588,98.47837620294997,93.45434228076563,88.94187521856135,92.44581862594083,89.2946360892525,95.96066348071669,98.11785601995291,93.07883567457736,88.5427786378186,92.05455020124613,88.89632798969251,95.88917200116175,98.04675155920768,93.00685216987931,88.46815249131025,91.9799650318726,88.82170596857762,96.32762271942588,98.47837620294997,93.45434228076563,88.94187521856135,92.44581862594083,89.2946360892525,96.36487167274522,98.51247351531767,93.49583720851838,88.99138431808022,92.49025899442029,89.34363464241602,96.29362710103409,98.44161330094958,93.42410401599254,88.91702716556897,92.41594252424818,89.26928158561222,96.72972946801855,98.87094538733423,93.86917166509559,89.38807634459818,92.87918016349752,89.73954396179829,96.36487167274522,98.51247351531767,93.49583720851838,88.99138431808022,92.49025899442029,89.34363464241602,96.29362710103409,98.44161330094958,93.42410401599254,88.91702716556897,92.41594252424818,89.26928158561222,96.72972946801855,98.87094538733423,93.86917166509559,89.38807634459818,92.87918016349752,89.73954396179829
2033,86.75627316336991,88.82262844906901,83.99362665557386,82.60018925201135,86.56009291884914,82.99885521236259,86.66175272596018,88.72862139543759,83.89845351580774,82.50150996848168,86.4614680086252,82.90018140290198,86.95079526599334,89.01181310437067,84.19528643313664,82.81229346616018,86.7634701880603,83.21008040662484,86.75627316336991,88.82262844906901,83.99362665557386,82.60018925201135,86.56009291884914,82.99885521236259,86.66175272596018,88.72862139543759,83.89845351580774,82.50150996848168,86.4614680086252,82.90018140290198,86.95079526599334,89.01181310437067,84.19528643313664,82.81229346616018,86.7634701880603,83.21008040662484,87.11635346403185,89.17392583240269,84.36543440563553,82.99048318382579,86.93643571615401,83.38774392107268,87.02214731567759,89.08022966861763,84.27057990318484,82.89214640477408,86.8381529337193,83.2894125781573,87.30948216202187,89.36176037060105,84.56564283493366,83.20100663204695,87.13829352358444,83.59739452720946,87.11635346403185,89.17392583240269,84.36543440563553,82.99048318382579,86.93643571615401,83.38774392107268,87.02214731567759,89.08022966861763,84.27057990318484,82.89214640477408,86.8381529337193,83.2894125781573,87.30948216202187,89.36176037060105,84.56564283493366,83.20100663204695,87.13829352358444,83.59739452720946,87.53360739989526,89.58186088998421,84.7951159396617,83.44083831392072,87.37232882938373,83.83664237588376,87.43972660831227,89.48848657588783,84.70059127995277,83.34285599512855,87.27440011874874,83.73866545410989,87.72520676000947,89.7682116583676,84.99373409556262,83.64963168241445,87.57251987727759,84.04456928321767,87.53360739989526,89.58186088998421,84.7951159396617,83.44083831392072,87.37232882938373,83.83664237588376,87.43972660831227,89.48848657588783,84.70059127995277,83.34285599512855,87.27440011874874,83.73866545410989,87.72520676000947,89.7682116583676,84.99373409556262,83.64963168241445,87.57251987727759,84.04456928321767
2034,74.67933236703715,76.53408711156243,72.19802791259251,72.8581809535355,76.80784674631394,73.25581620904205,74.57389844124252,76.42922584569904,72.09186592233169,72.74810799426602,76.69783443838335,73.14574935588685,74.73412338641754,76.58473665524099,72.25840335280907,72.91933955212059,76.86038365271611,73.31610638523209,74.67933236703715,76.53408711156243,72.19802791259251,72.8581809535355,76.80784674631394,73.25581620904205,74.57389844124252,76.42922584569904,72.09186592233169,72.74810799426602,76.69783443838335,73.14574935588685,74.73412338641754,76.58473665524099,72.25840335280907,72.91933955212059,76.86038365271611,73.31610638523209,75.0219789478985,76.86874493462821,72.55134003269788,73.22217247113983,77.15793708701034,73.61840753482124,74.9168955995013,76.76423045447473,72.44553347015184,73.11248156249034,77.04830640951792,73.50872268997351,75.07587642875345,76.91853593917864,72.61077483407334,73.28233010752186,77.20953354509743,73.67770284701953,75.0219789478985,76.86874493462821,72.55134003269788,73.22217247113983,77.15793708701034,73.61840753482124,74.9168955995013,76.76423045447473,72.44553347015184,73.11248156249034,77.04830640951792,73.50872268997351,75.07587642875345,76.91853593917864,72.61077483407334,73.28233010752186,77.20953354509743,73.67770284701953,75.42344994732537,77.26170633063192,72.96415575180188,73.64767070597001,77.56902360750402,74.04245416041638,75.31872952193848,77.15755086147253,72.85871711619433,73.53837518415666,77.45978788353575,73.9331646587702,75.47633062404017,77.31051760221085,73.02252393056172,73.70669279039828,77.61954702512362,74.10062022013707,75.42344994732537,77.26170633063192,72.96415575180188,73.64767070597001,77.56902360750402,74.04245416041638,75.31872952193848,77.15755086147253,72.85871711619433,73.53837518415666,77.45978788353575,73.9331646587702,75.47633062404017,77.31051760221085,73.02252393056172,73.70669279039828,77.61954702512362,74.10062022013707
