Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025-01-31,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17524.0447523857,17524.0447523857,17524.0447523857,17524.0447523857,17524.0447523857,17524.0447523857,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17490.008200644334,17524.0447523857,17524.0447523857,17524.0447523857,17524.0447523857,17524.0447523857,17524.0447523857,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17540.9270847832,17540.9270847832,17540.9270847832,17540.9270847832,17540.9270847832,17540.9270847832,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17506.89053304183,17540.9270847832,17540.9270847832,17540.9270847832,17540.9270847832,17540.9270847832,17540.9270847832,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17559.93291574053,17559.93291574053,17559.93291574053,17559.93291574053,17559.93291574053,17559.93291574053,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17525.89636399916,17559.93291574053,17559.93291574053,17559.93291574053,17559.93291574053,17559.93291574053,17559.93291574053
2025-02-28,16607.286129003434,16628.95904447934,16580.661270189747,16453.361556081352,16454.835362987367,16453.509859051006,16607.286129003434,16628.95904447934,16580.661270189747,16453.361556081352,16454.835362987367,16453.509859051006,16635.316180468573,16656.989095944486,16608.69132165489,16481.39160754649,16482.86541445251,16481.53991051614,16607.286129003434,16628.95904447934,16580.661270189747,16453.361556081352,16454.835362987367,16453.509859051006,16607.286129003434,16628.95904447934,16580.661270189747,16453.361556081352,16454.835362987367,16453.509859051006,16635.316180468573,16656.989095944486,16608.69132165489,16481.39160754649,16482.86541445251,16481.53991051614,16633.89122663801,16655.564142113923,16607.266367824326,16479.96665371593,16481.440460621947,16480.114956685586,16633.89122663801,16655.564142113923,16607.266367824326,16479.96665371593,16481.440460621947,16480.114956685586,16661.921278103153,16683.59419357906,16635.29641928947,16507.99670518107,16509.470512087093,16508.145008150725,16633.89122663801,16655.564142113923,16607.266367824326,16479.96665371593,16481.440460621947,16480.114956685586,16633.89122663801,16655.564142113923,16607.266367824326,16479.96665371593,16481.440460621947,16480.114956685586,16661.921278103153,16683.59419357906,16635.29641928947,16507.99670518107,16509.470512087093,16508.145008150725,16662.81741120322,16684.49032667913,16636.192552389533,16508.89283828114,16510.36664518716,16509.041141250793,16662.81741120322,16684.49032667913,16636.192552389533,16508.89283828114,16510.36664518716,16509.041141250793,16690.84746266836,16712.520378144276,16664.22260385468,16536.922889746274,16538.396696652297,16537.071192715932,16662.81741120322,16684.49032667913,16636.192552389533,16508.89283828114,16510.36664518716,16509.041141250793,16662.81741120322,16684.49032667913,16636.192552389533,16508.89283828114,16510.36664518716,16509.041141250793,16690.84746266836,16712.520378144276,16664.22260385468,16536.922889746274,16538.396696652297,16537.071192715932
2025-03-31,16155.05457060853,16199.011741086033,16100.787553421362,15837.347268563184,15840.521889766193,15837.666717298305,16155.05457060853,16199.011741086033,16100.787553421362,15837.347268563184,15840.521889766193,15837.666717298305,16185.887555682248,16229.844726159745,16131.620538495072,15868.180253636898,15871.354874839912,15868.499702372019,16155.05457060853,16199.011741086033,16100.787553421362,15837.347268563184,15840.521889766193,15837.666717298305,16155.05457060853,16199.011741086033,16100.787553421362,15837.347268563184,15840.521889766193,15837.666717298305,16185.887555682248,16229.844726159745,16131.620538495072,15868.180253636898,15871.354874839912,15868.499702372019,16206.51271700696,16250.469887484465,16152.245699819789,15888.805414961615,15891.980036164625,15889.124863696734,16206.51271700696,16250.469887484465,16152.245699819789,15888.805414961615,15891.980036164625,15889.124863696734,16237.345702080675,16281.302872558183,16183.0786848935,15919.638400035325,15922.81302123834,15919.957848770448,16206.51271700696,16250.469887484465,16152.245699819789,15888.805414961615,15891.980036164625,15889.124863696734,16206.51271700696,16250.469887484465,16152.245699819789,15888.805414961615,15891.980036164625,15889.124863696734,16237.345702080675,16281.302872558183,16183.0786848935,15919.638400035325,15922.81302123834,15919.957848770448,16260.254505735247,16304.21167621275,16205.987488548075,15942.547203689901,15945.721824892911,15942.866652425024,16260.254505735247,16304.21167621275,16205.987488548075,15942.547203689901,15945.721824892911,15942.866652425024,16291.08749080896,16335.044661286463,16236.820473621789,15973.380188763615,15976.554809966623,15973.699637498738,16260.254505735247,16304.21167621275,16205.987488548075,15942.547203689901,15945.721824892911,15942.866652425024,16260.254505735247,16304.21167621275,16205.987488548075,15942.547203689901,15945.721824892911,15942.866652425024,16291.08749080896,16335.044661286463,16236.820473621789,15973.380188763615,15976.554809966623,15973.699637498738
2025-04-30,19566.85642563767,19630.92491809697,19487.431618440667,19096.68874175618,19101.581267436362,19097.181055969482,19566.85642563767,19630.92491809697,19487.431618440667,19096.68874175618,19101.581267436362,19097.181055969482,19599.69146548161,19663.75995794091,19520.266658284607,19129.523781600124,19134.4163072803,19130.016095813422,19566.85642563767,19630.92491809697,19487.431618440667,19096.68874175618,19101.581267436362,19097.181055969482,19566.85642563767,19630.92491809697,19487.431618440667,19096.68874175618,19101.581267436362,19097.181055969482,19599.69146548161,19663.75995794091,19520.266658284607,19129.523781600124,19134.4163072803,19130.016095813422,19641.139527156738,19705.208019616042,19561.71471995974,19170.971843275252,19175.864368955426,19171.46415748855,19641.139527156738,19705.208019616042,19561.71471995974,19170.971843275252,19175.864368955426,19171.46415748855,19673.974567000678,19738.04305945998,19594.549759803678,19203.806883119192,19208.69940879937,19204.299197332493,19641.139527156738,19705.208019616042,19561.71471995974,19170.971843275252,19175.864368955426,19171.46415748855,19641.139527156738,19705.208019616042,19561.71471995974,19170.971843275252,19175.864368955426,19171.46415748855,19673.974567000678,19738.04305945998,19594.549759803678,19203.806883119192,19208.69940879937,19204.299197332493,19717.911391228212,19781.979883687516,19638.486584031212,19247.743707346723,19252.63623302691,19248.236021560027,19717.911391228212,19781.979883687516,19638.486584031212,19247.743707346723,19252.63623302691,19248.236021560027,19750.74643107215,19814.814923531456,19671.321623875152,19280.578747190662,19285.471272870847,19281.07106140397,19717.911391228212,19781.979883687516,19638.486584031212,19247.743707346723,19252.63623302691,19248.236021560027,19717.911391228212,19781.979883687516,19638.486584031212,19247.743707346723,19252.63623302691,19248.236021560027,19750.74643107215,19814.814923531456,19671.321623875152,19280.578747190662,19285.471272870847,19281.07106140397
2025-05-31,19037.22192312659,19120.78665751392,18933.235073407963,18415.21541963456,18421.960588518927,18415.894157515555,19037.22192312659,19120.78665751392,18933.235073407963,18415.21541963456,18421.960588518927,18415.894157515555,19076.0632468473,19159.627981234626,18972.07639712868,18454.05674335526,18460.801912239636,18454.735481236257,19037.22192312659,19120.78665751392,18933.235073407963,18415.21541963456,18421.960588518927,18415.894157515555,19037.22192312659,19120.78665751392,18933.235073407963,18415.21541963456,18421.960588518927,18415.894157515555,19076.0632468473,19159.627981234626,18972.07639712868,18454.05674335526,18460.801912239636,18454.735481236257,19132.91424529028,19216.47897967761,19028.927395571656,18510.907741798244,18517.652910682616,18511.586479679238,19132.91424529028,19216.47897967761,19028.927395571656,18510.907741798244,18517.652910682616,18511.586479679238,19171.755569010988,19255.320303398315,19067.768719292362,18549.749065518954,18556.494234403326,18550.427803399947,19132.91424529028,19216.47897967761,19028.927395571656,18510.907741798244,18517.652910682616,18511.586479679238,19132.91424529028,19216.47897967761,19028.927395571656,18510.907741798244,18517.652910682616,18511.586479679238,19171.755569010988,19255.320303398315,19067.768719292362,18549.749065518954,18556.494234403326,18550.427803399947,19231.108327510537,19314.67306189787,19127.121477791916,18609.1018240185,18615.846992902876,18609.7805618995,19231.108327510537,19314.67306189787,19127.121477791916,18609.1018240185,18615.846992902876,18609.7805618995,19269.949651231243,19353.514385618575,19165.962801512618,18647.943147739214,18654.688316623586,18648.621885620207,19231.108327510537,19314.67306189787,19127.121477791916,18609.1018240185,18615.846992902876,18609.7805618995,19231.108327510537,19314.67306189787,19127.121477791916,18609.1018240185,18615.846992902876,18609.7805618995,19269.949651231243,19353.514385618575,19165.962801512618,18647.943147739214,18654.688316623586,18648.621885620207
2025-06-30,21921.574516652752,22022.928617613336,21795.040074777375,21157.712429062656,21166.328554042073,21158.579433360283,21921.574516652752,22022.928617613336,21795.040074777375,21157.712429062656,21166.328554042073,21158.579433360283,21960.415696461005,22061.76979742159,21833.881254585634,21196.55360887092,21205.169733850325,21197.42061316854,21921.574516652752,22022.928617613336,21795.040074777375,21157.712429062656,21166.328554042073,21158.579433360283,21921.574516652752,22022.928617613336,21795.040074777375,21157.712429062656,21166.328554042073,21158.579433360283,21960.415696461005,22061.76979742159,21833.881254585634,21196.55360887092,21205.169733850325,21197.42061316854,22033.513700161053,22134.86780112164,21906.979258285683,21269.651612570964,21278.267737550374,21270.518616868587,22033.513700161053,22134.86780112164,21906.979258285683,21269.651612570964,21278.267737550374,21270.518616868587,22072.354879969313,22173.708980929896,21945.820438093935,21308.492792379224,21317.108917358637,21309.359796676843,22033.513700161053,22134.86780112164,21906.979258285683,21269.651612570964,21278.267737550374,21270.518616868587,22033.513700161053,22134.86780112164,21906.979258285683,21269.651612570964,21278.267737550374,21270.518616868587,22072.354879969313,22173.708980929896,21945.820438093935,21308.492792379224,21317.108917358637,21309.359796676843,22147.86466322528,22249.218764185865,22021.33022134991,21384.0025756352,21392.618700614603,21384.869579932812,22147.86466322528,22249.218764185865,22021.33022134991,21384.0025756352,21392.618700614603,21384.869579932812,22186.705843033535,22288.059943994125,22060.171401158164,21422.84375544345,21431.459880422863,21423.710759741076,22147.86466322528,22249.218764185865,22021.33022134991,21384.0025756352,21392.618700614603,21384.869579932812,22147.86466322528,22249.218764185865,22021.33022134991,21384.0025756352,21392.618700614603,21384.869579932812,22186.705843033535,22288.059943994125,22060.171401158164,21422.84375544345,21431.459880422863,21423.710759741076
2025-07-31,18455.222376594615,18573.98562731628,18306.507758915104,17549.64391702324,17560.27739886762,17550.713919429167,18455.222376594615,18573.98562731628,18306.507758915104,17549.64391702324,17560.27739886762,17550.713919429167,18495.665071546206,18614.428322267868,18346.950453866695,17590.08661197483,17600.72009381921,17591.156614380754,18455.222376594615,18573.98562731628,18306.507758915104,17549.64391702324,17560.27739886762,17550.713919429167,18455.222376594615,18573.98562731628,18306.507758915104,17549.64391702324,17560.27739886762,17550.713919429167,18495.665071546206,18614.428322267868,18346.950453866695,17590.08661197483,17600.72009381921,17591.156614380754,18559.47632426405,18678.23957498571,18410.761706584533,17653.897864692666,17664.531346537045,17654.967867098596,18559.47632426405,18678.23957498571,18410.761706584533,17653.897864692666,17664.531346537045,17654.967867098596,18599.919019215642,18718.682269937297,18451.204401536128,17694.34055964426,17704.974041488636,17695.410562050183,18559.47632426405,18678.23957498571,18410.761706584533,17653.897864692666,17664.531346537045,17654.967867098596,18559.47632426405,18678.23957498571,18410.761706584533,17653.897864692666,17664.531346537045,17654.967867098596,18599.919019215642,18718.682269937297,18451.204401536128,17694.34055964426,17704.974041488636,17695.410562050183,18666.484282466565,18785.247533188227,18517.769664787054,17760.905822895184,17771.539304739566,17761.97582530111,18666.484282466565,18785.247533188227,18517.769664787054,17760.905822895184,17771.539304739566,17761.97582530111,18706.926977418145,18825.690228139814,18558.21235973863,17801.348517846767,17811.98199969115,17802.4185202527,18666.484282466565,18785.247533188227,18517.769664787054,17760.905822895184,17771.539304739566,17761.97582530111,18666.484282466565,18785.247533188227,18517.769664787054,17760.905822895184,17771.539304739566,17761.97582530111,18706.926977418145,18825.690228139814,18558.21235973863,17801.348517846767,17811.98199969115,17802.4185202527
2025-08-31,21971.267424816902,22106.568033367475,21801.38753357169,20928.582676146034,20941.32246588796,20929.864627427316,21971.267424816902,22106.568033367475,21801.38753357169,20928.582676146034,20941.32246588796,20929.864627427316,22016.114529260853,22151.415137811422,21846.234638015645,20973.429780589984,20986.16957033191,20974.711731871263,21971.267424816902,22106.568033367475,21801.38753357169,20928.582676146034,20941.32246588796,20929.864627427316,21971.267424816902,22106.568033367475,21801.38753357169,20928.582676146034,20941.32246588796,20929.864627427316,22016.114529260853,22151.415137811422,21846.234638015645,20973.429780589984,20986.16957033191,20974.711731871263,22068.50936270607,22203.80997125664,21898.629471460867,21025.824614035206,21038.564403777124,21027.106565316488,22068.50936270607,22203.80997125664,21898.629471460867,21025.824614035206,21038.564403777124,21027.106565316488,22113.356467150017,22248.657075700597,21943.47657590481,21070.671718479152,21083.411508221074,21071.953669760438,22068.50936270607,22203.80997125664,21898.629471460867,21025.824614035206,21038.564403777124,21027.106565316488,22068.50936270607,22203.80997125664,21898.629471460867,21025.824614035206,21038.564403777124,21027.106565316488,22113.356467150017,22248.657075700597,21943.47657590481,21070.671718479152,21083.411508221074,21071.953669760438,22168.327332470246,22303.627941020823,21998.447441225042,21125.64258379938,21138.38237354131,21126.92453508067,22168.327332470246,22303.627941020823,21998.447441225042,21125.64258379938,21138.38237354131,21126.92453508067,22213.1744369142,22348.475045464773,22043.294545668996,21170.48968824333,21183.229477985256,21171.771639524617,22168.327332470246,22303.627941020823,21998.447441225042,21125.64258379938,21138.38237354131,21126.92453508067,22168.327332470246,22303.627941020823,21998.447441225042,21125.64258379938,21138.38237354131,21126.92453508067,22213.1744369142,22348.475045464773,22043.294545668996,21170.48968824333,21183.229477985256,21171.771639524617
2025-09-30,23095.04084659726,23245.608210699065,22905.54606089415,21923.784307241167,21938.650642193403,21925.28024379319,23095.04084659726,23245.608210699065,22905.54606089415,21923.784307241167,21938.650642193403,21925.28024379319,23139.08683984478,23289.654203946586,22949.592054141667,21967.830300488684,21982.69663544092,21969.3262370407,23095.04084659726,23245.608210699065,22905.54606089415,21923.784307241167,21938.650642193403,21925.28024379319,23095.04084659726,23245.608210699065,22905.54606089415,21923.784307241167,21938.650642193403,21925.28024379319,23139.08683984478,23289.654203946586,22949.592054141667,21967.830300488684,21982.69663544092,21969.3262370407,23171.425072069793,23321.9924361716,22981.93028636668,22000.168532713695,22015.034867665934,22001.664469265717,23171.425072069793,23321.9924361716,22981.93028636668,22000.168532713695,22015.034867665934,22001.664469265717,23215.471065317313,23366.038429419117,23025.9762796142,22044.214525961215,22059.080860913455,22045.710462513234,23171.425072069793,23321.9924361716,22981.93028636668,22000.168532713695,22015.034867665934,22001.664469265717,23171.425072069793,23321.9924361716,22981.93028636668,22000.168532713695,22015.034867665934,22001.664469265717,23215.471065317313,23366.038429419117,23025.9762796142,22044.214525961215,22059.080860913455,22045.710462513234,23250.12602666211,23400.693390763914,23060.631240958995,22078.86948730601,22093.735822258244,22080.36542385803,23250.12602666211,23400.693390763914,23060.631240958995,22078.86948730601,22093.735822258244,22080.36542385803,23294.172019909627,23444.739384011427,23104.677234206512,22122.91548055353,22137.78181550577,22124.411417105548,23250.12602666211,23400.693390763914,23060.631240958995,22078.86948730601,22093.735822258244,22080.36542385803,23250.12602666211,23400.693390763914,23060.631240958995,22078.86948730601,22093.735822258244,22080.36542385803,23294.172019909627,23444.739384011427,23104.677234206512,22122.91548055353,22137.78181550577,22124.411417105548
2025-10-31,19199.674309006467,19365.336175110657,18990.720395247525,17899.56001231334,17916.718633960092,17901.286612002245,19199.674309006467,19365.336175110657,18990.720395247525,17899.56001231334,17916.718633960092,17901.286612002245,19245.72204809579,19411.38391419998,19036.768134336846,17945.607751402666,17962.76637304941,17947.334351091566,19199.674309006467,19365.336175110657,18990.720395247525,17899.56001231334,17916.718633960092,17901.286612002245,19199.674309006467,19365.336175110657,18990.720395247525,17899.56001231334,17916.718633960092,17901.286612002245,19245.72204809579,19411.38391419998,19036.768134336846,17945.607751402666,17962.76637304941,17947.334351091566,19252.690499944958,19418.352366049152,19043.736586186016,17952.57620325184,17969.734824898587,17954.302802940736,19252.690499944958,19418.352366049152,19043.736586186016,17952.57620325184,17969.734824898587,17954.302802940736,19298.738239034286,19464.400105138473,19089.78432527534,17998.623942341164,18015.78256398791,18000.350542030068,19252.690499944958,19418.352366049152,19043.736586186016,17952.57620325184,17969.734824898587,17954.302802940736,19252.690499944958,19418.352366049152,19043.736586186016,17952.57620325184,17969.734824898587,17954.302802940736,19298.738239034286,19464.400105138473,19089.78432527534,17998.623942341164,18015.78256398791,18000.350542030068,19309.186028075586,19474.847894179777,19100.232114316637,18009.071731382464,18026.230353029205,18010.79833107136,19309.186028075586,19474.847894179777,19100.232114316637,18009.071731382464,18026.230353029205,18010.79833107136,19355.233767164907,19520.8956332691,19146.27985340596,18055.119470471782,18072.278092118522,18056.846070160682,19309.186028075586,19474.847894179777,19100.232114316637,18009.071731382464,18026.230353029205,18010.79833107136,19309.186028075586,19474.847894179777,19100.232114316637,18009.071731382464,18026.230353029205,18010.79833107136,19355.233767164907,19520.8956332691,19146.27985340596,18055.119470471782,18072.278092118522,18056.846070160682
