Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025-01-31,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8756.807614787362,8756.807614787362,8756.807614787362,8756.807614787362,8756.807614787362,8756.807614787362,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8739.799467428611,8756.807614787362,8756.807614787362,8756.807614787362,8756.807614787362,8756.807614787362,8756.807614787362,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8765.243757183864,8765.243757183864,8765.243757183864,8765.243757183864,8765.243757183864,8765.243757183864,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8748.235609825111,8765.243757183864,8765.243757183864,8765.243757183864,8765.243757183864,8765.243757183864,8765.243757183864,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8774.74101695489,8774.74101695489,8774.74101695489,8774.74101695489,8774.74101695489,8774.74101695489,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8757.732869596139,8774.74101695489,8774.74101695489,8774.74101695489,8774.74101695489,8774.74101695489,8774.74101695489
2025-02-28,8297.884999728623,8308.713943050907,8284.581801671227,8220.976081870627,8221.7124743265,8221.050181935967,8297.884999728623,8308.713943050907,8284.581801671227,8220.976081870627,8221.7124743265,8221.050181935967,8311.89030690449,8322.719250226775,8298.587108847094,8234.981389046492,8235.717781502368,8235.055489111834,8297.884999728623,8308.713943050907,8284.581801671227,8220.976081870627,8221.7124743265,8221.050181935967,8297.884999728623,8308.713943050907,8284.581801671227,8220.976081870627,8221.7124743265,8221.050181935967,8311.89030690449,8322.719250226775,8298.587108847094,8234.981389046492,8235.717781502368,8235.055489111834,8311.178324048044,8322.00726737033,8297.87512599065,8234.269406190047,8235.005798645921,8234.34350625539,8311.178324048044,8322.00726737033,8297.87512599065,8234.269406190047,8235.005798645921,8234.34350625539,8325.183631223912,8336.012574546197,8311.880433166518,8248.274713365916,8249.011105821792,8248.348813431256,8311.178324048044,8322.00726737033,8297.87512599065,8234.269406190047,8235.005798645921,8234.34350625539,8311.178324048044,8322.00726737033,8297.87512599065,8234.269406190047,8235.005798645921,8234.34350625539,8325.183631223912,8336.012574546197,8311.880433166518,8248.274713365916,8249.011105821792,8248.348813431256,8325.631387067406,8336.46033038969,8312.32818901001,8248.722469209408,8249.458861665285,8248.79656927475,8325.631387067406,8336.46033038969,8312.32818901001,8248.722469209408,8249.458861665285,8248.79656927475,8339.636694243272,8350.46563756556,8326.33349618588,8262.727776385273,8263.464168841148,8262.801876450616,8325.631387067406,8336.46033038969,8312.32818901001,8248.722469209408,8249.458861665285,8248.79656927475,8325.631387067406,8336.46033038969,8312.32818901001,8248.722469209408,8249.458861665285,8248.79656927475,8339.636694243272,8350.46563756556,8326.33349618588,8262.727776385273,8263.464168841148,8262.801876450616
2025-03-31,8070.893892638047,8092.854428716332,8043.782666509201,7912.1706947362945,7913.756701813325,7912.330287935688,8070.893892638047,8092.854428716332,8043.782666509201,7912.1706947362945,7913.756701813325,7912.330287935688,8086.297724908351,8108.258260986633,8059.186498779502,7927.574527006597,7929.16053408363,7927.73412020599,8070.893892638047,8092.854428716332,8043.782666509201,7912.1706947362945,7913.756701813325,7912.330287935688,8070.893892638047,8092.854428716332,8043.782666509201,7912.1706947362945,7913.756701813325,7912.330287935688,8086.297724908351,8108.258260986633,8059.186498779502,7927.574527006597,7929.16053408363,7927.73412020599,8096.6018367169945,8118.562372795282,8069.490610588147,7937.878638815243,7939.464645892274,7938.0382320146355,8096.6018367169945,8118.562372795282,8069.490610588147,7937.878638815243,7939.464645892274,7938.0382320146355,8112.005668987297,8133.966205065585,8084.894442858449,7953.282471085543,7954.868478162578,7953.442064284938,8096.6018367169945,8118.562372795282,8069.490610588147,7937.878638815243,7939.464645892274,7938.0382320146355,8096.6018367169945,8118.562372795282,8069.490610588147,7937.878638815243,7939.464645892274,7938.0382320146355,8112.005668987297,8133.966205065585,8084.894442858449,7953.282471085543,7954.868478162578,7953.442064284938,8123.450664279341,8145.411200357627,8096.339438150494,7964.72746637759,7966.313473454622,7964.887059576984,8123.450664279341,8145.411200357627,8096.339438150494,7964.72746637759,7966.313473454622,7964.887059576984,8138.854496549644,8160.815032627929,8111.743270420797,7980.1312986478915,7981.717305724922,7980.290891847287,8123.450664279341,8145.411200357627,8096.339438150494,7964.72746637759,7966.313473454622,7964.887059576984,8123.450664279341,8145.411200357627,8096.339438150494,7964.72746637759,7966.313473454622,7964.887059576984,8138.854496549644,8160.815032627929,8111.743270420797,7980.1312986478915,7981.717305724922,7980.290891847287
2025-04-30,9773.96625469187,9805.969519276861,9734.292258601636,9539.109772059172,9541.553669017276,9539.3556910971,9773.96625469187,9805.969519276861,9734.292258601636,9539.109772059172,9541.553669017276,9539.3556910971,9790.367896551195,9822.371161136183,9750.693900460961,9555.511413918497,9557.9553108766,9555.757332956426,9773.96625469187,9805.969519276861,9734.292258601636,9539.109772059172,9541.553669017276,9539.3556910971,9773.96625469187,9805.969519276861,9734.292258601636,9539.109772059172,9541.553669017276,9539.3556910971,9790.367896551195,9822.371161136183,9750.693900460961,9555.511413918497,9557.9553108766,9555.757332956426,9811.071884321263,9843.075148906255,9771.397888231031,9576.215401688565,9578.659298646668,9576.461320726494,9811.071884321263,9843.075148906255,9771.397888231031,9576.215401688565,9578.659298646668,9576.461320726494,9827.473526180587,9859.476790765579,9787.799530090355,9592.617043547889,9595.060940505993,9592.86296258582,9811.071884321263,9843.075148906255,9771.397888231031,9576.215401688565,9578.659298646668,9576.461320726494,9811.071884321263,9843.075148906255,9771.397888231031,9576.215401688565,9578.659298646668,9576.461320726494,9827.473526180587,9859.476790765579,9787.799530090355,9592.617043547889,9595.060940505993,9592.86296258582,9849.42069173425,9881.423956319244,9809.746695644018,9614.564209101552,9617.00810605966,9614.810128139483,9849.42069173425,9881.423956319244,9809.746695644018,9614.564209101552,9617.00810605966,9614.810128139483,9865.822333593576,9897.825598178568,9826.148337503346,9630.965850960876,9633.409747918984,9631.21176999881,9849.42069173425,9881.423956319244,9809.746695644018,9614.564209101552,9617.00810605966,9614.810128139483,9849.42069173425,9881.423956319244,9809.746695644018,9614.564209101552,9617.00810605966,9614.810128139483,9865.822333593576,9897.825598178568,9826.148337503346,9630.965850960876,9633.409747918984,9631.21176999881
2025-05-31,9507.711472047973,9549.445995446467,9455.777583374287,9197.0643412418,9200.433063833878,9197.40332158062,9507.711472047973,9549.445995446467,9455.777583374287,9197.0643412418,9200.433063833878,9197.40332158062,9527.109895863177,9568.84441926167,9475.176007189495,9216.462765057002,9219.831487649082,9216.801745395822,9507.711472047973,9549.445995446467,9455.777583374287,9197.0643412418,9200.433063833878,9197.40332158062,9507.711472047973,9549.445995446467,9455.777583374287,9197.0643412418,9200.433063833878,9197.40332158062,9527.109895863177,9568.84441926167,9475.176007189495,9216.462765057002,9219.831487649082,9216.801745395822,9555.502845857478,9597.23736925597,9503.568957183792,9244.855715051302,9248.224437643381,9245.194695390119,9555.502845857478,9597.23736925597,9503.568957183792,9244.855715051302,9248.224437643381,9245.194695390119,9574.90126967268,9616.635793071175,9522.967380998996,9264.254138866507,9267.622861458585,9264.593119205325,9555.502845857478,9597.23736925597,9503.568957183792,9244.855715051302,9248.224437643381,9245.194695390119,9555.502845857478,9597.23736925597,9503.568957183792,9244.855715051302,9248.224437643381,9245.194695390119,9574.90126967268,9616.635793071175,9522.967380998996,9264.254138866507,9267.622861458585,9264.593119205325,9604.543667348275,9646.278190746769,9552.609778674592,9293.896536542099,9297.265259134181,9294.23551688092,9604.543667348275,9646.278190746769,9552.609778674592,9293.896536542099,9297.265259134181,9294.23551688092,9623.942091163479,9665.676614561973,9572.008202489793,9313.294960357307,9316.663682949385,9313.633940696123,9604.543667348275,9646.278190746769,9552.609778674592,9293.896536542099,9297.265259134181,9294.23551688092,9604.543667348275,9646.278190746769,9552.609778674592,9293.896536542099,9297.265259134181,9294.23551688092,9623.942091163479,9665.676614561973,9572.008202489793,9313.294960357307,9316.663682949385,9313.633940696123
2025-06-30,10946.010297907915,10996.61902731314,10882.828371684696,10564.594160550127,10568.896415056577,10565.027078266092,10946.010297907915,10996.61902731314,10882.828371684696,10564.594160550127,10568.896415056577,10565.027078266092,10965.404705633557,11016.013435038785,10902.222779410344,10583.988568275774,10588.29082278222,10584.421485991737,10946.010297907915,10996.61902731314,10882.828371684696,10564.594160550127,10568.896415056577,10565.027078266092,10946.010297907915,10996.61902731314,10882.828371684696,10564.594160550127,10568.896415056577,10565.027078266092,10965.404705633557,11016.013435038785,10902.222779410344,10583.988568275774,10588.29082278222,10584.421485991737,11001.904433362943,11052.513162768168,10938.722507139728,10620.488296005156,10624.790550511605,10620.921213721123,11001.904433362943,11052.513162768168,10938.722507139728,10620.488296005156,10624.790550511605,10620.921213721123,11021.298841088588,11071.907570493813,10958.116914865372,10639.882703730804,10644.184958237252,10640.315621446767,11001.904433362943,11052.513162768168,10938.722507139728,10620.488296005156,10624.790550511605,10620.921213721123,11001.904433362943,11052.513162768168,10938.722507139728,10620.488296005156,10624.790550511605,10620.921213721123,11021.298841088588,11071.907570493813,10958.116914865372,10639.882703730804,10644.184958237252,10640.315621446767,11059.002832856366,11109.611562261593,10995.820906633153,10677.586695498585,10681.88895000503,10678.019613214547,11059.002832856366,11109.611562261593,10995.820906633153,10677.586695498585,10681.88895000503,10678.019613214547,11078.397240582011,11129.00596998724,11015.215314358797,10696.981103224229,10701.283357730676,10697.414020940194,11059.002832856366,11109.611562261593,10995.820906633153,10677.586695498585,10681.88895000503,10678.019613214547,11059.002832856366,11109.611562261593,10995.820906633153,10677.586695498585,10681.88895000503,10678.019613214547,11078.397240582011,11129.00596998724,11015.215314358797,10696.981103224229,10701.283357730676,10697.414020940194
2025-07-31,9212.887158717624,9272.174031840801,9138.648498051538,8760.820421663444,8766.128678932713,8761.354569192214,9212.887158717624,9272.174031840801,9138.648498051538,8760.820421663444,8766.128678932713,8761.354569192214,9233.076240018318,9292.363113141491,9158.837579352232,8781.009502964138,8786.317760233407,8781.543650492906,9212.887158717624,9272.174031840801,9138.648498051538,8760.820421663444,8766.128678932713,8761.354569192214,9212.887158717624,9272.174031840801,9138.648498051538,8760.820421663444,8766.128678932713,8761.354569192214,9233.076240018318,9292.363113141491,9158.837579352232,8781.009502964138,8786.317760233407,8781.543650492906,9264.930956192939,9324.217829316112,9190.69229552685,8812.864219138753,8818.172476408023,8813.398366667525,9264.930956192939,9324.217829316112,9190.69229552685,8812.864219138753,8818.172476408023,8813.398366667525,9285.12003749363,9344.406910616803,9210.881376827543,8833.053300439447,8838.361557708715,8833.587447968215,9264.930956192939,9324.217829316112,9190.69229552685,8812.864219138753,8818.172476408023,8813.398366667525,9264.930956192939,9324.217829316112,9190.69229552685,8812.864219138753,8818.172476408023,8813.398366667525,9285.12003749363,9344.406910616803,9210.881376827543,8833.053300439447,8838.361557708715,8833.587447968215,9318.349561717563,9377.636434840739,9244.110901051476,8866.282824663378,8871.591081932651,8866.81697219215,9318.349561717563,9377.636434840739,9244.110901051476,8866.282824663378,8871.591081932651,8866.81697219215,9338.53864301825,9397.825516141429,9264.299982352162,8886.471905964068,8891.78016323334,8887.006053492842,9318.349561717563,9377.636434840739,9244.110901051476,8866.282824663378,8871.591081932651,8866.81697219215,9318.349561717563,9377.636434840739,9244.110901051476,8866.282824663378,8871.591081932651,8866.81697219215,9338.53864301825,9397.825516141429,9264.299982352162,8886.471905964068,8891.78016323334,8887.006053492842
2025-08-31,10964.89126176915,11032.41383257599,10880.11169493538,10444.533256542401,10450.89112413907,10445.173021929184,10964.89126176915,11032.41383257599,10880.11169493538,10444.533256542401,10450.89112413907,10445.173021929184,10987.272475111338,11054.795045918177,10902.49290827757,10466.914469884592,10473.27233748126,10467.554235271373,10964.89126176915,11032.41383257599,10880.11169493538,10444.533256542401,10450.89112413907,10445.173021929184,10964.89126176915,11032.41383257599,10880.11169493538,10444.533256542401,10450.89112413907,10445.173021929184,10987.272475111338,11054.795045918177,10902.49290827757,10466.914469884592,10473.27233748126,10467.554235271373,11013.420427357209,11080.942998164046,10928.640860523441,10493.06242213046,10499.420289727126,10493.702187517243,11013.420427357209,11080.942998164046,10928.640860523441,10493.06242213046,10499.420289727126,10493.702187517243,11035.801640699396,11103.32421150624,10951.022073865628,10515.443635472648,10521.801503069315,10516.083400859432,11013.420427357209,11080.942998164046,10928.640860523441,10493.06242213046,10499.420289727126,10493.702187517243,11013.420427357209,11080.942998164046,10928.640860523441,10493.06242213046,10499.420289727126,10493.702187517243,11035.801640699396,11103.32421150624,10951.022073865628,10515.443635472648,10521.801503069315,10516.083400859432,11063.235176924114,11130.757747730955,10978.455610090346,10542.877171697366,10549.235039294037,10543.51693708415,11063.235176924114,11130.757747730955,10978.455610090346,10542.877171697366,10549.235039294037,10543.51693708415,11085.616390266305,11153.138961073144,11000.836823432537,10565.258385039555,10571.616252636226,10565.89815042634,11063.235176924114,11130.757747730955,10978.455610090346,10542.877171697366,10549.235039294037,10543.51693708415,11063.235176924114,11130.757747730955,10978.455610090346,10542.877171697366,10549.235039294037,10543.51693708415,11085.616390266305,11153.138961073144,11000.836823432537,10565.258385039555,10571.616252636226,10565.89815042634
2025-09-30,11521.866432665489,11596.982864362775,11427.329530779925,10937.539195728159,10944.955849667014,10938.285502316601,11521.866432665489,11596.982864362775,11427.329530779925,10937.539195728159,10944.955849667014,10938.285502316601,11543.840502963214,11618.956934660502,11449.303601077652,10959.513266025886,10966.929919964741,10960.259572614324,11521.866432665489,11596.982864362775,11427.329530779925,10937.539195728159,10944.955849667014,10938.285502316601,11521.866432665489,11596.982864362775,11427.329530779925,10937.539195728159,10944.955849667014,10938.285502316601,11543.840502963214,11618.956934660502,11449.303601077652,10959.513266025886,10966.929919964741,10960.259572614324,11559.973697740397,11635.090129437685,11465.436795854834,10975.646460803066,10983.06311474192,10976.392767391506,11559.973697740397,11635.090129437685,11465.436795854834,10975.646460803066,10983.06311474192,10976.392767391506,11581.947768038124,11657.064199735412,11487.41086615256,10997.620531100793,11005.03718503965,10998.366837689233,11559.973697740397,11635.090129437685,11465.436795854834,10975.646460803066,10983.06311474192,10976.392767391506,11559.973697740397,11635.090129437685,11465.436795854834,10975.646460803066,10983.06311474192,10976.392767391506,11581.947768038124,11657.064199735412,11487.41086615256,10997.620531100793,11005.03718503965,10998.366837689233,11599.23675395056,11674.353185647848,11504.699852064994,11014.909517013226,11022.326170952083,11015.655823601668,11599.23675395056,11674.353185647848,11504.699852064994,11014.909517013226,11022.326170952083,11015.655823601668,11621.210824248285,11696.32725594557,11526.673922362721,11036.883587310953,11044.300241249812,11037.629893899395,11599.23675395056,11674.353185647848,11504.699852064994,11014.909517013226,11022.326170952083,11015.655823601668,11599.23675395056,11674.353185647848,11504.699852064994,11014.909517013226,11022.326170952083,11015.655823601668,11621.210824248285,11696.32725594557,11526.673922362721,11036.883587310953,11044.300241249812,11037.629893899395
2025-10-31,9574.614910392449,9657.228216626532,9470.412452264149,8926.265697276212,8934.822467147234,8927.126728919748,9574.614910392449,9657.228216626532,9470.412452264149,8926.265697276212,8934.822467147234,8927.126728919748,9597.578287904935,9680.19159413902,9493.375829776634,8949.229074788696,8957.785844659718,8950.090106432233,9574.614910392449,9657.228216626532,9470.412452264149,8926.265697276212,8934.822467147234,8927.126728919748,9574.614910392449,9657.228216626532,9470.412452264149,8926.265697276212,8934.822467147234,8927.126728919748,9597.578287904935,9680.19159413902,9493.375829776634,8949.229074788696,8957.785844659718,8950.090106432233,9601.0533595079,9683.666665741986,9496.850901379601,8952.704146391665,8961.260916262687,8953.565178035198,9601.0533595079,9683.666665741986,9496.850901379601,8952.704146391665,8961.260916262687,8953.565178035198,9624.016737020389,9706.63004325447,9519.814278892089,8975.667523904152,8984.224293775173,8976.52855554769,9601.0533595079,9683.666665741986,9496.850901379601,8952.704146391665,8961.260916262687,8953.565178035198,9601.0533595079,9683.666665741986,9496.850901379601,8952.704146391665,8961.260916262687,8953.565178035198,9624.016737020389,9706.63004325447,9519.814278892089,8975.667523904152,8984.224293775173,8976.52855554769,9629.226906480842,9711.840212714927,9525.024448352542,8980.877693364606,8989.434463235626,8981.738725008141,9629.226906480842,9711.840212714927,9525.024448352542,8980.877693364606,8989.434463235626,8981.738725008141,9652.190283993328,9734.803590227413,9547.987825865026,9003.84107087709,9012.397840748108,9004.702102520627,9629.226906480842,9711.840212714927,9525.024448352542,8980.877693364606,8989.434463235626,8981.738725008141,9629.226906480842,9711.840212714927,9525.024448352542,8980.877693364606,8989.434463235626,8981.738725008141,9652.190283993328,9734.803590227413,9547.987825865026,9003.84107087709,9012.397840748108,9004.702102520627
