Date,imbalance_short,imbalance_surp,imbalance_total
2021-01-31,1308.996,1942.611,3251.607
2021-02-28,-1080.97,10759.194,9678.224
2021-03-31,-2476.681,14698.179,12221.497
2021-04-30,-1315.529,10398.212,9082.683
2021-05-31,87.194,13136.789,13223.984
2021-06-30,-3276.77,16972.265,13695.495
2021-07-31,-1852.658,12891.958,11039.3
2021-08-31,-2251.701,20526.449,18274.748
2021-09-30,-837.876,13973.257,13135.38
2021-10-31,-4171.096,23660.925,19489.828
2021-11-30,-11552.612,32043.186,20490.574
2021-12-31,-9161.357,27429.489,18268.132
2022-01-31,-9410.179,30585.059,21174.88
2022-02-28,-6828.077,35523.301,28695.223
2022-03-31,-8874.296,35440.916,26566.62
2022-04-30,-6953.858,31185.281,24231.423
2022-05-31,-7339.602,27514.904,20175.302
2022-06-30,-10527.227,40611.112,30083.885
2022-07-31,-585.059,33526.862,32941.803
2022-08-31,-13103.175,41739.845,28636.67
2022-09-30,-15685.255,46555.597,30870.342
2022-10-31,-3330.806,19502.931,16172.125
2022-11-30,-4163.036,25051.07,20888.033
2022-12-31,-5846.788,14551.027,8704.24
2023-01-31,-4858.256,20422.807,15564.55
2023-02-28,-3855.549,19557.149,15701.6
2023-03-31,-5384.011,28071.384,22687.373
2023-04-30,-2960.001,27142.829,24182.827
2023-05-31,-2234.953,20478.378,18243.424
2023-06-30,-4095.026,28899.151,24804.125
2023-07-31,-639.595,26127.088,25487.493
2023-08-31,-2274.841,31788.364,29513.523
2023-09-30,-3888.68,27348.86,23460.18
2023-10-31,-1859.6,27105.899,25246.299
2023-11-30,-2818.296,26413.588,23595.292
2023-12-31,-3978.136,16605.619,12627.482
2024-01-31,-3239.561,21632.159,18392.598
2024-02-29,-1544.437,17905.295,16360.857
2024-03-31,-1269.058,25637.291,24368.233
2024-04-30,-739.05,23365.963,22626.913
2024-05-31,-1803.894,21976.343,20172.449
2024-06-30,-2398.441,22978.991,20580.55
2024-07-31,-1782.49,16703.16,14920.67
2024-08-31,-1883.934,30425.417,28541.484
2024-09-30,-3086.063,22363.719,19277.657
2024-10-31,-6811.072,16177.821,9366.749
2024-11-30,-6653.255,17742.773,11089.518
2024-12-31,-4367.143,14560.576,10193.433
