,potential,cost,measured_power
2021-01-01 23:00:00+00:00,-0.266666667,0.330033333,0.266666667
2021-01-01 23:15:00+00:00,1.0,-0.491244444,-1.0
2021-01-01 23:30:00+00:00,-0.333333333,0.149722222,0.333333333
2021-01-01 23:45:00+00:00,0.266666667,-0.168822222,-0.266666667
2021-01-02 00:00:00+00:00,0.0,0.015266667,0.0
2021-01-02 00:15:00+00:00,0.733333333,-0.473977778,-0.733333333
2021-01-02 00:30:00+00:00,0.0,0.0,0.0
2021-01-02 00:45:00+00:00,-0.4,0.204677778,0.4
2021-01-02 01:00:00+00:00,0.0,0.0,0.0
2021-01-02 01:15:00+00:00,0.133333333,-0.082633333,-0.133333333
2021-01-02 01:30:00+00:00,0.0,0.0,0.0
2021-01-02 01:45:00+00:00,-0.2,0.1027,0.2
2021-01-02 02:00:00+00:00,0.0,0.0,0.0
2021-01-02 02:15:00+00:00,0.0,0.0,0.0
2021-01-02 02:30:00+00:00,0.0,0.0,0.0
2021-01-02 02:45:00+00:00,-1.0,0.348377778,1.0
2021-01-02 03:00:00+00:00,-0.133333333,0.0646,0.133333333
2021-01-02 03:15:00+00:00,0.533333333,-0.298766667,-0.533333333
2021-01-02 03:30:00+00:00,0.0,-0.004866667,0.0
2021-01-02 03:45:00+00:00,-0.8,0.375266667,0.8
2021-01-02 04:00:00+00:00,0.133333333,-0.080577778,-0.133333333
2021-01-02 04:15:00+00:00,-0.2,0.1033,0.2
2021-01-02 04:30:00+00:00,0.066666667,-0.055211111,-0.066666667
2021-01-02 04:45:00+00:00,0.4,-0.209588889,-0.4
2021-01-02 05:00:00+00:00,-0.133333333,0.1378,0.133333333
2021-01-02 05:15:00+00:00,-0.8,0.196922222,0.8
2021-01-02 05:30:00+00:00,0.133333333,-0.092722222,-0.133333333
2021-01-02 05:45:00+00:00,0.4,-0.2214,-0.4
2021-01-02 06:00:00+00:00,0.333333333,-0.2833,-0.333333333
2021-01-02 06:15:00+00:00,-1.0,0.473255556,1.0
2021-01-02 06:30:00+00:00,-0.133333333,0.068788889,0.133333333
2021-01-02 06:45:00+00:00,0.333333333,-0.167355556,-0.333333333
2021-01-02 07:00:00+00:00,0.266666667,-0.182811111,-0.266666667
2021-01-02 07:15:00+00:00,0.2,-0.102555556,-0.2
2021-01-02 07:30:00+00:00,0.2,-0.111577778,-0.2
2021-01-02 07:45:00+00:00,0.663381348,-0.870592249,-0.663381348
2021-01-02 08:00:00+00:00,-0.039,0.117342333,0.039
2021-01-02 08:15:00+00:00,-0.0975,0.101987167,0.0975
2021-01-02 08:30:00+00:00,-0.0975,0.116607833,0.0975
2021-01-02 08:45:00+00:00,-0.0975,0.09969375,0.0975
2021-01-02 09:00:00+00:00,-0.0975,0.097869417,0.0975
2021-01-02 09:15:00+00:00,-0.0975,0.0912015,0.0975
2021-01-02 09:30:00+00:00,-0.0975,0.1048125,0.0975
2021-01-02 09:45:00+00:00,-0.0975,0.0801515,0.0975
2021-01-02 10:00:00+00:00,-0.0975,0.114283,0.0975
2021-01-02 10:15:00+00:00,-0.0975,0.184145,0.0975
2021-01-02 10:30:00+00:00,-0.0975,0.088544083,0.0975
2021-01-02 10:45:00+00:00,-0.0975,0.083455667,0.0975
2021-01-02 11:00:00+00:00,-0.052,0.10732475,0.052
2021-01-02 11:15:00+00:00,-0.0975,0.088934083,0.0975
2021-01-02 11:30:00+00:00,-0.052,0.06805175,0.052
2021-01-02 11:45:00+00:00,-0.078,0.158851333,0.078
2021-01-02 12:00:00+00:00,-0.0975,0.175221583,0.0975
2021-01-02 12:15:00+00:00,-0.0975,0.109383083,0.0975
2021-01-02 12:30:00+00:00,-0.0975,0.112021,0.0975
2021-01-02 12:45:00+00:00,-0.0975,0.07888075,0.0975
2021-01-02 13:00:00+00:00,-0.0975,0.08539375,0.0975
2021-01-02 13:15:00+00:00,-0.0975,0.082652917,0.0975
2021-01-02 13:30:00+00:00,-0.0975,0.108490417,0.0975
2021-01-02 13:45:00+00:00,-0.0975,0.09537775,0.0975
2021-01-02 14:00:00+00:00,-0.0975,0.11701625,0.0975
2021-01-02 14:15:00+00:00,-0.0975,0.101324167,0.0975
2021-01-02 14:30:00+00:00,-0.0975,0.09796475,0.0975
2021-01-02 14:45:00+00:00,-0.065,0.144674833,0.065
2021-01-02 15:00:00+00:00,-0.0975,0.123039583,0.0975
2021-01-02 15:15:00+00:00,-0.0975,0.103852667,0.0975
2021-01-02 15:30:00+00:00,-0.0975,0.106134167,0.0975
2021-01-02 15:45:00+00:00,-0.0585,0.097401417,0.0585
2021-01-02 16:00:00+00:00,-0.091,0.669037417,0.091
2021-01-02 16:15:00+00:00,-0.093106648,0.07618312,0.093106648
2021-01-02 16:30:00+00:00,-0.0845,0.178640583,0.0845
2021-01-02 16:45:00+00:00,-0.0975,0.08590075,0.0975
2021-01-02 17:00:00+00:00,-0.0975,0.133381083,0.0975
2021-01-02 17:15:00+00:00,-0.0975,0.093907667,0.0975
2021-01-02 17:30:00+00:00,-0.0975,0.084442583,0.0975
2021-01-02 17:45:00+00:00,-0.0975,0.082682167,0.0975
2021-01-02 18:00:00+00:00,-0.0975,0.131005333,0.0975
2021-01-02 18:15:00+00:00,-0.0975,0.068135167,0.0975
2021-01-02 18:30:00+00:00,-0.339833333,0.190550917,0.339833333
2021-01-02 18:45:00+00:00,-0.266666667,0.167611111,0.266666667
2021-01-02 19:00:00+00:00,0.379540166,0.213236548,-0.379540166
2021-01-02 19:15:00+00:00,-0.0975,0.090851583,0.0975
2021-01-02 19:30:00+00:00,-0.0975,0.074729417,0.0975
2021-01-02 19:45:00+00:00,-0.866666667,0.510622222,0.866666667
2021-01-02 20:00:00+00:00,0.666666667,0.413033333,-0.666666667
2021-01-02 20:15:00+00:00,-0.021,0.019768833,0.021
2021-01-02 20:30:00+00:00,-0.0975,0.083026667,0.0975
2021-01-02 20:45:00+00:00,-0.0975,0.06709325,0.0975
2021-01-02 21:00:00+00:00,-0.0975,0.2032225,0.0975
2021-01-02 21:15:00+00:00,-0.0975,0.077796333,0.0975
2021-01-02 21:30:00+00:00,-0.486166667,0.264033528,0.486166667
2021-01-02 21:45:00+00:00,-0.2,0.1406,0.2
2021-01-02 22:00:00+00:00,-0.333333333,0.370677778,0.333333333
2021-01-02 22:15:00+00:00,-0.533333333,0.253066667,0.533333333
2021-01-02 22:30:00+00:00,-0.266666667,0.155655556,0.266666667
2021-01-02 22:45:00+00:00,0.2,-0.121022222,-0.2
2021-01-02 23:00:00+00:00,-0.466666667,0.6001,0.466666667
2021-01-02 23:15:00+00:00,-0.933333333,0.493588889,0.933333333
2021-01-02 23:30:00+00:00,-0.933333333,0.509466667,0.933333333
2021-01-02 23:45:00+00:00,0.266666667,-0.615755556,-0.266666667
2021-01-03 00:00:00+00:00,-0.466666667,0.166422222,0.466666667
2021-01-03 00:15:00+00:00,-0.2,0.076733333,0.2
2021-01-03 00:30:00+00:00,-1.0,0.392522222,1.0
2021-01-03 00:45:00+00:00,-0.066666667,0.0154,0.066666667
2021-01-03 01:00:00+00:00,0.0,0.0,0.0
2021-01-03 01:15:00+00:00,0.066666667,-0.035866667,-0.066666667
2021-01-03 01:30:00+00:00,0.0,0.0,0.0
2021-01-03 01:45:00+00:00,0.0,0.0,0.0
2021-01-03 02:00:00+00:00,0.933333333,0.846022222,-0.933333333
2021-01-03 02:15:00+00:00,-0.333333333,0.205844444,0.333333333
2021-01-03 02:30:00+00:00,-0.266666667,0.082088889,0.266666667
2021-01-03 02:45:00+00:00,-0.933333333,0.189011111,0.933333333
2021-01-03 03:00:00+00:00,0.0,0.0,0.0
2021-01-03 03:15:00+00:00,0.333333333,-0.156377778,-0.333333333
2021-01-03 03:30:00+00:00,0.0,0.0,0.0
2021-01-03 03:45:00+00:00,0.0,0.0,0.0
2021-01-03 04:00:00+00:00,0.0,0.0,0.0
2021-01-03 04:15:00+00:00,0.4,-0.035788889,-0.4
2021-01-03 04:30:00+00:00,0.0,0.0,0.0
2021-01-03 04:45:00+00:00,0.0,0.0,0.0
2021-01-03 05:00:00+00:00,0.0,0.0,0.0
2021-01-03 05:15:00+00:00,0.2,-0.1456,-0.2
2021-01-03 05:30:00+00:00,0.4,-0.287855556,-0.4
2021-01-03 05:45:00+00:00,0.0,0.0,0.0
2021-01-03 06:00:00+00:00,-0.333333333,0.1692,0.333333333
2021-01-03 06:15:00+00:00,-0.133333333,0.062744444,0.133333333
2021-01-03 06:30:00+00:00,-0.2,0.086944444,0.2
2021-01-03 06:45:00+00:00,0.0,0.0,0.0
2021-01-03 07:00:00+00:00,-1.0,-0.096411111,1.0
2021-01-03 07:15:00+00:00,-0.333333333,-0.031766667,0.333333333
2021-01-03 07:30:00+00:00,-0.133333333,0.0243,0.133333333
2021-01-03 07:45:00+00:00,0.0,0.0,0.0
2021-01-03 08:00:00+00:00,0.0,0.0,0.0
2021-01-03 08:15:00+00:00,0.0,0.0,0.0
2021-01-03 08:30:00+00:00,1.0,-0.848233333,-1.0
2021-01-03 08:45:00+00:00,0.933333333,-0.985511111,-0.933333333
2021-01-03 09:00:00+00:00,1.0,-1.055655556,-1.0
2021-01-03 09:15:00+00:00,1.0,-0.979677778,-1.0
2021-01-03 09:30:00+00:00,0.866666667,-0.900366667,-0.866666667
2021-01-03 09:45:00+00:00,0.587833333,-0.678580139,-0.587833333
2021-01-03 10:00:00+00:00,-0.066666667,0.047811111,0.066666667
2021-01-03 10:15:00+00:00,-0.866666667,0.7082,0.866666667
2021-01-03 10:30:00+00:00,0.835833333,-0.634748889,-0.835833333
2021-01-03 10:45:00+00:00,-0.0065,-0.009279611,0.0065
2021-01-03 11:00:00+00:00,0.0,0.0,0.0
2021-01-03 11:15:00+00:00,-0.0065,-0.015058667,0.0065
2021-01-03 11:30:00+00:00,0.0,0.0,0.0
2021-01-03 11:45:00+00:00,0.0,0.0,0.0
2021-01-03 12:00:00+00:00,0.0,0.0,0.0
2021-01-03 12:15:00+00:00,0.0,0.0,0.0
2021-01-03 12:30:00+00:00,-1.0,0.816822222,1.0
2021-01-03 12:45:00+00:00,-1.0,0.393288889,1.0
2021-01-03 13:00:00+00:00,-0.266666667,0.107988889,0.266666667
2021-01-03 13:15:00+00:00,-1.0,0.3607,1.0
2021-01-03 13:30:00+00:00,-0.533333333,0.254277778,0.533333333
2021-01-03 13:45:00+00:00,-0.8,0.603922222,0.8
2021-01-03 14:00:00+00:00,0.0,0.0,0.0
2021-01-03 14:15:00+00:00,-0.8,-0.131355556,0.8
2021-01-03 14:30:00+00:00,0.0,0.0,0.0
2021-01-03 14:45:00+00:00,-0.066666667,0.003544444,0.066666667
2021-01-03 15:00:00+00:00,-0.6,-0.011777778,0.6
2021-01-03 15:15:00+00:00,0.0,0.0,0.0
2021-01-03 15:30:00+00:00,0.066666667,0.049477778,-0.066666667
2021-01-03 15:45:00+00:00,0.733333333,-0.014333333,-0.733333333
2021-01-03 16:00:00+00:00,0.933333333,0.2172,-0.933333333
2021-01-03 16:15:00+00:00,1.0,-0.979311111,-1.0
2021-01-03 16:30:00+00:00,1.0,-0.977355556,-1.0
2021-01-03 16:45:00+00:00,1.0,-0.639244444,-1.0
2021-01-03 17:00:00+00:00,-0.466666667,0.141133333,0.466666667
2021-01-03 17:15:00+00:00,-1.0,0.570066667,1.0
2021-01-03 17:30:00+00:00,-1.0,0.341788889,1.0
2021-01-03 17:45:00+00:00,-1.0,0.101588889,1.0
2021-01-03 18:00:00+00:00,-0.266666667,0.088955556,0.266666667
2021-01-03 18:15:00+00:00,-0.266666667,0.031066667,0.266666667
2021-01-03 18:30:00+00:00,-0.133333333,0.0324,0.133333333
2021-01-03 18:45:00+00:00,-0.2,0.051888889,0.2
2021-01-03 19:00:00+00:00,0.0,0.0,0.0
2021-01-03 19:15:00+00:00,0.8,-0.422733333,-0.8
2021-01-03 19:30:00+00:00,-0.733333333,0.202466667,0.733333333
2021-01-03 19:45:00+00:00,-0.2,0.068888889,0.2
2021-01-03 20:00:00+00:00,0.133333333,0.782333333,-0.133333333
2021-01-03 20:15:00+00:00,0.866666667,-0.376977778,-0.866666667
2021-01-03 20:30:00+00:00,-0.533333333,0.072666667,0.533333333
2021-01-03 20:45:00+00:00,-0.4,0.1576,0.4
2021-01-03 21:00:00+00:00,1.0,5.1992,-1.0
2021-01-03 21:15:00+00:00,0.6,-0.4314,-0.6
2021-01-03 21:30:00+00:00,-1.0,0.766433333,1.0
2021-01-03 21:45:00+00:00,-0.866666667,0.0649,0.866666667
2021-01-03 22:00:00+00:00,-0.533333333,3.954366667,0.533333333
2021-01-03 22:15:00+00:00,-0.666666667,-0.121855556,0.666666667
2021-01-03 22:30:00+00:00,-0.333333333,0.296755556,0.333333333
2021-01-03 22:45:00+00:00,-0.133333333,-0.044155556,0.133333333
2021-01-03 23:00:00+00:00,0.466666667,0.471422222,-0.466666667
2021-01-03 23:15:00+00:00,0.0,0.009377778,0.0
2021-01-03 23:30:00+00:00,0.733333333,-0.524633333,-0.733333333
2021-01-03 23:45:00+00:00,0.933333333,-0.644055556,-0.933333333
2021-01-04 00:00:00+00:00,0.066666667,0.063077778,-0.066666667
2021-01-04 00:15:00+00:00,-0.266666667,0.092055556,0.266666667
2021-01-04 00:30:00+00:00,-0.666666667,0.494555556,0.666666667
2021-01-04 00:45:00+00:00,-0.733333333,0.262911111,0.733333333
2021-01-04 01:00:00+00:00,0.133333333,-0.050755556,-0.133333333
2021-01-04 01:15:00+00:00,-0.066666667,0.031266667,0.066666667
2021-01-04 01:30:00+00:00,-0.133333333,0.064533333,0.133333333
2021-01-04 01:45:00+00:00,-0.133333333,0.0493,0.133333333
2021-01-04 02:00:00+00:00,-0.2,0.121411111,0.2
2021-01-04 02:15:00+00:00,0.0,0.0,0.0
2021-01-04 02:30:00+00:00,0.0,0.0,0.0
2021-01-04 02:45:00+00:00,-0.427885503,0.101007972,0.427885503
2021-01-04 03:00:00+00:00,0.0,0.0,0.0
2021-01-04 03:15:00+00:00,0.0,0.0,0.0
