,Allocation point 1 - Imbalance shortage,Allocation point 1 - Imbalance surplus
2021-01-01 23:00:00+00:00,-0.796,0.0
2021-01-01 23:15:00+00:00,0.0,8.4775
2021-01-01 23:30:00+00:00,-2.453333333,0.0
2021-01-01 23:45:00+00:00,0.0,1.962666667
2021-01-02 00:00:00+00:00,0.0,0.0
2021-01-02 00:15:00+00:00,0.0,7.665166667
2021-01-02 00:30:00+00:00,0.0,0.0
2021-01-02 00:45:00+00:00,-3.486,0.0
2021-01-02 01:00:00+00:00,0.0,0.0
2021-01-02 01:15:00+00:00,0.0,1.393666667
2021-01-02 01:30:00+00:00,0.0,0.0
2021-01-02 01:45:00+00:00,-1.586,0.0
2021-01-02 02:00:00+00:00,0.0,0.0
2021-01-02 02:15:00+00:00,0.0,0.0
2021-01-02 02:30:00+00:00,0.0,0.0
2021-01-02 02:45:00+00:00,-3.75,0.0
2021-01-02 03:00:00+00:00,-1.057333333,0.0
2021-01-02 03:15:00+00:00,0.0,5.522666667
2021-01-02 03:30:00+00:00,0.0,0.0
2021-01-02 03:45:00+00:00,-6.29,0.0
2021-01-02 04:00:00+00:00,0.0,1.148333333
2021-01-02 04:15:00+00:00,-1.6405,0.0
2021-01-02 04:30:00+00:00,0.0,0.565166667
2021-01-02 04:45:00+00:00,0.0,4.142
2021-01-02 05:00:00+00:00,-1.161,0.0
2021-01-02 05:15:00+00:00,0.19,0.0
2021-01-02 05:30:00+00:00,0.0,1.130333333
2021-01-02 05:45:00+00:00,0.0,3.425
2021-01-02 06:00:00+00:00,0.0,2.854166667
2021-01-02 06:15:00+00:00,-4.615,0.0
2021-01-02 06:30:00+00:00,-0.984333333,0.0
2021-01-02 06:45:00+00:00,0.0,3.091666667
2021-01-02 07:00:00+00:00,0.0,2.844666667
2021-01-02 07:15:00+00:00,0.0,2.075
2021-01-02 07:30:00+00:00,0.0,2.0755
2021-01-02 07:45:00+00:00,0.0,8.831264197
2021-01-02 08:00:00+00:00,-1.2984075,0.0
2021-01-02 08:15:00+00:00,-1.268475,0.0
2021-01-02 08:30:00+00:00,-1.20046875,0.0
2021-01-02 08:45:00+00:00,-1.20046875,0.0
2021-01-02 09:00:00+00:00,-1.133925,0.0
2021-01-02 09:15:00+00:00,-1.133925,0.0
2021-01-02 09:30:00+00:00,-1.29796875,0.0
2021-01-02 09:45:00+00:00,-1.133925,0.0
2021-01-02 10:00:00+00:00,-2.07553125,0.0
2021-01-02 10:15:00+00:00,-2.07553125,0.0
2021-01-02 10:30:00+00:00,-1.2260625,0.0
2021-01-02 10:45:00+00:00,-1.12734375,0.0
2021-01-02 11:00:00+00:00,-3.61387,0.0
2021-01-02 11:15:00+00:00,-1.208025,0.0
2021-01-02 11:30:00+00:00,-5.27735,0.0
2021-01-02 11:45:00+00:00,-2.19921,0.0
2021-01-02 12:00:00+00:00,-1.07908125,0.0
