,power,potential,cost,state_of_charge,cycle_count
2021-01-01 23:00:00+00:00,-0.266666667,-0.533333333,-0.068047411,0.528245614,0.044824561
2021-01-01 23:15:00+00:00,1.0,2.0,0.451493813,0.396666667,0.065789474
2021-01-01 23:30:00+00:00,-0.333333333,-0.666666667,-0.159273563,0.432828947,0.045252193
2021-01-01 23:45:00+00:00,0.266666667,0.533333333,0.134077794,0.394320175,0.050921053
2021-01-02 00:00:00+00:00,0.0,0.0,-0.037334229,0.386622807,0.051348684
2021-01-02 00:15:00+00:00,0.733333333,1.466666667,0.35410834,0.287565789,0.057445175
2021-01-02 00:30:00+00:00,0.0,0.0,-0.184433039,0.274736842,0.006414474
2021-01-02 00:45:00+00:00,-0.4,-0.8,-0.363410087,0.314539474,0.027598684
2021-01-02 01:00:00+00:00,0.0,0.0,-0.146049008,0.301710526,0.006414474
2021-01-02 01:15:00+00:00,0.133333333,0.266666667,-0.087118921,0.273048246,0.01433114
2021-01-02 01:30:00+00:00,0.0,0.0,-0.202065604,0.260219298,0.006414474
2021-01-02 01:45:00+00:00,-0.2,-0.4,-0.303728267,0.27370614,0.017006579
2021-01-02 02:00:00+00:00,0.0,0.0,-0.202206989,0.260877193,0.006414474
2021-01-02 02:15:00+00:00,0.0,0.0,-0.199548759,0.248048246,0.006414474
2021-01-02 02:30:00+00:00,0.0,0.0,-0.197105741,0.235219298,0.006414474
2021-01-02 02:45:00+00:00,-1.0,-2.0,-0.668722037,0.353969298,0.059375
2021-01-02 03:00:00+00:00,-0.133333333,-0.266666667,-0.130450652,0.359539474,0.020964912
2021-01-02 03:15:00+00:00,0.533333333,1.066666667,0.216228427,0.283377193,0.03808114
2021-01-02 03:30:00+00:00,0.0,0.0,-0.144602225,0.273114035,0.028881579
2021-01-02 03:45:00+00:00,-0.8,-1.6,-0.528904106,0.365548246,0.048782895
2021-01-02 04:00:00+00:00,0.133333333,0.266666667,0.00746521,0.338596491,0.029309211
2021-01-02 04:15:00+00:00,-0.2,-0.4,-0.190919132,0.352083333,0.017006579
2021-01-02 04:30:00+00:00,0.066666667,0.133333333,-0.030572006,0.333903509,0.032839912
2021-01-02 04:45:00+00:00,0.4,0.8,0.106802414,0.273574561,0.030164474
2021-01-02 05:00:00+00:00,-0.133333333,-0.266666667,-0.233047547,0.279144737,0.020964912
2021-01-02 05:15:00+00:00,-0.8,-1.6,-0.540186899,0.371578947,0.048782895
2021-01-02 05:30:00+00:00,0.133333333,0.266666667,0.015209287,0.345482456,0.036798246
2021-01-02 05:45:00+00:00,0.4,0.8,0.118139108,0.286008772,0.037653509
2021-01-02 06:00:00+00:00,0.333333333,0.666666667,0.085379379,0.236162281,0.048673246
2021-01-02 06:15:00+00:00,-1.0,-2.0,-0.666402718,0.354912281,0.059375
2021-01-02 06:30:00+00:00,-0.133333333,-0.266666667,-0.137004653,0.359627193,0.013475877
2021-01-02 06:45:00+00:00,0.333333333,0.666666667,0.070660464,0.307214912,0.02620614
2021-01-02 07:00:00+00:00,0.266666667,0.533333333,0.033302197,0.264429825,0.037225877
2021-01-02 07:15:00+00:00,0.2,0.4,-0.053344684,0.227850877,0.018289474
2021-01-02 07:30:00+00:00,0.2,0.4,-0.046328698,0.19127193,0.018289474
2021-01-02 07:45:00+00:00,0.663381348,1.326762696,0.304580394,0.1,0.045635965
2021-01-02 08:00:00+00:00,-0.039,-0.078,-0.091110105,0.1,0.0
2021-01-02 08:15:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 08:30:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 08:45:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 09:00:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 09:15:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 09:30:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 09:45:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 10:00:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 10:15:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 10:30:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 10:45:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 11:00:00+00:00,-0.052,-0.104,-0.12148014,0.1,0.0
2021-01-02 11:15:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 11:30:00+00:00,-0.052,-0.104,-0.12148014,0.1,0.0
2021-01-02 11:45:00+00:00,-0.078,-0.156,-0.182220211,0.1,0.0
2021-01-02 12:00:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 12:15:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
