,market_position,shortage_price,surplus_price
2021-01-01 23:00:00+00:00,0.266666667,11.94,11.94
2021-01-01 23:15:00+00:00,-1.0,33.91,33.91
2021-01-01 23:30:00+00:00,0.333333333,29.44,29.44
2021-01-01 23:45:00+00:00,-0.266666667,29.44,29.44
2021-01-02 00:00:00+00:00,0.0,29.86,29.86
2021-01-02 00:15:00+00:00,-0.733333333,41.81,41.81
2021-01-02 00:30:00+00:00,0.0,39.45,39.45
2021-01-02 00:45:00+00:00,0.4,34.86,34.86
2021-01-02 01:00:00+00:00,0.0,34.75,34.75
2021-01-02 01:15:00+00:00,-0.133333333,41.81,41.81
2021-01-02 01:30:00+00:00,0.0,37.25,37.25
2021-01-02 01:45:00+00:00,0.2,31.72,31.72
2021-01-02 02:00:00+00:00,0.0,31.45,31.45
2021-01-02 02:15:00+00:00,0.0,41.42,41.42
2021-01-02 02:30:00+00:00,0.0,31.45,31.45
2021-01-02 02:45:00+00:00,1.0,15.0,15.0
2021-01-02 03:00:00+00:00,0.133333333,31.72,31.72
2021-01-02 03:15:00+00:00,-0.533333333,41.42,41.42
2021-01-02 03:30:00+00:00,0.0,34.44,34.44
2021-01-02 03:45:00+00:00,0.8,31.45,31.45
2021-01-02 04:00:00+00:00,-0.133333333,34.45,34.45
2021-01-02 04:15:00+00:00,0.2,32.81,32.81
2021-01-02 04:30:00+00:00,-0.066666667,33.91,33.91
2021-01-02 04:45:00+00:00,-0.4,41.42,41.42
2021-01-02 05:00:00+00:00,0.133333333,34.83,34.83
2021-01-02 05:15:00+00:00,0.8,-0.95,-0.95
2021-01-02 05:30:00+00:00,-0.133333333,33.91,33.91
2021-01-02 05:45:00+00:00,-0.4,34.25,34.25
2021-01-02 06:00:00+00:00,-0.333333333,34.25,34.25
2021-01-02 06:15:00+00:00,1.0,18.46,18.46
2021-01-02 06:30:00+00:00,0.133333333,29.53,29.53
2021-01-02 06:45:00+00:00,-0.333333333,37.1,37.1
2021-01-02 07:00:00+00:00,-0.266666667,42.67,42.67
2021-01-02 07:15:00+00:00,-0.2,41.5,41.5
2021-01-02 07:30:00+00:00,-0.2,41.51,41.51
2021-01-02 07:45:00+00:00,-0.663381348,53.25,53.25
2021-01-02 08:00:00+00:00,0.039,133.17,133.17
2021-01-02 08:15:00+00:00,0.0975,52.04,52.04
2021-01-02 08:30:00+00:00,0.0975,49.25,49.25
2021-01-02 08:45:00+00:00,0.0975,49.25,49.25
2021-01-02 09:00:00+00:00,0.0975,46.52,46.52
2021-01-02 09:15:00+00:00,0.0975,46.52,46.52
2021-01-02 09:30:00+00:00,0.0975,53.25,53.25
2021-01-02 09:45:00+00:00,0.0975,46.52,46.52
2021-01-02 10:00:00+00:00,0.0975,85.15,85.15
2021-01-02 10:15:00+00:00,0.0975,85.15,85.15
2021-01-02 10:30:00+00:00,0.0975,50.3,50.3
2021-01-02 10:45:00+00:00,0.0975,46.25,46.25
2021-01-02 11:00:00+00:00,0.052,277.99,277.99
2021-01-02 11:15:00+00:00,0.0975,49.56,49.56
2021-01-02 11:30:00+00:00,0.052,405.95,405.95
2021-01-02 11:45:00+00:00,0.078,112.78,112.78
2021-01-02 12:00:00+00:00,0.0975,44.27,37.27
2021-01-02 12:15:00+00:00,0.0975,49.25,49.25
2021-01-02 12:30:00+00:00,0.0975,55.53,55.53
2021-01-02 12:45:00+00:00,0.0975,41.79,41.79
2021-01-02 13:00:00+00:00,0.0975,41.8,41.8
2021-01-02 13:15:00+00:00,0.0975,44.91,44.91
2021-01-02 13:30:00+00:00,0.0975,59.25,59.25
2021-01-02 13:45:00+00:00,0.0975,47.8,47.8
2021-01-02 14:00:00+00:00,0.0975,49.25,49.25
2021-01-02 14:15:00+00:00,0.0975,47.9,47.9
2021-01-02 14:30:00+00:00,0.0975,73.45,73.45
2021-01-02 14:45:00+00:00,0.065,118.45,118.45
2021-01-02 15:00:00+00:00,0.0975,47.8,47.8
2021-01-02 15:15:00+00:00,0.0975,39.99,39.99
2021-01-02 15:30:00+00:00,0.0975,48.49,48.49
2021-01-02 15:45:00+00:00,0.0585,124.99,124.99
2021-01-02 16:00:00+00:00,0.091,127.0,34.77
2021-01-02 16:15:00+00:00,0.093106648,65.48,65.48
2021-01-02 16:30:00+00:00,0.0845,82.0,82.0
2021-01-02 16:45:00+00:00,0.0975,43.64,43.64
2021-01-02 17:00:00+00:00,0.0975,41.8,41.8
2021-01-02 17:15:00+00:00,0.0975,41.79,41.79
2021-01-02 17:30:00+00:00,0.0975,41.8,41.8
2021-01-02 17:45:00+00:00,0.0975,41.79,41.79
2021-01-02 18:00:00+00:00,0.0975,39.99,39.99
2021-01-02 18:15:00+00:00,0.0975,39.99,39.99
2021-01-02 18:30:00+00:00,0.339833333,37.25,37.25
2021-01-02 18:45:00+00:00,0.266666667,39.25,39.25
2021-01-02 19:00:00+00:00,-0.379540166,68.35,68.35
2021-01-02 19:15:00+00:00,0.0975,46.25,46.25
2021-01-02 19:30:00+00:00,0.0975,34.25,34.25
2021-01-02 19:45:00+00:00,0.866666667,32.09,32.09
2021-01-02 20:00:00+00:00,-0.666666667,45.28,37.49
2021-01-02 20:15:00+00:00,0.021,43.05,43.05
2021-01-02 20:30:00+00:00,0.0975,43.05,43.05
2021-01-02 20:45:00+00:00,0.0975,41.03,41.03
2021-01-02 21:00:00+00:00,0.0975,37.25,37.25
2021-01-02 21:15:00+00:00,0.0975,39.12,39.12
2021-01-02 21:30:00+00:00,0.486166667,31.25,31.25
2021-01-02 21:45:00+00:00,0.2,37.9,37.9
2021-01-02 22:00:00+00:00,0.333333333,29.59,29.59
2021-01-02 22:15:00+00:00,0.533333333,36.03,36.03
2021-01-02 22:30:00+00:00,0.266666667,37.09,37.09
2021-01-02 22:45:00+00:00,-0.2,46.25,39.25
2021-01-02 23:00:00+00:00,0.466666667,19.25,19.25
2021-01-02 23:15:00+00:00,0.933333333,21.5,21.5
2021-01-02 23:30:00+00:00,0.933333333,22.0,22.0
2021-01-02 23:45:00+00:00,-0.266666667,50.17,50.17
2021-01-03 00:00:00+00:00,0.466666667,22.47,22.47
2021-01-03 00:15:00+00:00,0.2,26.25,26.25
2021-01-03 00:30:00+00:00,1.0,3.0,3.0
2021-01-03 00:45:00+00:00,0.066666667,18.0,18.0
2021-01-03 01:00:00+00:00,0.0,43.42,43.42
2021-01-03 01:15:00+00:00,-0.066666667,37.17,37.17
2021-01-03 01:30:00+00:00,0.0,34.67,34.67
2021-01-03 01:45:00+00:00,0.0,29.67,29.67
2021-01-03 02:00:00+00:00,-0.933333333,137.3,137.3
2021-01-03 02:15:00+00:00,0.333333333,19.25,19.25
2021-01-03 02:30:00+00:00,0.266666667,11.89,11.89
2021-01-03 02:45:00+00:00,0.933333333,3.4,3.4
2021-01-03 03:00:00+00:00,0.0,37.47,37.47
2021-01-03 03:15:00+00:00,-0.333333333,47.17,47.17
2021-01-03 03:30:00+00:00,0.0,29.97,29.97
2021-01-03 03:45:00+00:00,0.0,31.25,31.25
2021-01-03 04:00:00+00:00,0.0,34.25,34.25
2021-01-03 04:15:00+00:00,-0.4,43.42,43.42
2021-01-03 04:30:00+00:00,0.0,22.47,22.47
2021-01-03 04:45:00+00:00,0.0,29.97,29.97
2021-01-03 05:00:00+00:00,0.0,37.25,37.25
2021-01-03 05:15:00+00:00,-0.2,44.37,44.37
2021-01-03 05:30:00+00:00,-0.4,44.38,44.38
2021-01-03 05:45:00+00:00,0.0,36.2,36.2
2021-01-03 06:00:00+00:00,0.333333333,25.13,25.13
2021-01-03 06:15:00+00:00,0.133333333,18.79,18.79
2021-01-03 06:30:00+00:00,0.2,18.79,18.79
2021-01-03 06:45:00+00:00,0.0,26.53,26.53
2021-01-03 07:00:00+00:00,1.0,-10.58,-10.58
2021-01-03 07:15:00+00:00,0.333333333,-23.47,-23.47
2021-01-03 07:30:00+00:00,0.133333333,11.72,11.72
2021-01-03 07:45:00+00:00,0.0,34.25,34.25
2021-01-03 08:00:00+00:00,0.0,22.27,22.27
2021-01-03 08:15:00+00:00,0.0,59.38,19.25
2021-01-03 08:30:00+00:00,-1.0,198.23,198.23
2021-01-03 08:45:00+00:00,-0.933333333,66.13,66.13
2021-01-03 09:00:00+00:00,-1.0,52.1,52.1
2021-01-03 09:15:00+00:00,-1.0,49.1,49.1
2021-01-03 09:30:00+00:00,-0.866666667,55.85,55.85
2021-01-03 09:45:00+00:00,-0.587833333,405.22,405.22
2021-01-03 10:00:00+00:00,0.066666667,31.25,31.25
2021-01-03 10:15:00+00:00,0.866666667,44.48,29.77
2021-01-03 10:30:00+00:00,-0.835833333,45.98,45.98
2021-01-03 10:45:00+00:00,0.0065,66.24,66.24
2021-01-03 11:00:00+00:00,0.0,397.92,397.92
2021-01-03 11:15:00+00:00,0.0065,60.88,60.88
2021-01-03 11:30:00+00:00,0.0,60.88,60.88
2021-01-03 11:45:00+00:00,0.0,59.49,59.49
2021-01-03 12:00:00+00:00,0.0,125.3,125.3
2021-01-03 12:15:00+00:00,0.0,10.94,10.94
2021-01-03 12:30:00+00:00,1.0,10.94,10.94
2021-01-03 12:45:00+00:00,1.0,0.0,0.0
2021-01-03 13:00:00+00:00,0.266666667,19.25,19.25
2021-01-03 13:15:00+00:00,1.0,-12.35,-12.35
2021-01-03 13:30:00+00:00,0.533333333,10.94,10.94
2021-01-03 13:45:00+00:00,0.8,12.0,12.0
2021-01-03 14:00:00+00:00,0.0,31.25,31.25
2021-01-03 14:15:00+00:00,0.8,-22.32,-22.32
2021-01-03 14:30:00+00:00,0.0,26.25,26.25
2021-01-03 14:45:00+00:00,0.066666667,6.42,6.42
2021-01-03 15:00:00+00:00,0.6,13.54,13.54
2021-01-03 15:15:00+00:00,0.0,35.78,35.78
2021-01-03 15:30:00+00:00,-0.066666667,46.89,46.89
2021-01-03 15:45:00+00:00,-0.733333333,59.16,59.16
2021-01-03 16:00:00+00:00,-0.933333333,60.98,60.98
2021-01-03 16:15:00+00:00,-1.0,55.65,55.65
2021-01-03 16:30:00+00:00,-1.0,54.94,54.94
2021-01-03 16:45:00+00:00,-1.0,49.51,49.51
2021-01-03 17:00:00+00:00,0.466666667,12.27,12.27
2021-01-03 17:15:00+00:00,1.0,5.0,5.0
2021-01-03 17:30:00+00:00,1.0,4.34,4.34
2021-01-03 17:45:00+00:00,1.0,-25.08,-25.08
2021-01-03 18:00:00+00:00,0.266666667,10.11,10.11
2021-01-03 18:15:00+00:00,0.266666667,11.8,11.8
2021-01-03 18:30:00+00:00,0.133333333,23.58,23.58
2021-01-03 18:45:00+00:00,0.2,15.0,15.0
2021-01-03 19:00:00+00:00,0.0,44.11,8.0
2021-01-03 19:15:00+00:00,-0.8,48.86,34.96
2021-01-03 19:30:00+00:00,0.733333333,6.06,6.06
2021-01-03 19:45:00+00:00,0.2,15.0,15.0
2021-01-03 20:00:00+00:00,-0.133333333,45.14,45.14
2021-01-03 20:15:00+00:00,-0.866666667,47.8,47.8
2021-01-03 20:30:00+00:00,0.533333333,-2.35,-2.35
2021-01-03 20:45:00+00:00,0.4,21.08,21.08
2021-01-03 21:00:00+00:00,-1.0,116.93,37.25
2021-01-03 21:15:00+00:00,-0.6,21.68,21.68
2021-01-03 21:30:00+00:00,1.0,-22.1,-22.1
2021-01-03 21:45:00+00:00,0.866666667,-100.29,-100.29
2021-01-03 22:00:00+00:00,0.533333333,-136.5,-136.5
2021-01-03 22:15:00+00:00,0.666666667,-31.5,-31.5
2021-01-03 22:30:00+00:00,0.333333333,-32.86,-32.86
2021-01-03 22:45:00+00:00,0.133333333,-65.48,-65.48
2021-01-03 23:00:00+00:00,-0.466666667,45.12,45.12
2021-01-03 23:15:00+00:00,0.0,34.08,34.08
2021-01-03 23:30:00+00:00,-0.733333333,55.36,55.36
2021-01-03 23:45:00+00:00,-0.933333333,47.46,36.64
2021-01-04 00:00:00+00:00,-0.066666667,25.07,25.07
2021-01-04 00:15:00+00:00,0.266666667,20.54,20.54
2021-01-04 00:30:00+00:00,0.666666667,28.55,28.55
2021-01-04 00:45:00+00:00,0.733333333,-27.06,-27.06
2021-01-04 01:00:00+00:00,-0.133333333,18.52,18.52
2021-01-04 01:15:00+00:00,0.066666667,24.74,24.74
2021-01-04 01:30:00+00:00,0.133333333,28.27,28.27
2021-01-04 01:45:00+00:00,0.133333333,20.17,20.17
2021-01-04 02:00:00+00:00,0.2,13.27,13.27
2021-01-04 02:15:00+00:00,0.0,23.74,23.74
2021-01-04 02:30:00+00:00,0.0,23.01,23.01
2021-01-04 02:45:00+00:00,0.427885503,-36.69,-36.69
2021-01-04 03:00:00+00:00,0.0,-27.91,-27.91
2021-01-04 03:15:00+00:00,0.0,-49.13,-49.13
2021-01-04 03:30:00+00:00,0.0,-30.56,-30.56
2021-01-04 03:45:00+00:00,0.0,-61.85,-61.85
2021-01-04 04:00:00+00:00,0.0,-31.57,-31.57
2021-01-04 04:15:00+00:00,0.0,8.55,8.55
2021-01-04 04:30:00+00:00,0.0,6.77,6.77
2021-01-04 04:45:00+00:00,0.0,-114.1,-114.1
2021-01-04 05:00:00+00:00,0.0,-31.27,-31.27
2021-01-04 05:15:00+00:00,0.0,-118.25,-118.25
2021-01-04 05:30:00+00:00,0.0,7.8,7.8
2021-01-04 05:45:00+00:00,-0.2,5.96,5.96
2021-01-04 06:00:00+00:00,-0.666666667,83.43,83.43
2021-01-04 06:15:00+00:00,-0.266666667,34.45,34.45
2021-01-04 06:30:00+00:00,-0.133333333,37.45,37.45
2021-01-04 06:45:00+00:00,-0.866666667,57.81,40.66
2021-01-04 07:00:00+00:00,0.0,48.77,40.24
2021-01-04 07:15:00+00:00,-0.4,96.51,96.51
2021-01-04 07:30:00+00:00,-1.0,145.4,145.4
2021-01-04 07:45:00+00:00,-0.933333333,40.24,40.24
2021-01-04 08:00:00+00:00,0.866666667,26.45,26.45
2021-01-04 08:15:00+00:00,0.666666667,31.45,31.45
2021-01-04 08:30:00+00:00,0.6,31.24,31.24
2021-01-04 08:45:00+00:00,1.0,26.45,26.45
2021-01-04 09:00:00+00:00,0.0,34.45,34.45
2021-01-04 09:15:00+00:00,0.333333333,34.99,34.99
2021-01-04 09:30:00+00:00,0.133333333,21.49,21.49
2021-01-04 09:45:00+00:00,0.4,15.49,15.49
2021-01-04 10:00:00+00:00,-0.666666667,61.4,37.99
