"Expenditure categories";"Periods";"HICP (2015 = 100)"
"000000 All items";"2021 January";106,51
"000000 All items";"2021 February";107,76
"000000 All items";"2021 March";108,09
"000000 All items";"2021 April";108,95
"000000 All items";"2021 May";109,11
"000000 All items";"2021 June";109,27
"000000 All items";"2021 July";109,96
"000000 All items";"2021 August";110,54
"000000 All items";"2021 September";110,37
"000000 All items";"2021 October";112,1
"000000 All items";"2021 November";113,02
"000000 All items";"2021 December";114,09
"000000 All items";"2022 January";114,61
"000000 All items";"2022 February";115,58
"000000 All items";"2022 March";120,7
"000000 All items";"2022 April";121,16
"000000 All items";"2022 May";120,21
"000000 All items";"2022 June";120,13
"000000 All items";"2022 July";122,74
"000000 All items";"2022 August";125,63
"000000 All items";"2022 September";129,2
"000000 All items";"2022 October";130,92
"000000 All items";"2022 November";125,81
"000000 All items";"2022 December";126,64
"000000 All items";"2023 January";124,23
"000000 All items";"2023 February";125,9
"000000 All items";"2023 March";126,16
"000000 All items";"2023 April";128,17
"000000 All items";"2023 May";128,41
"000000 All items";"2023 June";127,78
"000000 All items";"2023 July";129,25
"000000 All items";"2023 August";129,9
"000000 All items";"2023 September";128,81
"000000 All items";"2023 October";129,56
"000000 All items";"2023 November";127,63
"000000 All items";"2023 December";127,88
"000000 All items";"2024 January";128,08
"000000 All items";"2024 February";129,29
"000000 All items";"2024 March";130,09
"000000 All items";"2024 April";131,47
"000000 All items";"2024 May";131,85
"000000 All items";"2024 June";132,07
"000000 All items";"2024 July";133,73
"000000 All items";"2024 August";134,22
"000000 All items";"2024 September";133,01
"000000 All items";"2024 October";133,85
"000000 All items";"2024 November";132,47
"000000 All items";"2024 December";132,93
