date,volume
01/01/2018,525933
02/01/2018,546886
03/01/2018,1264724
04/01/2018,473563
05/01/2018,497547
06/01/2018,559747
07/01/2018,353109
08/01/2018,889187
09/01/2018,655864
10/01/2018,328946
11/01/2018,414570
12/01/2018,392456
13/01/2018,924796
14/01/2018,209678
15/01/2018,244020
16/01/2018,744509
17/01/2018,342276
18/01/2018,550417
19/01/2018,241450
20/01/2018,308389
21/01/2018,357629
22/01/2018,142589
23/01/2018,341893
24/01/2018,624840
25/01/2018,466620
26/01/2018,291177
27/01/2018,527976
28/01/2018,734668
29/01/2018,318949
30/01/2018,372310
31/01/2018,577147
01/02/2018,791773
02/02/2018,349293
03/02/2018,478389
04/02/2018,382542
05/02/2018,266257
06/02/2018,512492
07/02/2018,586977
08/02/2018,620555
09/02/2018,600147
10/02/2018,497056
11/02/2018,330921
12/02/2018,451283
13/02/2018,400086
14/02/2018,482955
15/02/2018,1009311
16/02/2018,226202
17/02/2018,340179
18/02/2018,542048
19/02/2018,607486
20/02/2018,576591
21/02/2018,509902
22/02/2018,491874
23/02/2018,589485
24/02/2018,636797
25/02/2018,204736
26/02/2018,641687
27/02/2018,669691
28/02/2018,424552
01/03/2018,907608
02/03/2018,727105
03/03/2018,646937
04/03/2018,792322
05/03/2018,591760
06/03/2018,471254
07/03/2018,304707
08/03/2018,660814
09/03/2018,429643
10/03/2018,360109
11/03/2018,433014
12/03/2018,437070
13/03/2018,1867772
14/03/2018,720929
15/03/2018,809916
16/03/2018,796260
17/03/2018,652982
18/03/2018,498112
19/03/2018,555210
20/03/2018,873393
21/03/2018,518313
22/03/2018,464597
23/03/2018,516539
24/03/2018,383992
25/03/2018,618191
26/03/2018,667295
27/03/2018,641082
28/03/2018,725408
29/03/2018,616275
30/03/2018,867920
31/03/2018,844003
01/04/2018,718417
02/04/2018,656552
03/04/2018,1157820
04/04/2018,454107
05/04/2018,307775
06/04/2018,265452
07/04/2018,519000
08/04/2018,355958
09/04/2018,735647
10/04/2018,653642
11/04/2018,1012470
12/04/2018,1106561
13/04/2018,332333
14/04/2018,317468
15/04/2018,498802
16/04/2018,466137
17/04/2018,565990
18/04/2018,906391
19/04/2018,925734
20/04/2018,606321
21/04/2018,330145
22/04/2018,643496
23/04/2018,396928
24/04/2018,638499
25/04/2018,921505
26/04/2018,329457
27/04/2018,391378
28/04/2018,231863
29/04/2018,515075
30/04/2018,3045526
01/05/2018,540234
02/05/2018,718954
03/05/2018,347628
04/05/2018,240925
05/05/2018,507934
06/05/2018,527182
07/05/2018,557496
08/05/2018,731321
09/05/2018,582486
10/05/2018,373136
11/05/2018,464972
12/05/2018,474608
13/05/2018,724238
14/05/2018,883335
15/05/2018,555299
16/05/2018,635709
17/05/2018,579780
18/05/2018,777316
19/05/2018,377637
20/05/2018,572420
21/05/2018,659081
22/05/2018,437576
23/05/2018,901847
24/05/2018,792532
25/05/2018,372917
26/05/2018,655371
27/05/2018,670473
28/05/2018,865717
29/05/2018,1235959
30/05/2018,542259
31/05/2018,494726
01/06/2018,602880
02/06/2018,227253
03/06/2018,303370
04/06/2018,272472
05/06/2018,858922
06/06/2018,411082
07/06/2018,725185
08/06/2018,1197005
09/06/2018,363365
10/06/2018,226713
11/06/2018,206321
12/06/2018,562647
13/06/2018,408213
14/06/2018,520862
15/06/2018,346266
16/06/2018,372430
17/06/2018,470917
18/06/2018,851408
19/06/2018,506429
20/06/2018,1395689
21/06/2018,509443
22/06/2018,445587
23/06/2018,328282
24/06/2018,334396
25/06/2018,727066
26/06/2018,268749
27/06/2018,237115
28/06/2018,326798
29/06/2018,384323
30/06/2018,344761
01/07/2018,1088198
02/07/2018,764623
03/07/2018,717731
04/07/2018,394010
05/07/2018,821677
06/07/2018,931994
07/07/2018,1045191
08/07/2018,456371
09/07/2018,1236149
10/07/2018,290956
11/07/2018,314399
12/07/2018,500968
13/07/2018,480493
14/07/2018,203010
15/07/2018,466416
16/07/2018,534389
17/07/2018,216059
18/07/2018,952905
19/07/2018,360907
20/07/2018,239558
21/07/2018,428503
22/07/2018,468641
23/07/2018,636162
24/07/2018,670192
25/07/2018,545176
26/07/2018,600733
27/07/2018,853294
28/07/2018,624436
29/07/2018,544467
30/07/2018,397368
31/07/2018,316153
01/08/2018,323836
02/08/2018,528916
03/08/2018,1549524
