,Jan/2022,Feb/2022,Mar/2022,Apr/2022,May/2022,Jun/2022,Jul/2022,Aug/2022,Sep/2022,Oct/2022,Nov/2022,Dec/2022,Jan/2023,Feb/2023,Mar/2023,Apr/2023,May/2023,Jun/2023,Jul/2023,Aug/2023,Sep/2023,Oct/2023,Nov/2023,Dec/2023,Jan/2024,Feb/2024,Mar/2024,Apr/2024,May/2024,Jun/2024,Jul/2024,Aug/2024,Sep/2024,Oct/2024,Nov/2024,Dec/2024
Charge - Battery 1 (Electricity) [MWh],-74.964,-99.154,-80.051,-72.16,-83.45,-95.736,-73.575,-65.663,-57.499,-35.873,-70.766,-47.664,-41.237,-71.879,-91.278,-91.844,-73.652,-97.857,-99.428,-93.523,-93.555,-109.86,-105.417,-75.493,-79.863,-92.457,-118.733,-116.712,-111.546,-94.854,-87.109,-101.864,-90.913,-86.99,-96.072,-72.434
Cycle count - Battery 1 (Electricity),36.835,52.027,39.22,35.183,40.661,46.845,35.413,32.123,27.44,17.475,35.037,22.858,19.876,34.865,45.021,45.339,35.603,47.469,48.641,45.406,45.129,54.229,53.065,37.848,40.24,46.542,61.249,57.509,55.112,48.353,44.162,52.394,47.054,47.235,53.104,39.456
Discharge - Battery 1 (Electricity) [MWh],66.619,89.252,72.374,64.445,74.98,86.239,65.654,59.84,51.08,32.317,64.954,41.56,37.457,64.604,82.236,83.023,65.822,87.996,89.846,84.183,84.229,98.4,95.391,66.61,71.942,82.999,107.036,103.649,100.662,84.182,78.988,90.222,81.559,77.602,84.326,63.978
Feedin - Allocation point 1 (Electricity) [MWh],-66.619,-89.252,-72.374,-64.445,-74.98,-86.239,-65.654,-59.84,-51.08,-32.317,-64.954,-41.56,-37.457,-64.604,-82.236,-83.023,-65.822,-87.996,-89.846,-84.183,-84.229,-98.4,-95.391,-66.61,-71.942,-82.999,-107.036,-103.649,-100.662,-84.182,-78.988,-90.222,-81.559,-77.602,-84.326,-63.978
Feedin - Grid connection 1 (Electricity) [MWh],-66.619,-89.252,-72.374,-64.445,-74.98,-86.239,-65.654,-59.84,-51.08,-32.317,-64.954,-41.56,-37.457,-64.604,-82.236,-83.023,-65.822,-87.996,-89.846,-84.183,-84.229,-98.4,-95.391,-66.61,-71.942,-82.999,-107.036,-103.649,-100.662,-84.182,-78.988,-90.222,-81.559,-77.602,-84.326,-63.978
Offtake - Allocation point 1 (Electricity) [MWh],74.964,99.154,80.051,72.16,83.45,95.736,73.575,65.663,57.499,35.873,70.766,47.664,41.237,71.879,91.278,91.844,73.652,97.857,99.428,93.523,93.555,109.86,105.417,75.493,79.863,92.457,118.733,116.712,111.546,94.854,87.109,101.864,90.913,86.99,96.072,72.434
Offtake - Grid connection 1 (Electricity) [MWh],74.964,99.154,80.051,72.16,83.45,95.736,73.575,65.663,57.499,35.873,70.766,47.664,41.237,71.879,91.278,91.844,73.652,97.857,99.428,93.523,93.555,109.86,105.417,75.493,79.863,92.457,118.733,116.712,111.546,94.854,87.109,101.864,90.913,86.99,96.072,72.434
Peak offtake - Grid connection 1 (Electricity) [MW],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Revenue - Allocation point 1 - Day-ahead bought [EUR],0.0,0.0,0.0,50.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.7,53.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,610.704,48.6,0.0,0.0,0.0,0.0,-279.748,-387.711
Revenue - Allocation point 1 - Day-ahead sold [EUR],0.0,0.0,874.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,50.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.579,379.59,0.0,203.3,0.0,0.0,0.0,349.445,861.64,480.116,0.0,0.0,909.184,648.18,488.77,1588.245,2026.989
