Timeinterval Start Loc;Timeinterval End Loc;Isp;Quantity Measurement Unit Name;Afrr Down;Afrr Up;Incident Reserve Down;Incident Reserve Up;Absolute Total Volume;Total Volume
2020-01-01T00:00;2020-01-01T00:15;1;kWh;-3009;12;0;0;3021;-2997
2020-01-01T00:15;2020-01-01T00:30;2;kWh;-102;0;0;0;102;-102
2020-01-01T00:30;2020-01-01T00:45;3;kWh;0;406;0;0;406;406
2020-01-01T00:45;2020-01-01T01:00;4;kWh;-38;0;0;0;38;-38
2020-01-01T01:00;2020-01-01T01:15;5;kWh;-473;6705;0;0;7178;6232
2020-01-01T01:15;2020-01-01T01:30;6;kWh;0;8107;0;0;8107;8107
2020-01-01T01:30;2020-01-01T01:45;7;kWh;0;2869;0;0;2869;2869
2020-01-01T01:45;2020-01-01T02:00;8;kWh;0;8780;0;0;8780;8780
2020-01-01T02:00;2020-01-01T02:15;9;kWh;0;950;0;0;950;950
2020-01-01T02:15;2020-01-01T02:30;10;kWh;0;6429;0;0;6429;6429
2020-01-01T02:30;2020-01-01T02:45;11;kWh;0;576;0;0;576;576
2020-01-01T02:45;2020-01-01T03:00;12;kWh;0;0;0;0;0;0
2020-01-01T03:00;2020-01-01T03:15;13;kWh;0;10310;0;0;10310;10310
2020-01-01T03:15;2020-01-01T03:30;14;kWh;0;19971;0;0;19971;19971
2020-01-01T03:30;2020-01-01T03:45;15;kWh;0;580;0;0;580;580
2020-01-01T03:45;2020-01-01T04:00;16;kWh;0;1216;0;0;1216;1216
2020-01-01T04:00;2020-01-01T04:15;17;kWh;0;5401;0;0;5401;5401
2020-01-01T04:15;2020-01-01T04:30;18;kWh;0;3256;0;0;3256;3256
2020-01-01T04:30;2020-01-01T04:45;19;kWh;0;0;0;0;0;0
2020-01-01T04:45;2020-01-01T05:00;20;kWh;0;0;0;0;0;0
2020-01-01T05:00;2020-01-01T05:15;21;kWh;0;0;0;0;0;0
2020-01-01T05:15;2020-01-01T05:30;22;kWh;0;0;0;0;0;0
2020-01-01T05:30;2020-01-01T05:45;23;kWh;0;6708;0;0;6708;6708
2020-01-01T05:45;2020-01-01T06:00;24;kWh;0;18531;0;0;18531;18531
2020-01-01T06:00;2020-01-01T06:15;25;kWh;0;1779;0;0;1779;1779
2020-01-01T06:15;2020-01-01T06:30;26;kWh;0;0;0;0;0;0
2020-01-01T06:30;2020-01-01T06:45;27;kWh;0;5639;0;0;5639;5639
2020-01-01T06:45;2020-01-01T07:00;28;kWh;0;8344;0;0;8344;8344
2020-01-01T07:00;2020-01-01T07:15;29;kWh;0;1981;0;0;1981;1981
2020-01-01T07:15;2020-01-01T07:30;30;kWh;0;5941;0;0;5941;5941
2020-01-01T07:30;2020-01-01T07:45;31;kWh;0;7643;0;0;7643;7643
2020-01-01T07:45;2020-01-01T08:00;32;kWh;0;4795;0;0;4795;4795
2020-01-01T08:00;2020-01-01T08:15;33;kWh;0;108;0;0;108;108
2020-01-01T08:15;2020-01-01T08:30;34;kWh;0;0;0;0;0;0
2020-01-01T08:30;2020-01-01T08:45;35;kWh;0;0;0;0;0;0
2020-01-01T08:45;2020-01-01T09:00;36;kWh;0;0;0;0;0;0
2020-01-01T09:00;2020-01-01T09:15;37;kWh;-3628;0;0;0;3628;-3628
2020-01-01T09:15;2020-01-01T09:30;38;kWh;-1111;0;0;0;1111;-1111
2020-01-01T09:30;2020-01-01T09:45;39;kWh;-79;0;0;0;79;-79
2020-01-01T09:45;2020-01-01T10:00;40;kWh;0;0;0;0;0;0
2020-01-01T10:00;2020-01-01T10:15;41;kWh;0;0;0;0;0;0
2020-01-01T10:15;2020-01-01T10:30;42;kWh;0;0;0;0;0;0
2020-01-01T10:30;2020-01-01T10:45;43;kWh;0;8606;0;0;8606;8606
2020-01-01T10:45;2020-01-01T11:00;44;kWh;0;29074;0;0;29074;29074
2020-01-01T11:00;2020-01-01T11:15;45;kWh;0;35163;0;0;35163;35163
2020-01-01T11:15;2020-01-01T11:30;46;kWh;0;28047;0;0;28047;28047
2020-01-01T11:30;2020-01-01T11:45;47;kWh;0;36300;0;0;36300;36300
2020-01-01T11:45;2020-01-01T12:00;48;kWh;0;42169;0;0;42169;42169
2020-01-01T12:00;2020-01-01T12:15;49;kWh;0;37081;0;0;37081;37081
2020-01-01T12:15;2020-01-01T12:30;50;kWh;0;33760;0;0;33760;33760
2020-01-01T12:30;2020-01-01T12:45;51;kWh;0;37170;0;0;37170;37170
2020-01-01T12:45;2020-01-01T13:00;52;kWh;0;47560;0;0;47560;47560
2020-01-01T13:00;2020-01-01T13:15;53;kWh;0;25700;0;0;25700;25700
2020-01-01T13:15;2020-01-01T13:30;54;kWh;0;25342;0;0;25342;25342
2020-01-01T13:30;2020-01-01T13:45;55;kWh;0;35214;0;0;35214;35214
2020-01-01T13:45;2020-01-01T14:00;56;kWh;0;33422;0;0;33422;33422
2020-01-01T14:00;2020-01-01T14:15;57;kWh;0;33176;0;0;33176;33176
2020-01-01T14:15;2020-01-01T14:30;58;kWh;0;39277;0;0;39277;39277
2020-01-01T14:30;2020-01-01T14:45;59;kWh;0;14006;0;0;14006;14006
2020-01-01T14:45;2020-01-01T15:00;60;kWh;0;37148;0;0;37148;37148
2020-01-01T15:00;2020-01-01T15:15;61;kWh;0;30720;0;0;30720;30720
2020-01-01T15:15;2020-01-01T15:30;62;kWh;0;27719;0;0;27719;27719
2020-01-01T15:30;2020-01-01T15:45;63;kWh;0;42817;0;0;42817;42817
2020-01-01T15:45;2020-01-01T16:00;64;kWh;0;37307;0;0;37307;37307
2020-01-01T16:00;2020-01-01T16:15;65;kWh;0;18996;0;0;18996;18996
2020-01-01T16:15;2020-01-01T16:30;66;kWh;0;21433;0;0;21433;21433
2020-01-01T16:30;2020-01-01T16:45;67;kWh;0;25627;0;0;25627;25627
2020-01-01T16:45;2020-01-01T17:00;68;kWh;0;70004;0;0;70004;70004
2020-01-01T17:00;2020-01-01T17:15;69;kWh;-8888;18040;0;0;26928;9152
2020-01-01T17:15;2020-01-01T17:30;70;kWh;-1083;0;0;0;1083;-1083
2020-01-01T17:30;2020-01-01T17:45;71;kWh;0;0;0;0;0;0
2020-01-01T17:45;2020-01-01T18:00;72;kWh;0;22130;0;13375;35505;35505
2020-01-01T18:00;2020-01-01T18:15;73;kWh;0;69286;0;124174;194710;194710
2020-01-01T18:15;2020-01-01T18:30;74;kWh;0;26068;0;124624;151942;151942
2020-01-01T18:30;2020-01-01T18:45;75;kWh;0;28074;0;70383;99707;99707
2020-01-01T18:45;2020-01-01T19:00;76;kWh;0;35977;0;26666;63893;63893
2020-01-01T19:00;2020-01-01T19:15;77;kWh;0;33209;0;0;33209;33209
2020-01-01T19:15;2020-01-01T19:30;78;kWh;0;38803;0;0;38803;38803
2020-01-01T19:30;2020-01-01T19:45;79;kWh;0;25603;0;0;25603;25603
2020-01-01T19:45;2020-01-01T20:00;80;kWh;0;25015;0;0;25015;25015
2020-01-01T20:00;2020-01-01T20:15;81;kWh;-11914;6537;0;0;18451;-5377
2020-01-01T20:15;2020-01-01T20:30;82;kWh;-10716;2493;0;0;13209;-8223
2020-01-01T20:30;2020-01-01T20:45;83;kWh;-16652;439;0;0;17091;-16213
2020-01-01T20:45;2020-01-01T21:00;84;kWh;-18241;17;0;0;18258;-18224
2020-01-01T21:00;2020-01-01T21:15;85;kWh;-4778;20425;0;0;25203;15647
2020-01-01T21:15;2020-01-01T21:30;86;kWh;0;11655;0;0;11655;11655
2020-01-01T21:30;2020-01-01T21:45;87;kWh;0;0;0;0;0;0
2020-01-01T21:45;2020-01-01T22:00;88;kWh;0;0;0;0;0;0
2020-01-01T22:00;2020-01-01T22:15;89;kWh;0;15708;0;0;15708;15708
2020-01-01T22:15;2020-01-01T22:30;90;kWh;0;9769;0;0;9769;9769
2020-01-01T22:30;2020-01-01T22:45;91;kWh;0;11469;0;0;11469;11469
2020-01-01T22:45;2020-01-01T23:00;92;kWh;0;4396;0;0;4396;4396
2020-01-01T23:00;2020-01-01T23:15;93;kWh;0;0;0;0;0;0
2020-01-01T23:15;2020-01-01T23:30;94;kWh;0;2006;0;0;2006;2006
2020-01-01T23:30;2020-01-01T23:45;95;kWh;0;1019;0;0;1019;1019
2020-01-01T23:45;2020-01-02T00:00;96;kWh;-71;0;0;0;71;-71
2020-01-02T00:00;2020-01-02T00:15;1;kWh;-3391;0;0;0;3391;-3391
2020-01-02T00:15;2020-01-02T00:30;2;kWh;-16693;0;0;0;16693;-16693
2020-01-02T00:30;2020-01-02T00:45;3;kWh;-1666;0;0;0;1666;-1666
2020-01-02T00:45;2020-01-02T01:00;4;kWh;-1098;0;0;0;1098;-1098
2020-01-02T01:00;2020-01-02T01:15;5;kWh;-1170;0;0;0;1170;-1170
2020-01-02T01:15;2020-01-02T01:30;6;kWh;0;0;0;0;0;0
2020-01-02T01:30;2020-01-02T01:45;7;kWh;0;0;0;0;0;0
2020-01-02T01:45;2020-01-02T02:00;8;kWh;-140;0;0;0;140;-140
2020-01-02T02:00;2020-01-02T02:15;9;kWh;-2075;1665;0;0;3740;-410
2020-01-02T02:15;2020-01-02T02:30;10;kWh;0;5261;0;0;5261;5261
2020-01-02T02:30;2020-01-02T02:45;11;kWh;-629;1173;0;0;1802;544
2020-01-02T02:45;2020-01-02T03:00;12;kWh;-10017;0;0;0;10017;-10017
2020-01-02T03:00;2020-01-02T03:15;13;kWh;-165;0;0;0;165;-165
2020-01-02T03:15;2020-01-02T03:30;14;kWh;-4244;0;0;0;4244;-4244
2020-01-02T03:30;2020-01-02T03:45;15;kWh;-9362;0;0;0;9362;-9362
2020-01-02T03:45;2020-01-02T04:00;16;kWh;-2897;0;0;0;2897;-2897
2020-01-02T04:00;2020-01-02T04:15;17;kWh;-302;599;0;0;901;297
2020-01-02T04:15;2020-01-02T04:30;18;kWh;0;1111;0;0;1111;1111
2020-01-02T04:30;2020-01-02T04:45;19;kWh;0;4746;0;0;4746;4746
2020-01-02T04:45;2020-01-02T05:00;20;kWh;0;8031;0;0;8031;8031
2020-01-02T05:00;2020-01-02T05:15;21;kWh;0;7327;0;0;7327;7327
2020-01-02T05:15;2020-01-02T05:30;22;kWh;0;0;0;0;0;0
2020-01-02T05:30;2020-01-02T05:45;23;kWh;0;149;0;0;149;149
2020-01-02T05:45;2020-01-02T06:00;24;kWh;0;25151;0;0;25151;25151
2020-01-02T06:00;2020-01-02T06:15;25;kWh;0;25434;0;0;25434;25434
2020-01-02T06:15;2020-01-02T06:30;26;kWh;0;7070;0;0;7070;7070
2020-01-02T06:30;2020-01-02T06:45;27;kWh;0;32815;0;0;32815;32815
2020-01-02T06:45;2020-01-02T07:00;28;kWh;0;54022;0;0;54022;54022
2020-01-02T07:00;2020-01-02T07:15;29;kWh;-20732;7653;0;0;28385;-13079
2020-01-02T07:15;2020-01-02T07:30;30;kWh;-47959;0;0;0;47959;-47959
2020-01-02T07:30;2020-01-02T07:45;31;kWh;-235;1461;0;0;1696;1226
2020-01-02T07:45;2020-01-02T08:00;32;kWh;0;3861;0;0;3861;3861
2020-01-02T08:00;2020-01-02T08:15;33;kWh;-1466;369;0;0;1835;-1097
2020-01-02T08:15;2020-01-02T08:30;34;kWh;-70;0;0;0;70;-70
2020-01-02T08:30;2020-01-02T08:45;35;kWh;0;906;0;0;906;906
2020-01-02T08:45;2020-01-02T09:00;36;kWh;0;5578;0;0;5578;5578
2020-01-02T09:00;2020-01-02T09:15;37;kWh;0;5491;0;0;5491;5491
2020-01-02T09:15;2020-01-02T09:30;38;kWh;0;27732;0;0;27732;27732
2020-01-02T09:30;2020-01-02T09:45;39;kWh;0;6588;0;0;6588;6588
2020-01-02T09:45;2020-01-02T10:00;40;kWh;0;25907;0;0;25907;25907
2020-01-02T10:00;2020-01-02T10:15;41;kWh;0;56558;0;0;56558;56558
2020-01-02T10:15;2020-01-02T10:30;42;kWh;0;27833;0;0;27833;27833
2020-01-02T10:30;2020-01-02T10:45;43;kWh;0;4391;0;0;4391;4391
2020-01-02T10:45;2020-01-02T11:00;44;kWh;0;19248;0;0;19248;19248
2020-01-02T11:00;2020-01-02T11:15;45;kWh;0;35046;0;0;35046;35046
2020-01-02T11:15;2020-01-02T11:30;46;kWh;0;5228;0;0;5228;5228
2020-01-02T11:30;2020-01-02T11:45;47;kWh;0;12065;0;0;12065;12065
2020-01-02T11:45;2020-01-02T12:00;48;kWh;0;30475;0;0;30475;30475
2020-01-02T12:00;2020-01-02T12:15;49;kWh;0;48823;0;0;48823;48823
2020-01-02T12:15;2020-01-02T12:30;50;kWh;0;18606;0;0;18606;18606
2020-01-02T12:30;2020-01-02T12:45;51;kWh;0;3764;0;0;3764;3764
2020-01-02T12:45;2020-01-02T13:00;52;kWh;0;7620;0;0;7620;7620
2020-01-02T13:00;2020-01-02T13:15;53;kWh;0;15051;0;0;15051;15051
2020-01-02T13:15;2020-01-02T13:30;54;kWh;0;29018;0;0;29018;29018
2020-01-02T13:30;2020-01-02T13:45;55;kWh;0;13843;0;0;13843;13843
2020-01-02T13:45;2020-01-02T14:00;56;kWh;0;8043;0;0;8043;8043
2020-01-02T14:00;2020-01-02T14:15;57;kWh;0;14205;0;0;14205;14205
2020-01-02T14:15;2020-01-02T14:30;58;kWh;0;12453;0;0;12453;12453
2020-01-02T14:30;2020-01-02T14:45;59;kWh;0;9104;0;0;9104;9104
2020-01-02T14:45;2020-01-02T15:00;60;kWh;0;7715;0;0;7715;7715
2020-01-02T15:00;2020-01-02T15:15;61;kWh;0;150;0;0;150;150
2020-01-02T15:15;2020-01-02T15:30;62;kWh;0;0;0;0;0;0
2020-01-02T15:30;2020-01-02T15:45;63;kWh;-1890;0;0;0;1890;-1890
2020-01-02T15:45;2020-01-02T16:00;64;kWh;-90;0;0;0;90;-90
2020-01-02T16:00;2020-01-02T16:15;65;kWh;-556;0;0;0;556;-556
2020-01-02T16:15;2020-01-02T16:30;66;kWh;0;0;0;0;0;0
2020-01-02T16:30;2020-01-02T16:45;67;kWh;0;4121;0;0;4121;4121
