Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026,107.9095675889355,108.72405138062935,106.8431502581224,100.55168074396477,100.72138825370726,100.56876619268766,107.9095675889355,108.72405138062935,106.8431502581224,100.55168074396477,100.72138825370726,100.56876619268766,108.0950275081805,108.90681365278938,107.03213151885296,100.76133089276156,100.93055337578178,100.77836749255347,107.9095675889355,108.72405138062935,106.8431502581224,100.55168074396477,100.72138825370726,100.56876619268766,107.9095675889355,108.72405138062935,106.8431502581224,100.55168074396477,100.72138825370726,100.56876619268766,108.0950275081805,108.90681365278938,107.03213151885296,100.76133089276156,100.93055337578178,100.77836749255347,108.0287515482779,108.83989548301905,106.96672633653537,100.70164190012161,100.87067813861464,100.71865973866367,108.0287515482779,108.83989548301905,106.96672633653537,100.70164190012161,100.87067813861464,100.71865973866367,108.2133485018079,109.02181527036173,107.1548177325836,100.91024065392055,101.07879557836044,100.92721001759138,108.0287515482779,108.83989548301905,106.96672633653537,100.70164190012161,100.87067813861464,100.71865973866367,108.0287515482779,108.83989548301905,106.96672633653537,100.70164190012161,100.87067813861464,100.71865973866367,108.2133485018079,109.02181527036173,107.1548177325836,100.91024065392055,101.07879557836044,100.92721001759138,108.15520130973934,108.96287547090633,107.09773815916368,100.86004196215725,101.02838231571185,100.87698971173378,108.15520130973934,108.96287547090633,107.09773815916368,100.86004196215725,101.02838231571185,100.87698971173378,108.33890025225305,109.14391841994518,107.28490374091946,101.06754803035271,101.2354109024185,101.08444769119546,108.15520130973934,108.96287547090633,107.09773815916368,100.86004196215725,101.02838231571185,100.87698971173378,108.15520130973934,108.96287547090633,107.09773815916368,100.86004196215725,101.02838231571185,100.87698971173378,108.33890025225305,109.14391841994518,107.28490374091946,101.06754803035271,101.2354109024185,101.08444769119546
2027,114.23501655352584,115.61230806709844,112.4160931850615,101.71286867558358,102.15843981714825,101.75772693143306,114.23501655352584,115.61230806709844,112.4160931850615,101.71286867558358,102.15843981714825,101.75772693143306,114.61481465282608,115.98718466124744,112.8023360997206,102.13666165707971,102.58102923888197,102.18139869506986,114.23501655352584,115.61230806709844,112.4160931850615,101.71286867558358,102.15843981714825,101.75772693143306,114.23501655352584,115.61230806709844,112.4160931850615,101.71286867558358,102.15843981714825,101.75772693143306,114.61481465282608,115.98718466124744,112.8023360997206,102.13666165707971,102.58102923888197,102.18139869506986,114.41092623837137,115.78270921112197,112.5993052734514,101.9399726856632,102.38387321816059,101.98466267437882,114.41092623837137,115.78270921112197,112.5993052734514,101.9399726856632,102.38387321816059,101.98466267437882,114.78909878794012,116.15599668895149,112.98387463038671,102.361805332263,102.80451117164606,102.4063749964995,114.41092623837137,115.78270921112197,112.5993052734514,101.9399726856632,102.38387321816059,101.98466267437882,114.41092623837137,115.78270921112197,112.5993052734514,101.9399726856632,102.38387321816059,101.98466267437882,114.78909878794012,116.15599668895149,112.98387463038671,102.361805332263,102.80451117164606,102.4063749964995,114.60178449431027,115.96782387780307,112.79777468738294,102.18414348697031,102.62631091997578,102.22865891519197,114.60178449431027,115.96782387780307,112.79777468738294,102.18414348697031,102.62631091997578,102.22865891519197,114.97825860617934,116.339450664139,113.18059587976074,102.60393112832735,103.04491302817249,102.64832715499755,114.60178449431027,115.96782387780307,112.79777468738294,102.18414348697031,102.62631091997578,102.22865891519197,114.60178449431027,115.96782387780307,112.79777468738294,102.18414348697031,102.62631091997578,102.22865891519197,114.97825860617934,116.339450664139,113.18059587976074,102.60393112832735,103.04491302817249,102.64832715499755
2028,118.62298568427593,120.43307821694033,116.22161616395385,102.89199026406735,103.76692809811294,102.98007537899241,118.62298568427593,120.43307821694033,116.22161616395385,102.89199026406735,103.76692809811294,102.98007537899241,119.19277452820319,120.99601500318458,116.80038611519552,103.52112925598891,104.39381578365152,103.60898762356643,118.62298568427593,120.43307821694033,116.22161616395385,102.89199026406735,103.76692809811294,102.98007537899241,118.62298568427593,120.43307821694033,116.22161616395385,102.89199026406735,103.76692809811294,102.98007537899241,119.19277452820319,120.99601500318458,116.80038611519552,103.52112925598891,104.39381578365152,103.60898762356643,118.85777079735091,120.66060424991592,116.46605959665577,103.19169537283466,104.06343334352354,103.27945818729644,118.85777079735091,120.66060424991592,116.46605959665577,103.19169537283466,104.06343334352354,103.27945818729644,119.42518146040983,121.22121335510279,117.04238477210957,103.81800540739769,104.68750835881085,103.90554311562204,118.85777079735091,120.66060424991592,116.46605959665577,103.19169537283466,104.06343334352354,103.27945818729644,118.85777079735091,120.66060424991592,116.46605959665577,103.19169537283466,104.06343334352354,103.27945818729644,119.42518146040983,121.22121335510279,117.04238477210957,103.81800540739769,104.68750835881085,103.90554311562204,119.11519606267107,120.91044545882114,116.73357066353971,103.51686650145106,104.38528573876631,103.60429504398812,119.11519606267107,120.91044545882114,116.73357066353971,103.51686650145106,104.38528573876631,103.60429504398812,119.68011833547088,121.46861854531687,117.30733840289125,104.14022101721405,105.00642205998784,104.22742614878575,119.11519606267107,120.91044545882114,116.73357066353971,103.51686650145106,104.38528573876631,103.60429504398812,119.11519606267107,120.91044545882114,116.73357066353971,103.51686650145106,104.38528573876631,103.60429504398812,119.68011833547088,121.46861854531687,117.30733840289125,104.14022101721405,105.00642205998784,104.22742614878575
2029,117.50419726555079,119.58678120510922,114.73370347074876,101.12883078587878,102.58286986694416,101.27521741425095,117.50419726555079,119.58678120510922,114.73370347074876,101.12883078587878,102.58286986694416,101.27521741425095,118.22349770313734,120.29785160809665,115.46379354816614,101.91546962135133,103.3659101861515,102.06149380787437,117.50419726555079,119.58678120510922,114.73370347074876,101.12883078587878,102.58286986694416,101.27521741425095,117.50419726555079,119.58678120510922,114.73370347074876,101.12883078587878,102.58286986694416,101.27521741425095,118.22349770313734,120.29785160809665,115.46379354816614,101.91546962135133,103.3659101861515,102.06149380787437,117.78658923637695,119.86075473777957,115.02731788187594,101.48047305539234,102.92927505858232,101.62633218471002,117.78658923637695,119.86075473777957,115.02731788187594,101.48047305539234,102.92927505858232,101.62633218471002,118.50291656537344,120.56891269859848,115.75435484322925,102.26362483471172,103.70885405149967,102.40912411483592,117.78658923637695,119.86075473777957,115.02731788187594,101.48047305539234,102.92927505858232,101.62633218471002,117.78658923637695,119.86075473777957,115.02731788187594,101.48047305539234,102.92927505858232,101.62633218471002,118.50291656537344,120.56891269859848,115.75435484322925,102.26362483471172,103.70885405149967,102.40912411483592,118.0976838627259,120.16304312369081,115.3501453516522,101.86397262092433,103.30734516372534,102.0092848760342,118.0976838627259,120.16304312369081,115.3501453516522,101.86397262092433,103.30734516372534,102.0092848760342,118.81089850218545,120.86815134320557,116.07398662885807,102.64347870387147,104.08330503288572,102.78843378734727,118.0976838627259,120.16304312369081,115.3501453516522,101.86397262092433,103.30734516372534,102.0092848760342,118.0976838627259,120.16304312369081,115.3501453516522,101.86397262092433,103.30734516372534,102.0092848760342,118.81089850218545,120.86815134320557,116.07398662885807,102.64347870387147,104.08330503288572,102.78843378734727
2030,110.49652936047443,112.67756953389971,107.58967211251907,96.04894715096101,98.1728031286724,96.26276816841083,110.49652936047443,112.67756953389971,107.58967211251907,96.04894715096101,98.1728031286724,96.26276816841083,111.31875368473385,113.4908000994197,108.4236838074893,96.93884533933769,99.05758809884667,97.15215134815818,110.49652936047443,112.67756953389971,107.58967211251907,96.04894715096101,98.1728031286724,96.26276816841083,110.49652936047443,112.67756953389971,107.58967211251907,96.04894715096101,98.1728031286724,96.26276816841083,111.31875368473385,113.4908000994197,108.4236838074893,96.93884533933769,99.05758809884667,97.15215134815818,110.8054393002208,112.97759155438744,107.91044396521545,96.42158370780926,98.53786780269759,96.6346420517304,110.8054393002208,112.97759155438744,107.91044396521545,96.42158370780926,98.53786780269759,96.6346420517304,111.62429396882949,113.78751876956889,108.74099859451603,97.30759171229693,99.41879884646927,97.52013870113915,110.8054393002208,112.97759155438744,107.91044396521545,96.42158370780926,98.53786780269759,96.6346420517304,110.8054393002208,112.97759155438744,107.91044396521545,96.42158370780926,98.53786780269759,96.6346420517304,111.62429396882949,113.78751876956889,108.74099859451603,97.30759171229693,99.41879884646927,97.52013870113915,111.14732884689502,113.31017173763279,108.26475004687065,96.83029973474989,98.93873612190951,97.04256762615603,111.14732884689502,113.31017173763279,108.26475004687065,96.83029973474989,98.93873612190951,97.04256762615603,111.96265375546004,114.11663802762307,109.09168419670799,97.71223761090789,99.8156344749091,97.92399791967564,111.14732884689502,113.31017173763279,108.26475004687065,96.83029973474989,98.93873612190951,97.04256762615603,111.14732884689502,113.31017173763279,108.26475004687065,96.83029973474989,98.93873612190951,97.04256762615603,111.96265375546004,114.11663802762307,109.09168419670799,97.71223761090789,99.8156344749091,97.92399791967564
2031,108.77036400687763,111.08761562514098,105.67767658737073,97.02576503102061,100.03393937344529,97.32861555634523,108.72808015583443,111.04556210780454,105.63509987558261,96.98161475312374,99.9898135125151,97.28446773664736,109.379510110783,111.68864372483355,106.29752762034312,97.68731437952029,100.68857697744996,97.98946873181877,108.77036400687763,111.08761562514098,105.67767658737073,97.02576503102061,100.03393937344529,97.32861555634523,108.72808015583443,111.04556210780454,105.63509987558261,96.98161475312374,99.9898135125151,97.28446773664736,109.379510110783,111.68864372483355,106.29752762034312,97.68731437952029,100.68857697744996,97.98946873181877,109.1201782642258,111.427869551413,106.04025710769211,97.43172480872843,100.42924167840779,97.73350186298696,109.07803497122835,111.38595506748115,105.99782290444,97.38772774883745,100.38526886635204,97.68950724426332,109.72657651645532,112.02621123658383,106.65727888484622,98.09010239982602,101.08075630391909,98.39118819652282,109.1201782642258,111.427869551413,106.04025710769211,97.43172480872843,100.42924167840779,97.73350186298696,109.07803497122835,111.38595506748115,105.99782290444,97.38772774883745,100.38526886635204,97.68950724426332,109.72657651645532,112.02621123658383,106.65727888484622,98.09010239982602,101.08075630391909,98.39118819652282,109.51319310810581,111.81083294753778,106.44668308313685,97.88409219181285,100.87056301167507,98.18475664037709,109.47119532914576,111.769062404549,106.40439640627257,97.84025370494682,100.82674859822029,98.14092057711383,110.11668774971639,112.40633502040616,107.06071648849493,98.53912391925004,101.51878214536936,98.83910218620683,109.51319310810581,111.81083294753778,106.44668308313685,97.88409219181285,100.87056301167507,98.18475664037709,109.47119532914576,111.769062404549,106.40439640627257,97.84025370494682,100.82674859822029,98.14092057711383,110.11668774971639,112.40633502040616,107.06071648849493,98.53912391925004,101.51878214536936,98.83910218620683
2032,111.13560409839276,113.6530908505087,107.7722276946498,102.50489356762877,106.60987360335731,102.91816594441043,111.05186415255868,113.56980706303416,107.68790776042034,102.41745730559421,106.5224856972652,102.83073455065175,111.5671151386797,114.07703416706727,108.21378439636136,102.97420355721307,107.0699909603498,103.38655001126907,111.13560409839276,113.6530908505087,107.7722276946498,102.50489356762877,106.60987360335731,102.91816594441043,111.05186415255868,113.56980706303416,107.68790776042034,102.41745730559421,106.5224856972652,102.83073455065175,111.5671151386797,114.07703416706727,108.21378439636136,102.97420355721307,107.0699909603498,103.38655001126907,111.54438012476898,114.05132442533173,108.19508301349117,102.96160231992937,107.0520926850023,103.37341522591534,111.46091854343689,113.9683159829235,108.11104530656101,102.87446949448342,106.9650078805468,103.28628723501534,111.97361000739372,114.47304570775935,108.63427982198681,103.42829612396417,107.5096585349759,103.8391896250296,111.54438012476898,114.05132442533173,108.19508301349117,102.96160231992937,107.0520926850023,103.37341522591534,111.46091854343689,113.9683159829235,108.11104530656101,102.87446949448342,106.9650078805468,103.28628723501534,111.97361000739372,114.47304570775935,108.63427982198681,103.42829612396417,107.5096585349759,103.8391896250296,112.01240190617713,114.50820465522035,108.67796840072263,103.48107070383416,107.55654106873416,103.8913707281147,111.92922850431091,114.42548127688457,108.59422285856517,103.39425192018412,107.46976996064117,103.80455674422528,112.43918326390133,114.92753932191,109.11463429552346,103.94496292942085,108.01137214273705,104.35435028057903,112.01240190617713,114.50820465522035,108.67796840072263,103.48107070383416,107.55654106873416,103.8913707281147,111.92922850431091,114.42548127688457,108.59422285856517,103.39425192018412,107.46976996064117,103.80455674422528,112.43918326390133,114.92753932191,109.11463429552346,103.94496292942085,108.01137214273705,104.35435028057903
2033,114.27978807454369,117.00134610715436,110.64089741121836,108.86223682502707,114.09105992107418,109.38865306331962,114.15435583951239,116.87659714176218,110.51459642424322,108.73126795872874,113.96016348608538,109.25769148910534,114.53951675702996,117.2540175736464,110.91006307191272,109.14520177790592,114.36248925925202,109.67045608946422,114.27978807454369,117.00134610715436,110.64089741121836,108.86223682502707,114.09105992107418,109.38865306331962,114.15435583951239,116.87659714176218,110.51459642424322,108.73126795872874,113.96016348608538,109.25769148910534,114.53951675702996,117.2540175736464,110.91006307191272,109.14520177790592,114.36248925925202,109.67045608946422,114.75102782791728,117.46102959256797,111.12756981083984,109.37300604433993,114.5834116686965,109.89756718249915,114.62601254899091,117.33669306053393,111.00169156596927,109.24249168907716,114.45296924302606,109.76706006879708,115.0089153523166,117.71191705226511,111.39481780924226,109.65388278660775,114.85283381183639,110.17729016225768,114.75102782791728,117.46102959256797,111.12756981083984,109.37300604433993,114.5834116686965,109.89756718249915,114.62601254899091,117.33669306053393,111.00169156596927,109.24249168907716,114.45296924302606,109.76706006879708,115.0089153523166,117.71191705226511,111.39481780924226,109.65388278660775,114.85283381183639,110.17729016225768,115.29792354703392,117.9956596682696,111.69082484600894,109.96325481200431,115.15456741587953,110.48589281368439,115.17333992583232,117.87175012748061,111.56538422836715,109.83321085308538,115.02459486913574,110.35585604422202,115.553789546934,118.24458578028603,111.95597084654985,110.24184520667237,115.4217868961575,110.76333787899564,115.29792354703392,117.9956596682696,111.69082484600894,109.96325481200431,115.15456741587953,110.48589281368439,115.17333992583232,117.87175012748061,111.56538422836715,109.83321085308538,115.02459486913574,110.35585604422202,115.553789546934,118.24458578028603,111.95597084654985,110.24184520667237,115.4217868961575,110.76333787899564
2034,117.42929093481816,120.34502823312039,113.52831648676126,114.61612598165682,120.83757453668989,115.24247563719344,117.26208046897663,120.17872861634903,113.35994791019006,114.44153477598292,120.6630798873199,115.06789415240803,117.51809955548187,120.42730597706142,113.62593115750363,114.7149717744049,120.92282607256683,115.33995213964133,117.42929093481816,120.34502823312039,113.52831648676126,114.61612598165682,120.83757453668989,115.24247563719344,117.26208046897663,120.17872861634903,113.35994791019006,114.44153477598292,120.6630798873199,115.06789415240803,117.51809955548187,120.42730597706142,113.62593115750363,114.7149717744049,120.92282607256683,115.33995213964133,117.96540000142272,120.86858685873496,114.0811832057287,115.18557973964391,121.38513559678634,115.80972425179135,117.79874536897216,120.70283704619793,113.91337817571487,115.01159443086699,121.21124617548715,115.6357485965516,118.05279960259263,120.9495107119823,114.17731466360411,115.28284755482056,121.46890455185306,115.90563239020864,117.96540000142272,120.86858685873496,114.0811832057287,115.18557973964391,121.38513559678634,115.80972425179135,117.79874536897216,120.70283704619793,113.91337817571487,115.01159443086699,121.21124617548715,115.6357485965516,118.05279960259263,120.9495107119823,114.17731466360411,115.28284755482056,121.46890455185306,115.90563239020864,118.59416773059068,121.48398253430241,114.72777999085342,115.85192449249587,122.0287824308433,116.47378276532459,118.42808852988007,121.318801932742,114.56055835037078,115.67856625690919,121.85551939297892,116.30043411381638,118.67996365287412,121.56336111205455,114.82222928013626,115.94740175648673,122.11085938577084,116.56791028390336,118.59416773059068,121.48398253430241,114.72777999085342,115.85192449249587,122.0287824308433,116.47378276532459,118.42808852988007,121.318801932742,114.56055835037078,115.67856625690919,121.85551939297892,116.30043411381638,118.67996365287412,121.56336111205455,114.82222928013626,115.94740175648673,122.11085938577084,116.56791028390336
