Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026,106.8020893932349,107.60744297717197,105.74766343359761,99.52750425755362,99.69513331671895,99.5443804510819,106.8020893932349,107.60744297717197,105.74766343359761,99.52750425755362,99.69513331671895,99.5443804510819,106.98528960753325,107.78797749120712,105.9343432261105,99.73460678740942,99.9017568810579,99.7514347424798,106.8020893932349,107.60744297717197,105.74766343359761,99.52750425755362,99.69513331671895,99.5443804510819,106.8020893932349,107.60744297717197,105.74766343359761,99.52750425755362,99.69513331671895,99.5443804510819,106.98528960753325,107.78797749120712,105.9343432261105,99.73460678740942,99.9017568810579,99.7514347424798,106.92054223511083,107.7225901691166,105.87046312738251,99.67641207982044,99.84337766593264,99.69322144865568,106.92054223511083,107.7225901691166,105.87046312738251,99.67641207982044,99.84337766593264,99.69322144865568,107.10288847311043,107.90229096057517,106.05626234398953,99.8824743198921,100.04896460868689,99.89923581984841,106.92054223511083,107.7225901691166,105.87046312738251,99.67641207982044,99.84337766593264,99.69322144865568,106.92054223511083,107.7225901691166,105.87046312738251,99.67641207982044,99.84337766593264,99.69322144865568,107.10288847311043,107.90229096057517,106.05626234398953,99.8824743198921,100.04896460868689,99.89923581984841,107.04615861551451,107.84477261149891,106.00059417092606,99.83364183187555,99.99991965056411,99.8503819293919,107.04615861551451,107.84477261149891,106.00059417092606,99.83364183187555,99.99991965056411,99.8503819293919,107.22761630412805,108.02360579012166,106.18547734598103,100.03862304495621,100.20442935282784,100.05531565508971,107.04615861551451,107.84477261149891,106.00059417092606,99.83364183187555,99.99991965056411,99.8503819293919,107.04615861551451,107.84477261149891,106.00059417092606,99.83364183187555,99.99991965056411,99.8503819293919,107.22761630412805,108.02360579012166,106.18547734598103,100.03862304495621,100.20442935282784,100.05531565508971
2027,107.40474133590487,108.69725725593231,105.69787458235493,95.65217031882632,96.06894535902981,95.6941294890994,107.40474133590487,108.69725725593231,105.69787458235493,95.65217031882632,96.06894535902981,95.6941294890994,107.75963267523514,109.04753966193567,106.05880150310618,96.04827105120334,96.46392076815845,96.09011688334895,107.40474133590487,108.69725725593231,105.69787458235493,95.65217031882632,96.06894535902981,95.6941294890994,107.40474133590487,108.69725725593231,105.69787458235493,95.65217031882632,96.06894535902981,95.6941294890994,107.75963267523514,109.04753966193567,106.05880150310618,96.04827105120334,96.46392076815845,96.09011688334895,107.57189124278761,108.85922647978359,105.87189131164199,95.86745753633312,96.28266832470638,95.909259152155,107.57189124278761,108.85922647978359,105.87189131164199,95.86745753633312,96.28266832470638,95.909259152155,107.92525779438577,109.2080182723986,106.23124841483134,96.2617194406551,96.67581320327422,96.30340855438236,107.57189124278761,108.85922647978359,105.87189131164199,95.86745753633312,96.28266832470638,95.909259152155,107.57189124278761,108.85922647978359,105.87189131164199,95.86745753633312,96.28266832470638,95.909259152155,107.92525779438577,109.2080182723986,106.23124841483134,96.2617194406551,96.67581320327422,96.30340855438236,107.75298450730256,109.03491908454286,106.0601403637803,96.09867106904031,96.51225920246327,96.14030924868275,107.75298450730256,109.03491908454286,106.0601403637803,96.09867106904031,96.51225920246327,96.14030924868275,108.10475826698855,109.38215348660265,106.4178580386093,96.49101512571994,96.90349480485656,96.53254166690046,107.75298450730256,109.03491908454286,106.0601403637803,96.09867106904031,96.51225920246327,96.14030924868275,107.75298450730256,109.03491908454286,106.0601403637803,96.09867106904031,96.51225920246327,96.14030924868275,108.10475826698855,109.38215348660265,106.4178580386093,96.49101512571994,96.90349480485656,96.53254166690046
2028,100.32196137443347,101.85131655478308,98.29312924947558,87.02303415479862,87.75958060509423,87.09718657502728,100.32196137443347,101.85131655478308,98.29312924947558,87.02303415479862,87.75958060509423,87.09718657502728,100.8007879417014,102.32436960259312,98.77952358749964,87.55189238891313,88.28654449690634,87.62585401463421,100.32196137443347,101.85131655478308,98.29312924947558,87.02303415479862,87.75958060509423,87.09718657502728,100.32196137443347,101.85131655478308,98.29312924947558,87.02303415479862,87.75958060509423,87.09718657502728,100.8007879417014,102.32436960259312,98.77952358749964,87.55189238891313,88.28654449690634,87.62585401463421,100.52139966482552,102.04461585103543,98.50073488383477,87.27739608930281,88.01124756732938,87.35127706353035,100.52139966482552,102.04461585103543,98.50073488383477,87.27739608930281,88.01124756732938,87.35127706353035,100.99822317094569,102.51570842574347,98.98506999821652,87.80387096510152,88.5358418111831,87.87756252629367,100.52139966482552,102.04461585103543,98.50073488383477,87.27739608930281,88.01124756732938,87.35127706353035,100.52139966482552,102.04461585103543,98.50073488383477,87.27739608930281,88.01124756732938,87.35127706353035,100.99822317094569,102.51570842574347,98.98506999821652,87.80387096510152,88.5358418111831,87.87756252629367,100.73994551532172,102.25674837362374,98.72780893709329,87.55325203924976,88.28430848198091,87.62685149008334,100.73994551532172,102.25674837362374,98.72780893709329,87.55325203924976,88.28430848198091,87.62685149008334,101.2146732232251,102.7257893149505,99.20999002602164,88.07723703975537,88.80642701321563,88.15064850459338,100.73994551532172,102.25674837362374,98.72780893709329,87.55325203924976,88.28430848198091,87.62685149008334,100.73994551532172,102.25674837362374,98.72780893709329,87.55325203924976,88.28430848198091,87.62685149008334,101.2146732232251,102.7257893149505,99.20999002602164,88.07723703975537,88.80642701321563,88.15064850459338
2029,90.0498941506429,91.64469253082363,87.92837871295698,77.49539931611758,78.60517944131433,77.60712734382305,90.0498941506429,91.64469253082363,87.92837871295698,77.49539931611758,78.60517944131433,77.60712734382305,90.59766580574976,92.18618033688038,88.48438902167838,78.09461686211606,79.20165170651464,78.2060683858111,90.0498941506429,91.64469253082363,87.92837871295698,77.49539931611758,78.60517944131433,77.60712734382305,90.0498941506429,91.64469253082363,87.92837871295698,77.49539931611758,78.60517944131433,77.60712734382305,90.59766580574976,92.18618033688038,88.48438902167838,78.09461686211606,79.20165170651464,78.2060683858111,90.2678132967699,91.85615601066942,88.15490295857862,77.76647092436365,78.87225222890007,77.87779617546408,90.2678132967699,91.85615601066942,88.15490295857862,77.76647092436365,78.87225222890007,77.87779617546408,90.81331474914298,92.39541998721288,88.70858190569423,78.36302519677206,79.4660808572583,78.47407592254646,90.2678132967699,91.85615601066942,88.15490295857862,77.76647092436365,78.87225222890007,77.87779617546408,90.2678132967699,91.85615601066942,88.15490295857862,77.76647092436365,78.87225222890007,77.87779617546408,90.81331474914298,92.39541998721288,88.70858190569423,78.36302519677206,79.4660808572583,78.47407592254646,90.50763842812823,92.08922906162809,88.40372332253715,78.06186142782379,79.16349712507568,78.1727691192101,90.50763842812823,92.08922906162809,88.40372332253715,78.06186142782379,79.16349712507568,78.1727691192101,91.05076334337892,92.62616461496829,88.9549622947766,78.65563154627554,79.75456187889256,78.76626675576631,90.50763842812823,92.08922906162809,88.40372332253715,78.06186142782379,79.16349712507568,78.1727691192101,90.50763842812823,92.08922906162809,88.40372332253715,78.06186142782379,79.16349712507568,78.1727691192101,91.05076334337892,92.62616461496829,88.9549622947766,78.65563154627554,79.75456187889256,78.76626675576631
2030,75.36325345114709,76.85041907464112,73.3812397978165,65.49264837936703,66.9364224624173,65.63800152373234,75.36325345114709,76.85041907464112,73.3812397978165,65.49264837936703,66.9364224624173,65.63800152373234,75.92069730307361,77.4017497580574,73.94669619895588,66.09612066949836,67.53642037236672,66.24112387086495,75.36325345114709,76.85041907464112,73.3812397978165,65.49264837936703,66.9364224624173,65.63800152373234,75.36325345114709,76.85041907464112,73.3812397978165,65.49264837936703,66.9364224624173,65.63800152373234,75.92069730307361,77.4017497580574,73.94669619895588,66.09612066949836,67.53642037236672,66.24112387086495,75.5742592292627,77.05536258398872,73.60033600676275,65.74718788008943,67.18581371444898,65.89202247043077,75.5742592292627,77.05536258398872,73.60033600676275,65.74718788008943,67.18581371444898,65.89202247043077,76.12941515919562,77.60445043818744,74.16344503739214,66.34801803017832,67.78319412548824,66.49250516052676,75.5742592292627,77.05536258398872,73.60033600676275,65.74718788008943,67.18581371444898,65.89202247043077,75.5742592292627,77.05536258398872,73.60033600676275,65.74718788008943,67.18581371444898,65.89202247043077,76.12941515919562,77.60445043818744,74.16344503739214,66.34801803017832,67.78319412548824,66.49250516052676,75.8077762886868,77.28252998730277,73.84232168600876,66.0263548218523,67.45964490256108,66.1706519741095,75.8077762886868,77.28252998730277,73.84232168600876,66.0263548218523,67.45964490256108,66.1706519741095,76.36053547794333,77.82926791414694,74.40297227639783,66.62442051145109,68.0542862960625,66.76837276750307,75.8077762886868,77.28252998730277,73.84232168600876,66.0263548218523,67.45964490256108,66.1706519741095,75.8077762886868,77.28252998730277,73.84232168600876,66.0263548218523,67.45964490256108,66.1706519741095,76.36053547794333,77.82926791414694,74.40297227639783,66.62442051145109,68.0542862960625,66.76837276750307
2031,69.29298988165864,70.76935034061937,67.32261591786431,61.8035883247957,63.71856872674012,61.99638055322557,69.26608739062428,70.74259432258503,67.29552719420066,61.7754990021664,63.69049492869421,61.968292793546475,69.68038384650639,71.1515774785481,67.71682329199685,62.224340901295506,64.1349223702866,62.41669005538035,69.29298988165864,70.76935034061937,67.32261591786431,61.8035883247957,63.71856872674012,61.99638055322557,69.26608739062428,70.74259432258503,67.29552719420066,61.7754990021664,63.69049492869421,61.968292793546475,69.68038384650639,71.1515774785481,67.71682329199685,62.224340901295506,64.1349223702866,62.41669005538035,69.51564957948835,70.98592025533279,67.553407487864,62.062029792370325,63.97022531110047,62.25413861569723,69.48883652533124,70.95925270453421,67.52640944153114,62.03403795758796,63.942248893357664,62.226148333035326,69.90129555344961,71.36643850554616,67.94581505886057,62.480764541054846,64.3845921738263,62.67243341864843,69.51564957948835,70.98592025533279,67.553407487864,62.062029792370325,63.97022531110047,62.25413861569723,69.48883652533124,70.95925270453421,67.52640944153114,62.03403795758796,63.942248893357664,62.226148333035326,69.90129555344961,71.36643850554616,67.94581505886057,62.480764541054846,64.3845921738263,62.67243341864843,69.765841103516,71.22970915312543,67.81214166041669,62.350046723503084,64.25121003922418,62.54144723350924,69.73912063875673,71.20313319127878,67.78523748326269,62.32215578275686,64.22333440460956,62.513557833715005,70.14963992976143,71.60842098906119,68.2026481345936,62.76665280726211,64.6634802976135,62.95761660226729,69.765841103516,71.22970915312543,67.81214166041669,62.350046723503084,64.25121003922418,62.54144723350924,69.73912063875673,71.20313319127878,67.78523748326269,62.32215578275686,64.22333440460956,62.513557833715005,70.14963992976143,71.60842098906119,68.2026481345936,62.76665280726211,64.6634802976135,62.95761660226729
2032,69.75646197583603,71.33680699659605,67.64513592019814,64.33671166513953,66.91303640605332,64.59608527933185,69.70391140133441,71.28454253836117,67.59222156408057,64.28184276695288,66.8581978331542,64.54121943416847,70.02724568230273,71.60284178823446,67.92222346077965,64.63121486434277,67.2017712469166,64.89000746426082,69.75646197583603,71.33680699659605,67.64513592019814,64.33671166513953,66.91303640605332,64.59608527933185,69.70391140133441,71.28454253836117,67.59222156408057,64.28184276695288,66.8581978331542,64.54121943416847,70.02724568230273,71.60284178823446,67.92222346077965,64.63121486434277,67.2017712469166,64.89000746426082,70.01298312683913,71.58671079340041,67.91049439062287,64.6233202263136,67.19055054838036,64.88177780654603,69.96060725583523,71.5346191445926,67.85775716107032,64.56864175816396,67.13590219544514,64.82710237026517,70.28233532679423,71.85135117945522,68.18610101727826,64.91618170129942,67.47768425321621,65.1740623574197,70.01298312683913,71.58671079340041,67.91049439062287,64.6233202263136,67.19055054838036,64.88177780654603,69.96060725583523,71.5346191445926,67.85775716107032,64.56864175816396,67.13590219544514,64.82710237026517,70.28233532679423,71.85135117945522,68.18610101727826,64.91618170129942,67.47768425321621,65.1740623574197,70.30669663369066,71.87343098923034,68.213537396468,64.94932625209272,67.50712939557623,65.2068342852584,70.25450162423017,71.82151824772282,68.1609835283474,64.89484486753493,67.45267790958835,65.15235591075317,70.57451228781008,72.1365736780055,68.48755577796088,65.24042965519011,67.79254694911408,65.4973649886483,70.30669663369066,71.87343098923034,68.213537396468,64.94932625209272,67.50712939557623,65.2068342852584,70.25450162423017,71.82151824772282,68.1609835283474,64.89484486753493,67.45267790958835,65.15235591075317,70.57451228781008,72.1365736780055,68.48755577796088,65.24042965519011,67.79254694911408,65.4973649886483
2033,71.57413600139773,73.27886635053147,69.29483080002277,68.17937514122893,71.45414369586321,68.50906516134553,71.4955791998182,73.20073725843005,69.2157301885897,68.09735272399342,71.37216661129283,68.42704730801341,71.73681762329339,73.43712843066703,69.46342220527373,68.35660890206572,71.62415399421394,68.68557133816675,71.57413600139773,73.27886635053147,69.29483080002277,68.17937514122893,71.45414369586321,68.50906516134553,71.4955791998182,73.20073725843005,69.2157301885897,68.09735272399342,71.37216661129283,68.42704730801341,71.73681762329339,73.43712843066703,69.46342220527373,68.35660890206572,71.62415399421394,68.68557133816675,71.86924823403619,73.56674053818855,69.59960890151002,68.4992433577127,71.76247646514187,68.8277714704539,71.79095259321724,73.48886977543945,69.52077307303236,68.41750561052649,71.6807837365867,68.74603825554757,72.03077677709435,73.72388532890145,69.7669993198071,68.6751693505789,71.93122972975291,69.0029749919671,71.86924823403619,73.56674053818855,69.59960890151002,68.4992433577127,71.76247646514187,68.8277714704539,71.79095259321724,73.48886977543945,69.52077307303236,68.41750561052649,71.6807837365867,68.74603825554757,72.03077677709435,73.72388532890145,69.7669993198071,68.6751693505789,71.93122972975291,69.0029749919671,72.21174653380095,73.90155663509513,69.95235327639071,68.86889149411353,72.12016617047206,69.19621509965503,72.13372125928177,73.82395331728688,69.87379155124614,68.78744836324248,72.03876773437452,69.11477646845132,72.37200904423432,74.05747307661431,70.1184272692384,69.04338564159728,72.2875399948411,69.3699920567981,72.21174653380095,73.90155663509513,69.95235327639071,68.86889149411353,72.12016617047206,69.19621509965503,72.13372125928177,73.82395331728688,69.87379155124614,68.78744836324248,72.03876773437452,69.11477646845132,72.37200904423432,74.05747307661431,70.1184272692384,69.04338564159728,72.2875399948411,69.3699920567981
2034,73.52465421203787,75.35045845705703,71.08193033035619,71.76159292828461,75.65689086254658,72.15375525453194,73.41996103987633,75.24633529616285,70.9765124191845,71.65228110707906,75.54763945648548,72.04444951567082,73.58027927585269,75.40199453950052,71.14306877336935,71.82350505122979,75.7102928823145,72.21481019238726,73.52465421203787,75.35045845705703,71.08193033035619,71.76159292828461,75.65689086254658,72.15375525453194,73.41996103987633,75.24633529616285,70.9765124191845,71.65228110707906,75.54763945648548,72.04444951567082,73.58027927585269,75.40199453950052,71.14306877336935,71.82350505122979,75.7102928823145,72.21481019238726,73.8602970967969,75.6782430298662,71.42806574934042,72.11811060623151,75.99970046172488,72.50889218624103,73.7559519753187,75.57446414621869,71.32300071617519,72.00917816669477,75.89082801881729,72.39996578690389,73.91504000957266,75.72893147499308,71.48827559266464,72.17903481746241,76.05217429271735,72.56896523091315,73.8602970967969,75.6782430298662,71.42806574934042,72.11811060623151,75.99970046172488,72.50889218624103,73.7559519753187,75.57446414621869,71.32300071617519,72.00917816669477,75.89082801881729,72.39996578690389,73.91504000957266,75.72893147499308,71.48827559266464,72.17903481746241,76.05217429271735,72.56896523091315,74.25395685651638,76.06353021356257,71.8328886510262,72.53529397948081,76.4026717294563,72.92464405141347,74.14997205400485,75.96010775556726,71.72818891719676,72.4267541770676,76.29419149206511,72.81611024573684,74.30769575012715,76.1132512025616,71.89204533782636,72.5950972008778,76.45408626757501,72.98360232367286,74.25395685651638,76.06353021356257,71.8328886510262,72.53529397948081,76.4026717294563,72.92464405141347,74.14997205400485,75.96010775556726,71.72818891719676,72.4267541770676,76.29419149206511,72.81611024573684,74.30769575012715,76.1132512025616,71.89204533782636,72.5950972008778,76.45408626757501,72.98360232367286
