Date,Total Revenue Forecast (Ra_Ga_Ba),Total Revenue Forecast (Ra_Ga_Bb),Total Revenue Forecast (Ra_Ga_Bc),Total Revenue Forecast (Ra_Ga_Bd),Total Revenue Forecast (Ra_Ga_Be),Total Revenue Forecast (Ra_Ga_Bf),Total Revenue Forecast (Ra_Gb_Ba),Total Revenue Forecast (Ra_Gb_Bb),Total Revenue Forecast (Ra_Gb_Bc),Total Revenue Forecast (Ra_Gb_Bd),Total Revenue Forecast (Ra_Gb_Be),Total Revenue Forecast (Ra_Gb_Bf),Total Revenue Forecast (Ra_Gc_Ba),Total Revenue Forecast (Ra_Gc_Bb),Total Revenue Forecast (Ra_Gc_Bc),Total Revenue Forecast (Ra_Gc_Bd),Total Revenue Forecast (Ra_Gc_Be),Total Revenue Forecast (Ra_Gc_Bf),Total Revenue Forecast (Rb_Ga_Ba),Total Revenue Forecast (Rb_Ga_Bb),Total Revenue Forecast (Rb_Ga_Bc),Total Revenue Forecast (Rb_Ga_Bd),Total Revenue Forecast (Rb_Ga_Be),Total Revenue Forecast (Rb_Ga_Bf),Total Revenue Forecast (Rb_Gb_Ba),Total Revenue Forecast (Rb_Gb_Bb),Total Revenue Forecast (Rb_Gb_Bc),Total Revenue Forecast (Rb_Gb_Bd),Total Revenue Forecast (Rb_Gb_Be),Total Revenue Forecast (Rb_Gb_Bf),Total Revenue Forecast (Rb_Gc_Ba),Total Revenue Forecast (Rb_Gc_Bb),Total Revenue Forecast (Rb_Gc_Bc),Total Revenue Forecast (Rb_Gc_Bd),Total Revenue Forecast (Rb_Gc_Be),Total Revenue Forecast (Rb_Gc_Bf),Total Revenue Forecast (Rc_Ga_Ba),Total Revenue Forecast (Rc_Ga_Bb),Total Revenue Forecast (Rc_Ga_Bc),Total Revenue Forecast (Rc_Ga_Bd),Total Revenue Forecast (Rc_Ga_Be),Total Revenue Forecast (Rc_Ga_Bf),Total Revenue Forecast (Rc_Gb_Ba),Total Revenue Forecast (Rc_Gb_Bb),Total Revenue Forecast (Rc_Gb_Bc),Total Revenue Forecast (Rc_Gb_Bd),Total Revenue Forecast (Rc_Gb_Be),Total Revenue Forecast (Rc_Gb_Bf),Total Revenue Forecast (Rc_Gc_Ba),Total Revenue Forecast (Rc_Gc_Bb),Total Revenue Forecast (Rc_Gc_Bc),Total Revenue Forecast (Rc_Gc_Bd),Total Revenue Forecast (Rc_Gc_Be),Total Revenue Forecast (Rc_Gc_Bf),Total Revenue Forecast (Rd_Ga_Ba),Total Revenue Forecast (Rd_Ga_Bb),Total Revenue Forecast (Rd_Ga_Bc),Total Revenue Forecast (Rd_Ga_Bd),Total Revenue Forecast (Rd_Ga_Be),Total Revenue Forecast (Rd_Ga_Bf),Total Revenue Forecast (Rd_Gb_Ba),Total Revenue Forecast (Rd_Gb_Bb),Total Revenue Forecast (Rd_Gb_Bc),Total Revenue Forecast (Rd_Gb_Bd),Total Revenue Forecast (Rd_Gb_Be),Total Revenue Forecast (Rd_Gb_Bf),Total Revenue Forecast (Rd_Gc_Ba),Total Revenue Forecast (Rd_Gc_Bb),Total Revenue Forecast (Rd_Gc_Bc),Total Revenue Forecast (Rd_Gc_Bd),Total Revenue Forecast (Rd_Gc_Be),Total Revenue Forecast (Rd_Gc_Bf),Total Revenue Forecast (Re_Ga_Ba),Total Revenue Forecast (Re_Ga_Bb),Total Revenue Forecast (Re_Ga_Bc),Total Revenue Forecast (Re_Ga_Bd),Total Revenue Forecast (Re_Ga_Be),Total Revenue Forecast (Re_Ga_Bf),Total Revenue Forecast (Re_Gb_Ba),Total Revenue Forecast (Re_Gb_Bb),Total Revenue Forecast (Re_Gb_Bc),Total Revenue Forecast (Re_Gb_Bd),Total Revenue Forecast (Re_Gb_Be),Total Revenue Forecast (Re_Gb_Bf),Total Revenue Forecast (Re_Gc_Ba),Total Revenue Forecast (Re_Gc_Bb),Total Revenue Forecast (Re_Gc_Bc),Total Revenue Forecast (Re_Gc_Bd),Total Revenue Forecast (Re_Gc_Be),Total Revenue Forecast (Re_Gc_Bf),Total Revenue Forecast (Rf_Ga_Ba),Total Revenue Forecast (Rf_Ga_Bb),Total Revenue Forecast (Rf_Ga_Bc),Total Revenue Forecast (Rf_Ga_Bd),Total Revenue Forecast (Rf_Ga_Be),Total Revenue Forecast (Rf_Ga_Bf),Total Revenue Forecast (Rf_Gb_Ba),Total Revenue Forecast (Rf_Gb_Bb),Total Revenue Forecast (Rf_Gb_Bc),Total Revenue Forecast (Rf_Gb_Bd),Total Revenue Forecast (Rf_Gb_Be),Total Revenue Forecast (Rf_Gb_Bf),Total Revenue Forecast (Rf_Gc_Ba),Total Revenue Forecast (Rf_Gc_Bb),Total Revenue Forecast (Rf_Gc_Bc),Total Revenue Forecast (Rf_Gc_Bd),Total Revenue Forecast (Rf_Gc_Be),Total Revenue Forecast (Rf_Gc_Bf)
2025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026,107.88784238307115,108.70214542248019,106.82166244324125,100.531604414334,100.70127070595912,100.5486857132873,107.88784238307115,108.70214542248019,106.82166244324125,100.531604414334,100.70127070595912,100.5486857132873,108.0732574936366,108.88486351792181,107.01059806918805,100.74120406053717,100.91038544546463,100.75823652264808,107.88784238307115,108.70214542248019,106.82166244324125,100.531604414334,100.70127070595912,100.5486857132873,107.88784238307115,108.70214542248019,106.82166244324125,100.531604414334,100.70127070595912,100.5486857132873,108.0732574936366,108.88486351792181,107.01059806918805,100.74120406053717,100.91038544546463,100.75823652264808,108.00701311931628,108.81797697202276,106.94522441127509,100.68154602644996,100.85054120070207,100.69855973072193,108.00701311931628,108.81797697202276,106.94522441127509,100.68154602644996,100.85054120070207,100.69855973072193,108.19156543978832,108.99985275380305,107.1332703540462,100.89009449488056,101.05860847422679,100.9070597362815,108.00701311931628,108.81797697202276,106.94522441127509,100.68154602644996,100.85054120070207,100.69855973072193,108.00701311931628,108.81797697202276,106.94522441127509,100.68154602644996,100.85054120070207,100.69855973072193,108.19156543978832,108.99985275380305,107.1332703540462,100.89009449488056,101.05860847422679,100.9070597362815,108.13344759381171,108.94094237565095,107.07622001719763,100.83992418763845,101.00822363717812,100.8568678190838,108.13344759381171,108.94094237565095,107.07622001719763,100.83992418763845,101.00822363717812,100.8568678190838,108.31710208833812,109.12194149955371,107.26334033686587,101.04738019875417,101.21520228504333,101.06427575337437,108.13344759381171,108.94094237565095,107.07622001719763,100.83992418763845,101.00822363717812,100.8568678190838,108.13344759381171,108.94094237565095,107.07622001719763,100.83992418763845,101.00822363717812,100.8568678190838,108.31710208833812,109.12194149955371,107.26334033686587,101.04738019875417,101.21520228504333,101.06427575337437
2027,114.04402161677186,115.41889385692798,112.22829636203424,101.54380510406928,101.98854249730411,101.58857942132933,114.04402161677186,115.41889385692798,112.22829636203424,101.54380510406928,101.98854249730411,101.58857942132933,114.42309448811557,115.79305420977315,112.6138022855403,101.96679291066377,102.41032900855073,102.01144623812839,114.04402161677186,115.41889385692798,112.22829636203424,101.54380510406928,101.98854249730411,101.58857942132933,114.04402161677186,115.41889385692798,112.22829636203424,101.54380510406928,101.98854249730411,101.58857942132933,114.42309448811557,115.79305420977315,112.6138022855403,101.96679291066377,102.41032900855073,102.01144623812839,114.21973506242615,115.58910782577686,112.41130015154212,101.77062811580286,102.21369794594936,101.8152344727317,114.21973506242615,115.58910782577686,112.41130015154212,101.77062811580286,102.21369794594936,101.8152344727317,114.597185196329,115.96168181088863,112.7951354136256,102.19165898482898,102.63353636994698,102.2361452436974,114.21973506242615,115.58910782577686,112.41130015154212,101.77062811580286,102.21369794594936,101.8152344727317,114.21973506242615,115.58910782577686,112.41130015154212,101.77062811580286,102.21369794594936,101.8152344727317,114.597185196329,115.96168181088863,112.7951354136256,102.19165898482898,102.63353636994698,102.2361452436974,114.4103658022636,115.77400448591094,112.60952940529944,102.01448266060831,102.45582255689938,102.05891477589645,114.4103658022636,115.77400448591094,112.60952940529944,102.01448266060831,102.45582255689938,102.05891477589645,114.78612045784527,116.1449206726704,112.99161954952626,102.43347209138011,102.87362868570185,102.47778502983323,114.4103658022636,115.77400448591094,112.60952940529944,102.01448266060831,102.45582255689938,102.05891477589645,114.4103658022636,115.77400448591094,112.60952940529944,102.01448266060831,102.45582255689938,102.05891477589645,114.78612045784527,116.1449206726704,112.99161954952626,102.43347209138011,102.87362868570185,102.47778502983323
2028,117.21123300548174,118.9991210450895,114.83933515823936,101.6711583918795,102.53475718818589,101.75810193896908,117.21123300548174,118.9991210450895,114.83933515823936,101.6711583918795,102.53475718818589,101.75810193896908,117.77342036214809,119.55454376195303,115.4103891428328,102.29194501438805,103.15332180014542,102.37866476474903,117.21123300548174,118.9991210450895,114.83933515823936,101.6711583918795,102.53475718818589,101.75810193896908,117.21123300548174,118.9991210450895,114.83933515823936,101.6711583918795,102.53475718818589,101.75810193896908,117.77342036214809,119.55454376195303,115.4103891428328,102.29194501438805,103.15332180014542,102.37866476474903,117.44395464064081,119.22466821429893,115.08160222334578,101.96804666171666,102.82848647380199,102.05467202585163,117.44395464064081,119.22466821429893,115.08160222334578,101.96804666171666,102.82848647380199,102.05467202585163,118.00379331960464,119.77779212995732,115.65024175735384,102.58603936109539,103.44427324039691,102.67244254851815,117.44395464064081,119.22466821429893,115.08160222334578,101.96804666171666,102.82848647380199,102.05467202585163,117.44395464064081,119.22466821429893,115.08160222334578,101.96804666171666,102.82848647380199,102.05467202585163,118.00379331960464,119.77779212995732,115.65024175735384,102.58603936109539,103.44427324039691,102.67244254851815,117.69899791996427,119.47221629079827,115.34661284679355,102.29004596361845,103.14720948053464,102.37634133035168,117.69899791996427,119.47221629079827,115.34661284679355,102.29004596361845,103.14720948053464,102.37634133035168,118.25637923191805,120.02293456285926,115.91272682246492,102.90511991379682,103.76009410622919,102.99119477728178,117.69899791996427,119.47221629079827,115.34661284679355,102.29004596361845,103.14720948053464,102.37634133035168,117.69899791996427,119.47221629079827,115.34661284679355,102.29004596361845,103.14720948053464,102.37634133035168,118.25637923191805,120.02293456285926,115.91272682246492,102.90511991379682,103.76009410622919,102.99119477728178
2029,110.01995343742253,111.96801900776383,107.42845910912,94.68580633958777,96.04202756100013,94.82234507045686,110.01995343742253,111.96801900776383,107.42845910912,94.68580633958777,96.04202756100013,94.82234507045686,110.68944552996103,112.62983089972501,108.10802062426244,95.41817540712567,96.77104095444788,95.55437615513239,110.01995343742253,111.96801900776383,107.42845910912,94.68580633958777,96.04202756100013,94.82234507045686,110.01995343742253,111.96801900776383,107.42845910912,94.68580633958777,96.04202756100013,94.82234507045686,110.68944552996103,112.62983089972501,108.10802062426244,95.41817540712567,96.77104095444788,95.55437615513239,110.28674390539545,112.2269204762174,107.7057651908244,95.01754737413754,96.36888175874766,95.15359388371415,110.28674390539545,112.2269204762174,107.7057651908244,95.01754737413754,96.36888175874766,95.15359388371415,110.95346054422947,112.8860136012112,108.38247649150713,95.74666049661919,97.0946632098197,95.88237144195017,110.28674390539545,112.2269204762174,107.7057651908244,95.01754737413754,96.36888175874766,95.15359388371415,110.28674390539545,112.2269204762174,107.7057651908244,95.01754737413754,96.36888175874766,95.15359388371415,110.95346054422947,112.8860136012112,108.38247649150713,95.74666049661919,97.0946632098197,95.88237144195017,110.58025122924427,112.51217686105261,108.01026452156958,95.37895150763354,96.72521965893583,95.51448772860556,110.58025122924427,112.51217686105261,108.01026452156958,95.37895150763354,96.72521965893583,95.51448772860556,111.24406255226214,113.16842348378866,108.6839929612376,96.10466105009459,97.44762231830663,96.23986420458756,110.58025122924427,112.51217686105261,108.01026452156958,95.37895150763354,96.72521965893583,95.51448772860556,110.58025122924427,112.51217686105261,108.01026452156958,95.37895150763354,96.72521965893583,95.51448772860556,111.24406255226214,113.16842348378866,108.6839929612376,96.10466105009459,97.44762231830663,96.23986420458756
2030,91.49476446669823,93.29988928717376,89.08897175345282,79.51077963918803,81.26280339678019,79.68716612874982,91.49476446669823,93.29988928717376,89.08897175345282,79.51077963918803,81.26280339678019,79.68716612874982,92.17093833572108,93.968643134802,89.7748712439278,80.24282982752412,81.99063670628729,80.41879158863925,91.49476446669823,93.29988928717376,89.08897175345282,79.51077963918803,81.26280339678019,79.68716612874982,91.49476446669823,93.29988928717376,89.08897175345282,79.51077963918803,81.26280339678019,79.68716612874982,92.17093833572108,93.968643134802,89.7748712439278,80.24282982752412,81.99063670628729,80.41879158863925,91.75107955827625,93.54884483101691,89.35510858605595,79.81995818450133,81.56573471184757,79.995715425456,91.75107955827625,93.54884483101691,89.35510858605595,79.81995818450133,81.56573471184757,79.995715425456,92.42447758376758,94.2148775709443,90.03816007018708,80.54880249149174,82.2903920461032,80.72413801754102,91.75107955827625,93.54884483101691,89.35510858605595,79.81995818450133,81.56573471184757,79.995715425456,91.75107955827625,93.54884483101691,89.35510858605595,79.81995818450133,81.56573471184757,79.995715425456,92.42447758376758,94.2148775709443,90.03816007018708,80.54880249149174,82.2903920461032,80.72413801754102,92.03472046209579,93.82477724291026,89.64903043008702,80.15903245419935,81.89833415140534,80.3341375244199,92.03472046209579,93.82477724291026,89.64903043008702,80.15903245419935,81.89833415140534,80.3341375244199,92.70521058854996,94.48795890869705,90.32909911912364,80.88452242836581,82.61966803240254,81.05920889529774,92.03472046209579,93.82477724291026,89.64903043008702,80.15903245419935,81.89833415140534,80.3341375244199,92.03472046209579,93.82477724291026,89.64903043008702,80.15903245419935,81.89833415140534,80.3341375244199,92.70521058854996,94.48795890869705,90.32909911912364,80.88452242836581,82.61966803240254,81.05920889529774
2031,83.25748329229532,85.03113082053672,80.89032181026225,74.25924919248997,76.55989842611753,74.49086902085934,83.2251662442024,84.99898981215695,80.85778093427051,74.22550567083526,76.52617356583382,74.45712737795412,83.722784998061,85.49022409315079,81.36381057647445,74.76463815009066,77.06000161624249,74.99572557903433,83.25748329229532,85.03113082053672,80.89032181026225,74.25924919248997,76.55989842611753,74.49086902085934,83.2251662442024,84.99898981215695,80.85778093427051,74.22550567083526,76.52617356583382,74.45712737795412,83.722784998061,85.49022409315079,81.36381057647445,74.76463815009066,77.06000161624249,74.99572557903433,83.52500958712643,85.29134076655363,81.16761793217661,74.56977039757567,76.86226877164798,74.80056923282665,83.49279996608576,85.2593060199694,81.1351859739624,74.53614397874891,76.82866088492845,74.7669446797324,83.9882116602668,85.74838139196004,81.63894480854911,75.07273545394466,77.35998536448109,75.30300564889856,83.52500958712643,85.29134076655363,81.16761793217661,74.56977039757567,76.86226877164798,74.80056923282665,83.49279996608576,85.2593060199694,81.1351859739624,74.53614397874891,76.82866088492845,74.7669446797324,83.9882116602668,85.74838139196004,81.63894480854911,75.07273545394466,77.35998536448109,75.30300564889856,83.82561620899325,85.58425505131297,81.4784880736446,74.91582835508109,77.19987866344863,75.14577626479479,83.7935178027961,85.55233031728392,81.44616886827755,74.88232313184099,77.166391839007,75.11227289386294,84.28659950842055,86.03912584804951,81.94753135049797,75.41623632759169,77.69507669466368,75.64565947888202,83.82561620899325,85.58425505131297,81.4784880736446,74.91582835508109,77.19987866344863,75.14577626479479,83.7935178027961,85.55233031728392,81.44616886827755,74.88232313184099,77.166391839007,75.11227289386294,84.28659950842055,86.03912584804951,81.94753135049797,75.41623632759169,77.69507669466368,75.64565947888202
2032,83.60159555945576,85.49537368725343,81.07149949385183,77.10769855109226,80.19536612391909,77.41855212356501,83.5386170282497,85.43273821716286,81.00808477329237,77.04194014935265,80.12964408892101,77.3527973830782,83.92608295057728,85.81416892166257,81.40354288364502,77.46061801807545,80.54137118162967,77.77077514058529,83.60159555945576,85.49537368725343,81.07149949385183,77.10769855109226,80.19536612391909,77.41855212356501,83.5386170282497,85.43273821716286,81.00808477329237,77.04194014935265,80.12964408892101,77.3527973830782,83.92608295057728,85.81416892166257,81.40354288364502,77.46061801807545,80.54137118162967,77.77077514058529,83.90905104975505,85.79489887739447,81.38954579463395,77.45121430845778,80.52798309073556,77.76097010122847,83.84628186928987,85.73247048722614,81.3263433298978,77.38568411333166,80.46248901044551,77.69544354198808,84.2318229232697,86.1120230644397,81.71981444499828,77.80216625649592,80.87206927869988,78.11123050179594,83.90905104975505,85.79489887739447,81.38954579463395,77.45121430845778,80.52798309073556,77.76097010122847,83.84628186928987,85.73247048722614,81.3263433298978,77.38568411333166,80.46248901044551,77.69544354198808,84.2318229232697,86.1120230644397,81.71981444499828,77.80216625649592,80.87206927869988,78.11123050179594,84.26108002218466,86.13854684639256,81.7527556154253,77.84194728622965,80.90741837264879,78.15056512447406,84.19852757399879,86.0763328455187,81.68977288018566,77.77665327356718,80.84216021503414,78.0852747215365,84.58201047732098,86.45387618078327,82.0811208774541,78.19079225412256,81.24944782725088,78.4987236083492,84.26108002218466,86.13854684639256,81.7527556154253,77.84194728622965,80.90741837264879,78.15056512447406,84.19852757399879,86.0763328455187,81.68977288018566,77.77665327356718,80.84216021503414,78.0852747215365,84.58201047732098,86.45387618078327,82.0811208774541,78.19079225412256,81.24944782725088,78.4987236083492
2033,85.74747950147827,87.78954945541399,83.01710696971774,81.68232253121951,85.60562622385842,82.07730448442109,85.65336708337308,87.69594969313798,82.92234272893562,81.58405599371964,85.5074140312586,81.9790434181405,85.94234981997101,87.97912461108272,83.21905803402608,81.89462753119507,85.8092758244406,82.28873766784433,85.74747950147827,87.78954945541399,83.01710696971774,81.68232253121951,85.60562622385842,82.07730448442109,85.65336708337308,87.69594969313798,82.92234272893562,81.58405599371964,85.5074140312586,81.9790434181405,85.94234981997101,87.97912461108272,83.21905803402608,81.89462753119507,85.8092758244406,82.28873766784433,86.10105777041647,88.13445674207858,83.3822647729778,82.06556121033705,85.97504584414457,82.45915123863077,86.0072581970868,88.041166431164,83.28781771820185,81.96763569502069,85.87717429729146,82.36123115662618,86.29454666758409,88.32269335804969,83.58277701348021,82.27629942127015,86.17718944333559,82.66902375879744,86.10105777041647,88.13445674207858,83.3822647729778,82.06556121033705,85.97504584414457,82.45915123863077,86.0072581970868,88.041166431164,83.28781771820185,81.96763569502069,85.87717429729146,82.36123115662618,86.29454666758409,88.32269335804969,83.58277701348021,82.27629942127015,86.17718944333559,82.66902375879744,86.51140420461878,88.53559992468215,83.80488605404327,82.5084370580026,86.40359575485903,82.9005841123227,86.4179285067193,88.44262998794166,83.71076735361045,82.4108644836383,86.30607676074165,82.80301693217662,86.7033763452678,88.72236493589962,84.00382115737722,82.71745981083983,86.60408668632613,83.10874750196031,86.51140420461878,88.53559992468215,83.80488605404327,82.5084370580026,86.40359575485903,82.9005841123227,86.4179285067193,88.44262998794166,83.71076735361045,82.4108644836383,86.30607676074165,82.80301693217662,86.7033763452678,88.72236493589962,84.00382115737722,82.71745981083983,86.60408668632613,83.10874750196031
2034,88.07962607161053,90.26662389925357,85.15363512629132,85.96951564096523,90.63600316802119,86.4393182620281,87.95420787793185,90.14188889244188,85.02734828611108,85.83856149186963,90.50512144124072,86.308371404111,88.14623767614805,90.32833692868245,85.22685182989902,86.04365582310692,90.69994681174566,86.51243139126652,88.07962607161053,90.26662389925357,85.15363512629132,85.96951564096523,90.63600316802119,86.4393182620281,87.95420787793185,90.14188889244188,85.02734828611108,85.83856149186963,90.50512144124072,86.308371404111,88.14623767614805,90.32833692868245,85.22685182989902,86.04365582310692,90.69994681174566,86.51243139126652,88.48174149402301,90.65932567061046,85.56831988185824,86.39664171350161,91.04670828602946,86.86479033289301,88.35674021053995,90.53500305178714,85.44245573718146,86.26614202500878,90.9162805181961,86.73429788506154,88.54729624870932,90.72002320025331,85.64042408593039,86.46959831704169,91.10953990474408,86.9367270942921,88.48174149402301,90.65932567061046,85.56831988185824,86.39664171350161,91.04670828602946,86.86479033289301,88.35674021053995,90.53500305178714,85.44245573718146,86.26614202500878,90.9162805181961,86.73429788506154,88.54729624870932,90.72002320025331,85.64042408593039,86.46959831704169,91.10953990474408,86.9367270942921,88.9533572286785,91.1209114934177,86.05330856913746,86.89644261152425,91.52948426459827,87.36287640233785,88.82878755530868,90.99701581878547,85.92788200336294,86.7664132670899,91.39952632346987,87.23285424646711,89.01770912615696,91.18044997205781,86.12415104381066,86.9680561923695,91.591046780108,87.43347759017773,88.9533572286785,91.1209114934177,86.05330856913746,86.89644261152425,91.52948426459827,87.36287640233785,88.82878755530868,90.99701581878547,85.92788200336294,86.7664132670899,91.39952632346987,87.23285424646711,89.01770912615696,91.18044997205781,86.12415104381066,86.9680561923695,91.591046780108,87.43347759017773
